,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,mpdockq_AH,mpdockq_AL,mpdockq_HL,mpdockq,LIS_AH,LIS_AL,LIS_HL,avg_LIS,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_L,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pair_pae_AH,chain_pae_H,chain_pae_L,chain_pair_pae_AL,avg_pair_pae,avg_model_plddt,chain_pair_pae_HL,avg_internal_pae,del_G_B,scaled_model_RMSD,scaled_query_RMSD
50,-0.06404122,0.0,-0.016981885,0.34327114,0.02361105,0.14722727,-0.59677464,-0.56353736,-0.7746499,-0.14311531,-0.0927878,-0.6828857,-0.037795667,-0.010043969,0.0,0.0043245014,-0.10776106,-0.08210592,0.016263016,-0.3930524,-0.14157926,-0.30151466,-0.22114992,-0.035446547,-0.9216365,-1.0451969,-0.05143261,-0.022243686,-0.3616824,0.36824554,-0.0966819,-0.08511687,-0.046214163,2.0097725,0.4520572,-0.6575821,0.021652764,0.013774099,-0.0955435,-0.11047651,0.004939054,0.030395772,-0.06674062,-0.10472083,-0.009727432,-0.5281322,-0.05361505,-0.21165606,-0.50805414,-1.179821,0.08483572,0.027872229,0.032594167,0.0107603865,-0.26967025,-0.019870091,0.043326322,-1.58142,0.038518142,0.080008596,-0.7570195,0.6054809,0.09049271
51,-0.051861793,0.0,-0.028789176,0.35402748,0.018885069,-0.7614854,-0.16624331,-0.3595359,-0.8702559,-0.083591916,-0.09937369,-0.2688357,-0.015254481,-0.037098773,0.0,-0.011398418,-0.122141026,-0.06841901,0.01684151,0.1673214,-0.13537964,-0.18421094,-0.22523135,0.021134306,-0.005340811,-1.0367976,-0.054062717,-0.0053442204,-0.61711353,0.14667237,-0.041076675,-0.10002952,-0.058983624,-0.36924946,0.38181075,0.42484206,-0.07892695,0.004418921,-0.09796955,-0.11381397,0.017441135,-0.0012542953,-0.13648948,-0.16417658,-0.006553959,-0.61593646,-0.067761265,-0.102169715,0.4288958,-1.4557204,0.17252547,-0.0012500067,-0.09176599,0.024547104,-0.29507294,-0.0018362855,-0.051500663,-2.015245,-0.03570478,0.18177432,-0.66708535,-0.091578364,0.120156735
52,-0.053563576,0.0,-0.004193287,0.39182025,0.030827213,0.1938105,-0.5195478,-0.5722135,-0.8556434,-0.10644495,-0.089431986,-0.74424726,-0.026471684,0.0076687206,0.0,0.0027318913,-0.10389258,-0.1079591,0.008026001,0.15635088,-0.12375552,-0.33645973,-0.21052656,-0.03426073,-0.710366,-1.2583151,-0.052923262,-0.017749254,-0.5478195,0.48568276,-0.37342647,-0.07744642,-0.04773982,1.5204002,0.44333827,0.28121924,0.028759103,0.011833457,-0.09012283,-0.11047651,-0.024813611,-0.016129538,-0.072115965,-0.15067859,-0.009727432,-0.546666,-0.048675045,-0.16575576,0.3168568,-1.2374836,0.112891436,-0.27482438,0.014285354,0.061818972,-0.25091508,-0.0078054518,0.03409989,-1.7942929,0.06403047,0.14918442,-0.056071095,0.3142599,0.10280522
53,-0.06454515,0.0,-0.003131078,0.39539748,0.023793012,0.16394125,-0.64755446,-0.5509903,-0.8393516,-0.13283603,-0.084544435,-0.73642987,-0.033776414,0.0076687206,0.0,0.0027318913,-0.10776106,-0.10530002,0.008026001,-0.2575069,-0.12301869,-0.31528705,-0.21668217,-0.035446547,-0.75513715,-1.1855999,-0.048257798,-0.01226367,-0.40897664,0.38224912,-0.1156349,-0.07304606,-0.04773982,1.7894641,0.433862,-0.32957554,0.028759103,0.011833457,-0.0955435,-0.11047651,-0.04008554,-0.016129538,-0.072115965,-0.11533354,-0.009727432,-0.5296883,-0.0452684,-0.19179517,-0.0048230877,-1.2028362,0.07966671,-0.2764577,0.05853172,0.007901457,-0.21307606,-0.0078054518,0.043326322,-1.6735147,0.029741028,0.14819197,0.0032042935,0.58681613,0.09341357
54,-0.052598853,0.0,-0.001610429,0.36118075,0.030827213,0.1539804,-0.6959058,-0.5545007,-0.88802093,-0.10302108,-0.09755968,-0.7312842,-0.026010519,-0.010043969,0.0,0.0027318913,-0.1137501,-0.10625294,0.011992468,-0.26989987,-0.13933678,-0.35161877,-0.2151332,-0.03384389,-0.902617,-1.2186567,-0.052392684,-0.020658992,-0.51924664,0.34352484,-0.20999718,-0.086078994,-0.046214163,1.626199,0.4295505,0.09877005,0.03074095,0.011833457,-0.08404779,-0.11047651,0.004939054,-0.016129538,0.06867704,-0.084101915,-0.009727432,-0.535004,-0.057286248,-0.19078173,0.040819354,-1.2192096,0.14698955,0.0043750736,0.07201768,0.040089495,-0.27629715,-0.019870091,0.042270202,-1.752446,0.00016212463,0.16408762,-0.7361392,0.35456982,0.10981114
55,-0.053102784,0.0,-0.001610429,0.36068052,0.030827213,0.1760564,-0.67178,-0.5601452,-0.91250706,-0.11898338,-0.09230074,-0.6716512,-0.02986003,0.010025709,0.0,-0.0014882777,-0.14188981,-0.08742996,0.011042995,-0.2485321,-0.12435995,-0.3200077,-0.23530169,-0.017525425,-0.8497944,-1.2225021,-0.055560265,-0.027736291,-0.53782934,0.41014087,-0.20240343,0.0065074833,-0.06971586,-0.06175246,0.5838949,0.27914053,0.033230644,0.01246991,-0.08302319,-0.114478394,-0.024813611,-0.016129538,0.059656486,-0.09964245,-0.009727432,-0.5820232,-0.052167244,-0.17864265,0.14169733,-1.2672383,0.15558963,-0.25406235,0.059246007,0.035654794,-0.22991568,-0.0556389,0.04705277,-1.7155863,-0.013813833,0.21326102,-0.19752458,-0.19561952,0.11273199
56,-0.061527632,0.0,-0.003131078,0.34929946,0.023793012,0.1876053,-0.5903306,-0.558443,-0.8430759,-0.14500597,-0.084544435,-0.7106614,-0.037334505,-0.010043969,0.0,0.0027318913,-0.09790352,-0.09617623,0.009606754,0.14157358,-0.13130765,-0.2917388,-0.22941408,-0.036439747,-0.87101686,-1.1757734,-0.053833988,-0.028254371,-0.37327743,0.46124816,-0.1341661,-0.08797042,-0.046214163,1.7982867,0.4523309,-0.7765558,0.028759103,0.011833457,-0.10201424,-0.11047651,-0.024813611,-0.016129538,0.005419627,-0.13568342,-0.009727432,-0.56460685,-0.0417762,-0.15110551,0.09939393,-1.188363,0.09836645,-0.27474543,0.057835985,-0.007189816,-0.21307606,-0.0078054518,0.037006076,-1.6756753,0.022508727,0.13747387,-0.05199004,0.61394376,0.09341357
57,-0.05305965,0.0,-0.022798955,0.38609058,0.030645251,-0.4483278,-0.5445746,-0.51846683,-0.87386817,-0.111651324,-0.09214647,-0.79388565,-0.020288926,-0.010043969,0.0,0.0027318913,-0.07943536,-0.1008686,0.01684151,0.07896134,-0.1463325,-0.3819701,-0.24690701,-0.03235807,-0.80130273,-1.2541507,-0.064917624,-0.02750218,-0.5349948,0.36773998,-0.3303398,-0.107971005,-0.049608998,1.7690673,0.47128698,-0.5237878,0.030798618,0.011833457,-0.090518534,-0.09195767,-0.04008554,-0.016129538,0.020084811,-0.13937093,-0.009727432,-0.5572475,-0.043667383,-0.20012663,-0.019359099,-1.1933258,0.09293444,0.09199181,0.06252636,0.020557411,-0.27210292,-0.019870091,0.04258145,-1.7540797,0.025195211,0.11229733,-0.33940858,0.39695972,0.11273199
58,-0.06589958,0.0,-0.0057139355,0.35444266,0.023793012,0.19699119,-0.17504753,-0.5407737,-0.7888611,-0.14322026,-0.084544435,-0.6899674,-0.037795667,0.0076687206,0.0,0.0027318913,-0.09790352,-0.09723023,0.00658976,-0.072607815,-0.12941061,-0.292288,-0.2287732,-0.037985627,-0.77039766,-1.1895983,-0.048257798,-0.009353927,-0.356107,0.46694177,-0.42931658,-0.08402018,-0.04773982,1.817799,0.5405257,-0.7739639,0.017734047,0.011833457,-0.0955435,-0.11047651,-0.024813611,-0.016129538,-0.072115965,-0.11533354,-0.009727432,-0.56227046,-0.036768533,-0.20644546,0.1157704,-1.1959594,0.09850439,-0.2761806,0.011955664,-0.0030408562,-0.21616328,-0.0078054518,0.03409989,-1.6377144,0.034367003,0.11303986,-0.015779253,0.5978207,0.10375917
59,-0.046967156,0.0,0.00596845,0.26430497,0.018703107,-1.4703434,-0.1277035,-0.3360604,-0.8632857,-0.08664252,-0.069438204,-0.32225674,-0.023736313,-0.04791123,0.0,0.00449348,-0.14117517,-0.064278804,0.01198004,0.08868179,-0.10395748,0.09566326,-0.23101793,0.022744827,-0.0315603,-0.99722964,-0.04212623,-0.05116885,-0.60590285,0.3293862,-0.21179104,-0.10986396,-0.055894367,-0.41212702,0.4105942,0.42892608,-0.07761717,-0.0785759,-0.08949394,-0.07143222,-0.005205982,0.0024388959,-0.14356628,-0.14560509,-0.006553959,-0.64103544,-0.0576346,0.006114612,-0.017078193,-1.4838822,0.17566162,-0.040409587,-0.09131612,-0.011533013,-0.19265647,0.0066054347,-0.05783435,-1.9992493,-0.027407203,0.17437395,-0.28228962,-0.11974289,0.1230776
60,-0.05358943,0.0,-0.013973972,0.48910552,0.015766416,-0.6929421,-0.16391778,-0.40200138,-0.83252925,-0.1112973,-0.086583026,0.14194445,-0.016900571,-0.037098773,0.0,-0.0030603707,-0.12282612,-0.10493206,0.008026001,-0.05567021,-0.113680184,0.14851138,-0.1638016,0.016692815,0.07959297,-0.7571675,-0.06830161,-0.04716102,-0.19770055,-0.49172035,-0.1789754,-0.0059893224,-0.056710206,-0.4514571,0.7107507,0.64589286,-0.112733364,-0.0155573655,-0.100357614,-0.11381397,-0.004117987,0.054017007,-0.14108188,-0.18055686,-0.009727432,-0.61963594,-0.061641846,-0.08294687,0.36703822,-1.3619752,0.18440111,-0.16236518,0.043683317,-0.19280195,-0.2908898,-0.03665979,0.045996647,-1.8259124,0.091312066,0.11678015,-0.35830998,-0.03409908,0.1230776
