,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,mpdockq_AH,mpdockq_AL,mpdockq_HL,mpdockq,LIS_AH,LIS_AL,LIS_HL,avg_LIS,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_L,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pair_pae_AH,chain_pae_H,chain_pae_L,chain_pair_pae_AL,avg_pair_pae,avg_model_plddt,chain_pair_pae_HL,avg_internal_pae,del_G_B,scaled_model_RMSD,scaled_query_RMSD
50,0.0,0.0,0.13374326,0.0,-0.018440679,0.18333423,0.029447818,-0.11260431,-0.15436012,0.0,-0.02350632,-0.054175064,-0.012800953,0.0,0.0,-0.045326523,-0.008308932,-0.092241645,-0.13966843,0.0,0.0,0.018922009,0.07017925,-0.011400975,0.0069782594,-0.07290795,-0.029875822,-0.093695045,-0.008198682,0.19757023,-0.19112346,-0.706546,0.0,0.43667144,0.19329602,-0.044857386,-0.05278012,0.0,0.0,-0.008263104,0.0,0.0,-0.07703828,-0.35857734,0.0,-0.21839096,-0.10198864,0.012265141,-0.8848951,-0.50293887,0.07950775,0.14395714,0.0,0.08373151,0.017480176,0.0,0.02184778,-2.1710346,0.031216977,0.012397535,-0.07972965,3.229089,-0.008252251
51,0.0,0.0,0.063187174,0.0,0.0092349835,-0.12873647,0.014478672,-0.04244882,-0.22224504,0.0,-0.029428212,-0.07191424,-0.012800953,0.0,0.0,-0.045326523,-0.1245128,-0.024894085,-0.14524838,0.0,0.0,0.015354827,0.06834204,-0.02567698,0.0069782594,-0.33587646,-0.042467024,0.067613155,-0.008198682,0.08787325,0.1388851,-0.7049532,0.0,0.06160002,0.14312473,0.17666262,-0.15742733,0.0,0.0,-0.018965244,0.0,0.0,-0.07703828,-0.35205957,0.0,-0.4087479,-0.07589471,-0.007074122,0.10214172,-0.59631115,0.11445153,0.14395714,0.0,0.064591326,-0.005656064,0.0,0.02953112,-1.9752932,0.0006144136,0.012397535,-0.04094156,-0.26120692,-0.008252251
52,0.0,0.0,0.13374326,0.0,-0.018440679,0.18678759,0.029447818,-0.10356997,-0.20485485,0.0,-0.02350632,-0.054175064,-0.012800953,0.0,0.0,-0.045326523,-0.008308932,-0.092241645,-0.13966843,0.0,0.0,0.01914382,0.07017925,-0.011400975,0.0069782594,-0.20195112,-0.029875822,-0.031643137,-0.008198682,0.2624065,-0.18887424,-0.6660717,0.0,0.4180224,0.19329602,-0.02918128,-0.05278012,0.0,0.0,-0.008263104,0.0,0.0,-0.07703828,-0.35470802,0.0,-0.22745426,-0.10489392,-0.007074122,0.08442974,-0.43247968,0.099688984,-0.008865178,0.0,-0.0185739,-0.005656064,0.0,0.017120287,-2.1765075,0.031216977,0.012397535,-0.041623954,3.229089,-0.008252251
53,0.0,0.0,0.13374326,0.0,-0.018440679,0.13630657,0.029447818,-0.10356997,-0.15436012,0.0,-0.02350632,-0.054175064,-0.012800953,0.0,0.0,-0.045326523,-0.008308932,-0.092241645,-0.13966843,0.0,0.0,0.01914382,0.07017925,-0.011400975,0.0069782594,-0.14475463,-0.029875822,-0.093695045,-0.008198682,0.2624065,-0.18887424,-0.706546,0.0,0.4180224,0.19329602,-0.07794805,-0.05278012,0.0,0.0,-0.008263104,0.0,0.0,-0.07703828,-0.3616691,0.0,-0.22745426,-0.10198864,0.012265141,0.01384775,-0.50293887,0.07950775,-0.008865178,0.0,0.08373151,-0.005656064,0.0,0.017120287,-2.1642804,0.031216977,0.012397535,-0.040781975,3.229089,-0.008252251
54,0.0,0.0,0.13374326,0.0,-0.018440679,0.14358419,0.029447818,-0.10356997,-0.15436012,0.0,-0.02350632,-0.054175064,-0.012800953,0.0,0.0,-0.045326523,-0.008308932,-0.092241645,-0.13966843,0.0,0.0,0.01914382,0.07017925,-0.011400975,0.0069782594,-0.20195112,-0.029875822,-0.093695045,-0.008198682,0.26929703,-0.1569385,-0.706546,0.0,0.4180224,0.19329602,-0.0031632297,-0.05278012,0.0,0.0,-0.008263104,0.0,0.0,-0.07703828,-0.3616691,0.0,-0.22745426,-0.10198864,-0.007074122,0.027960321,-0.50293887,0.099688984,0.14395714,0.0,0.08373151,-0.005656064,0.0,0.02184778,-2.179892,0.031216977,0.012397535,-0.08057164,3.213121,-0.008252251
55,0.0,0.0,0.07287024,0.0,-0.035675466,0.13012342,0.029447818,-0.11127761,-0.17175032,0.0,-0.029428212,-0.054175064,-0.012800953,0.0,0.0,-0.045326523,-0.1245128,-0.092241645,-0.14524838,0.0,0.0,0.01914382,0.0761437,-0.02567698,0.0069782594,-0.33587646,-0.056037966,-0.079925716,-0.008198682,0.21130224,-0.20482272,-0.7454275,0.0,-0.3201137,0.14312473,0.17876494,-0.15742733,0.0,0.0,-0.018965244,0.0,0.0,-0.07703828,-0.35902065,0.0,-0.41070616,-0.07537928,-0.007074122,0.026484955,-0.49187067,0.09984979,-0.008865178,0.0,0.015327501,-0.005656064,0.0,0.017120287,-1.8491762,0.0006144136,0.012397535,-0.04094156,-0.6272746,-0.008252251
56,0.0,0.0,0.13374326,0.0,-0.018440679,0.19297074,0.029447818,-0.10356997,-0.20485485,0.0,-0.02350632,-0.054175064,-0.012800953,0.0,0.0,-0.045326523,-0.008308932,-0.092241645,-0.13966843,0.0,0.0,0.01914382,0.07017925,-0.011400975,0.0069782594,-0.14475463,-0.029875822,-0.093695045,-0.008198682,0.2624065,-0.18887424,-0.6660717,0.0,0.4180224,0.19329602,-0.07794805,-0.05278012,0.0,0.0,-0.008263104,0.0,0.0,-0.07703828,-0.35470802,0.0,-0.22745426,-0.10198864,-0.007074122,0.08254423,-0.4883658,0.099688984,-0.008865178,0.0,0.08373151,-0.005656064,0.0,0.017120287,-2.1765075,0.031216977,0.012397535,-0.041623954,3.229089,-0.008252251
57,0.0,0.0,0.12758115,0.0,-0.018440679,0.03933879,0.029447818,-0.03474118,-0.15436012,0.0,-0.02350632,-0.039700344,-0.012800953,0.0,0.0,-0.045326523,-0.008308932,-0.092241645,-0.13966843,0.0,0.0,0.01914382,0.062377587,-0.011400975,0.0069782594,-0.20195112,-0.029875822,-0.093695045,-0.008198682,0.20130369,-0.18887424,-0.706546,0.0,0.4180224,0.19329602,-0.107368425,-0.05278012,0.0,0.0,-0.008263104,0.0,0.0,-0.07703828,-0.3616691,0.0,-0.22745426,-0.10198864,-0.031757686,0.05044899,-0.50293887,-0.069639824,0.14395714,0.0,0.08373151,-0.005656064,0.0,0.019897485,-2.1642804,0.031216977,0.012397535,-0.052928567,3.256775,-0.008252251
58,0.0,0.0,0.13374326,0.0,-0.018440679,0.20024838,0.029447818,-0.10356997,-0.20485485,0.0,-0.02350632,-0.054175064,-0.012800953,0.0,0.0,-0.045326523,-0.008308932,-0.092241645,-0.13966843,0.0,0.0,0.01914382,0.07017925,-0.011400975,0.0069782594,-0.14475463,-0.029875822,-0.093695045,-0.008198682,0.2624065,-0.18887424,-0.6660717,0.0,0.4180224,0.19329602,-0.07794805,-0.05278012,0.0,0.0,-0.008263104,0.0,0.0,-0.07703828,-0.35470802,0.0,-0.22745426,-0.10198864,-0.031757686,0.08254423,-0.4883658,-0.069639824,0.14395714,0.0,0.08373151,-0.005656064,0.0,0.02184778,-2.1765075,0.031216977,0.012397535,-0.052928567,3.229089,-0.008252251
59,0.0,0.0,0.06670814,0.0,0.0092349835,-0.49643853,0.029447818,-0.04244882,-0.17175032,0.0,-0.029428212,-0.036440462,-0.012800953,0.0,0.0,-0.045326523,-0.17685851,-0.092241645,-0.14524838,0.0,0.0,0.19918272,0.028860085,-0.02567698,0.0069782594,-0.33587646,-0.042467024,-0.04150856,-0.008198682,0.15804765,0.084429234,-0.65104955,0.0,0.06160002,0.14312473,0.16586281,-0.15742733,0.0,0.0,-0.018965244,0.0,0.0,-0.07703828,-0.35902065,0.0,-0.4044093,-0.07589471,-0.007074122,0.119203344,-0.5505273,0.11445153,0.0766501,0.0,0.033393513,-0.005656064,0.0,0.018864881,-1.9561756,0.0006144136,0.012397535,-0.04094156,-0.2915518,-0.008252251
