fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.04777070063694268,0.92
0.0,0.34235668789808915,0.91
0.030332681017612523,0.5398089171974523,0.9
0.2045009784735812,0.6894904458598726,0.89
0.31898238747553814,0.7595541401273885,0.88
0.39628180039138944,0.8105095541401274,0.87
0.5322896281800391,0.8678343949044586,0.86
0.5949119373776908,0.9171974522292994,0.85
0.6232876712328768,0.9171974522292994,0.84
0.7035225048923679,0.9171974522292994,0.83
0.7915851272015656,0.9171974522292994,0.82
0.860078277886497,0.9936305732484076,0.81
0.9452054794520548,0.9984076433121019,0.8
0.9706457925636007,0.9984076433121019,0.79
0.9823874755381604,0.9984076433121019,0.78
0.9911937377690803,0.9984076433121019,0.77
0.9960861056751468,0.9984076433121019,0.76
0.9990215264187867,1.0,0.75
1.0,1.0,0.73
