precision,recall,thresholds
0.3806060606060606,1.0,0.06
0.3819951338199513,1.0,0.07
0.38608374384236455,0.9984076433121019,0.08
0.39065420560747666,0.9984076433121019,0.09
0.40388349514563104,0.9936305732484076,0.1
0.43802816901408453,0.9904458598726115,0.11
0.46495855312735496,0.982484076433121,0.12
0.4963680387409201,0.9792993630573248,0.13
0.5666356011183598,0.9681528662420382,0.14
0.602589641434263,0.9633757961783439,0.15
0.6490280777537797,0.9570063694267515,0.16
0.6681614349775785,0.9490445859872612,0.17
0.6895348837209302,0.9442675159235668,0.18
0.704191616766467,0.9363057324840764,0.19
0.7222222222222222,0.9315286624203821,0.2
0.7483702737940026,0.9140127388535032,0.21
0.7843406593406593,0.9092356687898089,0.22
0.8111587982832618,0.9028662420382165,0.23
0.8224163027656477,0.8996815286624203,0.24
0.8353115727002968,0.8964968152866242,0.25
0.8438438438438438,0.8949044585987261,0.26
0.8525835866261399,0.893312101910828,0.27
0.8542944785276073,0.8869426751592356,0.28
0.8569230769230769,0.8869426751592356,0.29
0.860248447204969,0.8821656050955414,0.3
0.8629283489096573,0.8821656050955414,0.31
0.8692913385826772,0.8789808917197452,0.32
0.8720379146919431,0.8789808917197452,0.33
0.8775834658187599,0.8789808917197452,0.34
0.8803827751196173,0.8789808917197452,0.35
0.8846153846153846,0.8789808917197452,0.36
0.8917609046849758,0.8789808917197452,0.37
0.8957654723127035,0.8757961783439491,0.38
0.9041322314049587,0.8710191082802548,0.39
0.9054726368159204,0.8694267515923567,0.4
0.9153976311336718,0.8614649681528662,0.41
0.9215017064846417,0.8598726114649682,0.42
0.92573402417962,0.8535031847133758,0.43
0.9328621908127208,0.8407643312101911,0.44
0.9389587073608617,0.8328025477707006,0.45
0.9398907103825137,0.821656050955414,0.46
0.940959409594096,0.8121019108280255,0.47
0.9441340782122905,0.8073248407643312,0.48
0.9439252336448598,0.804140127388535,0.49
0.9450757575757576,0.7945859872611465,0.5
0.9444444444444444,0.785031847133758,0.51
0.9458413926499033,0.7786624203821656,0.52
0.9471624266144814,0.7707006369426752,0.53
0.9486166007905138,0.7643312101910829,0.54
0.9476861167002012,0.75,0.55
0.9493927125506073,0.7468152866242038,0.56
0.9487704918032787,0.7372611464968153,0.57
0.9497907949790795,0.7229299363057324,0.58
0.951271186440678,0.714968152866242,0.59
0.9631236442516269,0.7070063694267515,0.6
0.9690265486725663,0.697452229299363,0.61
0.9753363228699552,0.6926751592356688,0.62
0.9797297297297297,0.6926751592356688,0.63
0.9886363636363636,0.6926751592356688,0.64
0.9931506849315068,0.6926751592356688,0.65
0.9931350114416476,0.6910828025477707,0.66
0.9953810623556582,0.6863057324840764,0.67
0.9976689976689976,0.6815286624203821,0.68
1.0,0.6815286624203821,0.69
1.0,0.6767515923566879,0.72
1.0,0.6751592356687898,0.75
1.0,0.6735668789808917,0.78
1.0,0.6687898089171974,0.79
1.0,0.6640127388535032,0.8
1.0,0.6560509554140127,0.81
1.0,0.5907643312101911,0.82
1.0,0.5445859872611465,0.83
1.0,0.5079617834394905,0.84
1.0,0.46656050955414013,0.85
1.0,0.34554140127388533,0.86
1.0,0.22611464968152867,0.87
1.0,0.14012738853503184,0.88
1.0,0.020700636942675158,0.89
1.0,0.0,1.0
