fpr,tpr,thresholds
0.0,0.0,inf
0.0015600624024961,0.0,0.89
0.02574102964118565,0.019021739130434784,0.88
0.062402496099843996,0.07608695652173914,0.87
0.0842433697347894,0.12228260869565218,0.86
0.08970358814352575,0.22554347826086957,0.85
0.09438377535101404,0.3423913043478261,0.84
0.0967238689547582,0.5054347826086957,0.83
0.09906396255850235,0.6005434782608695,0.82
0.09906396255850235,0.7092391304347826,0.81
0.09906396255850235,0.7744565217391305,0.8
0.0998439937597504,0.782608695652174,0.79
0.10140405616224649,0.7853260869565217,0.78
0.10374414976599064,0.7853260869565217,0.77
0.1060842433697348,0.7853260869565217,0.71
0.10764430577223089,0.7853260869565217,0.69
0.11388455538221529,0.7853260869565217,0.67
0.11622464898595944,0.7853260869565217,0.66
0.11778471138845553,0.7853260869565217,0.64
0.12012480499219969,0.7853260869565217,0.63
0.12324492979719189,0.7853260869565217,0.62
0.12558502340093602,0.7853260869565217,0.61
0.1294851794071763,0.7853260869565217,0.6
0.1357254290171607,0.7880434782608695,0.59
0.13962558502340094,0.7880434782608695,0.58
0.14508580343213728,0.7907608695652174,0.57
0.14586583463338534,0.7961956521739131,0.56
0.15288611544461778,0.8016304347826086,0.55
0.15522620904836193,0.8043478260869565,0.54
0.15756630265210608,0.8097826086956522,0.53
0.15990639625585024,0.8125,0.52
0.16380655226209048,0.8288043478260869,0.51
0.16770670826833073,0.8369565217391305,0.5
0.17004680187207488,0.8478260869565217,0.49
0.17160686427457097,0.8614130434782609,0.48
0.17706708268330734,0.8722826086956522,0.47
0.17862714508580343,0.8885869565217391,0.46
0.17862714508580343,0.8940217391304348,0.45
0.1794071762870515,0.8994565217391305,0.44
0.1794071762870515,0.907608695652174,0.43
0.18252730109204368,0.907608695652174,0.42
0.18408736349453977,0.907608695652174,0.41
0.18642745709828393,0.9130434782608695,0.4
0.19422776911076442,0.9211956521739131,0.39
0.19578783151326054,0.9266304347826086,0.38
0.20046801872074882,0.9266304347826086,0.37
0.20358814352574103,0.9375,0.36
0.20670826833073322,0.9402173913043478,0.35
0.20982839313572543,0.9402173913043478,0.34
0.21450858034321374,0.9402173913043478,0.33
0.21840873634945399,0.9402173913043478,0.32
0.22074882995319814,0.9402173913043478,0.31
0.22386895475819032,0.9402173913043478,0.3
0.22620904836193448,0.9456521739130435,0.29
0.23010920436817472,0.9456521739130435,0.28
0.23478939157566303,0.9483695652173914,0.27
0.23790951638065522,0.9565217391304348,0.26
0.24180967238689546,0.9619565217391305,0.25
0.24726989079563183,0.9646739130434783,0.24
0.25117004680187205,0.970108695652174,0.23
0.26911076443057724,0.970108695652174,0.22
0.2870514820592824,0.9728260869565217,0.21
0.3112324492979719,0.9809782608695652,0.2
0.33931357254290173,0.9864130434782609,0.19
0.36973478939157567,0.9891304347826086,0.18
0.4001560062402496,0.9891304347826086,0.17
0.42277691107644305,0.9891304347826086,0.16
0.4711388455538221,0.9891304347826086,0.15
0.5296411856474259,0.9891304347826086,0.14
0.6653666146645866,1.0,0.13
0.7363494539781591,1.0,0.12
0.8026521060842434,1.0,0.11
0.9048361934477379,1.0,0.1
0.9594383775351014,1.0,0.09
0.9789391575663027,1.0,0.08
0.9953198127925117,1.0,0.07
0.999219968798752,1.0,0.06
1.0,1.0,0.05
