mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.0373390515645347,0.09867330424851704,0.10901395479838054,0.017081622099285845,balanced_subsample,47,sqrt,3,5,211,42,"{'class_weight': 'balanced_subsample', 'max_depth': 47, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 211, 'random_state': 42}",0.9931218006528891,0.9928455294879773,0.9887380359542262,0.9915684553650309,0.0020045842411724702,8
1.8446500301361084,0.0814048034783542,0.1340944766998291,0.017835341892460974,,48,sqrt,2,5,226,42,"{'class_weight': None, 'max_depth': 48, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 226, 'random_state': 42}",0.9930170081420605,0.9925533806699101,0.9891917622410576,0.9915873836843428,0.0017045017224746662,6
1.8101677894592285,0.04523469802877124,0.12969072659810385,0.015806174142941273,balanced_subsample,38,log2,1,5,161,42,"{'class_weight': 'balanced_subsample', 'max_depth': 38, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 161, 'random_state': 42}",0.9925629072618034,0.9921612026369607,0.9899861812485274,0.9915700970490972,0.0011319403985710801,7
1.508660872777303,0.13521753810151135,0.1713883876800537,0.00839542166170909,,29,log2,4,4,177,42,"{'class_weight': None, 'max_depth': 29, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 177, 'random_state': 42}",0.99181983309411,0.9914197162345827,0.9871778543363496,0.990139134555014,0.0021003029583704816,19
1.4848938783009846,0.07432861863327604,0.1606897513071696,0.03639868891219658,balanced,48,sqrt,4,4,161,42,"{'class_weight': 'balanced', 'max_depth': 48, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 161, 'random_state': 42}",0.9918198330941099,0.9910037217218998,0.9872606394834207,0.9900280647664769,0.0019850258547327642,20
1.7468307813008626,0.05711184620817304,0.13256168365478516,0.03081245573493357,,39,sqrt,1,5,198,42,"{'class_weight': None, 'max_depth': 39, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 198, 'random_state': 42}",0.9934933377367359,0.9921199207387554,0.9899320524985195,0.991848436991337,0.001466507348730045,1
1.967498779296875,0.08992991167027246,0.10443258285522461,0.015032360295816782,balanced_subsample,37,log2,4,5,201,42,"{'class_weight': 'balanced_subsample', 'max_depth': 37, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 201, 'random_state': 42}",0.9927534390996736,0.9909052802723334,0.9885947539689109,0.990751157780306,0.0017012702726919848,14
1.8216747442881267,0.21373091581144843,0.1551368236541748,0.03825213904304004,balanced,42,log2,3,5,255,42,"{'class_weight': 'balanced', 'max_depth': 42, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 255, 'random_state': 42}",0.9928899869168137,0.9915213332147801,0.9877987429393822,0.9907366876903253,0.002151269820163338,15
1.204344352086385,0.0604350721113864,0.1693760553995768,0.016444726375508287,,30,sqrt,3,5,160,42,"{'class_weight': None, 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 160, 'random_state': 42}",0.9925279764248606,0.9921437372184894,0.9877064056599568,0.9907927064344356,0.00218797460296646,13
1.642054796218872,0.062234180265701836,0.15738709767659506,0.010980054042098645,,34,log2,4,3,199,42,"{'class_weight': None, 'max_depth': 34, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 199, 'random_state': 42}",0.9924485881590814,0.9912672907642867,0.9873052161010744,0.9903403650081475,0.0021996912737651205,17
