mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.9709270000457764,0.1139096820535938,0.1358164151509603,0.022248408476305145,balanced_subsample,47,sqrt,3,5,211,42,"{'class_weight': 'balanced_subsample', 'max_depth': 47, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 211, 'random_state': 42}",0.9931218006528891,0.9928455294879773,0.9887380359542262,0.9915684553650309,0.0020045842411724702,8
1.7490702470143635,0.03390034087445139,0.13380702336629233,0.03274230094901563,,48,sqrt,2,5,226,42,"{'class_weight': None, 'max_depth': 48, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 226, 'random_state': 42}",0.993015420376745,0.9925533806699101,0.9891885781969395,0.9915857930811982,0.0017055496814138806,6
1.7249867916107178,0.03412872493877937,0.13198455174763998,0.03264504086178869,balanced_subsample,38,log2,1,5,161,42,"{'class_weight': 'balanced_subsample', 'max_depth': 38, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 161, 'random_state': 42}",0.9925629072618034,0.9921612026369607,0.9899861812485274,0.9915700970490972,0.0011319403985710801,7
1.4628856182098389,0.29167605429549776,0.16463549931844076,0.009493584570947648,,29,log2,4,4,177,42,"{'class_weight': None, 'max_depth': 29, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 177, 'random_state': 42}",0.99181983309411,0.9914197162345828,0.9871778543363496,0.9901391345550142,0.002100302958370504,19
1.3212885856628418,0.22310291660407666,0.18210784594217935,0.01045415098906949,balanced,48,sqrt,4,4,161,42,"{'class_weight': 'balanced', 'max_depth': 48, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 161, 'random_state': 42}",0.9918198330941099,0.9910037217218997,0.9872606394834207,0.9900280647664768,0.001985025854732746,20
1.4907702604929607,0.0831138002084469,0.16436298688252768,0.012089764927210136,,39,sqrt,1,5,198,42,"{'class_weight': None, 'max_depth': 39, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 198, 'random_state': 42}",0.9934933377367358,0.9921199207387554,0.9899320524985195,0.9918484369913368,0.0014665073487300036,1
1.9193736712137859,0.01577431104623755,0.10609014828999837,0.002730300297729856,balanced_subsample,37,log2,4,5,201,42,"{'class_weight': 'balanced_subsample', 'max_depth': 37, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 201, 'random_state': 42}",0.9927534390996736,0.9909052802723334,0.9885947539689109,0.990751157780306,0.0017012702726919848,14
1.789145787556966,0.06791034371556691,0.1496280829111735,0.008592942286150436,balanced,42,log2,3,5,255,42,"{'class_weight': 'balanced', 'max_depth': 42, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 255, 'random_state': 42}",0.9928899869168137,0.9915213332147801,0.9877987429393821,0.9907366876903253,0.0021512698201633885,15
1.3937315940856934,0.07719926529962795,0.17899425824483237,0.03811705545773137,,30,sqrt,3,5,160,42,"{'class_weight': None, 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 160, 'random_state': 42}",0.9925279764248607,0.9921437372184893,0.9877064056599568,0.9907927064344356,0.0021879746029664663,13
1.4924959341684978,0.21702390786914208,0.15850631395975748,0.01629260846472421,,34,log2,4,3,199,42,"{'class_weight': None, 'max_depth': 34, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 199, 'random_state': 42}",0.9924485881590814,0.9912672907642867,0.9873052161010744,0.9903403650081475,0.0021996912737651205,17
1.4564978281656902,0.2009512992630665,0.19503029187520346,0.0309849958010147,balanced,45,log2,1,4,192,42,"{'class_weight': 'balanced', 'max_depth': 45, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 192, 'random_state': 42}",0.9931170373569423,0.9930058937848515,0.9888542535645374,0.991659061568777,0.0019838177300161366,4
1.4261820316314697,0.09168047841613726,0.19927446047465006,0.018491486422000575,balanced,47,log2,3,5,183,42,"{'class_weight': 'balanced', 'max_depth': 47, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 183, 'random_state': 42}",0.9928328273654528,0.9917134528179659,0.9878719759540988,0.9908060853791726,0.002124460470036246,12
1.8212279478708904,0.11366725902864809,0.1210334300994873,0.008434030893372284,,35,sqrt,3,4,220,42,"{'class_weight': None, 'max_depth': 35, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 220, 'random_state': 42}",0.9927105694361529,0.9926645242420009,0.9875949641158229,0.9909900192646589,0.002400740113340661,10
1.0249881744384766,0.13427492266384278,0.1742696762084961,0.04061510968088299,balanced,35,log2,2,4,145,42,"{'class_weight': 'balanced', 'max_depth': 35, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 145, 'random_state': 42}",0.992602601394693,0.9930725799281059,0.9893923570204989,0.991689179447766,0.0016353928992273745,3
1.4655330181121826,0.1642408975983107,0.1923083464304606,0.03135140120542478,balanced,37,log2,2,3,202,42,"{'class_weight': 'balanced', 'max_depth': 37, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 202, 'random_state': 42}",0.9929042768046541,0.99311068629568,0.9890898728292778,0.9917016119765373,0.001848699948520959,2
1.7682854334513347,0.06444309659391968,0.13623468081156412,0.014040411213297275,balanced,39,log2,2,4,239,42,"{'class_weight': 'balanced', 'max_depth': 39, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 239, 'random_state': 42}",0.9931122740609957,0.993015420376745,0.9886966433806906,0.9916081126061438,0.002059099309100733,5
