,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,mpdockq_AH,mpdockq_AL,mpdockq_HL,mpdockq,LIS_AH,LIS_AL,LIS_HL,avg_LIS,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_L,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pair_pae_AH,chain_pae_H,chain_pae_L,chain_pair_pae_AL,avg_pair_pae,avg_model_plddt,chain_pair_pae_HL,avg_internal_pae,del_G_B,scaled_model_RMSD,scaled_query_RMSD
250,-0.003489717,0.0,0.010456014,0.0079798065,-0.0143994065,-0.11826511,0.31819886,0.24015613,0.47210765,-0.060893834,0.06540491,-0.12454501,-0.0026920703,-0.011875409,0.0013776291,0.008669329,0.22027953,0.034584608,0.023735551,-0.0033382685,0.06997058,0.035306018,0.050899003,0.06084619,0.21437538,-0.10684605,-0.0046921344,-0.18008572,0.025117498,-0.28676757,-0.2119518,-0.05877635,0.08483571,0.03647171,-0.012854705,0.044897243,0.057879303,0.1218747,0.0722773,-0.019495921,-0.083539486,-0.040621012,-0.24861233,0.32317242,0.005363947,-0.2689108,0.42035106,-0.049597412,0.06424713,-0.056149337,-0.19875644,0.010526863,-0.23672219,-0.103060424,0.11433917,-0.009201495,-0.022118472,0.14916885,0.0019735172,-0.86954653,-0.6220798,0.0291913,-0.01738074
251,-0.003489717,0.0,0.010456014,0.0079798065,-0.0143994065,-0.11826511,0.33242443,0.2353703,0.45675737,-0.068145126,0.06742126,-0.26634717,-0.0026920703,-0.011875409,0.008467576,0.0015768455,0.2177832,0.034584608,0.023735551,-0.0033382685,0.06997058,0.077566266,0.050899003,0.057153177,0.20847112,-0.12223196,-0.0036513703,-0.17701231,0.0120379785,-0.28676757,-0.20793214,-0.0348063,0.08989255,0.029866936,-0.012854705,0.050524294,0.057879303,0.11416241,0.06565716,-0.019495921,-0.083539486,-0.0326858,-0.24322672,0.27387294,0.005363947,-0.25137803,0.42035106,-0.06087368,0.032402582,-0.056149337,-0.20268776,0.010526863,-0.24329092,-0.103060424,0.11465235,-0.021127144,-0.021376096,0.14916885,-0.0013702479,-0.8708058,-0.6158802,0.0087928,-0.01738074
252,-0.004686091,0.0,0.009229902,0.014362273,-0.0143994065,0.11304676,0.35768843,-0.10890846,0.51759267,-0.06273408,0.08080434,-0.26204798,-0.0018199246,-0.011875409,0.008467576,-0.038121924,0.15720725,0.034584608,0.012573758,0.037604127,0.09819234,-0.10892595,-0.04738944,0.060210254,0.19399677,-0.23150668,-0.0023874603,-0.14180844,-0.3049462,-0.25214893,0.21739674,-0.0794346,0.08384149,0.033906594,0.10552868,-0.024162985,0.0655405,0.13924156,-0.02897275,-0.01977242,-0.083539486,-0.043696444,-0.24219856,0.2723243,0.005363947,-0.23225972,0.42869678,-0.02740745,-0.22176203,-0.037909787,-0.19201264,0.014635769,-0.20871873,-0.07663424,0.124766156,-0.014535969,-0.028975574,0.14175849,0.0009793136,-0.8451025,0.2006136,0.034716368,0.05427907
253,-0.0040426245,0.0,0.011799747,0.012343568,-0.0143994065,-0.19415087,0.33792135,-0.067200154,0.18326993,-0.073432386,0.08542343,-0.26418045,-0.0045314506,-0.011875409,0.008467576,-0.04460519,0.055617556,0.034584608,0.023735551,0.039357193,0.081381366,0.07784046,0.0014563145,0.059865613,0.20812266,-0.24018212,-0.015565617,-0.17423512,-0.29639938,-0.29917803,-0.19642606,-0.07671721,0.08989255,0.021661608,0.037539817,0.027836835,0.05934842,0.14200142,0.061879918,-0.019507512,-0.083539486,-0.043696444,-0.2407638,0.2739689,0.005363947,-0.25319976,0.45168766,-0.056986816,-0.0033425512,-0.048978027,-0.2082868,0.0016047533,-0.24707113,-0.099004254,0.11344364,-0.013581147,-0.028975574,0.14526336,-0.0062491973,-0.8451025,-0.5199603,0.025688097,0.03344716
254,-0.0038901474,0.0,0.011799747,-0.0018826503,-0.0143994065,-0.20168173,-0.18391126,-0.07115543,0.16859005,-0.007674486,0.08643483,-0.2557059,-0.0045314506,-0.011875409,0.008467576,-0.04460519,0.062013887,0.034584608,0.0073214164,0.039357193,0.08333741,0.072764404,-0.08033346,0.051847097,0.18332689,-0.23317838,-0.022282658,-0.17216301,-0.17665154,-0.28875008,-0.19374813,-0.037668385,0.08836574,0.006730159,-0.013506753,0.02877695,0.07087075,0.13027714,0.0713636,-0.020755177,-0.083539486,-0.040621012,-0.2407638,0.28828302,0.005363947,-0.2514673,0.45168766,-0.057269484,0.025879132,-0.05597966,-0.20986377,-0.00060584967,-0.27558142,-0.104192376,0.102874115,-0.018243263,-0.028324941,0.15940185,-0.0030994383,-0.8407139,-0.84461737,0.0046786983,0.013954038
255,-0.0047363606,0.0,0.0023429678,0.0077225096,-0.020267352,0.14191936,0.25863895,0.1245372,0.4862784,-0.056983065,0.050629303,-0.2739939,0.0035848266,-0.011875409,0.008467576,-0.009209723,0.1387016,0.030199451,0.028628798,-0.015988234,0.074158,0.07257689,-0.052335978,0.06084619,-0.42210004,-0.2550823,-0.006356907,-0.23327938,0.4222792,-0.3047662,-0.16084224,-0.075856596,0.059783485,0.03595297,-0.019514458,0.52395535,0.055733256,0.12696278,-0.031659227,-0.02317589,-0.083539486,-0.040621012,-0.23042761,0.271284,-0.020339321,-0.2525148,0.34933826,0.013160866,-0.0049305046,-0.10591535,-0.16108145,0.018220749,-0.27955842,-0.071008295,0.029468158,-0.019902324,-0.028975574,0.1336886,-0.11116852,-0.82115793,-0.38309804,0.01824195,-0.0007086992
256,-0.0047363606,0.0,0.011532193,-0.0062464126,-0.0143994065,0.23838104,-0.15424636,0.10908091,0.37278086,-0.07009812,0.0793697,-0.27659318,0.0039068023,-0.011875409,0.008467576,0.0015768455,0.120347045,0.030199451,0.029604377,-0.0154836215,0.074158,0.060435954,-0.047074273,0.06084619,-0.22357234,-0.24285781,-0.008144462,-0.21902949,0.42145452,-0.31206682,-0.17883025,-0.029994026,0.05645376,0.014514643,-0.026162406,0.53188396,0.06374236,0.11389197,0.05918118,-0.020755177,-0.083539486,-0.040621012,-0.22315459,0.271284,0.005363947,-0.2525148,0.34493142,0.0334094,0.038715944,-0.130042,-0.18631996,0.018220749,-0.31670505,-0.07236755,0.020535046,-0.025171427,-0.04346165,0.15116097,-0.10046473,-0.82115793,-0.60479397,0.028607741,-0.004559107
257,-0.0047363606,0.0,0.0023429678,0.008323593,-0.020267352,0.095487684,0.27050582,0.11560167,0.48914397,-0.07521035,0.06321758,-0.2738016,0.005208889,-0.011875409,0.008467576,-0.009209723,0.1364457,0.030199451,0.029604377,-0.038343877,0.08530393,-0.032872166,-0.080173925,0.057153177,-0.44491217,-0.25486487,-0.001625916,-0.22687425,0.3881813,-0.29226086,0.05391631,-0.07491131,0.062046144,0.033178568,-0.015368125,0.493099,0.050263476,0.14229894,-0.03272034,-0.018626029,-0.083539486,-0.0326858,-0.23042761,0.271284,0.005363947,-0.2525148,0.33639672,-0.049171694,-0.0049305046,-0.1088569,-0.14917253,0.026796162,-0.28496265,-0.07081562,0.02162957,-0.03182797,-0.013096487,0.13033882,-0.095384985,-0.8337817,-0.58359593,0.018975928,-0.0008652806
258,-0.0047363606,0.0,0.0012667892,0.009654725,-0.0143994065,0.08628793,0.23992439,0.19650853,0.54329336,-0.06664191,0.09058156,-0.28621346,0.0035848266,-0.011875409,0.008467576,-0.005926327,0.1714629,0.030199451,0.029604377,-0.03978422,0.07272583,0.085934095,-0.06976646,0.057153177,-0.391622,-0.25374752,-0.0038946057,-0.15583648,0.42966238,-0.29834083,-0.14166816,-0.04304666,0.059783485,0.017641941,-0.019721976,0.49077016,0.055733256,0.11416241,0.05918118,-0.02317589,-0.083539486,-0.0326858,-0.23042761,0.27108327,0.005363947,-0.25338072,0.36442724,-0.042549394,0.013989335,-0.10973408,-0.20785536,0.030017987,-0.2682526,-0.059552856,0.023801545,-0.03182797,-0.028233198,0.15677276,-0.11216952,-0.82115793,0.07378253,0.01824195,-0.005036749
259,-0.0040928945,0.0,0.010456014,-0.0062464126,-0.0143994065,-0.1896677,-0.17787278,0.20992997,0.19972737,-0.0682942,0.050505526,-0.27562284,-0.0022123856,-0.011875409,0.008467576,-0.0049064225,0.042061504,0.030199451,0.029604377,-0.03737712,0.09169134,0.07389531,-0.05114913,0.06084619,0.19396561,-0.20320521,-0.017307198,-0.17682491,0.4124559,-0.30215597,-0.0021377504,-0.037790153,0.074620366,0.012180637,-0.042147934,0.5496435,0.06234835,0.11464016,-0.03272034,-0.014086845,-0.083539486,-0.04589863,-0.2305025,0.2599581,0.005363947,-0.26412973,0.39624965,-0.045417488,0.020632798,-0.09741205,-0.19842884,0.02847181,-0.3796671,-0.08653699,0.011365741,-0.019492378,-0.04346165,0.15593778,-0.1289855,-0.8381703,-0.53208774,0.026417486,-0.011920714
