,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS_AH,LIS_AL,LIS_HL,avg_LIS,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,del_G_B,plddt_H3,plddt_L3
750,0.0,0.0,-0.07459741,-0.019078152,-0.006924459,-0.78589225,0.00085646776,-0.00020448238,0.08427367,0.0052595884,0.2442199,-0.00012929385,0.0050942395,0.010585601,0.017417952,0.028787429,-0.0014033258,-0.24527895,0.023719111,0.0,0.0010864985,2.3281424e-05,0.0,-4.9515504e-05,-0.0044661253,-0.004830632,-0.1175962,0.00026649737,0.0008080688,-0.0005730079,-0.0010651322,-0.025939865,-0.06606142,-0.0032782361,-0.008083921,-0.017221348,-0.08927841,-0.0058608623,0.01378369,0.00013968091,-0.008090928,-0.095608585,-0.27551806,-0.007911684,-0.09265503,-0.08062763,-0.0037876125,-0.00038669954,-0.0003575895,-0.010205217,0.0,-0.000632161,0.0,-0.00041467408,0.000913859,0.0,0.0052098567,-0.0013587801,0.0,0.018055782,0.00858875
751,0.0,0.0,-0.025426904,-0.006058774,0.0012721177,-0.18882433,0.00042952516,-0.00064080604,-0.0020018904,0.0052595884,-0.466156,-0.0006563236,0.0050942395,-0.19505922,-0.1329026,0.029027756,-0.0023394425,0.0036629613,-0.061138496,0.0,0.000567508,5.268368e-05,0.0,-2.7787173e-05,-0.0011305001,-0.0015312277,-0.0033242777,0.0015332894,-0.0012721437,-0.0054540685,-0.00424104,-0.0012490093,-0.010018003,-0.004019034,-0.018345425,-0.047395144,-0.40306464,-0.014445922,0.00080489327,0.00040558787,-0.01998591,-0.1172889,-0.09863949,-0.01607709,-0.18096554,-0.028713237,-0.0033350373,-0.00095456,-0.0003575895,-0.015036989,0.0,-0.0024943152,0.0,-0.00059779745,0.0010497806,0.0,-0.12984866,-0.0010742261,0.0,-0.00047043094,0.00858875
752,0.0,0.0,-0.07459741,-0.019078152,-0.001016635,-0.77622235,0.00085646776,-0.00020448238,-0.0018097954,0.0052595884,0.24462806,-0.00012929385,0.0050942395,0.014067873,0.017336376,0.028413197,-0.0014033258,-0.16969803,-0.0023940117,0.0,0.000567508,-0.00010990859,0.0,-2.7787173e-05,-0.0044498546,-0.005210663,-0.11125298,0.00026649737,0.0008080688,-0.0005730079,-0.0009985373,-0.025939865,-0.06606142,-0.005726343,-0.0117224995,-0.017221348,-0.35908094,-0.0058608623,0.0041842377,0.00040558787,-0.012727663,-0.106410675,-0.27332112,-0.012778474,-0.100214094,-0.060191967,2.3514103e-05,-0.0006561018,-0.0003575895,-0.010205217,0.0,-0.0010691358,0.0,-5.199178e-05,0.0010497806,0.0,0.005165763,-0.0015843575,0.0,0.018055782,0.00858875
753,0.0,0.0,-0.07459741,-0.019078152,-0.001016635,-0.7718547,0.00085646776,-0.00020448238,0.09338818,0.0052595884,0.24470401,-0.00012929385,0.0050942395,0.010440001,0.014108274,0.028413197,-0.0014033258,-0.16808397,-0.0020830487,0.0,0.000567508,2.3281424e-05,0.0,-2.7787173e-05,-0.0044498546,-0.005210663,-0.11125298,0.00026649737,0.0008080688,-0.0005730079,-0.0010651322,-0.025939865,-0.06606142,-0.005726343,-0.01716374,-0.017221348,-0.33122343,-0.0058608623,0.0041842377,0.00040558787,-0.008175518,-0.10289962,-0.27332112,-0.0020072102,-0.08810874,-0.060191967,-0.0037876125,-0.0006561018,-0.0003575895,-0.010205217,0.0,-0.0026396767,0.0,-5.199178e-05,0.0010497806,0.0,0.005165763,-0.0015843575,0.0,0.018055782,0.00858875
754,0.0,0.0,-0.06318286,-0.019029312,-0.001016635,-0.7371258,0.00085646776,-0.00020448238,-0.0018097954,0.0052595884,0.11334487,-0.00026135947,0.0050942395,0.013231066,0.017191509,0.029858753,-0.0015201411,-0.1596609,-0.008125767,0.0,0.000567508,2.3281424e-05,0.0,-2.7787173e-05,-0.0011305001,-0.0053531174,-0.11125298,0.00026649737,0.0008080688,-0.0005730079,-0.0015174223,-0.025939865,-0.056762908,-0.005726343,-0.011558188,-0.017221348,-0.35908094,-0.0058608623,0.0041842377,0.00040558787,-0.012727663,-0.114374325,-0.2425073,-0.013404574,-0.11801931,-0.040488917,-0.0037876125,-0.00068536546,-0.0003575895,-0.010205217,0.0,-0.0013706358,0.0,-5.199178e-05,0.0010497806,0.0,0.0050835335,-0.0015697075,0.0,0.018055782,0.00858875
755,0.0,0.0,-0.026181774,-0.006058774,-0.0010993321,-0.5286105,0.00085646776,-0.00020448238,-0.0018097954,0.0052595884,-0.398336,-0.0006563236,0.0050942395,0.012357743,0.017004654,0.035296563,-0.0021560807,-0.1596609,-0.016143879,0.0,0.000567508,5.268368e-05,0.0,-2.7787173e-05,-0.0011305001,-0.0024974241,-0.085377894,0.00026649737,0.0023542612,-0.0054540685,-0.00424104,-0.021527532,-0.027447235,-0.004625482,-0.015769826,-0.017244574,-0.37068662,-0.0058608623,0.004340463,0.00040558787,-0.012727663,-0.12033477,-0.11418156,-0.015387008,-0.1540563,-0.03214161,-0.0037876125,-0.0007502191,-0.0003575895,-0.015036989,0.0,-0.0013706358,0.0,-0.00059779745,0.0010497806,0.0,0.004964781,-0.0015697075,0.0,0.0015688762,0.00858875
756,0.0,0.0,-0.07459741,-0.019078152,-0.001016635,-0.8621603,0.00085646776,-0.00020448238,0.068898536,0.0052595884,0.2095211,-7.4229894e-05,0.0050942395,0.010551306,0.017336376,0.029373553,-0.0012978433,-0.16969803,-0.07931111,0.0,0.0008072505,2.3281424e-05,0.0,-2.7787173e-05,-0.0044661253,-0.005120935,-0.11125298,0.00026649737,0.0008080688,-0.0005730079,-0.0010651322,-0.025939865,-0.06606142,-0.005726343,-0.018201146,-0.012654608,-0.21261801,-0.0058608623,0.01378369,0.00040558787,-0.008175518,-0.04314205,-0.25519952,0.014943266,-0.07626278,-0.06334043,-0.0037876125,-0.0006561018,-0.0003575895,-0.010205217,0.0,-0.0026396767,0.0,-5.199178e-05,0.0072155287,0.0,0.005165763,-0.0013401884,0.0,0.018055782,0.00858875
757,0.0,0.0,-0.074539684,-0.019059025,-0.01014391,-0.9925817,-0.030630134,-0.00020448238,0.07495733,-0.0030568368,0.21421836,-0.00012929385,0.0206009,0.011167158,0.0145430155,0.03781008,-0.0011657808,-0.25856903,-0.08102099,0.0,0.0013616516,2.3281424e-05,0.0,-4.9515504e-05,-0.0044661253,-0.004830632,-0.11932442,0.00026649737,0.0008080688,-0.0005730079,-0.0010651322,-0.029724242,-0.06606142,-0.0032782361,-0.006979652,-0.017221348,0.05656297,-0.0017242166,0.01378369,0.00013968091,-0.008340592,-0.08881962,-0.2793364,-0.006930652,-0.06754468,-0.08403814,2.3514103e-05,-0.0003275059,-0.00026113386,-0.010205217,0.0,-0.000632161,0.0,2.8419592e-05,0.000913859,0.0,0.005235785,-0.0013587801,0.0,0.018055782,0.0065851696
758,0.0,0.0,-0.02564479,-0.006058774,-0.0010993321,-0.3904903,0.00042952516,-0.00064080604,-0.002460309,0.0052595884,-0.44249856,-0.0006563236,0.0050942395,-0.13614333,-0.10517773,0.030938365,-0.0023394425,-0.08414786,-0.057555556,0.0,0.000567508,-0.0002487129,0.0,-2.7787173e-05,-0.0011305001,-0.0024974241,-0.0036153789,-0.0027707613,-0.0012721437,-0.0005730079,-0.0042197136,-0.0064389957,-0.01750828,-0.004625482,-0.018345425,-0.037075758,-0.33306095,-0.0060847998,0.004534034,0.00040558787,-0.013020258,-0.114462756,-0.09936026,-0.016086653,-0.15877591,-0.027819246,-0.0021563377,-0.0010674084,-0.0003575895,-0.0035544285,0.0,-0.0024943152,0.0,0.0061879056,0.0010497806,0.0,-0.08928698,-0.0010742261,0.0,0.0044300435,0.00858875
759,0.0,0.0,-0.07459741,-0.019078152,-0.0011737819,-0.8803792,0.00085646776,-0.00020448238,-0.0018097954,0.0052595884,0.23331483,-0.00012929385,0.0050942395,0.014213473,0.017336376,0.028787429,-0.0014033258,-0.21586418,-0.07994156,0.0,0.0010864985,2.3281424e-05,0.0,-4.9515504e-05,-0.0044661253,-0.004830632,-0.11125298,0.00026649737,0.0008080688,-0.0005730079,-0.0010651322,-0.025939865,-0.06606142,-0.0032782361,-0.015193095,-0.017221348,-0.14171596,-0.0058608623,0.01378369,0.00013968091,-0.012643073,-0.09830239,-0.28529572,-0.006839647,-0.09031152,-0.08062763,2.3514103e-05,-0.00038669954,-0.0003575895,-0.010205217,0.0,-0.0009378909,0.0,-5.199178e-05,0.0012933305,0.0,0.0052098567,-0.0013587801,0.0,0.018055782,0.00858875
