,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,mpdockq_AH,mpdockq_AL,mpdockq_HL,mpdockq,LIS_AH,LIS_AL,LIS_HL,avg_LIS,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_L,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pair_pae_AH,chain_pae_H,chain_pae_L,chain_pair_pae_AL,avg_pair_pae,avg_model_plddt,chain_pair_pae_HL,avg_internal_pae,del_G_B,scaled_model_RMSD,scaled_query_RMSD
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00680112539899887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001845806591608816,0.0,0.0,0.0,0.0,0.000366273363186162,0.0,0.0009892507251534205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06461681144488905,0.0,0.0,0.0,0.1646074654719226,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005488139270677872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010636578275571979,0.0,0.0,0.0,0.0,-0.037368133232108365,0.0,0.00041394328859026275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04401531863662439,0.0,0.0,0.0,-0.07232368185708792,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005510599848424634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010572736566741604,0.0,0.0,0.0,0.0,0.005148206623787212,0.0,0.0010730117919794183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04844519264863126,0.0,0.0,0.0,0.15043296437232806,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0063172192062954415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007796695308873412,0.0,0.0,0.0,0.0,0.010324642383313744,0.0,0.0010693665712099912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05415111573381165,0.0,0.0,0.0,0.1588254287049194,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007117523543617943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005554176215265154,0.0,0.0,0.0,0.0,0.023718019806392834,0.0,0.0011393875481766208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04800406134097503,0.0,0.0,0.0,0.15138886311286182,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006257680090023844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004121565151496233,0.0,0.0,0.0,0.0,0.021299858127886137,0.0,0.0009931277967492533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04826239331843596,0.0,0.0,0.0,0.0643710218541104,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007074133982344445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061175667227001684,0.0,0.0,0.0,0.0,0.02523857037291332,0.0,0.001140834519727317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05275698634365129,0.0,0.0,0.0,0.16934201878231137,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007145054675650568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002871245392347465,0.0,0.0,0.0,0.0,0.013002227476184382,0.0,0.0010024855579099101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06325336801758052,0.0,0.0,0.0,0.14396461975352393,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0052221297042317864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003642803248329156,0.0,0.0,0.0,0.0,0.005094351589761209,0.0,0.0009838814643059468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.062101042381402016,0.0,0.0,0.0,0.16574220670783418,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00606337623015913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019537031126123164,0.0,0.0,0.0,0.0,-0.060466514512292964,0.0,0.0002879849314451569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.054439686114736804,0.0,0.0,0.0,-0.06421132540958539,0.0
