,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,mpdockq_AH,mpdockq_AL,mpdockq_HL,mpdockq,LIS_AH,LIS_AL,LIS_HL,avg_LIS,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_L,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pair_pae_AH,chain_pae_H,chain_pae_L,chain_pair_pae_AL,avg_pair_pae,avg_model_plddt,chain_pair_pae_HL,avg_internal_pae,del_G_B,scaled_model_RMSD,scaled_query_RMSD
150,-0.02791316,0.0,-0.012189079,-0.015201644,-0.028216409,0.08206671,-0.002791631,-0.03306325,-0.3647263,-0.044144686,0.28309113,-0.025940292,0.05001495,-0.006500276,0.0020702889,-0.035986822,-0.11905596,-0.14925537,-0.039711874,0.048772525,0.009658148,-0.057237227,-0.3513286,-0.05962345,0.20611897,0.13607293,0.13077004,-0.04950539,-0.1386006,-0.3098909,0.08241762,0.01599687,-0.01162944,-0.021808788,-0.186761,-0.26525405,-0.79386973,-0.16207312,-0.029173173,-0.0023378106,-0.02961998,0.005019402,-0.52156734,-0.46593413,0.00558172,-0.062830895,-0.84398127,-0.022394821,-0.042175412,-0.18252656,0.01336221,0.05550664,0.013881485,-0.104603834,0.00021981727,0.013200363,0.011075531,-0.7196759,0.021264393,0.18750347,-0.032721248,-0.122591846,-0.046571944
151,-0.031136312,0.0,-0.012813393,-0.029095892,-0.024280036,-0.08263497,0.0055418136,-0.13360198,-0.39446375,-0.1333129,0.34419003,-0.01855216,0.027017029,-0.0041269893,0.0021221514,-0.029213091,-0.09593698,-0.14267427,-0.04572843,0.05262405,-0.020661676,0.045728367,-0.39903846,-0.08174715,-0.08596002,-0.030929735,0.053882252,-0.032047544,-0.15724531,-0.25299823,0.07719588,0.0112010855,-0.024369549,-0.027373662,-0.20482352,-0.32509497,-0.83924663,-0.12910941,-0.03938444,-0.009494838,-0.03309039,-0.0041659004,-0.5278853,-0.4616008,0.0048581026,-0.052051242,-0.89161813,-0.023318136,-0.032712974,-0.19467647,0.0427005,0.08275991,0.03887078,-0.09327295,0.0020683985,0.009182258,0.012151429,-0.97965956,0.06610099,0.21013056,-0.025358336,-0.12073707,-0.05733993
152,-0.035296656,0.0,-0.0123649845,-0.020344788,-0.0033186628,-0.09803747,-0.04082354,-0.046314936,-0.31662953,0.033906236,-0.11663186,-0.023055723,0.06301952,-0.0062727635,0.0023109124,-0.036690015,-0.10845328,-0.15868227,-0.033361893,0.054444622,0.0076427814,0.047019016,-0.34965983,0.06335123,0.044565357,0.0013875887,0.066415034,-0.03483129,-0.14363372,-0.26623523,0.039682176,0.008994764,0.018406972,-0.0047378396,-0.20336692,-0.22889555,-0.8487724,-0.15810813,-0.04120425,-0.01705625,-0.03745211,0.0020596858,-0.52312064,-0.4716463,0.005070421,-0.061592404,-0.8792077,0.13846204,-0.05218181,-0.17131276,-0.034959234,0.027507056,0.047866225,-0.1224625,0.004573029,-0.013011489,0.027188767,-0.8086912,0.049357075,0.11701099,-0.02121361,-0.073607884,-0.05611794
153,-0.026755601,0.0,-0.012982166,-0.016280357,-0.023144789,-0.08722788,-0.08775709,-0.04005015,-0.40050924,-0.11523632,0.34247592,-0.017569317,0.069050424,-0.006500276,0.0021453067,-0.03284453,-0.11292199,-0.15005139,-0.045679443,0.025452044,-0.023777261,0.04215739,-0.38629684,-0.08355772,0.17517848,-0.24649379,0.056880783,-0.03707745,-0.15167469,-0.2962014,0.052449193,0.001968527,-0.015639918,0.0034984548,-0.19450395,-0.259265,-0.8446249,-0.13446622,-0.039893363,-0.0056298515,-0.037157007,7.244572e-05,-0.5387302,-0.46416864,0.0058992216,-0.057641752,-0.9390726,-0.034809574,-0.047237847,-0.16014814,0.04254128,0.07050639,0.033014156,-0.097123526,0.0050784317,0.010025214,0.011350808,-0.97981036,0.02329522,0.19006364,-0.0032024805,-0.112090364,-0.05534047
154,-0.024286658,0.0,-0.010556128,-0.021084534,-0.015578451,-0.19060406,0.005241986,-0.060612425,-0.23113713,-0.18133616,-0.2632282,0.008130617,0.07727504,-0.0058806143,0.0023109124,-0.03935618,-0.08135007,-0.14320818,-0.034600805,0.045677353,-0.020836012,0.086148106,-0.33898014,-0.06941835,0.17953978,-0.113093756,0.08049515,-0.020852389,-0.13355227,-0.20974605,0.083574444,0.020214276,-0.0245431,-0.099247634,-0.191133,0.41704378,-0.81331134,-0.13605373,-0.053886283,-0.015374743,-0.037202254,-0.010347776,-0.46887377,-0.4785382,0.0053932406,-0.05964022,-0.7408814,0.078507185,-0.03643831,-0.15572415,-0.02483202,0.032644764,0.0073501915,-0.09899599,-0.0059278193,0.0048866896,0.022344312,-0.7618759,0.06740219,0.12447771,-0.031747732,-0.06979314,-0.052100886
155,-0.02526451,0.0,-0.010865565,-0.015018933,-0.027349023,-0.0001891614,-0.03824318,-0.11691303,-0.35329822,-0.020047985,0.28026992,-0.018579692,0.038362682,-0.0030345505,0.0023109124,-0.033247013,-0.10814609,-0.16188808,-0.037507128,0.0150271095,0.027853712,0.035171825,-0.36054927,-0.05607337,0.05428763,0.15247113,0.04613295,-0.07796434,-0.25443542,-0.24384402,-0.10748297,0.012426468,-0.010414636,-0.074846715,-0.20667627,-0.14753318,-0.8123069,-0.1553541,-0.023306299,-0.0018537538,-0.020746406,0.0028655136,-0.49991682,-0.43612573,0.007774026,-0.06425105,-0.91043645,-0.016760634,-0.07284684,-0.18646824,0.0067783776,0.025665695,0.049706973,-0.103736736,0.016385272,0.0152301565,0.028681606,-0.8869921,0.06493574,0.15710373,-0.052250903,-0.13818856,-0.063226365
156,-0.04814257,0.0,-0.009346808,-0.01836662,-0.011626583,-0.068827175,-0.053252354,-0.024247514,-0.16562544,0.4322365,-0.2519616,-0.025678055,0.07619069,-0.0026424008,0.0022368506,-0.03095976,-0.06553561,-0.15119798,-0.047702234,0.035488375,-0.031155447,0.073332205,-0.38312602,-0.13717501,0.18923461,-0.052990876,0.09205255,-0.029723635,-0.092391625,-0.23631677,-0.013225023,0.016212724,-0.008234497,-0.13549459,-0.196862,0.24351975,-0.8307999,-0.13541795,-0.062742464,-0.015214031,-0.025062647,-0.00692942,-0.51754344,-0.4684932,0.00579313,-0.058069967,-0.8464169,0.23906997,-0.029172517,-0.13273789,-0.018504715,0.02228005,-0.0067711445,-0.10254344,0.0037154113,0.008131626,0.01298461,-0.49587068,-0.25395045,0.118165106,-0.09159745,-0.07456888,-0.041135885
157,-0.038158875,0.0,-0.010684426,-0.0356729,-0.011348379,-0.17341602,-0.085918866,-0.11676793,-0.2287809,-0.20118253,-0.62809074,-0.032201346,0.05287446,-0.0026255792,0.0023109124,-0.04428274,-0.08015879,-0.1214811,-0.023229599,0.06992919,-0.029786425,-0.020042274,-0.44626933,-0.04487774,-0.05731404,-0.3325177,0.055692498,-0.015993679,-0.13572675,-0.17094083,0.11656205,-0.0015084357,-0.008686944,0.051537734,-0.17903642,0.3638707,-0.84697187,-0.11740894,-0.050765444,-0.015825406,-0.017767686,-0.0022912486,-0.53558946,-0.48094243,0.0056914166,-0.061213095,-0.77282274,0.06250737,-0.047602892,-0.1411399,-0.031936195,0.0617714,0.003068154,-0.043864004,-0.001540975,-0.01577289,0.014448551,-0.7785404,0.0642347,0.10191747,-0.11078208,-0.051077966,-0.05540619
158,-0.03106577,0.0,-0.012718794,-0.026967537,-0.018698594,-0.16798083,0.006718748,-0.14705919,-0.37839532,0.07878226,-0.06967548,-0.025973285,0.017065177,-0.0030345505,0.0023109124,-0.047132116,-0.109419316,-0.13306426,-0.03530726,0.097289056,0.0067397403,0.049383882,-0.36305386,0.0629686,-0.09011451,0.023251014,0.07171943,-0.041207623,-0.25801617,-0.16224298,0.11145927,0.005880012,0.0065238103,0.00602399,-0.1842702,-0.15077266,-0.8319191,-0.158867,-0.036336068,-0.013775782,-0.028283432,-0.0034318753,-0.5237943,-0.44616374,0.007769039,-0.05989891,-0.9851102,0.19836831,-0.058747463,-0.19687618,-0.03283429,0.06831355,0.012267725,-0.084189124,0.01505233,-0.014203558,0.013928134,-0.81870866,0.050169546,0.1558622,-0.08724789,-0.07415809,-0.047763884
159,-0.02691992,0.0,-0.011188744,-0.017474586,-0.028221646,0.07532671,-0.077083856,-0.04291758,-0.32789022,-0.040729124,0.32456934,-0.020936128,0.05399079,-0.0062415395,0.002072923,-0.03499996,-0.111200035,-0.13528849,-0.048633873,0.03144793,-0.020016281,-0.061187714,-0.28175837,-0.08215857,0.085066445,0.055626832,0.1283219,-0.03548063,-0.14939563,-0.3121899,0.087471426,0.012563562,-0.008660149,-0.016216421,-0.20121604,-0.25173703,-0.79170793,-0.17067169,-0.033293758,-0.004713935,-0.02961998,0.006386735,-0.5013216,-0.47160816,0.005430776,-0.06297735,-0.8358131,-0.039274752,-0.037974548,-0.1743052,0.008709155,0.03164078,-0.0012128963,-0.12946507,0.00890473,0.011628808,0.01565418,-0.6754384,0.058532406,0.16814205,-0.02529912,-0.13236618,-0.05390139
