,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,plddt_H3,plddt_L3,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS_AH,LIS_AL,LIS_HL,avg_LIS,piTM,pIS,piTM_A,piTM_H,piTM_L,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm
0,-0.018863386,0.0,-0.03703843,0.023931824,-0.028257016,-0.7376027,0.0066885557,-0.064334504,-0.007402935,-0.10315746,-0.007155604,-0.29626688,-0.45547897,0.05576216,-0.041248444,-0.058353547,-0.11553162,-0.21853456,-0.13990356,0.11025644,-0.24277824,-0.15021902,0.08204015,-0.03525164,-0.054725174,0.09965123,0.01734396,0.042242616,0.032268062,-0.09028243,-0.41276988,0.08697521,-0.058914535,-0.3014274,0.22147876,-0.40898263,0.0822718,-0.2689842,-0.3464265,-0.052327305,-0.17554139,-0.069854476,0.0048106704,-0.10941083,0.1003213,-0.12795326,-0.39812106,0.59581375,0.19854148,-0.0342355,-0.031765237,-0.013653603,-0.017229466,0.0319792,0.015586146,-0.07482465,0.0030664722,-0.13096444,-0.036335994,0.24041888,-0.59206265,-0.327112,0.26313388,-0.3113768,-0.104311556,-0.4154067,-0.024458425,-0.19992088,-0.24076518,-0.18342376,-0.88397413
1,-0.03217122,0.0,-0.020743065,0.023931824,-0.028257016,-0.74040115,0.0066885557,0.18875156,-0.004996733,-0.1034191,-0.007155604,-0.33945462,-0.450114,0.05576216,0.07578755,-0.058353547,-0.17607893,-0.11884496,-0.13091484,0.08980902,-0.22603646,-0.17450511,0.08624993,-0.04093679,-0.05786352,0.08330771,0.028583378,-0.029669901,0.032268062,0.04491833,-0.33934128,0.10914043,0.0039970353,-0.22628388,-0.06645648,0.15029989,0.027936444,-0.0311519,-0.34619218,-0.09122946,0.044608206,-0.039806698,0.040334053,0.011428444,0.13043195,-0.10233328,-0.41997606,0.44501767,0.2312867,-0.016163332,0.0013252877,-0.012242409,-0.037629746,0.03975073,0.033169817,-0.11335527,0.0030664722,-0.08403849,-0.012855186,0.16019116,-0.65174055,-0.3100651,0.54379815,-0.38925818,-0.0772963,-0.33034295,0.029277995,0.22802463,0.039460007,-0.24145871,-0.74520046
2,-0.03217122,0.0,-0.035414442,0.02176822,-0.05026909,-0.73305035,0.0066885557,-0.05855457,-0.007402935,-0.092863485,-0.007155604,-0.2405368,-0.43881938,0.05576216,-0.004210175,-0.012620823,-0.12095447,-0.15128152,-0.113268025,0.15837395,-0.2565455,-0.24591398,0.10037127,0.062095914,-0.026529549,0.076139405,0.010554268,-0.034059107,0.037278213,-0.059077963,-0.3435422,-1.054048,-0.3508912,-0.22063564,-0.018395921,-0.4193549,-0.01425489,-0.058217175,-0.4672053,-0.06468767,0.2539714,-0.03211665,0.08230651,0.19328815,-0.19254734,-0.16677284,-0.4883233,-0.15154526,0.21941881,-0.022270737,-0.020232115,-0.039821718,0.03665381,0.02757838,0.13837087,-0.16032955,-0.045039736,-0.12770091,-0.053974155,0.15387064,-0.5173782,-0.36690548,0.26573208,-0.3623119,-0.07702416,-0.33127764,-0.38418853,0.21420315,0.08633621,0.055026263,-0.5927552
3,-0.03217122,0.0,-0.034154747,0.02176822,-0.028257016,-0.7229195,0.0066885557,-0.06420148,-0.018126497,-0.0799601,-0.007155604,-0.25291428,-0.4385489,0.05576216,-0.031892978,-0.012620823,-0.112767115,-0.109507374,-0.15039052,0.13990548,-0.15674165,-0.03193601,0.08198265,0.06545039,-0.025194611,0.091143586,-0.010346618,0.008678654,0.037278213,-0.070167586,-0.3972102,0.1422208,-0.3089292,-0.20267808,-0.09372615,0.020632617,-0.0017705951,-0.034226626,-0.33033872,-0.088228405,0.32161403,-0.052105166,0.095437475,-0.18347663,-0.031992275,-0.15367956,-0.85372245,-0.14755863,0.26390177,-0.03215434,-0.020232115,-0.038410522,0.03665381,0.031329554,0.15508345,-0.1672642,-0.03671747,-0.10283879,-0.040015165,0.14181063,-0.5804366,-0.36706668,0.36937442,-0.37343866,-0.100030944,-0.028984379,-0.31558695,0.3017128,0.038570017,0.25557,-0.103061244
4,-0.03217122,0.0,0.008842473,-0.012255943,-0.021544807,-0.72823703,-0.0009671529,0.084931254,-0.015959358,-0.14149083,-0.007155604,-0.27356428,-0.48108613,0.035838388,0.05495311,-0.14184703,-0.1488551,-0.1152433,-0.0792047,0.12827125,-0.27985895,-0.21612252,0.09275194,-0.024594132,0.024256373,0.04963295,0.02956337,-0.06702223,0.032698825,0.18603536,-0.32204387,-1.0325438,0.06721367,-0.36497605,-0.23200163,0.021659352,-0.60953975,-0.062639095,-0.386217,-0.1338969,0.16609575,-0.03993212,-0.00016005157,0.080821164,-0.20806076,-0.20892526,-0.9680529,0.4410758,-0.64591944,0.03278978,-0.001330886,-0.012242409,-0.062071472,0.035411038,0.021995056,-0.18539745,-0.04251797,-0.42924753,-0.06869132,-0.1981567,-0.5965368,-0.29294986,0.4046414,-0.34117717,-0.074976936,0.07393872,-0.45228097,0.1015179,0.014926385,-0.3818588,-0.037286155
5,-0.018863386,0.0,-0.03031006,0.023931824,-0.028257016,-0.7285099,0.0066885557,-0.0699814,-0.004996733,-0.08855433,-0.007155604,-0.29875198,-0.46484867,0.05576216,0.071717635,-0.08338701,-0.15754884,-0.3717814,-0.15042296,0.07191435,-0.17866392,-0.1778202,0.0847145,-0.03525164,-0.059088875,0.11910592,-0.043001745,-0.04124366,0.031286906,-0.05195109,-0.42220396,0.09991834,-0.0792367,-0.22105059,0.38566542,-0.41448444,-0.018718971,-0.16387206,-0.36161458,0.13766733,-0.18684725,-0.08074201,-0.033989064,-0.23528975,0.12232132,-0.1237434,-0.34507066,0.07384279,0.21876831,-0.050950073,-0.0327745,-0.013836914,-0.023903236,0.033616733,7.438846e-05,-0.08659529,0.016933188,-0.13816814,-0.021403376,0.10407767,-0.57038623,-0.34682283,0.27444473,-0.2902926,-0.06094474,0.017201703,-0.038073827,-0.21789268,-0.22179417,0.24442813,0.04942059
6,-0.03217122,0.0,0.017472316,0.022600047,-0.021544807,-0.67472845,0.0066885557,-0.05855457,-0.013553155,-0.107466616,-0.007155604,-0.3566909,-0.48225024,0.05576216,-0.034530394,-0.089000516,-0.15993671,-0.2230183,-0.17300676,0.13812838,-0.18426162,-0.30602962,0.10978878,0.09756994,-0.019131698,0.08784447,0.026602264,-0.092903204,0.031717665,-0.05256755,-0.32209897,-1.0147858,-0.01551685,-0.20967829,-0.24226327,0.010075853,0.08896109,-0.09151304,-0.45216992,0.11690862,0.20869808,-0.0070693404,0.07970851,0.18763903,-0.34554437,-0.28065556,-0.9378801,-0.20794952,0.07103764,0.009060029,-0.030651372,-0.012059099,0.031061715,0.029215913,0.050332215,-0.17702219,-0.059151575,0.19066112,-0.040335696,0.19516765,-0.5357185,-0.3596107,0.23634483,-0.32980427,-0.11134739,-0.3296633,-0.40442893,0.29543987,0.0029321057,0.20124269,-0.90252894
7,-0.03217122,0.0,0.0015044054,-0.0012860975,-0.021544807,-0.57099277,-0.0009671529,0.09460379,-0.013553155,-0.13927285,-0.007155604,-0.27356428,-0.3651537,0.035838388,-0.020466266,-0.26306382,-0.16449495,-0.21633628,-0.16829263,0.14792493,-0.1456072,-0.2517797,0.10149241,-0.04270769,0.029801585,0.065359004,-0.05883015,-0.09125464,0.032698825,0.14966041,-0.42662245,-1.0039531,-0.07134284,-0.24009793,-0.26076078,0.28807032,-0.71865404,-0.052330382,-0.4317744,-0.101978794,0.1928356,-0.07848498,-0.0012736036,0.18077199,-0.22460869,-0.20831254,-0.87664926,0.26525787,-0.34483147,0.009073278,-0.024715157,-0.013836914,-0.062071472,0.024133604,-0.017174713,-0.22955349,0.0044132033,-0.31283543,-0.06860185,0.14796478,-0.5585017,-0.288616,0.4641367,-0.36167374,-0.08422366,-0.013800386,-0.44020048,0.20454276,0.072641194,-0.30673632,-0.30442375
8,-0.022646073,0.0,0.008842473,-0.0012860975,-0.028257016,-0.5695428,-0.0009671529,0.12206524,-0.013553155,-0.121028,-0.007155604,-0.37342307,-0.37370467,0.035838388,0.0018166415,-0.22649114,-0.19399987,-0.18670063,-0.16119017,0.09489673,-0.19716929,-0.23568594,0.08521298,-0.042489298,0.03829881,0.04613608,-0.057603322,-0.053245373,0.014640033,0.018724896,-0.4048193,0.1590813,-0.1173041,-0.318207,-0.49057257,-0.008056499,-0.7437579,-0.043320686,-0.34205547,0.08873567,0.115953535,-0.056524746,-0.051041137,-0.2172431,-0.29312623,-0.18401162,-1.0267164,-0.1654076,-0.6454003,-0.042199098,-0.049865875,-0.012242409,-0.06354345,0.041419074,-0.03318332,-0.23176166,-0.10087346,-0.47536844,-0.064427376,-0.056818902,-0.39183545,-0.24636514,0.41855672,-0.23384832,-0.037818447,-0.019696739,-0.4680851,0.07713744,0.028022856,-0.2048196,-0.24361987
9,-0.018863386,0.0,-0.03156976,0.020357672,-0.028257016,-0.7406466,0.0066885557,0.14395125,-0.004996733,-0.10315746,-0.007155604,-0.36028963,-0.46511915,0.05576216,-0.041248444,-0.08338701,-0.14403723,-0.3845796,-0.14334898,0.06611281,-0.23705274,-0.15066546,0.09330351,-0.04225832,-0.067219146,0.10682616,-0.02016985,-0.054445274,0.032268062,-0.011447688,-0.3687884,0.089210026,-0.027013827,-0.21921158,0.41557324,0.112043925,0.06477899,-0.18804592,-0.35539958,0.07627485,-0.18146166,-0.0034449515,-0.03172925,-0.24942288,0.14151345,-0.15660915,-0.33055723,-0.025414594,0.24961184,-0.037860952,-0.03405727,-0.012059099,-0.023903236,0.033616733,0.025346596,-0.08659529,0.020279642,-0.13784228,-0.014561146,0.05525721,-0.5577076,-0.33267128,0.24596903,-0.33404487,-0.091557324,-0.46721512,-0.03526977,-0.21368065,-0.269493,0.23809335,-0.83708996
