feature,mean_importance,std_importance
chain_pair_iptm_AL,0.4372922884213718,0.37398133720188975
scaled_model_RMSD,0.33200437814183814,0.25187576855589316
interface_pae_AH,0.32450338035019044,0.36320791435831223
query_avg_RMSD,0.3225413367908036,0.37293291228404535
scaled_RMSD_ratio,0.3008341792149764,0.3712354085051729
del_G_B,0.2606188169170313,0.21493086726473104
pdockq,0.23709986849411815,0.23059384266118751
model_avg_RMSD,0.2326142969260029,0.17111604556154217
chain_plddt_A,0.20770257148215093,0.21417062541296195
interface_plddt_HL,0.20227436255293352,0.138009147287596
avg_LIS,0.17902141574753516,0.2522034559737316
iptm_L,0.16100413865946828,0.1699167681745583
iptm_A,0.16022801632928252,0.0664589124714203
avg_model_plddt,0.15301436851769462,0.10997912834746237
interface_plddt_AH,0.15133711781873324,0.15740618455555908
avg_interface_plddt,0.14434910171679552,0.14815458437957038
pdockq_HL,0.13087616405196484,0.06511687789762098
chain_pair_pae_min_AL,0.11394827944546856,0.09376887064930674
contacts_AL,0.11234008758982275,0.2024163434484513
chain_pair_pae_HL,0.11197149191892963,0.19497928040110754
scaled_query_RMSD,0.11165731699917898,0.11922695645036702
pdockq_AL,0.1041342176903718,0.16014965018815805
chain_pair_iptm_AH,0.10174674115176659,0.05413923844171902
interface_plddt_AL,0.10047761795881825,0.09495264772397218
pdockq2_AL,0.0989146776534903,0.09940253831211403
mpdockq,0.08745728935885481,0.0948154286243421
chain_plddt_H,0.08614677908817704,0.05545698858194138
pdockq_AH,0.06015519295418944,0.042044948028153624
chain_pair_pae_min_HL,0.048956149331728,0.05447235363569699
pTM,0.04711212852694225,0.05217421893312367
chain_pae_A,0.046547098068493865,0.04941348487354619
contacts_AH,0.04600260059879859,0.04700860445608673
ptm_A,0.045359043484166306,0.06248993158003314
avg_interface_pae,0.041498289357845025,0.03993450557693224
total_contacts,0.03937594246499023,0.02334718516565796
chain_plddt_L,0.036293476234507904,0.0423342650900807
LIS_HL,0.03522343682046047,0.03380816675360891
pdockq2,0.03419111592146302,0.033604730541465115
mpdockq_HL,0.03175018222893767,0.01890441848131439
interface_pae_HL,0.030516269750179875,0.03498517904945324
LIS_AL,0.028762147288606942,0.024604288170303888
ipTM,0.0283953540898836,0.021142907956479048
pdockq2_AH,0.02838463511865794,0.018255469589962298
mpdockq_AH,0.02600699814615469,0.030836234813854238
chain_pair_iptm_HL,0.02597653728605649,0.02294548671557919
contacts_HL,0.02435014132831132,0.029386299095943782
chain_pae_L,0.024347674182223163,0.02719938377220674
chain_pair_pae_min_AH,0.022760186037641787,0.020105814335139114
iptm_H,0.020814927517913216,0.016239375861801318
ptm_L,0.015108999078930381,0.021049686971777167
chain_pae_H,0.014043691213116815,0.016003170885631156
avg_internal_pae,0.013387659677869455,0.013908085856984687
chain_pair_pae_AH,0.011774444778494906,0.013738158118238536
pdockq2_HL,0.010223920550720864,0.008285936404188683
mpdockq_AL,0.01012338217945291,0.016083208665385627
ranking_confidence,0.009358177974150183,0.006006029158209435
avg_pair_pae,0.009331816607494943,0.013421572855931757
interface_pae_AL,0.006797412443137223,0.008194689044908237
ptm_H,0.006162578207238296,0.006709435759158287
LIS_AH,0.005972441149698233,0.009499712872271034
fraction_disordered,0.0043389785092343555,0.005600680106088813
chain_pair_pae_AL,0.0030603241632160523,0.00412305710815607
has_clash,0.0,0.0
