Model,Metric,Mean,Std
rf,accuracy,0.8890734751629694,0.009203345292839449
rf,precision,0.8228923172822191,0.06841203054386785
rf,recall,0.8268962536589199,0.07460267567726853
rf,f1,0.8186919063220482,0.0027715083120980477
rf,mcc,0.7452053551177535,0.011735462431749943
rf,roc_auc,0.9362158730409701,0.0057480394796877166
rf,pr_auc,0.9036730984395828,0.006943605831503552
xgb,accuracy,0.8566606869136053,0.004929085182003468
xgb,precision,0.8163250148544267,0.13822043969102793
xgb,recall,0.7493713533583483,0.1392796102390822
xgb,f1,0.7568168771526981,0.012413892078071198
xgb,mcc,0.6822949832959601,0.003166315775157358
xgb,roc_auc,0.9383115374962787,0.0013663631023927425
xgb,pr_auc,0.8975189139530407,0.011173889348877197
lgb,accuracy,0.863262629070022,0.0139018730944801
lgb,precision,0.8382894761450561,0.12888776674334662
lgb,recall,0.6933808747356083,0.017539896142336087
lgb,f1,0.7529199978821413,0.04275957007465453
lgb,mcc,0.6717639309597554,0.06336763744579094
lgb,roc_auc,0.9156142678405981,0.0035859816594374094
lgb,pr_auc,0.8597006943098369,0.03627257600352757
