feature,mean_importance
chain_pair_iptm_AL,0.06124382
avg_model_plddt,0.025276637
interface_plddt_AH,0.023137774
query_avg_RMSD,0.017589789
chain_pair_pae_min_AH,0.016867608
iptm_L,0.016044375
iptm_A,0.011794507
chain_pair_iptm_AH,0.010616295
chain_plddt_A,0.010082377
model_avg_RMSD,0.010020341
interface_pae_AH,0.009694618
pdockq,0.00836324
pdockq2_AH,0.006640657
scaled_model_RMSD,0.0056820503
interface_plddt_AL,0.0055152923
scaled_query_RMSD,0.005366926
contacts_AL,0.0046273307
scaled_RMSD_ratio,0.0045532063
LIS_AH,0.004433899
avg_interface_plddt,0.0042694067
iptm_H,0.002987913
interface_plddt_HL,0.0029696631
chain_pair_pae_min_AL,0.0026985814
avg_interface_pae,0.002296634
avg_internal_pae,0.0022137177
pdockq2_AL,0.0021417814
pdockq_AH,0.0019829625
contacts_AH,0.001972864
interface_pae_AL,0.0019668543
chain_plddt_H,0.0018985396
pdockq_HL,0.001878044
total_contacts,0.0018470511
pdockq2,0.0018051857
chain_pae_A,0.0017469305
mpdockq,0.0014958743
chain_plddt_L,0.0013915572
pdockq_AL,0.0013626411
del_G_B,0.0013316286
pTM,0.0013154865
ptm_A,0.0010156694
ipTM,0.0009891182
pdockq2_HL,0.0009595018
LIS_HL,0.00093223725
interface_pae_HL,0.0009298874
ptm_H,0.000799395
chain_pair_pae_AH,0.00074276497
mpdockq_AH,0.00073945033
chain_pair_pae_HL,0.00068664044
ranking_confidence,0.00059813075
mpdockq_HL,0.00055785856
chain_pair_pae_AL,0.00054088345
chain_pae_H,0.00053571456
avg_pair_pae,0.00053338415
contacts_HL,0.0005057835
chain_pae_L,0.00042069447
avg_LIS,0.00034199472
mpdockq_AL,0.0003369854
chain_pair_pae_min_HL,0.00028374803
fraction_disordered,0.00015064816
LIS_AL,8.643688e-05
ptm_L,5.9395832e-05
has_clash,0.0
chain_pair_iptm_HL,0.0
