feature,importance
query_avg_RMSD,236
chain_plddt_A,148
avg_model_plddt,143
contacts_HL,139
iptm_L,120
chain_pae_A,116
pdockq2_AH,102
avg_interface_plddt,101
scaled_RMSD_ratio,100
contacts_AL,97
model_avg_RMSD,92
pdockq_AH,86
interface_plddt_HL,85
pdockq,82
scaled_query_RMSD,77
chain_pair_pae_min_AH,62
interface_plddt_AH,59
chain_pae_L,50
scaled_model_RMSD,47
pdockq_AL,45
pdockq2_AL,45
chain_plddt_H,45
chain_pair_pae_min_HL,45
pdockq_HL,44
interface_pae_AH,42
interface_plddt_AL,42
avg_internal_pae,39
ipTM,38
mpdockq_AH,36
avg_pair_pae,34
ranking_confidence,32
chain_plddt_L,31
ptm_A,30
chain_pair_pae_HL,30
fraction_disordered,28
chain_pae_H,25
ptm_H,25
chain_pair_pae_min_AL,25
ptm_L,22
pTM,21
contacts_AH,21
LIS_HL,15
iptm_H,15
chain_pair_pae_AL,14
LIS_AH,14
total_contacts,12
avg_interface_pae,12
mpdockq_HL,11
mpdockq,11
chain_pair_pae_AH,11
iptm_A,11
chain_pair_iptm_AH,10
chain_pair_iptm_AL,10
mpdockq_AL,9
interface_pae_HL,9
interface_pae_AL,8
del_G_B,5
LIS_AL,2
chain_pair_iptm_HL,2
pdockq2_HL,1
pdockq2,1
avg_LIS,0
has_clash,0
