feature,importance
chain_pair_iptm_AL,0.4702581
iptm_L,0.17784524
avg_model_plddt,0.06421981
pdockq2_AH,0.046763945
interface_pae_AH,0.02712675
interface_plddt_AH,0.026521314
chain_pair_iptm_AH,0.025969952
fraction_disordered,0.016694797
chain_pair_pae_min_AH,0.014195782
contacts_AL,0.01194298
scaled_model_RMSD,0.011568634
query_avg_RMSD,0.0071565406
scaled_query_RMSD,0.0068129012
mpdockq_AH,0.006770669
avg_interface_plddt,0.0064375955
pdockq2_AL,0.006062036
interface_pae_AL,0.006052011
LIS_AH,0.0060361195
chain_plddt_A,0.005611841
model_avg_RMSD,0.0048586014
mpdockq,0.004853898
chain_pair_pae_AH,0.0039422046
pdockq_AL,0.0038575798
del_G_B,0.0035506585
pdockq,0.0035367347
ptm_H,0.0032620046
chain_pae_A,0.0031898215
mpdockq_HL,0.00312241
contacts_HL,0.00297982
avg_internal_pae,0.0029256074
scaled_RMSD_ratio,0.002752709
interface_plddt_HL,0.0024445015
pdockq_AH,0.0023788249
pdockq_HL,0.0022000957
chain_plddt_H,0.0021790394
interface_plddt_AL,0.002016765
chain_pae_L,0.0019015807
LIS_AL,0.0
contacts_AH,0.0
pTM,0.0
ranking_confidence,0.0
has_clash,0.0
ipTM,0.0
pdockq2_HL,0.0
LIS_HL,0.0
pdockq2,0.0
mpdockq_AL,0.0
total_contacts,0.0
interface_pae_HL,0.0
avg_LIS,0.0
ptm_A,0.0
iptm_A,0.0
avg_interface_pae,0.0
iptm_H,0.0
ptm_L,0.0
chain_pair_pae_min_AL,0.0
chain_pair_iptm_HL,0.0
chain_plddt_L,0.0
chain_pair_pae_min_HL,0.0
chain_pae_H,0.0
chain_pair_pae_HL,0.0
chain_pair_pae_AL,0.0
avg_pair_pae,0.0
