Model,Metric,Mean,Std
rf,MSE,0.025900351079100832,0.013283666217982321
rf,RMSE,0.15579596721660235,0.04034808146794837
rf,MAE,0.09839888374264606,0.028207143979844033
rf,R2,0.6705346064627161,0.22901475536029428
xgb,MSE,0.02852715371693253,0.01325416461658863
xgb,RMSE,0.16442245636787356,0.0386317170067193
xgb,MAE,0.10459626796230478,0.025810061031865516
xgb,R2,0.6386252744977472,0.24007351182004666
lgb,MSE,0.02981830038951922,0.014412673298223048
lgb,RMSE,0.16759270724028502,0.041605106289869506
lgb,MAE,0.1059078403236999,0.028653962628011686
lgb,R2,0.6229229597817156,0.2570962030434612
