feature,importance
chain_pair_iptm_AH,198.3238067626953
interface_pae_AH,172.13052368164062
chain_pair_iptm_AL,102.85098266601562
avg_interface_pae,100.60466003417969
iptm_A,48.87629699707031
LIS_AH,25.5089054107666
pdockq,20.904821395874023
iptm_L,17.91678810119629
ipTM,15.348350524902344
query_avg_RMSD,14.876079559326172
pTM,11.920230865478516
mpdockq_AL,11.050395011901855
chain_pae_A,10.96915054321289
chain_plddt_A,10.357087135314941
ranking_confidence,8.974068641662598
contacts_AL,8.672974586486816
chain_plddt_L,8.363707542419434
chain_plddt_H,7.117341041564941
avg_interface_plddt,6.8550567626953125
pdockq2_AL,6.591134071350098
chain_pae_L,6.273108005523682
mpdockq,6.236917495727539
ptm_H,6.0790815353393555
interface_pae_HL,5.792387962341309
interface_plddt_HL,5.78786563873291
avg_LIS,5.459532260894775
model_avg_RMSD,5.286569118499756
chain_pair_pae_AH,4.9569854736328125
pdockq_AL,4.7763142585754395
chain_pair_iptm_HL,4.731934547424316
chain_pair_pae_min_AL,4.536237716674805
total_contacts,4.4547343254089355
chain_pair_pae_AL,4.400843143463135
interface_pae_AL,4.378053188323975
pdockq2_AH,4.293348789215088
pdockq2,4.277643203735352
chain_pair_pae_HL,4.267739295959473
chain_pair_pae_min_AH,4.22504997253418
interface_plddt_AL,4.178751468658447
iptm_H,3.9433939456939697
pdockq2_HL,3.806485891342163
model_rmsd_scale,3.7619032859802246
pdockq_HL,3.665029764175415
fraction_disordered,3.581256866455078
avg_model_plddt,3.481295585632324
contacts_HL,3.4602420330047607
chain_pair_pae_min_HL,3.400123119354248
pdockq_AH,3.1865198612213135
LIS_HL,3.1852173805236816
interface_plddt_AH,3.0289194583892822
ptm_L,3.0215110778808594
contacts_AH,2.9800374507904053
avg_internal_pae,2.8356590270996094
mpdockq_AH,2.712127685546875
del_G_B,2.32267427444458
ptm_A,2.289646863937378
avg_pair_pae,2.171217203140259
chain_pae_H,1.5386780500411987
LIS_AL,1.4459893703460693
mpdockq_HL,1.3818825483322144
