total_contacts,chain_plddt_L,model_avg_RMSD,interface_plddt_HL,interface_pae_AH,mpdockq_AL,chain_pair_iptm_HL,contacts_HL,ranking_confidence,iptm_L,chain_plddt_A,chain_pair_pae_min_AH,chain_pair_pae_HL,interface_pae_AL,avg_internal_pae,iptm_H,ptm_A,ptm_H,interface_pae_HL,pdockq_AH,pdockq_HL,iptm_A,pdockq2_AL,scaled_query_RMSD,ipTM,chain_pair_pae_min_AL,chain_pair_iptm_AH,scaled_RMSD_ratio,pdockq,pdockq_AL,mpdockq_HL,avg_pair_pae,interface_plddt_AL,mpdockq,avg_LIS,query_avg_RMSD,avg_model_plddt,LIS_AH,scaled_model_RMSD,chain_pair_pae_min_HL,LIS_AL,pdockq2_HL,chain_plddt_H,pdockq2,LIS_HL,chain_pae_H,has_clash,chain_pae_A,avg_interface_plddt,avg_interface_pae,mpdockq_AH,chain_pae_L,pdockq2_AH,chain_pair_pae_AH,pTM,chain_pair_pae_AL,contacts_AL,interface_plddt_AH,ptm_L,del_G_B,chain_pair_iptm_AL,contacts_AH,fraction_disordered
6243.0,85.75570930232558,41.290461379376914,82.67820174376364,26.69545454545455,0.2620000000003599,0.87,4129.0,0.58,0.48,76.98285343709468,20.46,5.046114864864865,25.71481481481481,3.840887384655252,0.48,0.73,0.88,4.169172525689562,0.0330233131879574,0.3906861099095424,0.08,0.0106583784435601,0.0370725090071022,0.55,20.1,0.09,0.5239745300586306,0.0358503251315718,0.0187410738614493,0.262000173163813,19.70984815078236,65.00828719723182,0.2620000001513274,0.2196869861963541,43.32012777133689,83.36206571600746,0.0,0.040654930940931,1.065,0.0,0.3927969582183799,87.34763440860213,0.0099398475822604,0.6590609585890623,3.2954341736694674,0.0,4.623583426651735,69.732282615035,18.85981396198631,0.2620000001085242,3.603644553644554,0.0099400656617902,26.90787719298245,0.68,27.175552394499764,289.0,61.51035890410959,0.87,-7.590844848654001,0.08,1825.0,0.01
7246.0,85.00215116279071,42.572966118464045,80.63029859349781,26.440945945945945,0.2620000000026737,0.87,4337.0,0.58,0.48,76.78440985732814,20.17,5.110277777777777,27.59230769230769,3.7729360644302017,0.48,0.74,0.89,4.184555785123967,0.0763276626318209,0.406255183376446,0.08,0.009959257783285,0.0370725090071022,0.55,20.55,0.08,0.508698081382759,0.0812275517587657,0.0201435818877261,0.262000203729973,19.66972022022022,66.45685074626866,0.2620000018596167,0.2179765395894428,43.32012777133689,83.00507947982456,0.0,0.0383348621162716,1.065,0.0,0.3751449532599618,87.22867741935482,0.0102539938856333,0.6539296187683284,3.208466386554622,0.0,4.410022396416573,71.15590849661116,19.405936474459203,0.2620000015752701,3.7003194103194095,0.0101332368168296,26.78494736842105,0.68,27.11393551446184,670.0,66.38057615006699,0.86,100.46170619108584,0.08,2239.0,0.01
7875.0,85.53996511627906,45.87268409939313,78.27027463484879,29.307190635451505,0.2620000000129504,0.89,4861.0,0.59,0.48,75.92879377431908,21.9,4.709969969969969,29.188687782805427,3.651592539862088,0.48,0.74,0.89,3.6586046511627903,0.0646239730815739,0.3496861410854444,0.08,0.0095146553823643,0.0370725090071022,0.55,21.45,0.08,0.4714050111463758,0.0770013330646113,0.0229319479276515,0.262000112906877,20.201835256308943,62.52928093645485,0.2620000016128085,0.2223837523987559,43.32012777133689,83.09073325027107,0.0,0.0331946867995183,1.01,0.0,0.3127692941332889,87.80344086021506,0.0094186317738174,0.6671512571962678,2.9749579831932773,0.0,4.495487122060471,67.7407355491542,20.71816102313991,0.2620000009994984,3.484332514332514,0.0092269923609709,27.9111403508772,0.69,27.98439544807966,598.0,62.42265107615894,0.87,57.963209998097454,0.08,2416.0,0.01
7196.0,85.69927906976744,39.80359433901805,84.03985203452527,25.85168067226891,0.2620000005734818,0.88,4055.0,0.6,0.49,77.02970168612192,18.67,5.011103603603603,25.71514285714285,3.8438895395724657,0.49,0.73,0.89,3.798861788617886,0.0286521639600489,0.4160253080925231,0.1,0.0105670506024841,0.0370725090071022,0.56,18.0,0.1,0.5422292344093225,0.0772904249192593,0.0533013919604175,0.2620002257186152,18.87551414572467,64.14837830241709,0.2620000016290681,0.2197253460369666,43.32012777133689,83.47626598673016,0.0,0.0436140537263478,1.04,0.0,0.4276673307665901,87.69981720430108,0.0107300124858364,0.6591760381109,3.1533123249299724,0.0,4.730649496080627,69.47235675940173,18.455228439343216,0.2620000000561139,3.647706797706798,0.0106620679143206,25.86695614035088,0.69,25.748482693219536,1779.0,60.22883994126284,0.86,64.39144610470095,0.1,1362.0,0.01
6967.0,85.41447674418606,47.66463289004908,83.30482538535644,26.60910931174089,0.2620000000011163,0.88,4152.0,0.58,0.48,76.33111543450065,19.955,5.04881006006006,27.28846153846154,3.8778943235280097,0.49,0.73,0.88,4.05702479338843,0.0369467383813185,0.3961874660046874,0.09,0.0,0.0370725090071022,0.56,20.11,0.09,0.4523588130976558,0.0417342847099217,0.0193500136796572,0.2620001833871712,19.74306186449608,61.90710273972602,0.2620000002629963,0.2202792938383564,43.32012777133689,83.1245701527522,0.0,0.0308211799569017,1.05,0.0,0.4755794445194415,87.62811827956989,0.0099235879217454,0.6608378815150692,3.2158403361344536,0.0,4.6915117581187005,68.70988891139838,19.31819854786362,0.2620000001698161,3.726330876330876,0.0099435607411139,26.899754385964915,0.69,27.28062114746325,730.0,60.9177386091127,0.86,44.49923341908817,0.09,2085.0,0.0
7923.0,85.84529069767443,37.94476951888367,80.18922578519658,26.3233409610984,0.2620000000138922,0.87,4553.0,0.6,0.49,77.65571984435798,17.84,5.008355855855856,25.26,3.912309433821192,0.5,0.72,0.88,4.17419191919192,0.0533029208190332,0.3852014854844614,0.12,0.0099750294738239,0.0370725090071022,0.57,17.3,0.12,0.5658579783559029,0.0715106011397701,0.0231178043187183,0.2620001635472964,18.625143195827405,66.45642142142142,0.2620000013210019,0.2197314288511453,43.32012777133689,83.60116480433338,0.0,0.0477826365387898,1.03,0.0,0.2477501838136811,87.30248387096773,0.0103515834548694,0.6591942865534361,3.2728571428571422,0.0,4.853325867861142,70.01856593939144,18.585844293430107,0.262000000573531,3.610745290745291,0.0103930610293528,25.615973684210523,0.7,25.25110004741584,999.0,63.41005061155631,0.86,82.11322757935801,0.11,2371.0,0.01
8467.0,86.11074418604652,40.15733566526391,81.3014529147982,26.694755244755243,0.2620000003445265,0.88,4460.0,0.59,0.48,76.11396887159532,19.7,4.847113363363364,27.63952991452992,3.805010789415638,0.48,0.73,0.88,3.762337662337663,0.0454630309398537,0.3949561763932897,0.09,0.0096964946115714,0.0370725090071022,0.55,19.36,0.09,0.5378336655209076,0.0888908576200162,0.0452530318442124,0.2620001810467615,19.52434444971287,62.91760479041916,0.2620000023583387,0.2212522082164806,43.32012777133689,83.19387567871216,0.0,0.0428818602479921,1.025,0.0,0.2632872894243936,87.35691397849463,0.0098527573669255,0.663756624649442,3.2338375350140054,0.0,4.792161254199328,68.55780100657438,19.365540940540946,0.2620000003497454,3.38903357903358,0.0098687906626533,26.715758771929828,0.69,27.010161213845425,1670.0,61.45434531450577,0.87,90.65954138684708,0.08,2337.0,0.01
6923.0,85.08248837209302,43.12697223992264,79.90594772727272,26.161425061425064,0.262000000000486,0.87,4400.0,0.58,0.48,77.22849546044098,19.605,5.210698198198198,26.10606060606061,3.830688233239943,0.48,0.74,0.88,4.60077519379845,0.0649962980986404,0.3959648964058094,0.09,0.0,0.0370725090071022,0.55,19.355,0.09,0.5022343672266069,0.0700539763061152,0.0188689761740353,0.2620001829618352,19.4067302038881,67.08979310344827,0.2620000012489309,0.2167627922856603,43.32012777133689,83.0439838581565,0.0,0.0373928855320892,1.07,0.0,0.4431842287260277,86.82096774193549,0.0104534211727239,0.6502883768569809,3.3919537815126053,0.0,4.441937290033595,70.47348209683038,18.95608695376137,0.2620000010156458,3.658173628173628,0.0104241129247144,26.39076315789473,0.68,26.61872925557136,435.0,64.42470545977012,0.86,-20.434219195977107,0.08,2088.0,0.01
8013.0,85.89429069767442,43.69056722458031,82.07844647519582,28.766666666666666,0.2620000004546014,0.87,4213.0,0.58,0.47,75.37055771725032,22.65,5.005123873873874,29.037912087912087,3.85373577636324,0.47,0.73,0.88,3.949404761904762,0.034262001481221,0.3870906058331559,0.07,0.0092794446902726,0.0370725090071022,0.54,22.465,0.07,0.4957426757826197,0.0835956791556415,0.049384966125346,0.2620001667970674,20.59575241030504,63.67210731414869,0.2620000020065833,0.2189570263077017,43.32012777133689,82.85187778705377,0.0,0.0364693497195068,1.05,0.0,0.4566900831932237,87.29078494623656,0.0093797028977474,0.6568710789231051,3.3373319327731097,0.0,4.7544568868980965,68.42870867399664,20.58466117216117,0.2620000001264167,3.4694185094185093,0.0093338641385562,28.292285087719296,0.68,28.48984826932196,1668.0,59.5355722326454,0.87,75.48343376758862,0.07,2132.0,0.01
8615.0,86.0792558139535,39.04054826818516,82.34092147806005,25.674961597542246,0.2620000017764791,0.87,4330.0,0.59,0.49,76.78474708171207,18.98,5.03161036036036,25.76212121212121,3.931568120304041,0.49,0.71,0.88,4.252609819121447,0.0335432406268044,0.4200916916304042,0.1,0.0104535759319177,0.0370725090071022,0.56,18.635,0.1,0.5518215244721936,0.1147000166904268,0.0798410645515023,0.2620002355923553,18.92481527580212,65.73596009975063,0.2620000045679497,0.2199762054488473,43.32012777133689,83.45218017669139,0.0,0.0452576721865186,1.0550000000000002,0.0,0.4060661574463451,87.4925376344086,0.0106778466785442,0.6599286163465419,3.251120448179272,0.0,4.994042553191489,70.74268857277032,18.56323087626164,0.2620000001158708,3.549541359541359,0.0105185878889496,25.88578947368421,0.69,25.857045993361783,2406.0,64.15118414050026,0.87,196.82708774598308,0.1,1879.0,0.0
