feature,mean_abs_shap
scaled_query_RMSD,0.03820407765076062
chain_pair_iptm_AL,0.028603447254497438
fraction_disordered,0.02355238723214057
pdockq2_AL,0.02301899825077529
avg_model_plddt,0.022766756452731515
pdockq2_AH,0.021399803111295225
iptm_A,0.019469880448700492
pdockq,0.018400536170967353
chain_pair_pae_min_AH,0.017863990902871763
chain_plddt_L,0.016769270043277672
chain_pae_A,0.015772358282224314
query_avg_RMSD,0.013787000993504824
ptm_L,0.012898827009222348
chain_plddt_A,0.012645978942628375
pdockq2_HL,0.009135357393375926
avg_internal_pae,0.008949178023817153
pdockq_AL,0.007083683734685812
chain_pair_iptm_AH,0.006687108504148619
scaled_model_RMSD,0.005664282497635456
pdockq2,0.00559493826911114
ipTM,0.003830465237117227
pdockq_AH,0.0028289134079848583
chain_pae_L,0.0025779739644210364
mpdockq,0.002254887924610152
contacts_AL,0.0019454929335808618
interface_plddt_AL,0.0013336710478771042
total_contacts,0.001326514386029554
contacts_HL,0.0004196484169377038
scaled_RMSD_ratio,0.00023270689594170088
chain_pair_pae_min_AL,0.0
chain_pair_iptm_HL,0.0
pTM,0.0
chain_pair_pae_min_HL,0.0
chain_plddt_H,0.0
chain_pair_pae_AH,0.0
chain_pair_pae_AL,0.0
avg_pair_pae,0.0
chain_pair_pae_HL,0.0
del_G_B,0.0
chain_pae_H,0.0
model_avg_RMSD,0.0
ptm_H,0.0
ptm_A,0.0
pdockq_HL,0.0
mpdockq_AH,0.0
mpdockq_AL,0.0
mpdockq_HL,0.0
LIS_AH,0.0
LIS_AL,0.0
LIS_HL,0.0
avg_LIS,0.0
contacts_AH,0.0
interface_plddt_AH,0.0
interface_pae_AH,0.0
interface_pae_AL,0.0
interface_plddt_HL,0.0
interface_pae_HL,0.0
has_clash,0.0
avg_interface_pae,0.0
ranking_confidence,0.0
iptm_H,0.0
iptm_L,0.0
avg_interface_plddt,0.0
