pdb,query,seed,sample,data_file,chain_iptm,chain_pair_iptm,chain_pair_pae_min,chain_ptm,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,format,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,plddt_H3,plddt_L3,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS,LIS_AH,LIS_AL,LIS_HL,avg_LIS,piTM,pIS,piTM_A,piTM_H,piTM_L,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7vux_7so5/seed-1_sample-0/model.cif,7vux_7so5,1,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7vux_7so5/seed-1_sample-0/confidences.json,"[0.12, 0.48, 0.48]","[[0.92, 0.12, 0.12], [0.12, 0.86, 0.85], [0.12, 0.85, 0.87]]","[[0.76, 28.43, 28.64], [21.19, 0.76, 1.38], [20.66, 1.24, 0.76]]","[0.92, 0.86, 0.87]",0.0,0.0,0.27,0.69,0.35,custom,0.12,0.48,0.48,0.92,0.86,0.87,0.12,0.12,0.85,24.810000000000002,24.65,1.31,88.53808144796379,5.031381602996048,84.80148272017837,3.394628647214854,86.48937573616018,3.16882402001668,29.5666896595468,29.527812447292963,5.249825174825175,86.60964663476744,3.8649447567425277,21.44810909388831,78.38285714285715,79.60625,2395.0,73.56175365344467,29.742665474060825,1272.0,74.68050707547171,29.657249999999998,4049.0,83.03633366263274,3.4368783068783064,7716.0,77.09286479718304,20.94559792697971,0.1522512155098872,0.05545146777769498,0.3156033762770578,0.40412210925350106,0.009702880724988299,0.009508052081299139,0.5002728648278874,0.00962391171227336,"[[0.6406689008743555, 0, 0], [0, 0.7342077008515365, 0.5816513210568455], [0, 0.6352265673494725, 0.7775655749326529]]",0.0,0.0,0.608438944203159,0.202812981401053,0.5402738509409232,0.4884206292671358,0.0024546965535291385,0.2643589617536874,0.2216069709599193,42.825758317411015,53.12916090752119,0.6061535899122592,0.03790073319690544,0.024957186432543226,121.41068731688961,1642.5297934449213,73.0,13.0,0.6119575108199644,0.073916885892372
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7vux_7so5/seed-1_sample-1/model.cif,7vux_7so5,1,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7vux_7so5/seed-1_sample-1/confidences.json,"[0.1, 0.47, 0.47]","[[0.92, 0.1, 0.1], [0.1, 0.86, 0.84], [0.1, 0.84, 0.87]]","[[0.76, 29.37, 29.75], [24.27, 0.76, 1.3], [24.25, 1.2, 0.76]]","[0.92, 0.86, 0.87]",0.0,0.0,0.26,0.69,0.34,custom,0.1,0.47,0.47,0.92,0.86,0.87,0.1,0.1,0.84,26.82,27.0,1.25,88.68939592760181,4.928918346655999,84.31647714604237,3.3308060713233125,86.26405182567726,3.1197331109257713,30.25156906585478,30.28588379153314,5.254747474747475,86.42330829977381,3.793152509635028,21.93073344404513,78.03428571428572,79.5475,2132.0,70.72026031894936,30.464021164021162,1205.0,72.17417012448132,30.642857142857142,4028.0,82.9213728897716,3.367940199335548,7365.0,75.27193444440076,21.49160616873795,0.10422549011220145,0.060496676868977126,0.3143076544394874,0.3949746889250165,0.010837449631914912,0.009402611125714269,0.47267468026261883,0.00944420339652885,"[[0.6446457275726918, 0, 0], [0, 0.7390829263479849, 0.5793168589127418], [0, 0.6382010260564331, 0.7824258549737477]]",0.0,0.0,0.6087589424845874,0.20291964749486247,0.5504663168421275,0.4963569622426358,0.00216491064119932,0.2356384651298881,0.2585535864715484,62.28836296878489,53.12916090752119,0.42113951005236144,0.01828146551587418,0.024957186432543226,23.76750346357676,1958.1991021586884,78.0,21.0,0.5647805497641321,0.012137429456165019
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7vux_7so5/seed-1_sample-2/model.cif,7vux_7so5,1,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7vux_7so5/seed-1_sample-2/confidences.json,"[0.1, 0.47, 0.47]","[[0.92, 0.1, 0.1], [0.1, 0.86, 0.85], [0.1, 0.85, 0.87]]","[[0.76, 29.56, 29.96], [22.72, 0.76, 1.4], [23.18, 1.23, 0.76]]","[0.92, 0.86, 0.87]",0.0,0.0,0.25,0.69,0.34,custom,0.1,0.47,0.47,0.92,0.86,0.87,0.1,0.1,0.85,26.14,26.57,1.315,88.72035294117647,5.024931892324351,84.43594202898552,3.4888888888888894,86.3573027090695,3.173811509591326,30.325828932971792,30.356604823747684,5.327715617715619,86.50453255974382,3.895877430268189,22.003383124811695,77.9357142857143,80.01624999999999,1785.0,65.39680672268908,30.425,1481.0,66.57080688723835,30.58365650969529,4075.0,82.66758773006134,3.5704232804232805,7341.0,71.54506711332958,21.526359930039522,0.04898869726742619,0.03222429163218188,0.3123149092697947,0.3458979481059366,0.009119493726073114,0.00912347188930868,0.47252407144526654,0.009015344038586025,"[[0.6411243385761016, 0, 0], [0, 0.7263800424628449, 0.5713124599615631], [0, 0.6313067982633551, 0.7766497929782771]]",0.0,0.0,0.6013096291124591,0.20043654303748637,0.5607154465000251,0.48294421000218946,0.0014306789433229314,0.2382813317148082,0.24323219934405835,75.19953106654458,53.12916090752119,0.3329576803128402,0.01261519666660246,0.024957186432543226,213.61620760050573,1306.3055249338881,55.0,14.0,0.6589436554798983,0.16352698777058056
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7vux_7so5/seed-1_sample-3/model.cif,7vux_7so5,1,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7vux_7so5/seed-1_sample-3/confidences.json,"[0.11, 0.47, 0.47]","[[0.92, 0.11, 0.11], [0.11, 0.86, 0.84], [0.11, 0.84, 0.87]]","[[0.76, 28.45, 28.11], [22.26, 0.76, 1.35], [21.85, 1.24, 0.76]]","[0.92, 0.86, 0.87]",0.0,0.0,0.26,0.69,0.35,custom,0.11,0.47,0.47,0.92,0.86,0.87,0.11,0.11,0.84,25.355,24.98,1.295,88.5068665158371,5.04685359780952,83.86769230769231,3.4518272914824637,85.83872791519437,3.177047539616347,29.906333349190493,29.666162927981112,5.380835275835277,86.0710955795746,3.8919094763027764,21.651110517668965,77.93142857142857,77.27250000000001,1948.0,69.65189681724846,30.14159663865546,2845.0,76.3191230228471,29.60037546933667,4156.0,82.21815688161695,3.475392953929539,8949.0,76.0630589072375,21.072455020640557,0.06423602991740397,0.19483015027847134,0.30047753951084605,0.4916542534332476,0.0096453603965704,0.009712079444428132,0.4564881213668146,0.009657928181415924,"[[0.638441523494352, 0, 0], [0, 0.7301310070627748, 0.5681627875869449], [0, 0.6282135825444346, 0.7767632295388804]]",0.0,0.0,0.5981881850656898,0.19939606168856328,0.5654512387028705,0.49287257844224114,0.0021431356294774146,0.22158524343276534,0.2691441993799984,65.55488469775267,53.12916090752119,0.39643932816724164,0.016534342693074876,0.024957186432543226,-1.5398184338419014,2585.555374682382,108.0,7.0,0.591342093687082,-0.000595546492223574
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7vux_7so5/seed-1_sample-4/model.cif,7vux_7so5,1,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7vux_7so5/seed-1_sample-4/confidences.json,"[0.11, 0.48, 0.48]","[[0.92, 0.11, 0.11], [0.11, 0.86, 0.85], [0.11, 0.85, 0.87]]","[[0.76, 28.37, 28.14], [21.4, 0.76, 1.36], [21.54, 1.23, 0.76]]","[0.92, 0.86, 0.87]",0.0,0.0,0.26,0.69,0.35,custom,0.11,0.48,0.48,0.92,0.86,0.87,0.11,0.11,0.85,24.884999999999998,24.84,1.295,88.6505407239819,5.004930650867985,84.8178818283166,3.457611258473327,85.48498233215548,3.3705254378648877,29.85969427397999,29.72704671951425,5.494996114996115,86.31780162815134,3.9443557824020665,21.693912369496786,79.03142857142858,79.53,865.0,68.88345086705203,29.832063492063494,2426.0,77.61274732069249,29.634139784946235,4053.0,83.34534048852703,3.4682372505543237,7344.0,76.61384622542386,20.97814684252135,0.028462124217997202,0.19978002706401382,0.33385599889272644,0.5140599278077917,0.009650516946490155,0.009750952988728183,0.477371855632399,0.009688584309241443,"[[0.6417334668730462, 0, 0], [0, 0.7288165395720737, 0.5679129598461169], [0, 0.6212841798206156, 0.7705390812478573]]",0.0,0.0,0.5945985698333662,0.19819952327778875,0.588656397882022,0.4923722131257799,0.0018556194994998243,0.201055698029205,0.28946089559707505,51.12985338637198,53.12916090752119,0.5191693024787118,0.02689360869883241,0.024957186432543226,216.72251458520202,1529.726479959989,66.0,10.0,0.6491206529792543,0.14167402958917893
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7vux_7so5/seed-2_sample-0/model.cif,7vux_7so5,2,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7vux_7so5/seed-2_sample-0/confidences.json,"[0.11, 0.48, 0.48]","[[0.92, 0.11, 0.11], [0.11, 0.86, 0.85], [0.11, 0.85, 0.88]]","[[0.76, 28.39, 28.29], [21.17, 0.76, 1.31], [21.58, 1.17, 0.76]]","[0.92, 0.86, 0.88]",0.0,0.0,0.27,0.69,0.35,custom,0.11,0.48,0.48,0.92,0.86,0.88,0.11,0.11,0.85,24.78,24.935,1.24,88.32535294117646,5.064752984668014,84.67652173913044,3.328919834954318,86.55818610129563,3.096338615512927,29.546544725116153,29.6041786135942,5.118795648795649,86.52002026053418,3.830003811711753,21.423172995835333,79.25714285714285,78.97625,2181.0,72.28429390187986,29.63475609756098,2663.0,78.02537551633496,29.722557172557174,3989.0,83.19779142642265,3.2752910052910047,8833.0,77.83582028154582,20.877534758469718,0.09882317678756126,0.2080198619586333,0.30405776190779765,0.5044494772357794,0.009751482409800779,0.009799643580233414,0.49180703686576804,0.00977669834183606,"[[0.6375663431129011, 0, 0], [0, 0.7399875345576619, 0.5894309756227663], [0, 0.6482324252957186, 0.7832631623713532]]",0.0,0.0,0.6188317004592424,0.20627723348641414,0.5373829795830535,0.48834923102664973,0.003915177653174552,0.23749505134018611,0.24693900203328903,41.35329591702048,53.12916090752119,0.6227289934333534,0.04053648234619998,0.024957186432543226,164.68675071957273,2190.8211304775677,88.0,31.0,0.6377645628018607,0.07517124443823188
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7vux_7so5/seed-2_sample-1/model.cif,7vux_7so5,2,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7vux_7so5/seed-2_sample-1/confidences.json,"[0.12, 0.49, 0.49]","[[0.92, 0.12, 0.12], [0.12, 0.87, 0.86], [0.12, 0.86, 0.87]]","[[0.76, 28.24, 28.29], [19.51, 0.76, 1.32], [20.24, 1.17, 0.76]]","[0.92, 0.87, 0.87]",0.0,0.0,0.27,0.69,0.36,custom,0.12,0.49,0.49,0.92,0.87,0.87,0.12,0.12,0.86,23.875,24.265,1.245,88.37462443438913,5.004465449579629,84.8896209587514,3.278043029767168,86.54718492343933,3.111317764804004,29.374765710479995,29.431367852926297,5.0821717171717165,86.60381010552662,3.7979420813836007,21.29610176019267,79.74428571428572,78.92375,1710.0,72.01511111111111,29.22815249266862,2038.0,77.22065014720314,29.605594405594402,3956.0,83.56240141557129,3.249944444444444,7704.0,77.59938755796185,20.694563780902488,0.09545536767424306,0.12295406129700573,0.32201247217094475,0.46175363993194596,0.009840818990347236,0.009743942102144,0.5079728038596025,0.009760821740469047,"[[0.6417195539735917, 0, 0], [0, 0.7445847528761173, 0.595019072769953], [0, 0.6480464227051188, 0.7809793083900226]]",0.0,0.0,0.6215327477375359,0.20717758257917862,0.5661078718743834,0.506317384735871,0.0024582681623176728,0.24181035176486254,0.2620487648086907,45.00849083986571,53.12916090752119,0.5821850155355358,0.034437325713977514,0.024957186432543226,57.31498059558203,1744.7698856045934,73.0,13.0,0.6812861782021488,0.03284959298556519
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7vux_7so5/seed-2_sample-2/model.cif,7vux_7so5,2,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7vux_7so5/seed-2_sample-2/confidences.json,"[0.11, 0.48, 0.48]","[[0.93, 0.11, 0.11], [0.11, 0.86, 0.85], [0.11, 0.85, 0.87]]","[[0.76, 28.68, 29.14], [20.99, 0.76, 1.4], [20.75, 1.21, 0.76]]","[0.93, 0.86, 0.87]",0.0,0.0,0.26,0.69,0.35,custom,0.11,0.48,0.48,0.93,0.86,0.87,0.11,0.11,0.85,24.835,24.945,1.305,88.63141402714932,4.986512955976577,84.59148272017838,3.4312186855290303,86.37380447585394,3.1934778982485406,29.928282035424893,29.90485579355709,5.297315462315462,86.53223374106055,3.8704031799180494,21.710151097099146,79.39142857142858,79.7875,1419.0,71.92437632135307,29.800790513833995,1112.0,74.71824640287768,29.90123456790123,4178.0,82.967934418382,3.4207588075880753,6709.0,76.53685238087093,21.040927963107766,0.06362653734907053,0.06252185235028769,0.33451940286321374,0.4238989779076041,0.009590217775482888,0.009628481681627648,0.5083711089677778,0.009576970244607607,"[[0.6430560465955437, 0, 0], [0, 0.7314775728850379, 0.5762784621127286], [0, 0.6315417408666558, 0.7751978218327236]]",0.0,0.0,0.6039101014896922,0.20130336716323072,0.5788351620430076,0.5038462040167573,0.0014225993800984092,0.24904821528363386,0.25337538935302495,51.3592469123217,53.12916090752119,0.5169339962733495,0.026660297780188313,0.024957186432543226,97.1180754962661,1311.5412567082478,49.0,5.0,0.663399400244375,0.07404881470523958
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7vux_7so5/seed-2_sample-3/model.cif,7vux_7so5,2,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7vux_7so5/seed-2_sample-3/confidences.json,"[0.11, 0.48, 0.48]","[[0.92, 0.11, 0.11], [0.11, 0.86, 0.85], [0.11, 0.85, 0.87]]","[[0.76, 28.34, 28.23], [21.07, 0.76, 1.33], [21.1, 1.18, 0.76]]","[0.92, 0.86, 0.87]",0.0,0.0,0.27,0.69,0.35,custom,0.11,0.48,0.48,0.92,0.86,0.87,0.11,0.11,0.85,24.705,24.665,1.255,88.47027375565611,5.029810815843741,84.80426978818282,3.2614795166519306,86.48796230859836,3.088640533778148,29.52745429174,29.566771799628945,5.072808857808858,86.58750195081244,3.79331028875794,21.389011649725933,79.33714285714287,78.93124999999999,1443.0,71.53670478170478,29.383947368421058,1927.0,77.18525168655941,29.578322580645157,4212.0,82.95228038936374,3.2277248677248673,7582.0,77.22474561920932,20.729998272263693,0.052971149776615864,0.13380820977334018,0.3332595176932587,0.48186207895991773,0.009805552273123767,0.009748816583562601,0.49705176156358316,0.009800970525875693,"[[0.6400372481904464, 0, 0], [0, 0.7452018706349794, 0.5955540893580722], [0, 0.6483041148273819, 0.7826191690755542]]",0.0,0.0,0.6219291020927271,0.2073097006975757,0.5416872227789089,0.4765384509119598,0.002361070800916592,0.21775067051009728,0.2564267096009459,45.69893371389383,53.12916090752119,0.5747607617526014,0.03343912682266155,0.024957186432543226,422.93342072600603,1565.045172142857,75.0,13.0,0.6703872252333519,0.2702371971455152
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7vux_7so5/seed-2_sample-4/model.cif,7vux_7so5,2,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7vux_7so5/seed-2_sample-4/confidences.json,"[0.11, 0.48, 0.48]","[[0.92, 0.11, 0.11], [0.11, 0.86, 0.85], [0.11, 0.85, 0.87]]","[[0.76, 28.57, 28.24], [21.06, 0.76, 1.36], [21.07, 1.18, 0.76]]","[0.92, 0.86, 0.87]",0.0,0.0,0.27,0.69,0.35,custom,0.11,0.48,0.48,0.92,0.86,0.87,0.11,0.11,0.85,24.814999999999998,24.655,1.27,88.67866968325791,5.002426702347042,84.9857525083612,3.374329501915709,86.45087161366314,3.1292910758965804,29.678194028194028,29.544341372912797,5.198275058275057,86.70509793509409,3.835349093386444,21.47360348646063,79.33285714285715,79.53500000000001,1180.0,69.2327966101695,29.706736842105265,2612.0,77.18755551301685,29.547822580645164,4035.0,83.2915687732342,3.310335497835498,7827.0,76.57064029880685,20.85496497352864,0.024056869389291947,0.1917242108110702,0.319232289966046,0.49849095851253594,0.009663438376385738,0.009738801014489434,0.49559444321110596,0.009686374437549092,"[[0.6416788988486573, 0, 0], [0, 0.7358176636067515, 0.5833413365346138], [0, 0.6406793814988417, 0.7803636260494669]]",0.0,0.0,0.6120103590167278,0.20400345300557596,0.5715585841148619,0.48734340245845564,0.0020830614824802513,0.20144565788998112,0.2838146830859943,50.40949036960934,53.12916090752119,0.5262490897693672,0.027646330484646337,0.024957186432543226,59.77146905225527,1721.7754054201353,75.0,23.0,0.6146074961735386,0.03471502082332874
