pdb,query,seed,sample,data_file,chain_iptm,chain_pair_iptm,chain_pair_pae_min,chain_ptm,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,format,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,plddt_H3,plddt_L3,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS,LIS_AH,LIS_AL,LIS_HL,avg_LIS,piTM,pIS,piTM_A,piTM_H,piTM_L,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7xdb_7zwi/seed-1_sample-0/model.cif,7xdb_7zwi,1,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7xdb_7zwi/seed-1_sample-0/confidences.json,"[0.13, 0.5, 0.5]","[[0.82, 0.13, 0.12], [0.13, 0.86, 0.88], [0.12, 0.88, 0.89]]","[[0.76, 23.17, 23.29], [13.58, 0.76, 1.1], [13.4, 1.15, 0.76]]","[0.82, 0.86, 0.89]",0.0,0.0,0.5,0.63,0.53,custom,0.13,0.5,0.5,0.82,0.86,0.89,0.13,0.12,0.88,18.375,18.345,1.125,77.95125,5.616895424836601,84.56010752688171,3.8830653339127914,89.46167277167275,2.529541778975741,26.016989656031903,26.204127358490563,4.967173009274065,83.99101009951816,4.009834179241711,19.06276334126551,76.75142857142858,78.4925,1800.0,66.44276666666667,26.545739130434782,1195.0,69.28162761506277,27.015966386554624,4358.0,83.49290385497933,3.7729978354978355,7353.0,73.07243271223626,19.111567784162414,0.0701334539653563,0.04321574910167801,0.37997381358072013,0.42353625962330094,0.010105450974683981,0.009830305765157654,0.4039501760630948,0.01005026661546167,"[[0.6543696173937597, 0, 0], [0, 0.7470546251688716, 0.6467625473484848], [0, 0.6602092998019587, 0.8021998441527303]]",0.0,0.0,0.6534859235752217,0.21782864119174059,0.5478955876927212,0.49451868005231353,0.0031067862415715846,0.23886063415071604,0.2525512596600259,55.841272739262294,41.12471053015877,0.35164684235809807,0.022645369425702503,0.04096985273009187,68.67119865610533,1202.6935651970543,53.0,21.0,0.7482787144942135,0.0570978349292606
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7xdb_7zwi/seed-1_sample-1/model.cif,7xdb_7zwi,1,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7xdb_7zwi/seed-1_sample-1/confidences.json,"[0.15, 0.52, 0.51]","[[0.81, 0.16, 0.15], [0.16, 0.86, 0.88], [0.15, 0.88, 0.89]]","[[0.76, 20.53, 21.87], [12.93, 0.76, 1.16], [12.71, 1.2, 0.76]]","[0.81, 0.86, 0.89]",0.0,0.0,0.52,0.65,0.54,custom,0.15,0.52,0.51,0.81,0.86,0.89,0.16,0.15,0.88,16.73,17.29,1.18,78.24475378787879,5.557990196078431,84.88525806451614,3.8343980877879185,89.46540903540904,2.4989937106918236,24.315618768693916,24.162305771365155,4.999096578189959,84.198473629268,3.9637939981860577,17.82567370608301,77.41714285714285,80.37,2292.0,65.753647469459,24.490530303030305,1165.0,73.70713304721029,24.66535947712418,4461.0,84.34241313606815,3.6558656330749355,7918.0,74.60106455091248,17.603918471076472,0.06836202152258304,0.0579611264435156,0.4213579760437476,0.4693568212487491,0.010997784142741423,0.010871978047675262,0.533479491018365,0.011026787384506326,"[[0.6481898845607507, 0, 0], [0, 0.7465595864136372, 0.6392187684496399], [0, 0.6537762323084431, 0.8039827715355806]]",0.0,0.0,0.6464975003790414,0.2154991667930138,0.5137974877341688,0.464122098378627,0.004813226392074062,0.22824469528191957,0.23106417670463336,41.356081289026264,41.12471053015877,0.4971948749138212,0.04053124349464497,0.04096985273009187,63.08782202687917,1564.9649412963977,76.0,21.0,0.6930424955709039,0.0403126104375335
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7xdb_7zwi/seed-1_sample-2/model.cif,7xdb_7zwi,1,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7xdb_7zwi/seed-1_sample-2/confidences.json,"[0.12, 0.5, 0.5]","[[0.8, 0.12, 0.11], [0.12, 0.87, 0.88], [0.11, 0.88, 0.89]]","[[0.76, 21.29, 20.56], [14.34, 0.76, 1.12], [14.47, 1.16, 0.76]]","[0.8, 0.87, 0.89]",0.0,0.0,0.49,0.63,0.52,custom,0.12,0.5,0.5,0.8,0.87,0.89,0.12,0.11,0.88,17.814999999999998,17.515,1.1400000000000001,76.78465909090909,6.067962962962962,85.14555913978494,3.751948428219614,89.66868131868131,2.505130278526505,26.004985044865403,25.722183684794672,4.871889990406141,83.86629984979179,4.10834722323636,18.86635290668874,77.36428571428571,79.74000000000001,2246.0,56.42525155832592,26.55849753694581,923.0,60.90962080173348,25.935897435897434,4268.0,85.14514995313965,3.484551495016611,7437.0,67.49334077106634,18.659648822619953,0.0426213355081042,0.0268806721786084,0.38095334110837487,0.36634559044582005,0.009450618193508922,0.009738114321918012,0.6317759490907655,0.009527793878028485,"[[0.64521503373484, 0, 0], [0, 0.7477143182854536, 0.6505462668082095], [0, 0.6590212264150944, 0.8034569288389514]]",0.0,0.0,0.654783746611652,0.21826124887055065,0.5432493422785591,0.49532220933249216,0.0027564437230252984,0.25152466676340335,0.2410410988460635,36.11134841209613,41.12471053015877,0.564637272090679,0.052496604674128165,0.04096985273009187,60.52666930950204,1572.9727291010772,59.0,12.0,0.7319710478770945,0.038479159994141685
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7xdb_7zwi/seed-1_sample-3/model.cif,7xdb_7zwi,1,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7xdb_7zwi/seed-1_sample-3/confidences.json,"[0.15, 0.51, 0.51]","[[0.82, 0.16, 0.15], [0.16, 0.86, 0.87], [0.15, 0.87, 0.89]]","[[0.76, 20.86, 22.3], [13.06, 0.76, 1.16], [12.87, 1.23, 0.76]]","[0.82, 0.86, 0.89]",0.0,0.0,0.51,0.65,0.54,custom,0.15,0.51,0.51,0.82,0.86,0.89,0.16,0.15,0.87,16.96,17.585,1.1949999999999998,78.49721590909091,5.4140631808278865,85.16408602150538,3.7584890627263507,89.4848717948718,2.521895777178796,24.442058200398805,24.279307713651498,4.979964822513592,84.38205790848936,3.898149340244345,17.90044357885463,77.81857142857143,80.10875,2293.0,66.10293065852596,24.66,933.0,73.69452840300107,24.556832298136644,4328.0,84.35555568391867,3.6737843551797047,7554.0,74.71767158181524,17.63020555110545,0.06799435668900493,0.04927383025436764,0.3836525963126818,0.43968257647363634,0.010605028490317171,0.01085974041194214,0.5378901818735716,0.010880876123020479,"[[0.6561341623819205, 0, 0], [0, 0.7483065107922772, 0.6403160131008232], [0, 0.6528234336859235, 0.8032663128223582]]",0.0,0.0,0.6465697233933734,0.21552324113112445,0.5241549157463964,0.4719401750798979,0.004178890169937247,0.23564029665200548,0.23212098825795516,41.26677064835298,41.12471053015877,0.4982757963100856,0.04069972293680717,0.04096985273009187,41.859113653088684,1455.1481576572894,68.0,16.0,0.6890085291286634,0.028766221111449997
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7xdb_7zwi/seed-1_sample-4/model.cif,7xdb_7zwi,1,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7xdb_7zwi/seed-1_sample-4/confidences.json,"[0.15, 0.52, 0.51]","[[0.82, 0.16, 0.15], [0.16, 0.86, 0.87], [0.15, 0.87, 0.89]]","[[0.76, 20.62, 22.32], [13.19, 0.76, 1.18], [13.04, 1.21, 0.76]]","[0.82, 0.86, 0.89]",0.0,0.0,0.52,0.65,0.54,custom,0.15,0.52,0.51,0.82,0.86,0.89,0.16,0.15,0.87,16.905,17.68,1.1949999999999998,78.6387784090909,5.304161220043573,84.97560215053763,3.8062726350861946,89.5887912087912,2.4844384546271336,24.422395314057827,24.317102524972253,5.000447713463383,84.40105725613991,3.864957436585634,17.913315184164485,78.13428571428572,80.70875000000001,2290.0,66.86321397379913,24.562941176470588,1440.0,74.68023958333335,24.936730769230767,4594.0,83.91808881149325,3.7809523809523804,8324.0,75.15384745620857,17.760208108884576,0.07803233866327783,0.06962943924057788,0.4046620223175721,0.47022779338853593,0.010641010173808082,0.010752159113686004,0.5380927634010868,0.01085230964853738,"[[0.6514660585238716, 0, 0], [0, 0.7461976078252496, 0.6357109186258912], [0, 0.6547316901217495, 0.8054469315593911]]",0.0,0.0,0.6452213043738204,0.2150737681246068,0.5182487829116358,0.4625093961486277,0.005326847888793249,0.22033790141749274,0.2368446468423417,41.26615981326362,41.12471053015877,0.49828319732993714,0.04070087880584554,0.04096985273009187,28.638769206359598,1524.8001368843672,76.0,26.0,0.7264264517826898,0.018781982315975755
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7xdb_7zwi/seed-2_sample-0/model.cif,7xdb_7zwi,2,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7xdb_7zwi/seed-2_sample-0/confidences.json,"[0.23, 0.56, 0.55]","[[0.82, 0.23, 0.22], [0.23, 0.88, 0.89], [0.22, 0.89, 0.89]]","[[0.76, 14.6, 17.08], [12.44, 0.76, 1.06], [12.37, 1.09, 0.76]]","[0.82, 0.88, 0.89]",0.0,0.0,0.56,0.68,0.58,custom,0.23,0.56,0.55,0.82,0.88,0.89,0.23,0.22,0.89,13.52,14.724999999999998,1.0750000000000002,81.13357007575758,5.01687908496732,88.4810752688172,3.054563233376793,90.37684981684981,2.4561096136567833,21.626152791625124,21.5545609045505,4.218560121522225,86.66383172047487,3.5091839773336324,15.799757939232615,82.50142857142858,85.90875,2332.0,66.91127572898799,21.03848275862069,879.0,64.70135949943116,22.17257617728532,4290.0,88.53176806526807,2.8566518847006654,7501.0,73.3814677645624,15.355903606868893,0.08500697767071719,0.022004723329966502,0.435775937908371,0.40036161154248934,0.01240827685030327,0.0,0.7364811003352942,0.013009678162172782,"[[0.6775319771464723, 0, 0], [0, 0.7645222067754446, 0.666779476894794], [0, 0.6832256185134, 0.8068769281456855]]",0.0,0.0,0.6750025477040971,0.225000849234699,0.5632910946662976,0.5224984198191779,0.004367720409431492,0.29967382910964985,0.2184568703000965,35.40070170295112,41.12471053015877,0.574382637230912,0.05450939099267642,0.04096985273009187,133.0058044848389,1623.0748332264886,61.0,16.0,0.6484051234686883,0.08194680969850199
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7xdb_7zwi/seed-2_sample-1/model.cif,7xdb_7zwi,2,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7xdb_7zwi/seed-2_sample-1/confidences.json,"[0.27, 0.58, 0.57]","[[0.83, 0.27, 0.27], [0.27, 0.88, 0.88], [0.27, 0.88, 0.89]]","[[0.76, 12.41, 15.43], [11.33, 0.76, 1.1], [11.37, 1.13, 0.76]]","[0.83, 0.88, 0.89]",0.0,0.0,0.58,0.69,0.6,custom,0.27,0.58,0.57,0.83,0.88,0.89,0.27,0.27,0.88,11.870000000000001,13.399999999999999,1.115,81.5488162878788,4.858665577342048,88.41563440860216,3.214138780240475,90.66628815628816,2.5219227313566934,20.26360605682951,20.101054384017758,4.383078829549089,86.87691295092304,3.5315756963130718,14.91591309013212,84.23714285714287,87.11625000000001,2443.0,68.90485468686042,19.59259259259259,1267.0,67.53938042620362,20.70568181818182,4372.0,88.79204025617567,2.816724738675958,8082.0,75.07875845641324,14.371666383150123,0.09158040415699334,0.03601106820450527,0.44254778425787217,0.4316095940793122,0.014301419450565248,0.012528100863433672,0.7108020133357088,0.014844392333786628,"[[0.6850124194216098, 0, 0], [0.01964285714285711, 0.7597274447639412, 0.6629534261995216], [0.020833333333333297, 0.6737966428029071, 0.8034837171644478]]",0.009821428571428556,0.010416666666666649,0.6683750345012143,0.22953770991310318,0.5671913338113763,0.5291968927394313,0.006280093402878769,0.2717796453746186,0.2511371539619339,34.82650593181685,41.12471053015877,0.5823580108840436,0.05621975202860299,0.04096985273009187,37.45639192572207,1728.0567988559494,67.0,13.0,0.7381032459112639,0.021675440269393848
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7xdb_7zwi/seed-2_sample-2/model.cif,7xdb_7zwi,2,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7xdb_7zwi/seed-2_sample-2/confidences.json,"[0.11, 0.5, 0.49]","[[0.82, 0.11, 0.11], [0.11, 0.87, 0.88], [0.11, 0.88, 0.89]]","[[0.76, 19.89, 23.26], [15.42, 0.76, 1.15], [15.4, 1.16, 0.76]]","[0.82, 0.87, 0.89]",0.0,0.0,0.49,0.63,0.52,custom,0.11,0.5,0.49,0.82,0.87,0.89,0.11,0.11,0.88,17.655,19.330000000000002,1.1549999999999998,79.5264962121212,5.083551198257081,87.11855913978494,3.4655801825293353,90.06310134310134,2.525956873315364,26.082723703888337,26.564816870144284,4.626047329708986,85.56938556500249,3.6916960847005935,19.09119596791387,80.75571428571428,83.15625,1883.0,68.59507169410516,25.510344827586206,1895.0,77.01715831134564,26.7055,4290.0,87.33903263403263,3.043444444444445,8068.0,77.6504208798278,18.419763090676884,0.06911198614563939,0.08751769693343987,0.4154597794293399,0.5025528444063744,0.010548364841284286,0.01054634123457656,0.6882099519321292,0.010665511363325848,"[[0.6681449704142013, 0, 0], [0, 0.7499299250880588, 0.6503731663378228], [0, 0.6658498061227257, 0.8023525796684354]]",0.0,0.0,0.6581114862302743,0.21937049541009143,0.5488898306358917,0.5067206088000985,0.00364357653018462,0.25999006627691296,0.24308696599300095,43.04294286537568,41.12471053015877,0.4772212195275604,0.03753354127423428,0.04096985273009187,24.321923085146125,1927.2397304840551,75.0,41.0,0.6407193310777325,0.012620081819835309
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7xdb_7zwi/seed-2_sample-3/model.cif,7xdb_7zwi,2,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7xdb_7zwi/seed-2_sample-3/confidences.json,"[0.25, 0.57, 0.56]","[[0.82, 0.26, 0.25], [0.26, 0.88, 0.88], [0.25, 0.88, 0.89]]","[[0.76, 13.28, 15.22], [11.94, 0.76, 1.11], [12.09, 1.15, 0.76]]","[0.82, 0.88, 0.89]",0.0,0.0,0.57,0.69,0.59,custom,0.25,0.57,0.56,0.82,0.88,0.89,0.26,0.25,0.88,12.61,13.655000000000001,1.13,81.20635416666667,4.985904139433551,88.54343010752686,3.1583949007677825,90.60189255189255,2.513674752920036,20.76864095214357,20.57780937846837,4.35034777742245,86.78389227536202,3.552657931040456,15.232266036011465,84.02142857142857,86.68875,2275.0,66.93512527472528,20.180357142857144,934.0,66.48823340471093,20.917989417989418,4137.0,88.83953589557652,2.920343680709534,7346.0,74.08763152500424,14.672896747185368,0.067894845140989,0.024932319926669673,0.4104358085643173,0.389148736911939,0.013613854056634036,0.010426967167311813,0.7294887256960858,0.013922450760419577,"[[0.6756102730947452, 0, 0], [0.008333333333333304, 0.7593281757962406, 0.6626466963560486], [0, 0.6745384302562017, 0.8034614808153477]]",0.004166666666666652,0.0,0.6685925633061252,0.22425307665759728,0.5554101491473138,0.5163121047537864,0.004851346710853939,0.24988049163600579,0.2615802664069266,35.46054925725869,41.12471053015877,0.5735565478113909,0.054335541790182615,0.04096985273009187,66.06179164114803,1611.297747041995,61.0,18.0,0.6785095507539892,0.04099912121296243
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7xdb_7zwi/seed-2_sample-4/model.cif,7xdb_7zwi,2,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7xdb_7zwi/seed-2_sample-4/confidences.json,"[0.28, 0.59, 0.58]","[[0.83, 0.29, 0.28], [0.29, 0.89, 0.89], [0.28, 0.89, 0.9]]","[[0.76, 10.91, 13.66], [10.77, 0.76, 1.04], [10.96, 1.1, 0.76]]","[0.83, 0.89, 0.9]",0.0,0.0,0.59,0.7,0.61,custom,0.28,0.59,0.58,0.83,0.89,0.9,0.29,0.28,0.89,10.84,12.31,1.07,81.78068181818182,4.87687908496732,89.2969569892473,2.926336375488918,90.87349206349205,2.441617250673854,19.589680957128614,19.43048695893452,4.107631116085705,87.3170436236404,3.4149442370433643,14.37593301071628,84.53142857142858,87.87125,2405.0,68.4735550935551,18.982380952380954,1367.0,68.40674835405999,19.648072562358276,4285.0,89.79465927654608,2.812012987012987,8057.0,75.55832090805372,13.814155500584071,0.06846237032637818,0.039523566788576395,0.44733239372557015,0.44182155727141703,0.016224523149073588,0.012184843799164662,0.7494712149509817,0.01605619994499112,"[[0.680280018053021, 0.09166666666666667, 0], [0.03295454545454543, 0.7696825281334886, 0.6699640780958649], [0.026363636363636336, 0.6866891653790897, 0.8091985796476089]]",0.06231060606060605,0.013181818181818168,0.6783266217374773,0.2512730153266338,0.5903786000248562,0.5549904360285403,0.006325513763742146,0.2641053914875493,0.28455953077724877,35.52032118602264,41.12471053015877,0.5727324838136025,0.05416272527245886,0.04096985273009187,33.578052779226596,1783.0910017650065,69.0,16.0,0.6609025335695574,0.01883137357879609
