pdb,query,seed,sample,data_file,chain_iptm,chain_pair_iptm,chain_pair_pae_min,chain_ptm,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,format,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,plddt_H3,plddt_L3,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS,LIS_AH,LIS_AL,LIS_HL,avg_LIS,piTM,pIS,piTM_A,piTM_H,piTM_L,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zr7_7sbg/seed-1_sample-0/model.cif,7zr7_7sbg,1,0,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zr7_7sbg/seed-1_sample-0/confidences.json,"[0.14, 0.5, 0.5]","[[0.88, 0.14, 0.13], [0.14, 0.88, 0.87], [0.13, 0.87, 0.88]]","[[0.76, 20.28, 23.94], [12.06, 0.76, 1.12], [12.33, 1.11, 0.76]]","[0.88, 0.88, 0.88]",0.0,0.0,0.52,0.65,0.55,custom,0.14,0.5,0.5,0.88,0.88,0.88,0.14,0.13,0.87,16.17,18.135,1.1150000000000002,82.27878072763029,3.507322410503872,86.3910762800418,3.494490322580645,89.09979591836735,2.9026566285912083,24.405340298507465,25.026948590381426,4.7198518518518515,85.92321764201314,3.3014897872252416,18.050713580246914,80.50285714285714,75.65375,2075.0,63.055387951807226,23.797891963109354,522.0,67.36319923371647,25.986153846153844,4024.0,79.50121893638172,4.536363636363636,6621.0,69.97326870730181,18.10680314854228,0.07759737262724495,0.020199245877956514,0.40742206958634325,0.404974716381845,0.011651433683589688,0.010295341329626718,0.22007484927928547,0.011200829012983228,"[[0.7576586160628713, 0, 0], [0, 0.769365808616535, 0.6680933723814048], [0, 0.6459046423772217, 0.7759100657913804]]",0.0,0.0,0.6569990073793133,0.21899966912643776,0.5425509316637451,0.4925706275056693,0.0026645556245349744,0.23354281212791808,0.2563632597532163,25.128884451141385,35.75147125115058,0.6693279223090886,0.10267001236016558,0.053501964748194464,228.5472484542758,1206.4723271399243,52.0,12.0,0.7146114825889589,0.18943430637656833
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zr7_7sbg/seed-1_sample-1/model.cif,7zr7_7sbg,1,1,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zr7_7sbg/seed-1_sample-1/confidences.json,"[0.13, 0.5, 0.49]","[[0.88, 0.14, 0.12], [0.14, 0.87, 0.86], [0.12, 0.86, 0.87]]","[[0.76, 19.08, 23.58], [11.91, 0.76, 1.17], [11.97, 1.14, 0.76]]","[0.88, 0.87, 0.87]",0.0,0.0,0.51,0.64,0.54,custom,0.13,0.5,0.49,0.88,0.87,0.87,0.14,0.12,0.86,15.495,17.775,1.1549999999999998,82.47987217305801,3.4413421613735835,86.11986415882967,3.7645419354838707,88.73224489795919,3.068881966078228,24.5132,24.996393034825875,4.996322222222223,85.77732707661562,3.424922020978561,18.168638419016034,79.21428571428571,76.9525,1802.0,60.908612652608205,23.23315789473684,755.0,69.92425165562913,25.821245421245422,4070.0,78.45304054054054,4.518087855297158,6627.0,69.76196828292596,17.85749705709314,0.060316534321183876,0.023854315240084734,0.3977671387245404,0.41075111011358795,0.011571151173040275,0.009917525692776166,0.18169794689896107,0.011280434442956141,"[[0.7603711873794381, 0, 0], [0.008333333333333304, 0.7646503631850992, 0.6591536822479692], [0, 0.6286729617220023, 0.764369443960258]]",0.004166666666666652,0.0,0.6439133219849857,0.21602666288388414,0.5489315519452062,0.49638589365396785,0.0020957757567125887,0.2422146326480518,0.2520754852492035,30.271253851425804,35.75147125115058,0.5824370392831177,0.07308323587723838,0.053501964748194464,72.96164895568654,1388.8106750350319,50.0,9.0,0.6540251964591483,0.05253534572222822
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zr7_7sbg/seed-1_sample-2/model.cif,7zr7_7sbg,1,2,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zr7_7sbg/seed-1_sample-2/confidences.json,"[0.14, 0.51, 0.5]","[[0.88, 0.15, 0.13], [0.15, 0.88, 0.87], [0.13, 0.87, 0.88]]","[[0.76, 20.13, 24.48], [11.82, 0.76, 1.16], [12.27, 1.13, 0.76]]","[0.88, 0.88, 0.88]",0.0,0.0,0.52,0.65,0.55,custom,0.14,0.51,0.5,0.88,0.88,0.88,0.15,0.13,0.87,15.975,18.375,1.145,82.63406096361848,3.4832959263831222,86.45653082549636,3.5429548387096776,89.1872193877551,2.962227414330218,24.274155223880594,25.09970287451631,4.789551851851852,86.0926037256233,3.329492726474339,18.054469983416254,79.91285714285716,76.1525,2161.0,62.10928042572883,23.64939393939394,369.0,69.33678861788619,26.27520661157025,4653.0,78.69401246507631,4.461681818181819,7183.0,70.04669383623043,18.128760789715333,0.05930790331920682,0.01886568778773918,0.4288646017745212,0.4304385620161438,0.011290469494702086,0.0,0.2439860702364667,0.011064810266043914,"[[0.7618712543320505, 0, 0], [0.016666666666666607, 0.7700623970392436, 0.6670970172933525], [0, 0.6403029495380242, 0.7711736987095839]]",0.008333333333333304,0.0,0.6536999834156884,0.2206777722496739,0.5956365656403497,0.547660738319943,0.002524185778637788,0.2981327199194201,0.24700383262188508,25.717048789145114,35.75147125115058,0.6590075256143456,0.09848468553640108,0.053501964748194464,54.79631909622128,1226.9489177752669,45.0,12.0,0.7230389934419983,0.044660636072428574
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zr7_7sbg/seed-1_sample-3/model.cif,7zr7_7sbg,1,3,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zr7_7sbg/seed-1_sample-3/confidences.json,"[0.16, 0.52, 0.51]","[[0.89, 0.17, 0.15], [0.17, 0.87, 0.87], [0.15, 0.87, 0.88]]","[[0.76, 18.53, 23.99], [11.73, 0.76, 1.16], [12.29, 1.13, 0.76]]","[0.89, 0.87, 0.88]",0.0,0.0,0.53,0.66,0.55,custom,0.16,0.52,0.51,0.89,0.87,0.88,0.17,0.15,0.87,15.13,18.14,1.145,83.21116027531957,3.3595443833464254,85.8130616509927,3.8441161290322583,89.03859693877553,2.921036690896504,23.364617910447766,24.34737078496407,4.8892851851851855,86.02093962169594,3.374899067758396,17.533757960199008,79.03428571428572,76.91499999999999,2324.0,62.630466867469885,22.369940476190475,224.0,72.06004464285714,25.426666666666662,4111.0,77.90045609340793,4.911172901921132,6659.0,70.86365586791165,17.56926001492609,0.07045542465578554,0.018909566452034787,0.37322354556344883,0.38160958401271167,0.012322048829316722,0.0,0.16891897633372246,0.012221679819620194,"[[0.7696140139104444, 0, 0], [0.02291666666666667, 0.767290653330593, 0.667834015680608], [0, 0.6395023288780883, 0.7728725251823552]]",0.011458333333333334,0.0,0.6536681722793481,0.22170883520422716,0.5511197141455756,0.5036559506835921,0.0029017155211911684,0.2586731416191266,0.24208109354327442,25.749205755937073,35.75147125115058,0.6584456759477116,0.09826300959908926,0.053501964748194464,16.2891417216224,1248.565534206955,46.0,15.0,0.664624669822708,0.013046284936872531
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zr7_7sbg/seed-1_sample-4/model.cif,7zr7_7sbg,1,4,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zr7_7sbg/seed-1_sample-4/confidences.json,"[0.14, 0.5, 0.5]","[[0.88, 0.14, 0.13], [0.14, 0.87, 0.87], [0.13, 0.87, 0.88]]","[[0.76, 20.46, 23.9], [12.14, 0.76, 1.14], [12.58, 1.11, 0.76]]","[0.88, 0.87, 0.88]",0.0,0.0,0.52,0.65,0.55,custom,0.14,0.5,0.5,0.88,0.87,0.88,0.14,0.13,0.87,16.3,18.24,1.125,82.15527040314652,3.541605880372574,85.99763845350051,3.6715483870967747,88.90244897959184,2.976973001038422,24.396408955223883,25.00063225538972,4.832744444444445,85.68511927874628,3.39670908950259,18.076595218352683,79.96857142857144,76.075,2100.0,61.720759523809534,23.806211180124222,490.0,67.12211224489796,25.890532544378697,4224.0,78.00698271780303,4.68107822410148,6814.0,68.9499514955035,18.1259406495348,0.06158354951638133,0.01954079817776718,0.3914758027989546,0.3981369489143967,0.011204581508168126,0.0,0.1289978706439109,0.011097368143706725,"[[0.7572006332757627, 0, 0], [0, 0.767859736310618, 0.6665427139675469], [0, 0.6410098210443719, 0.7738786796725309]]",0.0,0.0,0.6537762675059594,0.21792542250198646,0.5405302526482858,0.4920000454471599,0.0027657602382048195,0.2342681969915586,0.2549660882173965,24.996407925498943,35.75147125115058,0.6716635236585752,0.10364806631973414,0.053501964748194464,6.608650237893812,1166.0922964815568,48.0,7.0,0.707511834418542,0.005667347479984262
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zr7_7sbg/seed-2_sample-0/model.cif,7zr7_7sbg,2,0,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zr7_7sbg/seed-2_sample-0/confidences.json,"[0.11, 0.49, 0.48]","[[0.88, 0.11, 0.1], [0.11, 0.88, 0.86], [0.1, 0.86, 0.88]]","[[0.76, 23.58, 25.6], [14.37, 0.76, 1.16], [14.86, 1.12, 0.76]]","[0.88, 0.88, 0.88]",0.0,0.0,0.5,0.63,0.53,custom,0.11,0.49,0.48,0.88,0.88,0.88,0.11,0.1,0.86,18.974999999999998,20.23,1.1400000000000001,82.1680727630285,3.394720008977668,86.78843260188087,3.4975870967741938,89.09123724489795,2.979820006922811,26.176576119402988,26.602276810392485,4.772985185185185,86.01591420326912,3.290709037558224,19.183946038326887,81.55428571428571,76.3725,1724.0,66.67304814385152,26.660526315789475,302.0,67.95135761589404,27.92,4252.0,79.82291274694262,4.42111111111111,6278.0,71.4824395022294,19.66721247563353,0.05208805564436937,0.01884095164317045,0.4289878030538661,0.43186474811943615,0.010434346512319153,0.0,0.26806227743189254,0.010395837668873328,"[[0.7620962818825235, 0, 0], [0, 0.7651795130707955, 0.6596466677178598], [0, 0.6393212549377089, 0.7687874706751237]]",0.0,0.0,0.6494839613277843,0.2164946537759281,0.5620998057602924,0.5029676448713334,0.0016995082102048296,0.24368008023844315,0.2575880564226854,42.6244221455634,35.75147125115058,0.4129770452683525,0.038245900333777956,0.053501964748194464,33.307245383417694,1000.1025950732395,42.0,7.0,0.7285085147143846,0.03330382857468592
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zr7_7sbg/seed-2_sample-1/model.cif,7zr7_7sbg,2,1,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zr7_7sbg/seed-2_sample-1/confidences.json,"[0.13, 0.49, 0.49]","[[0.88, 0.13, 0.12], [0.13, 0.87, 0.85], [0.12, 0.85, 0.87]]","[[0.76, 23.03, 25.3], [13.9, 0.76, 1.2], [14.01, 1.16, 0.76]]","[0.88, 0.87, 0.87]",0.0,0.0,0.51,0.64,0.53,custom,0.13,0.49,0.49,0.88,0.87,0.87,0.13,0.12,0.85,18.465,19.655,1.18,83.00039331366764,3.4367354954550557,85.86200626959248,3.8850387096774193,88.52714285714285,3.1077881619937693,25.5805223880597,25.98042081260365,5.060137037037037,85.79651414680099,3.4765207890420817,18.873693412566794,80.09142857142858,75.655,1968.0,63.81446646341463,26.086333333333332,371.0,72.16677897574124,27.227272727272723,4435.0,76.52237655016911,5.020222634508349,6774.0,70.83454066310833,19.444609565038135,0.051720081397941306,0.022749446432129207,0.37201415481107175,0.39278201700121074,0.010304690146002158,0.0,0.14634612763406613,0.010281850534049543,"[[0.7624947378492155, 0, 0], [0, 0.7644379447181172, 0.6565412329863892], [0, 0.6222933282694012, 0.7599617358031132]]",0.0,0.0,0.6394172806278953,0.21313909354263175,0.5670954994358381,0.5154841015929318,0.0025706968971604795,0.26160487504052704,0.25130852965524425,25.98405026827142,35.75147125115058,0.6543503105638824,0.09666575159999621,0.053501964748194464,86.13097371097388,1120.583410255203,48.0,14.0,0.7298552182557669,0.07686261720701211
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zr7_7sbg/seed-2_sample-2/model.cif,7zr7_7sbg,2,2,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zr7_7sbg/seed-2_sample-2/confidences.json,"[0.12, 0.49, 0.49]","[[0.88, 0.12, 0.11], [0.12, 0.88, 0.86], [0.11, 0.86, 0.88]]","[[0.76, 23.58, 25.12], [14.48, 0.76, 1.12], [15.02, 1.11, 0.76]]","[0.88, 0.88, 0.88]",0.0,0.0,0.51,0.64,0.53,custom,0.12,0.49,0.49,0.88,0.88,0.88,0.12,0.11,0.86,19.03,20.07,1.1150000000000002,82.68506391347098,3.4569184154415886,86.38102403343782,3.5415290322580644,89.31201530612245,2.838300449982693,25.8598776119403,26.24161829740188,4.752188888888889,86.12603441767708,3.278915965894116,18.95122826607702,80.83285714285714,74.92875,2169.0,63.223151221761185,26.692500000000003,734.0,69.17554495912806,27.348958333333332,3842.0,80.34210046850598,4.256395348837209,6745.0,70.91359888313174,19.43261789405685,0.09084309239764363,0.026075001795935387,0.40312728413437104,0.40779991071641564,0.010160690511406893,0.010071281686408442,0.23832706256602026,0.010059093202641659,"[[0.7560433007003684, 0, 0], [0, 0.7686634232042706, 0.6645159799260433], [0, 0.64718253666692, 0.7784905905819096]]",0.0,0.0,0.6558492582964817,0.21861641943216056,0.5509582495916636,0.5010286585044479,0.0024126251056626204,0.236824115633483,0.2617919177653023,25.88142798252782,35.75147125115058,0.6561381884852581,0.09735906765531065,0.053501964748194464,51.6464512265004,1336.3109539385136,51.0,13.0,0.6634520340288895,0.03864852793003204
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zr7_7sbg/seed-2_sample-3/model.cif,7zr7_7sbg,2,3,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zr7_7sbg/seed-2_sample-3/confidences.json,"[0.11, 0.49, 0.49]","[[0.88, 0.12, 0.11], [0.12, 0.88, 0.86], [0.11, 0.86, 0.88]]","[[0.76, 23.83, 24.87], [14.04, 0.76, 1.12], [14.18, 1.08, 0.76]]","[0.88, 0.88, 0.88]",0.0,0.0,0.51,0.64,0.53,custom,0.11,0.49,0.49,0.88,0.88,0.88,0.12,0.11,0.86,18.935,19.525,1.1,82.45580137659782,3.51226012793177,86.90848484848485,3.421154838709677,89.34585459183673,2.897447213568709,26.05274328358209,26.294928137092317,4.668907407407407,86.23671360563979,3.276954060070052,19.005526276027272,81.89,76.2225,1667.0,64.35044391121775,26.87602339181287,438.0,70.27154109589043,27.362121212121213,3971.0,80.65784814908083,4.375211416490486,6076.0,71.75994438539634,19.53778534014152,0.05663623123498307,0.018860391616859973,0.42313116291646047,0.4199631776554347,0.010095541892462857,0.0,0.2705858997083467,0.010011347775359298,"[[0.7568006012215904, 0, 0], [0, 0.7710922787193973, 0.6692826024197569], [0, 0.6507959689451989, 0.7788875840872188]]",0.0,0.0,0.6600392856824779,0.22001309522749266,0.5612972435494744,0.5109019497812626,0.0012953995290881399,0.2590675126128419,0.2505390376393326,25.340030519497052,35.75147125115058,0.6656135942787788,0.1011384696662209,0.053501964748194464,26.26805428561454,1065.6391887653601,44.0,10.0,0.6800236880674606,0.02465004530853306
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zr7_7sbg/seed-2_sample-4/model.cif,7zr7_7sbg,2,4,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zr7_7sbg/seed-2_sample-4/confidences.json,"[0.12, 0.49, 0.48]","[[0.88, 0.12, 0.11], [0.12, 0.88, 0.86], [0.11, 0.86, 0.87]]","[[0.76, 21.35, 23.51], [13.91, 0.76, 1.15], [14.4, 1.13, 0.76]]","[0.88, 0.88, 0.87]",0.0,0.0,0.51,0.64,0.53,custom,0.12,0.49,0.48,0.88,0.88,0.87,0.12,0.11,0.86,17.630000000000003,18.955000000000002,1.14,82.23242871189774,3.4929188643249915,86.61298850574713,3.5193032258064516,89.02309948979592,2.988689858082381,25.251826865671646,25.457448866777227,4.8358185185185185,85.9561722358136,3.333637316071275,18.51503141698913,81.07428571428571,75.55125,2477.0,65.27175615664109,25.292105263157893,617.0,64.19837925445704,25.88796296296296,4081.0,79.11797353589806,4.565116279069768,7175.0,69.52936964899872,18.581728168396875,0.11780069195111297,0.021613168803032833,0.39903908426014245,0.4089415503980617,0.01073545694537394,0.0,0.2278428128935688,0.010720461158838592,"[[0.7564871603806029, 0, 0], [0, 0.764761888731794, 0.6585703188772152], [0, 0.6335029364115027, 0.7677965488288601]]",0.0,0.0,0.646036627644359,0.21534554254811966,0.5476170519714603,0.5069784667036876,0.0025138690603315013,0.27387416422132393,0.23059043342203212,34.28405482437673,35.75147125115058,0.5209432639085657,0.0579090350597191,0.053501964748194464,49.857056146287505,1415.0805021499343,56.0,11.0,0.7318044050816004,0.03523266419863717
