pdb,query,seed,sample,data_file,chain_iptm,chain_pair_iptm,chain_pair_pae_min,chain_ptm,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,format,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,plddt_H3,plddt_L3,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS,LIS_AH,LIS_AL,LIS_HL,avg_LIS,piTM,pIS,piTM_A,piTM_H,piTM_L,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm,model_path,native_path,Fnat,Fnonnat,rRMS,iRMS,LRMS,DockQ
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-1_sample-0/model.cif,7wog_7wog,1,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-1_sample-0/confidences.json,"[0.23, 0.56, 0.55]","[[0.87, 0.24, 0.22], [0.24, 0.89, 0.88], [0.22, 0.88, 0.89]]","[[0.76, 17.05, 20.12], [11.09, 0.76, 1.03], [11.43, 1.08, 0.76]]","[0.87, 0.89, 0.89]",0.0,0.0,0.5,0.62,0.52,custom,0.23,0.56,0.55,0.87,0.89,0.89,0.24,0.22,0.88,14.07,15.775,1.0550000000000002,82.86065698041693,5.010175593079872,87.40609492988133,3.319733098496138,87.5827659574468,2.754979086229086,23.26614171590247,23.6564924764322,4.635260538641687,85.94983928924836,3.694962592601699,17.185964910325453,80.67999999999999,86.9375,3603.0,65.17763946711075,23.54203125,1462.0,74.78694938440493,23.307971014492754,4169.0,82.87299592228351,3.913096500530223,9234.0,74.27919492459974,16.92103292167433,0.19617807000817758,0.08541211669044502,0.42418480345460585,0.5004232676892032,0.011176970815252828,0.011695595368829796,0.22358151387761196,0.011206074449753982,"[[0.6644721880475711, 0, 0], [0.028070175438596467, 0.7861026674207078, 0.6809113686188538], [0.02499999999999997, 0.6464116317763043, 0.7843809600558734]]",0.014035087719298234,0.012499999999999985,0.6636615001975791,0.23006552930562574,0.5637468723733572,0.5292838240244424,0.006736564880944917,0.26437060872884727,0.25817665041465027,45.543515326504675,46.8163198765523,0.5137783146716992,0.03366004482072393,0.0319122931734537,393.08222975072914,2342.459834961794,91.0,34.0,0.694345696237203,0.16780745773476213,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-1_sample-0/model.cif,/home/cseomoon/project/ABAG/DB/AbNb_structure/original_pdb/renum_fv_7wog_0.pdb,0.028985507246376812,0.9636363636363636,2.203278896217927,10.091840904316772,37.880402292735994,0.03284589864219176
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-1_sample-1/model.cif,7wog_7wog,1,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-1_sample-1/confidences.json,"[0.11, 0.49, 0.49]","[[0.87, 0.11, 0.11], [0.11, 0.88, 0.86], [0.11, 0.86, 0.88]]","[[0.76, 21.16, 26.2], [13.8, 0.76, 1.15], [14.08, 1.3, 0.76]]","[0.87, 0.88, 0.88]",0.0,0.0,0.43,0.57,0.45,custom,0.11,0.49,0.49,0.87,0.88,0.88,0.11,0.11,0.86,17.48,20.14,1.225,81.46002526847758,5.006554957008184,86.5253182308522,3.338632976561441,86.78347517730498,2.780429536679537,26.739111259049675,27.106621646120377,4.936859631147541,84.92293955887826,3.7085391567497212,19.594197512105865,78.85857142857144,86.13125,2574.0,64.77703768453769,26.983529411764707,865.0,72.68782080924855,28.26625258799172,4284.0,82.64082282913165,4.415602836879432,7723.0,73.36856044097263,19.88846161221195,0.09308723703939231,0.02304598064687168,0.43971031773805547,0.4516152330631757,0.010016831142767402,0.009474993434430642,0.34643848377294606,0.010003568466620084,"[[0.6630959026459753, 0, 0], [0, 0.7808415061501917, 0.6568618230268831], [0, 0.6218994559141389, 0.7835416834690968]]",0.0,0.0,0.639380639470511,0.21312687982350367,0.5389142868113644,0.4757015721879947,0.0027157142875185525,0.22204476552125724,0.2509410923792189,45.91167710571556,46.8163198765523,0.5097549468034622,0.03314019374192309,0.0319122931734537,196.08463816586465,1565.8767633537905,64.0,28.0,0.744396377357944,0.1252235442499901,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-1_sample-1/model.cif,/home/cseomoon/project/ABAG/DB/AbNb_structure/original_pdb/renum_fv_7wog_0.pdb,0.057971014492753624,0.8918918918918919,2.0544048566763173,6.191610767762678,19.54951186747789,0.09079932642137496
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-1_sample-2/model.cif,7wog_7wog,1,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-1_sample-2/confidences.json,"[0.1, 0.48, 0.48]","[[0.87, 0.1, 0.09], [0.1, 0.88, 0.86], [0.09, 0.86, 0.89]]","[[0.76, 22.96, 24.57], [16.1, 0.76, 1.09], [15.93, 1.25, 0.76]]","[0.87, 0.88, 0.89]",0.0,0.0,0.42,0.56,0.44,custom,0.1,0.48,0.48,0.87,0.88,0.89,0.1,0.09,0.86,19.53,20.25,1.17,81.5787302590019,4.985608101108463,86.52519956850054,3.4276927245630673,86.66566193853427,2.7606740669240666,27.791043937754846,27.575809010152284,4.889717505854802,84.92319725534557,3.7246582975318656,20.085523484587313,79.14857142857143,85.79750000000001,1065.0,57.8311455399061,27.03174603174603,1790.0,68.5844748603352,28.107654320987656,4215.0,81.56316725978648,4.013174603174603,7070.0,69.3262625533426,19.717524985302763,0.02093757228990026,0.07569444678773544,0.4088429772688603,0.45250134276217335,0.010244331426667006,0.00914935006910542,0.19909443323835269,0.009303458436411647,"[[0.6636021895096837, 0, 0], [0, 0.7818614948636201, 0.6656257374341225], [0, 0.6309649776453055, 0.7837859982806792]]",0.0,0.0,0.6482953575397139,0.21609845251323798,0.5697990420302131,0.49633145236408244,0.002573775978282111,0.18584995486042322,0.3079077215253771,52.66449488601575,46.8163198765523,0.44141549925979306,0.025388300245953264,0.0319122931734537,26.383466291949958,1376.8305256098324,54.0,9.0,0.7534836861025238,0.019162464661555977,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-1_sample-2/model.cif,/home/cseomoon/project/ABAG/DB/AbNb_structure/original_pdb/renum_fv_7wog_0.pdb,0.0,1.0,2.052881575932518,15.460604154888097,62.782356301614776,0.009108439995992272
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-1_sample-3/model.cif,7wog_7wog,1,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-1_sample-3/confidences.json,"[0.11, 0.49, 0.49]","[[0.86, 0.11, 0.11], [0.11, 0.88, 0.87], [0.11, 0.87, 0.88]]","[[0.76, 21.96, 23.9], [13.78, 0.76, 1.11], [13.51, 1.27, 0.76]]","[0.86, 0.88, 0.88]",0.0,0.0,0.43,0.57,0.46,custom,0.11,0.49,0.49,0.86,0.88,0.88,0.11,0.11,0.87,17.87,18.705,1.19,81.38907770056855,5.0878716461203775,86.69074433656958,3.3812897981303345,86.88028368794326,2.780542149292149,26.932023383539985,26.84976205583756,4.908215017564403,84.98670190836046,3.7499011978476204,19.563333485647316,79.06285714285715,85.88375,1768.0,55.05393099547511,26.784164222873905,1802.0,71.08320477247503,27.36644562334217,4275.0,82.35405029239766,4.2042046605876395,7845.0,69.49706202011593,19.451604835601238,0.036560084715114835,0.09191066560087437,0.4393310915280411,0.5074400014211307,0.009438372335152503,0.009894669122222876,0.28737703496011346,0.009917087520448196,"[[0.6576214792016415, 0, 0], [0, 0.7807766223354083, 0.6655517494815865], [0, 0.6227442068400268, 0.7826320597560321]]",0.0,0.0,0.6441479781608066,0.21471599272026887,0.5566759653017782,0.49071429443617764,0.0027234781651553977,0.1991734818035659,0.2888173344674564,49.26715667227078,46.8163198765523,0.47450921487726855,0.028905749624504134,0.0319122931734537,59.69559086397976,1813.6153986049478,68.0,12.0,0.7663799370983827,0.03291524261974079,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-1_sample-3/model.cif,/home/cseomoon/project/ABAG/DB/AbNb_structure/original_pdb/renum_fv_7wog_0.pdb,0.0,1.0,2.0430503275954948,10.564145275018106,45.304578228649355,0.01792218902415815
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-1_sample-4/model.cif,7wog_7wog,1,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-1_sample-4/confidences.json,"[0.11, 0.49, 0.49]","[[0.87, 0.11, 0.11], [0.11, 0.88, 0.87], [0.11, 0.87, 0.89]]","[[0.76, 21.61, 25.74], [14.5, 0.76, 1.12], [14.73, 1.21, 0.76]]","[0.87, 0.88, 0.89]",0.0,0.0,0.43,0.57,0.45,custom,0.11,0.49,0.49,0.87,0.88,0.89,0.11,0.11,0.87,18.055,20.235,1.165,81.57289324068226,4.985981042163058,86.56307443365696,3.3513751524183717,86.87795508274232,2.761904761904762,26.80904135807606,27.099428934010156,4.829372804449648,85.00464091902718,3.6997536521620638,19.57928103217862,78.88428571428572,85.97999999999999,1683.0,61.87109922756982,26.486206896551725,1041.0,72.73876560999038,28.15809523809524,4022.0,83.1904848334162,3.8767222222222224,6746.0,72.60011655699213,19.507008118956396,0.048035955022255605,0.03179710325988936,0.44485801002530323,0.4565779522033146,0.010548200408084091,0.009954014384083866,0.35056523031074555,0.010170728124284392,"[[0.6688939436356851, 0, 0], [0, 0.7808713858893829, 0.6655118748692195], [0, 0.6302834923474459, 0.7836181417593638]]",0.0,0.0,0.6478976836083327,0.2159658945361109,0.5647516609531628,0.48874275884489493,0.0015547232809114376,0.21851039601376895,0.26867763955021456,44.94819547208962,46.8163198765523,0.5203493746135274,0.03452658689177246,0.0319122931734537,7.656835832957313,1292.3427435345745,64.0,7.0,0.6936631144190595,0.00592477179236196,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-1_sample-4/model.cif,/home/cseomoon/project/ABAG/DB/AbNb_structure/original_pdb/renum_fv_7wog_0.pdb,0.0,1.0,2.2072898556579923,8.92805347370553,28.512939637935865,0.036356287914608855
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-2_sample-0/model.cif,7wog_7wog,2,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-2_sample-0/confidences.json,"[0.12, 0.49, 0.49]","[[0.87, 0.12, 0.11], [0.12, 0.88, 0.86], [0.11, 0.86, 0.89]]","[[0.76, 19.64, 23.36], [13.63, 0.76, 1.21], [13.05, 1.34, 0.76]]","[0.87, 0.88, 0.89]",0.0,0.0,0.43,0.57,0.45,custom,0.12,0.49,0.49,0.87,0.88,0.89,0.12,0.11,0.86,16.635,18.205,1.275,81.64974731522425,5.009030871231741,85.96286947141316,3.449390326514022,87.14773049645392,2.7565797940797943,26.618238745111093,26.635587382160985,5.0743742681498825,84.92011576103044,3.738333663941853,19.442733465140652,77.30428571428571,85.28,2598.0,61.956433795227085,26.459797297297293,516.0,68.5509496124031,26.87370242214533,4347.0,79.18303887738669,4.5764050901378575,7461.0,69.89680742833896,19.303301603193493,0.11801146725493619,0.019780844663840013,0.41570055392468513,0.42675197624076466,0.010227523952602291,0.0,0.1758601644722739,0.010585233754184742,"[[0.6647355907915061, 0, 0], [0, 0.7803852424156507, 0.6534974537586745], [0, 0.6133592059108889, 0.7852192381106003]]",0.0,0.0,0.6334283298347817,0.2111427766115939,0.5302548702611732,0.4606793430827061,0.0030637181643334618,0.23681025060771477,0.22080537431065786,49.02012228635813,46.8163198765523,0.4770167002716441,0.029189296413111156,0.0319122931734537,2.2703118780468685,1343.6990800455644,60.0,10.0,0.6849441586437056,0.0016895984463797377,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-2_sample-0/model.cif,/home/cseomoon/project/ABAG/DB/AbNb_structure/original_pdb/renum_fv_7wog_0.pdb,0.0,1.0,1.982374709930323,20.12170479372186,66.95986399018663,0.007128366404740238
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-2_sample-1/model.cif,7wog_7wog,2,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-2_sample-1/confidences.json,"[0.13, 0.5, 0.49]","[[0.87, 0.13, 0.13], [0.13, 0.89, 0.86], [0.13, 0.86, 0.89]]","[[0.76, 19.7, 23.33], [13.96, 0.76, 1.22], [13.6, 1.41, 0.76]]","[0.87, 0.89, 0.89]",0.0,0.0,0.44,0.57,0.46,custom,0.13,0.5,0.49,0.87,0.89,0.89,0.13,0.13,0.86,16.83,18.465,1.315,81.81579279848388,5.092331399564902,86.53688241639698,3.2926703698685817,87.12524822695035,2.7635215572715572,26.220884996255304,26.067802755620015,5.072921545667447,85.15930781394373,3.7161744422350136,19.120536432514253,78.92,85.38000000000001,2746.0,64.31167334304442,26.15497737556561,1673.0,75.11248953974896,26.57598097502973,4373.0,78.78179853647381,4.501415571284125,8792.0,72.73532047308906,19.077457973959824,0.0788778697470972,0.07762239389707563,0.3950071358392598,0.4652122265351467,0.011461693915351935,0.010530498097204279,0.21198583004111587,0.010220311790928655,"[[0.6669161424399012, 0, 0], [0, 0.785267993694266, 0.6490116553787998], [0, 0.6091438552000198, 0.7843956619900017]]",0.0,0.0,0.6290777552894098,0.20969258509646993,0.5283880221939767,0.4519861798337339,0.00393378225917434,0.21009260155764814,0.23795979601691142,43.6966466284209,46.8163198765523,0.5344256935009456,0.036459572606654805,0.0319122931734537,96.97746235308477,1984.9284007739611,78.0,14.0,0.726270141182594,0.04885690703769034,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-2_sample-1/model.cif,/home/cseomoon/project/ABAG/DB/AbNb_structure/original_pdb/renum_fv_7wog_0.pdb,0.0,1.0,2.0233646274554555,13.907710531673548,36.13013601964546,0.021314526054948546
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-2_sample-2/model.cif,7wog_7wog,2,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-2_sample-2/confidences.json,"[0.14, 0.5, 0.5]","[[0.87, 0.14, 0.14], [0.14, 0.89, 0.86], [0.14, 0.86, 0.89]]","[[0.76, 18.93, 23.08], [13.5, 0.76, 1.2], [13.17, 1.25, 0.76]]","[0.87, 0.89, 0.89]",0.0,0.0,0.44,0.58,0.47,custom,0.14,0.5,0.5,0.87,0.89,0.89,0.14,0.14,0.86,16.215,18.125,1.225,81.64445356917247,5.158036361752822,86.58451995685006,3.266027638531364,87.40308510638297,2.7362532175032173,25.635066988433053,25.72480964467005,4.994350117096019,85.21068621080182,3.720105739262468,18.784742250066373,78.54428571428572,85.32749999999999,3001.0,63.85909363545484,25.36072796934866,1228.0,73.72017508143323,26.31895161290323,3767.0,81.72128616936557,4.167640692640692,7996.0,73.10018496208454,18.615773424964193,0.09565025334480269,0.0572153038172378,0.40534721597611045,0.4641982754402231,0.012558383386394915,0.010356666378402686,0.32083757389290174,0.010324764641291348,"[[0.6608677434456928, 0, 0], [0, 0.7866270596807935, 0.6521530286372441], [0, 0.6193805397868738, 0.7890707405015608]]",0.0,0.0,0.6357667842120589,0.21192226140401962,0.5307316216574811,0.45827029514298084,0.0027790548379763,0.22366016873832673,0.23183107156667782,43.21845867952277,46.8163198765523,0.5398970832803132,0.03724063308849668,0.0319122931734537,159.87742440224667,1828.1409051831797,78.0,25.0,0.7105006215212767,0.08745355675208578,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-2_sample-2/model.cif,/home/cseomoon/project/ABAG/DB/AbNb_structure/original_pdb/renum_fv_7wog_0.pdb,0.028985507246376812,0.9534883720930233,1.9734619221131993,13.486183472607923,31.795578362908547,0.03596843302616113
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-2_sample-3/model.cif,7wog_7wog,2,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-2_sample-3/confidences.json,"[0.12, 0.49, 0.49]","[[0.87, 0.13, 0.12], [0.13, 0.88, 0.86], [0.12, 0.86, 0.88]]","[[0.76, 21.19, 24.39], [14.08, 0.76, 1.36], [13.9, 1.36, 0.76]]","[0.87, 0.88, 0.88]",0.0,0.0,0.43,0.57,0.46,custom,0.12,0.49,0.49,0.87,0.88,0.88,0.13,0.12,0.86,17.635,19.145,1.36,81.69876816171825,5.0171785973272565,85.46242718446604,3.5447635821704373,86.96164302600474,2.8323680823680824,26.156623949405013,26.741914430746917,5.28197087236534,84.70761279072967,3.7981034206219255,19.393503084172426,76.89285714285714,84.09875,3156.0,65.52966571609632,26.280526315789466,1119.0,72.17806970509385,27.326254180602007,3615.0,82.97114107883819,4.14796511627907,7890.0,73.55962550000946,19.25158187089018,0.1443982876531939,0.0422157215648521,0.39271772627248025,0.4281661210644614,0.010587018835568524,0.010108697948486239,0.36271696050420293,0.010331619186504357,"[[0.6620999572792451, 0, 0], [0, 0.778292905581638, 0.6429353727983048], [0, 0.5961154335303359, 0.7794657258064516]]",0.0,0.0,0.6195254031643204,0.20650846772144013,0.48578849534629476,0.42331281965374656,0.005010646652112944,0.21139182235466544,0.20691035064696817,44.06317755196566,46.8163198765523,0.5302666499751139,0.03587720304740419,0.0319122931734537,130.7708188218818,1893.0605598913064,84.0,21.0,0.7227813487796827,0.06907904669958907,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-2_sample-3/model.cif,/home/cseomoon/project/ABAG/DB/AbNb_structure/original_pdb/renum_fv_7wog_0.pdb,0.028985507246376812,0.9512195121951219,2.023038412777577,9.400600709027236,35.90405554521852,0.035628793277440375
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-2_sample-4/model.cif,7wog_7wog,2,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-2_sample-4/confidences.json,"[0.12, 0.49, 0.49]","[[0.86, 0.12, 0.12], [0.12, 0.88, 0.86], [0.12, 0.86, 0.88]]","[[0.76, 19.57, 24.93], [13.74, 0.76, 1.23], [13.67, 1.39, 0.76]]","[0.86, 0.88, 0.88]",0.0,0.0,0.43,0.57,0.46,custom,0.12,0.49,0.49,0.86,0.88,0.88,0.12,0.12,0.86,16.655,19.3,1.31,81.45482627921668,5.1750129493421735,86.159644012945,3.431763988619428,87.08813238770685,2.7975546975546974,26.408521261546138,26.700469089920233,5.063385538641686,84.90086755995618,3.801443878505433,19.390791963369352,77.89857142857143,85.17250000000001,2183.0,57.32020384791571,25.45303643724696,1277.0,72.95246280344557,27.60595238095238,4054.0,81.31498643315243,4.537163561076604,7514.0,70.5292176948379,19.198717459758647,0.04953630526255445,0.05975970893643685,0.4125097282319128,0.47647424759984686,0.009686071861157278,0.009972633961302269,0.2862593641123972,0.010042581064273387,"[[0.6629157526670042, 0, 0], [0, 0.7784081257078143, 0.6510864995533134], [0, 0.6143373389063044, 0.7815912877566377]]",0.0,0.0,0.632711919229809,0.210903973076603,0.5426863353129799,0.47528162433444443,0.0031369523848662853,0.2231034514065715,0.24904122054300667,46.84512833635042,46.8163198765523,0.4996924192651048,0.0318743055781878,0.0319122931734537,51.845020317783394,1641.0664163158228,58.0,16.0,0.7605958412260823,0.03159227426893235,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/7wog_7wog/seed-2_sample-4/model.cif,/home/cseomoon/project/ABAG/DB/AbNb_structure/original_pdb/renum_fv_7wog_0.pdb,0.0,1.0,2.075274670008259,16.48191532620868,65.14973334099065,0.008317249014121222
