pdb,query,seed,sample,data_file,chain_iptm,chain_pair_iptm,chain_pair_pae_min,chain_ptm,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,format,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,plddt_H3,plddt_L3,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS,LIS_AH,LIS_AL,LIS_HL,avg_LIS,piTM,pIS,piTM_A,piTM_H,piTM_L,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8cii_7x6a/seed-1_sample-0/model.cif,8cii_7x6a,1,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8cii_7x6a/seed-1_sample-0/confidences.json,"[0.88, 0.87, 0.86]","[[0.79, 0.89, 0.87], [0.89, 0.84, 0.84], [0.87, 0.84, 0.84]]","[[0.76, 2.32, 2.51], [2.02, 0.76, 1.36], [1.71, 1.38, 0.76]]","[0.79, 0.84, 0.84]",0.01,0.0,0.88,0.76,0.86,custom,0.88,0.87,0.86,0.79,0.84,0.84,0.89,0.87,0.84,2.17,2.11,1.37,84.77675017478442,12.261449333433504,91.34450373532549,3.7826580120639917,91.41791116446578,3.6684487072560463,16.92545183384887,17.898313823163136,5.535098973607037,89.17972169152523,6.570852017584514,13.452954876873013,95.36428571428573,95.3425,2748.0,86.83506550218341,4.826422764227642,1206.0,90.53835406301825,3.8752747252747257,4804.0,93.10174750208161,4.450589622641509,8758.0,90.15838902242776,4.384095704047959,0.3953586392822194,0.1319999672654505,0.5932260018956138,0.6388628652506564,0.6170618124347224,0.6335343500708657,0.5845425166095389,0.6645032237166305,"[[0.3867576960687342, 0.3494110250810668, 0.3232726750655038], [0.35775596903915485, 0.7312392436594203, 0.5999513494136324], [0.30984163292492684, 0.5901025226473683, 0.7450870061332193]]",0.35358349706011083,0.31655715399521533,0.5950269360305003,0.4217225290286088,0.6679222117597702,0.6236678562101095,0.12656838120116187,0.2601717740684594,0.23692770094048818,3.108948123081458,2.3268836402263267,0.3590455501952754,0.8820058287213662,0.9302848106941531,-23.578228793620667,1761.7630938196735,75.0,8.0,0.7465196881293791,-0.01338331406551421
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8cii_7x6a/seed-1_sample-1/model.cif,8cii_7x6a,1,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8cii_7x6a/seed-1_sample-1/confidences.json,"[0.88, 0.87, 0.86]","[[0.8, 0.89, 0.87], [0.89, 0.85, 0.85], [0.87, 0.85, 0.84]]","[[0.76, 2.16, 2.36], [1.95, 0.76, 1.31], [1.71, 1.36, 0.76]]","[0.8, 0.85, 0.84]",0.0,0.0,0.89,0.77,0.87,custom,0.88,0.87,0.86,0.8,0.85,0.84,0.89,0.87,0.85,2.055,2.035,1.335,84.94875786529947,11.97763976192265,91.54697972251869,3.7367689483346442,91.55100840336135,3.6565971643035864,16.343371262336134,17.197311747613114,5.486308651026393,89.34891533039315,6.45700195818696,13.008997220325213,95.54571428571428,95.67750000000001,2752.0,87.16333212209302,4.646817625458996,1196.0,90.91145066889632,3.713186813186813,4664.0,93.40673885077186,4.428703331995182,8612.0,90.49384054725374,4.262902590213664,0.38981762641271506,0.12361182535222007,0.5824477773418574,0.6309090528329049,0.6441568758651651,0.6621762497035688,0.5657386039789273,0.6863783208510925,"[[0.38885492571510605, 0.34548876204067064, 0.33385933982254007], [0.3515164975341967, 0.7345641947667186, 0.6050800051203278], [0.30830676374480503, 0.5922120955750397, 0.7452182403922911]]",0.3485026297874337,0.3210830517836726,0.5986460503476838,0.4227439106395967,0.6657766853831608,0.6212432717454784,0.1295843589433103,0.2581622393409897,0.23349667346117842,2.3319483565086134,2.3268836402263267,0.4989128798161869,0.9300022613818676,0.9302848106941531,-26.078288486533097,1751.5751337976299,79.0,6.0,0.7024043980655484,-0.014888478366321727
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8cii_7x6a/seed-1_sample-2/model.cif,8cii_7x6a,1,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8cii_7x6a/seed-1_sample-2/confidences.json,"[0.88, 0.87, 0.85]","[[0.8, 0.89, 0.87], [0.89, 0.84, 0.84], [0.87, 0.84, 0.83]]","[[0.76, 2.29, 2.46], [2.05, 0.76, 1.33], [1.8, 1.4, 0.76]]","[0.8, 0.84, 0.83]",0.0,0.0,0.88,0.77,0.86,custom,0.88,0.87,0.85,0.8,0.84,0.83,0.89,0.87,0.84,2.17,2.13,1.365,84.94548706595198,12.011457931598674,91.31457844183565,3.786821400472069,91.3182713085234,3.7085904920767305,16.479438429812934,17.37118887505189,5.552675953079179,89.19277893877035,6.50228994138249,13.134434419314667,95.21428571428571,95.45750000000001,2603.0,87.56330772185939,4.8589743589743595,1247.0,90.55242983159583,3.772527472527472,4757.0,92.9712591969729,4.486431152147732,8607.0,90.3623322501427,4.3726443278831875,0.3775387558258236,0.14182213166383484,0.5947691238864775,0.6416471842158473,0.6256154243923502,0.6540686924866147,0.574018170653064,0.6723510744387281,"[[0.38985434632387506, 0.3415542870514052, 0.3235833504168375], [0.3489927818011012, 0.731371084555495, 0.6006502408774088], [0.3044141561467921, 0.5885836221280966, 0.7419099183929693]]",0.3452735344262532,0.3139987532818148,0.5946169315027527,0.4179630730702735,0.6640019198161072,0.6177255835782113,0.12475853252189371,0.26507096997775986,0.2278960810785577,2.01974071388504,2.3268836402263267,0.5703113272590515,0.94655591309278,0.9302848106941531,-16.89764172186483,1720.452616501539,78.0,10.0,0.5838539150071889,-0.009821625751149952
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8cii_7x6a/seed-1_sample-3/model.cif,8cii_7x6a,1,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8cii_7x6a/seed-1_sample-3/confidences.json,"[0.88, 0.87, 0.86]","[[0.8, 0.89, 0.87], [0.89, 0.84, 0.85], [0.87, 0.85, 0.84]]","[[0.76, 2.27, 2.41], [2.03, 0.76, 1.34], [1.75, 1.36, 0.76]]","[0.8, 0.84, 0.84]",0.01,0.0,0.88,0.77,0.87,custom,0.88,0.87,0.86,0.8,0.84,0.84,0.89,0.87,0.85,2.15,2.08,1.35,84.70464577021671,11.928383127561714,91.00446104589113,3.820187516391293,91.18450180072027,3.659883236030025,16.457564442480486,17.275269821502704,5.542580645161291,88.96453620560938,6.469484626661011,13.091804969714829,94.93857142857144,95.16875,2515.0,87.08777137176938,4.808809993425378,1170.0,90.1677393162393,3.8076923076923075,4767.0,92.8714684287812,4.4032451923076925,8452.0,90.04232637226329,4.339915831141792,0.3753693597386947,0.12013638000856694,0.5879520937607455,0.6330218163847917,0.6163155515562502,0.6447372477356904,0.5502511957279498,0.6639519511847709,"[[0.390798343059754, 0.3417038978941279, 0.3283746731859699], [0.352194066390523, 0.735115675970791, 0.6045065925010301], [0.3084754909067478, 0.5907393869436963, 0.7454008727646102]]",0.34694898214232545,0.3184250820463589,0.5976229897223633,0.42099901797034917,0.6589460309358086,0.6152117505365214,0.12004216715686178,0.2613102589137015,0.2338593244659581,2.5233963873358936,2.3268836402263267,0.45955064577257054,0.919006239676082,0.9302848106941531,28.536384481048685,1761.866238899957,73.0,4.0,0.6134702084714142,0.01619668045791361
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8cii_7x6a/seed-1_sample-4/model.cif,8cii_7x6a,1,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8cii_7x6a/seed-1_sample-4/confidences.json,"[0.88, 0.87, 0.86]","[[0.8, 0.89, 0.87], [0.89, 0.84, 0.84], [0.87, 0.84, 0.83]]","[[0.76, 2.21, 2.32], [2.06, 0.76, 1.3], [1.71, 1.38, 0.76]]","[0.8, 0.84, 0.83]",0.01,0.0,0.88,0.77,0.87,custom,0.88,0.87,0.86,0.8,0.84,0.83,0.89,0.87,0.84,2.135,2.0149999999999997,1.3399999999999999,85.04062922395713,11.896761914302175,91.39016008537887,3.766784683975872,91.39362545018007,3.7004587155963304,16.3342185888938,17.242723121627233,5.53299853372434,89.27480491983869,6.454668437958126,13.036646748081791,95.44571428571429,95.56875,2708.0,87.09612444608567,4.707711138310893,1170.0,90.60033760683761,3.7390109890109886,4706.0,93.04341478963026,4.481854676836612,8584.0,90.24662561418451,4.309525601386165,0.3978926799358632,0.12226932946744734,0.5892146038159292,0.6345413780134721,0.6421486411577594,0.6602669168334709,0.5752242429032756,0.6822280303961659,"[[0.39219640667148403, 0.34593222976288796, 0.33255846045764753], [0.34868320892554855, 0.7326946575249474, 0.6034221726533857], [0.30503613369467025, 0.5888747787270068, 0.7424175651777055]]",0.3473077193442182,0.3187972970761589,0.5961484756901962,0.4207511640368578,0.6610649462881668,0.6148755650462592,0.12845388420817652,0.2553010950751171,0.23112058576296562,2.0690115779872884,2.3268836402263267,0.558460835670203,0.9440642406525676,0.9302848106941531,-22.118083443765613,1754.2428889518505,77.0,9.0,0.6133449425586835,-0.012608335814307352
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8cii_7x6a/seed-2_sample-0/model.cif,8cii_7x6a,2,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8cii_7x6a/seed-2_sample-0/confidences.json,"[0.87, 0.86, 0.85]","[[0.79, 0.88, 0.86], [0.88, 0.84, 0.84], [0.86, 0.84, 0.83]]","[[0.76, 2.29, 2.58], [2.15, 0.76, 1.35], [1.8, 1.42, 0.76]]","[0.79, 0.84, 0.83]",0.0,0.0,0.88,0.76,0.86,custom,0.87,0.86,0.85,0.79,0.84,0.83,0.88,0.86,0.84,2.2199999999999998,2.19,1.385,84.53990095548822,12.118395732638804,91.19420490928495,3.8537175452399683,91.38272509003602,3.6931276063386154,16.624826925909563,17.47538522208385,5.626282991202346,89.03894365160306,6.55508029473913,13.242165046398588,94.73428571428572,95.49375,2505.0,87.20755289421157,4.969294871794872,1229.0,90.44914157851912,3.8736263736263736,4711.0,92.92526109106346,4.439443535188216,8445.0,90.19398518793139,4.427454926869821,0.3711579906193224,0.13116538062175373,0.5905190904859253,0.6371074338403446,0.589444279867614,0.6297351578411842,0.5120429372034864,0.645877678624729,"[[0.38808615007167346, 0.34284918929478414, 0.3183199627029785], [0.3442282820224583, 0.7296686405299937, 0.5962104261502457], [0.3004309167861287, 0.5832268575533662, 0.7422068759086633]]",0.34353873565862125,0.3093754397445536,0.5897186418518059,0.41421093908499357,0.641528750328019,0.5992203898174523,0.11623669551824953,0.2507886914516367,0.23219500284756614,1.8006867139822411,2.3268836402263267,0.625444722674871,0.9570490602779382,0.9302848106941531,-29.768833709702108,1773.2569945152673,75.0,6.0,0.6305034128143453,-0.016787658981060237
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8cii_7x6a/seed-2_sample-1/model.cif,8cii_7x6a,2,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8cii_7x6a/seed-2_sample-1/confidences.json,"[0.87, 0.86, 0.85]","[[0.79, 0.88, 0.86], [0.88, 0.84, 0.84], [0.86, 0.84, 0.83]]","[[0.76, 2.29, 2.6], [2.09, 0.76, 1.36], [1.81, 1.41, 0.76]]","[0.79, 0.84, 0.83]",0.01,0.0,0.87,0.76,0.86,custom,0.87,0.86,0.85,0.79,0.84,0.83,0.88,0.86,0.84,2.19,2.205,1.385,84.49571778140293,12.155891663118883,90.74440768409818,3.9703055337004987,91.01614645858345,3.7611175979983322,16.772447709530123,17.65013325031133,5.706957478005864,88.75209064136152,6.629104931605905,13.376512812615772,94.34,95.22125,2555.0,86.66731898238747,5.008408215661104,1241.0,89.93531426269138,3.8961538461538456,4668.0,92.76628106255356,4.404656862745099,8464.0,89.78963810254413,4.436406308186683,0.3682415223168427,0.13840218646748503,0.5808703524319149,0.632319535851217,0.5829084434698917,0.6100163683557179,0.5560475061591583,0.6407447451608682,"[[0.38773865871204266, 0.3403410747898936, 0.312111987268891], [0.3434437807230415, 0.7276176966548172, 0.5956248063216609], [0.29766832229580575, 0.5782444512946979, 0.7372239342578326]]",0.34189242775646755,0.3048901547823484,0.5869346288081794,0.4112390704489985,0.6400475144661871,0.5971301789137874,0.12331656539644158,0.24516668778923048,0.22864692572811535,2.576838518438283,2.3268836402263267,0.4491596134662562,0.9158310482095057,0.9302848106941531,-26.904138654473968,1736.345638969332,79.0,6.0,0.769621249274331,-0.015494690717479413
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8cii_7x6a/seed-2_sample-2/model.cif,8cii_7x6a,2,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8cii_7x6a/seed-2_sample-2/confidences.json,"[0.87, 0.86, 0.85]","[[0.79, 0.89, 0.86], [0.89, 0.84, 0.84], [0.86, 0.84, 0.83]]","[[0.76, 2.31, 2.48], [2.07, 0.76, 1.36], [1.77, 1.39, 0.76]]","[0.79, 0.84, 0.83]",0.0,0.0,0.88,0.76,0.86,custom,0.87,0.86,0.85,0.79,0.84,0.83,0.89,0.86,0.84,2.19,2.125,1.375,84.49556979725007,12.0864689088678,90.99924226254001,3.898793600839234,91.20070828331333,3.708899082568807,16.62154551480336,17.45425529265255,5.628460410557184,88.89850678103448,6.564720530758613,13.234753739337696,94.81857142857143,95.34125,2894.0,85.86361782999309,4.844110275689222,1249.0,90.28660928742994,3.776923076923077,4738.0,92.86358484592655,4.469394435351882,8881.0,89.67127065444986,4.363475929321393,0.4090821020363102,0.16085686504297136,0.5876610458448561,0.6404507484796588,0.5869606436752643,0.6344847168159367,0.534556590680822,0.6389742081815287,"[[0.38801838155372426, 0.339747823762981, 0.31901627593923176], [0.34552932892481014, 0.7322811275180021, 0.6000689770764034], [0.30000515039142966, 0.5837503849707423, 0.7415939238339753]]",0.3426385763438956,0.30951071316533074,0.5919096810235729,0.41468632351093304,0.653807475785916,0.61134965433259,0.13027312247305925,0.2533941837109554,0.22768234814857535,1.8311504020896865,2.3268836402263267,0.617552087348308,0.9556484949434089,0.9302848106941531,-26.21865957567809,1815.0193492122712,82.0,9.0,0.6744308080484982,-0.014445388467653052
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8cii_7x6a/seed-2_sample-3/model.cif,8cii_7x6a,2,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8cii_7x6a/seed-2_sample-3/confidences.json,"[0.88, 0.86, 0.85]","[[0.79, 0.89, 0.87], [0.89, 0.84, 0.84], [0.87, 0.84, 0.83]]","[[0.76, 2.23, 2.52], [2.02, 0.76, 1.37], [1.76, 1.39, 0.76]]","[0.79, 0.84, 0.83]",0.01,0.0,0.88,0.76,0.86,custom,0.88,0.86,0.85,0.79,0.84,0.83,0.89,0.87,0.84,2.125,2.14,1.38,84.43465975297134,12.136510313624335,91.03749199573106,3.8517637031209024,91.23577430972388,3.6855296080066724,16.607477537192516,17.43660190950602,5.584138563049853,88.90264201947542,6.557934541583969,13.209406003249462,94.85428571428572,95.27625,2726.0,86.24782648569332,4.805743243243243,1199.0,90.44106755629691,3.7818681318681318,4820.0,92.8888807053942,4.403600654664485,8745.0,89.85925824912813,4.330404009925287,0.37588194279448434,0.15176257278973115,0.5924295225789726,0.6415448990795385,0.5873457070257666,0.632533282067961,0.514683147628733,0.6462676794543247,"[[0.3869800386524996, 0.3430839653719452, 0.3209200528576148], [0.3459387745222622, 0.7324233226473865, 0.600603836745204], [0.3014952654920292, 0.5874464290296918, 0.7433789758950221]]",0.3445113699471037,0.311207659174822,0.594025132887448,0.4165813873364579,0.655097947577869,0.6174606639035495,0.12422443454470293,0.2569523366357993,0.23628389272304723,1.9400338286992327,2.3268836402263267,0.5899234509226442,0.9504861661928259,0.9302848106941531,-25.06342198892912,1751.0527451169794,78.0,7.0,0.7357992373439506,-0.014313344962806791
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8cii_7x6a/seed-2_sample-4/model.cif,8cii_7x6a,2,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8cii_7x6a/seed-2_sample-4/confidences.json,"[0.87, 0.86, 0.85]","[[0.79, 0.89, 0.86], [0.89, 0.84, 0.84], [0.86, 0.84, 0.83]]","[[0.76, 2.22, 2.42], [2.17, 0.76, 1.31], [1.76, 1.39, 0.76]]","[0.79, 0.84, 0.83]",0.0,0.0,0.88,0.76,0.86,custom,0.87,0.86,0.85,0.79,0.84,0.83,0.89,0.86,0.84,2.1950000000000003,2.09,1.35,84.4662339780937,12.1587377392669,90.93441835645677,3.9394702334120115,91.20208883553421,3.720959132610509,16.678435704816618,17.51394105437941,5.685472873900293,88.86758039002824,6.606389035096474,13.292616544365439,94.72571428571428,95.5425,2637.0,86.7851061812666,4.860401002506266,1227.0,90.27253056234719,3.8313186813186815,4546.0,93.05348658161022,4.3861892583120206,8410.0,90.037041108408,4.3593029807123225,0.3736539334871111,0.14082554123371605,0.5739918308076287,0.629706540501913,0.5889315016022504,0.6380006835848323,0.591328434052364,0.6447824697974325,"[[0.3872499656053165, 0.3507600509106178, 0.3259845380682216], [0.3494360178162995, 0.7320125979588118, 0.6006006413737812], [0.30216193373901284, 0.580820299458099, 0.7406866101743275]]",0.35009803436345865,0.31407323590361724,0.59071047041594,0.4182939135610053,0.6535951593452944,0.6073181864456282,0.12851794588342427,0.2542076142307541,0.22459262633144986,1.888163811359275,2.3268836402263267,0.6029686835961423,0.9529755993752026,0.9302848106941531,-25.986981470780265,1772.6285673862849,81.0,9.0,0.5964767510440456,-0.014660139156562106
