pdb,query,seed,sample,data_file,chain_iptm,chain_pair_iptm,chain_pair_pae_min,chain_ptm,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,format,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,plddt_H3,plddt_L3,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS,LIS_AH,LIS_AL,LIS_HL,avg_LIS,piTM,pIS,piTM_A,piTM_H,piTM_L,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7vyr_7su1/seed-1_sample-0/model.cif,7vyr_7su1,1,0,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7vyr_7su1/seed-1_sample-0/confidences.json,"[0.11, 0.5, 0.5]","[[0.81, 0.11, 0.11], [0.11, 0.87, 0.89], [0.11, 0.89, 0.89]]","[[0.76, 22.67, 19.0], [13.14, 0.76, 1.03], [12.6, 1.02, 0.76]]","[0.81, 0.87, 0.89]",0.0,0.0,0.53,0.66,0.56,custom,0.11,0.5,0.5,0.81,0.87,0.89,0.11,0.11,0.89,17.905,15.8,1.025,80.59075757575756,4.501273836765828,87.74706349206349,3.672454005504853,89.28772893772893,2.5872332921883268,25.65587693441415,25.094644453474196,4.674346586408998,85.87518333518331,3.586987044819669,18.47495599143245,81.69714285714285,73.09125,784.0,58.10279974489796,26.675,908.0,66.51034691629957,25.308941176470586,3577.0,89.70997064579257,2.489779326364692,5269.0,71.44103910233004,18.157906834278425,0.022680533738523464,0.028316656497091842,0.5025788540046666,0.5047716380643891,0.009441465216038386,0.010444642065961605,0.6632486938191567,0.010235727092729355,"[[0.6717913479923519, 0, 0], [0, 0.7533092226514175, 0.6799137727380109], [0, 0.6804153564997716, 0.7982994849153789]]",0.0,0.0,0.6801645646188912,0.2267215215396304,0.6465372352432478,0.5832018110779396,0.0008111387432476799,0.2573349771067285,0.32505569522796346,44.90327441668036,43.45354513159503,0.48359674880014153,0.03459331104429339,0.036853584596956014,16.26883846370106,1054.7931698021446,46.0,2.0,0.6249689378926186,0.015423723749323031
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7vyr_7su1/seed-1_sample-1/model.cif,7vyr_7su1,1,1,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7vyr_7su1/seed-1_sample-1/confidences.json,"[0.16, 0.53, 0.52]","[[0.81, 0.17, 0.16], [0.17, 0.87, 0.88], [0.16, 0.88, 0.89]]","[[0.76, 20.98, 16.47], [11.51, 0.76, 1.05], [11.4, 1.02, 0.76]]","[0.81, 0.87, 0.89]",0.0,0.0,0.56,0.68,0.58,custom,0.16,0.53,0.52,0.81,0.87,0.89,0.17,0.16,0.88,16.245,13.934999999999999,1.0350000000000001,79.3447435897436,5.063920671243325,87.81842403628119,3.814718238447052,89.5252258852259,2.6283636043025917,23.86428150331614,23.618264932954084,4.815388880088706,85.56279783708356,3.835667504664323,17.432645105452977,83.9,73.4075,1381.0,68.3645076031861,24.589444444444442,1535.0,71.43412377850163,24.241666666666667,3628.0,89.99240490628446,2.811854792966534,6544.0,76.59701209599073,17.21432196802588,0.0647526568619633,0.062073996486981184,0.5117556051009496,0.5347798569621802,0.012493628854543002,0.01035304511638242,0.6726908355978896,0.010612564577608442,"[[0.6865481985006154, 0, 0], [0.04166666666666663, 0.7495416920576884, 0.6739701041017884], [0.024358974358974342, 0.6759068647237695, 0.7964970077533093]]",0.020833333333333315,0.012179487179487171,0.6749384844127789,0.23598376830853315,0.5856341298196694,0.5464429135937772,0.0024776978339153158,0.24832720116654095,0.29563801459332084,35.535096517049006,43.45354513159503,0.5992505072647001,0.054120130538623405,0.036853584596956014,19.609566001510416,1631.7052536670337,69.0,10.0,0.6619635494103806,0.0120178359157946
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7vyr_7su1/seed-1_sample-2/model.cif,7vyr_7su1,1,2,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7vyr_7su1/seed-1_sample-2/confidences.json,"[0.12, 0.5, 0.5]","[[0.82, 0.12, 0.12], [0.12, 0.87, 0.89], [0.12, 0.89, 0.89]]","[[0.76, 21.68, 20.65], [13.29, 0.76, 1.03], [13.33, 1.02, 0.76]]","[0.82, 0.87, 0.89]",0.0,0.0,0.53,0.67,0.56,custom,0.12,0.5,0.5,0.82,0.87,0.89,0.12,0.12,0.89,17.485,16.99,1.025,80.47201631701631,4.660854309687262,87.5401247165533,3.7172533681008253,89.30737484737483,2.614944454240874,25.609082535003683,25.076290125965055,4.711607001425629,85.77317196031481,3.6643507106763202,18.46565988746479,82.39,72.97,1720.0,64.89909593023256,26.173299319727892,1293.0,60.667985305491094,25.364819944598334,3573.0,89.67127064091798,2.53539421440726,6586.0,71.74611729221388,18.024504492911163,0.06239212213322988,0.030371784746269427,0.5069742107566004,0.46936440636830534,0.009858160979247198,0.012212447042472138,0.6643178766460822,0.009817410535663788,"[[0.676932230738201, 0, 0], [0, 0.7519558016637589, 0.6809933990468579], [0, 0.6777112401537758, 0.7963555928510438]]",0.0,0.0,0.6793523196003168,0.22645077320010562,0.6363672335424654,0.6003649017287012,0.002855336933652455,0.30505320824325544,0.2924563565517932,41.80788293706401,43.45354513159503,0.519294180035437,0.03969455082850154,0.036853584596956014,43.574495241932254,1556.282122193198,56.0,12.0,0.6146737529814228,0.02799909773462198
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7vyr_7su1/seed-1_sample-3/model.cif,7vyr_7su1,1,3,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7vyr_7su1/seed-1_sample-3/confidences.json,"[0.12, 0.51, 0.51]","[[0.82, 0.12, 0.12], [0.12, 0.88, 0.9], [0.12, 0.9, 0.9]]","[[0.76, 24.48, 20.45], [13.72, 0.76, 1.02], [13.36, 1.0, 0.76]]","[0.82, 0.88, 0.9]",0.0,0.0,0.53,0.67,0.56,custom,0.12,0.51,0.51,0.82,0.88,0.9,0.12,0.12,0.9,19.1,16.905,1.01,81.54837995337996,4.412639206712433,87.9271201814059,3.546834709546574,89.59170940170941,2.5022659143008283,26.180250552689756,25.437610727346605,4.537105971804213,86.3557365121651,3.4872466101866118,18.71832241728019,81.4542857142857,73.31,1669.0,68.95678849610545,27.973765432098766,1700.0,70.64564411764707,26.41106666666667,3547.0,89.42230617423176,2.6079410096426545,6916.0,76.34157959599476,18.99759103613603,0.06734582193763083,0.059571271852890184,0.4587236501302157,0.4797321887453525,0.0098106357737426,0.01002083192064136,0.6309024820195814,0.01003959696654377,"[[0.6816553604682096, 0, 0], [0, 0.7552531597953657, 0.683487708774406], [0, 0.6900159830230747, 0.8028497371280877]]",0.0,0.0,0.6867518458987403,0.22891728196624675,0.6005673086178093,0.5701773008539217,0.0029374185936759606,0.2629281455099998,0.30431173675024586,54.302247483376696,43.45354513159503,0.39037258327118207,0.023916047898618915,0.036853584596956014,1.4118890943765336,1802.683493928496,63.0,4.0,0.6885909375586441,0.0007832151895392773
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7vyr_7su1/seed-1_sample-4/model.cif,7vyr_7su1,1,4,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7vyr_7su1/seed-1_sample-4/confidences.json,"[0.12, 0.5, 0.5]","[[0.82, 0.12, 0.12], [0.12, 0.87, 0.89], [0.12, 0.89, 0.89]]","[[0.76, 26.38, 21.73], [14.39, 0.76, 1.05], [13.62, 1.03, 0.76]]","[0.82, 0.87, 0.89]",0.0,0.0,0.53,0.66,0.56,custom,0.12,0.5,0.5,0.82,0.87,0.89,0.12,0.12,0.89,20.384999999999998,17.675,1.04,80.94506993006992,4.474561403508772,87.52005668934241,3.7898015355642474,89.33885225885224,2.66736025392347,26.66500368459838,26.077614790735474,4.815285917947093,85.93465962608819,3.64390773099883,19.18596813109365,81.80285714285715,72.14625000000001,1228.0,71.41145358306188,28.91638655462185,1267.0,68.428863456985,27.42573913043478,3614.0,89.2431156613171,2.8212018140589565,6109.0,76.36114423378801,19.721109166371864,0.06593994751424238,0.04848602889634526,0.49741459354650736,0.5157216354496296,0.00976563668636289,0.01004398603837896,0.6503487396931175,0.009819134136660544,"[[0.6804894656733157, 0, 0], [0, 0.7495703748764352, 0.6746281150917118], [0, 0.6722692804130366, 0.7933641429329561]]",0.0,0.0,0.6734486977523741,0.22448289925079137,0.6102157529725127,0.577707021073224,0.0015976768398959704,0.2753347646699237,0.3007745795634043,58.777017121659895,43.45354513159503,0.35340236686103266,0.02048490249778073,0.036853584596956014,20.223977551109783,1432.2495231983314,50.0,0.0,0.709556869082518,0.01412042889422506
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7vyr_7su1/seed-2_sample-0/model.cif,7vyr_7su1,2,0,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7vyr_7su1/seed-2_sample-0/confidences.json,"[0.12, 0.5, 0.5]","[[0.83, 0.12, 0.12], [0.12, 0.87, 0.89], [0.12, 0.89, 0.89]]","[[0.76, 21.12, 21.83], [13.02, 0.76, 1.0], [13.58, 1.0, 0.76]]","[0.83, 0.87, 0.89]",0.0,0.0,0.53,0.66,0.56,custom,0.12,0.5,0.5,0.83,0.87,0.89,0.12,0.12,0.89,17.07,17.705,1.0,81.46928904428904,4.438299008390542,87.5472335600907,3.6861147327249024,89.07726495726496,2.7841738670428495,25.499587324981576,25.636290125965058,4.811816885791225,86.03126252054824,3.636195869386098,18.649231445579286,82.00428571428571,69.46625,1794.0,66.19678651059085,24.747631578947363,630.0,65.14320634920635,25.74105263157895,3631.0,88.34948499036078,2.800794100964265,6055.0,73.22982595005266,17.763159437163527,0.06703605903657754,0.021045549552136042,0.4499583158451207,0.4301011664691161,0.010136172271300235,0.009588143161488882,0.6265307216824455,0.010250808589685542,"[[0.6831961207470759, 0, 0], [0, 0.7511837192876242, 0.6746412047269619], [0, 0.6818917249897076, 0.7947333154650228]]",0.0,0.0,0.6782664648583347,0.2260888216194449,0.6001251612584161,0.5676257040935231,0.002585151756828016,0.303799242982285,0.26124130935441003,37.552005630141025,43.45354513159503,0.5724688814657433,0.04873842930547106,0.036853584596956014,44.94916476869264,1116.7156210064434,48.0,9.0,0.5930493927207942,0.040251218773300644
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7vyr_7su1/seed-2_sample-1/model.cif,7vyr_7su1,2,1,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7vyr_7su1/seed-2_sample-1/confidences.json,"[0.11, 0.5, 0.5]","[[0.83, 0.11, 0.11], [0.11, 0.87, 0.89], [0.11, 0.89, 0.89]]","[[0.76, 20.1, 22.39], [14.33, 0.76, 1.0], [14.07, 0.99, 0.76]]","[0.83, 0.87, 0.89]",0.0,0.0,0.53,0.66,0.55,custom,0.11,0.5,0.5,0.83,0.87,0.89,0.11,0.11,0.89,17.215,18.23,0.995,81.20631701631702,4.488718535469108,87.30472789115645,3.8254816746342173,89.6058852258852,2.557573620172809,26.077962417096536,25.898809427062172,4.744249960399177,86.03897671111956,3.6239246100920446,18.90700726818596,82.79857142857144,73.27000000000001,1711.0,63.21748100526009,25.292982456140354,642.0,62.66718847352026,25.733516483516482,3540.0,89.89855508474577,2.4718619869125518,5893.0,71.92774152117538,17.832786975523128,0.062021192404853806,0.02262564362637281,0.48076277661206185,0.46530197752450503,0.0098821688541332,0.00938776469457889,0.6480867323645485,0.0098996857535983,"[[0.6827948368475908, 0, 0], [0, 0.752644463095783, 0.6816257195418669], [0, 0.6838974503792158, 0.799816841733604]]",0.0,0.0,0.6827615849605413,0.2275871949868471,0.6012850404117739,0.5714645555278949,0.0022428705866900543,0.2838190919630003,0.28540259297820453,38.87144312686624,43.45354513159503,0.5554868100986953,0.04563429517463519,0.036853584596956014,20.295757579104816,1108.8817688365089,45.0,2.0,0.5742363768962697,0.01830290491690569
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7vyr_7su1/seed-2_sample-2/model.cif,7vyr_7su1,2,2,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7vyr_7su1/seed-2_sample-2/confidences.json,"[0.12, 0.51, 0.5]","[[0.82, 0.12, 0.12], [0.12, 0.86, 0.89], [0.12, 0.89, 0.89]]","[[0.76, 20.36, 20.89], [12.44, 0.76, 1.04], [12.35, 1.01, 0.76]]","[0.82, 0.86, 0.89]",0.0,0.0,0.53,0.67,0.56,custom,0.12,0.51,0.5,0.82,0.86,0.89,0.12,0.12,0.89,16.4,16.62,1.025,80.90655011655012,4.485057208237986,87.12487528344671,3.8366507315659857,89.28405372405372,2.6061805678010934,25.422380250552692,25.296980902072328,4.8063678124505,85.77182637468353,3.6426295025350215,18.508576321691837,82.03285714285714,72.76625,1787.0,64.86281477336318,25.02671957671957,794.0,66.2414798488665,25.656060606060603,3645.0,89.31057613168726,2.8035714285714284,6226.0,73.47162358463898,17.828783870450536,0.06228466171171018,0.024778201669929827,0.49511264516284054,0.48034402297703094,0.009963083818455634,0.009871637999524549,0.6391097884023534,0.010231827283196528,"[[0.6787645818317717, 0, 0], [0, 0.7500438830802107, 0.6772157265262406], [0, 0.6776505068430535, 0.7969893707858552]]",0.0,0.0,0.677433116684647,0.22581103889488233,0.6271262026883078,0.5876608016154534,0.0025257641983630124,0.2921546220420911,0.29298041537499925,38.41011313506506,43.45354513159503,0.5613747551849635,0.04668558843866216,0.036853584596956014,165.99889353857606,1205.9491627573843,52.0,9.0,0.6988653514846876,0.13764999277334553
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7vyr_7su1/seed-2_sample-3/model.cif,7vyr_7su1,2,3,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7vyr_7su1/seed-2_sample-3/confidences.json,"[0.12, 0.5, 0.51]","[[0.83, 0.12, 0.12], [0.12, 0.87, 0.89], [0.12, 0.89, 0.89]]","[[0.76, 26.04, 22.95], [13.35, 0.76, 1.03], [12.71, 1.03, 0.76]]","[0.83, 0.87, 0.89]",0.0,0.0,0.53,0.67,0.56,custom,0.12,0.5,0.51,0.83,0.87,0.89,0.12,0.12,0.89,19.695,17.83,1.03,81.75483682983682,4.309504195270785,87.53815192743764,3.7405331015500503,89.39423687423688,2.6228090283900545,26.540700073691966,26.117273466070706,4.750300966260098,86.22907521050378,3.5576154417369636,19.13609150200759,81.06999999999998,72.0975,1266.0,74.24020537124802,28.770655270655272,1207.0,72.53274233637117,27.83022727272727,3450.0,89.29897101449275,2.492508710801394,5923.0,78.69063957403732,19.697797084727977,0.07979694608244672,0.049271354795486444,0.482849745196313,0.5269419953411802,0.009834128378289198,0.01012980319222795,0.6230839882215892,0.009863450373853187,"[[0.6873834128245893, 0, 0], [0, 0.7542703182452136, 0.6791215776713382], [0, 0.6768343012313814, 0.796047669553945]]",0.0,0.0,0.6779779394513599,0.2259926464837866,0.6009873565340681,0.5718925326572628,0.0017066683305668887,0.2722076626287664,0.29797820169792955,58.62022348777163,43.45354513159503,0.35462409218960517,0.020592372871192914,0.036853584596956014,10.849196425915693,1242.4633977208487,50.0,21.0,0.7299324954169063,0.008732004858909528
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7vyr_7su1/seed-2_sample-4/model.cif,7vyr_7su1,2,4,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7vyr_7su1/seed-2_sample-4/confidences.json,"[0.14, 0.52, 0.52]","[[0.83, 0.14, 0.15], [0.14, 0.87, 0.89], [0.15, 0.89, 0.89]]","[[0.76, 25.39, 20.96], [13.48, 0.76, 1.03], [13.33, 1.01, 0.76]]","[0.83, 0.87, 0.89]",0.0,0.0,0.54,0.67,0.57,custom,0.14,0.52,0.52,0.83,0.87,0.89,0.14,0.15,0.89,19.435000000000002,17.145,1.02,81.93171328671329,4.387337909992373,87.49668934240364,3.794755903230479,89.48979242979243,2.58769176512079,26.20488209285188,25.48349451442503,4.776306827182005,86.30606501963645,3.5899285261145475,18.821561144819636,80.97714285714287,72.8325,1092.0,75.37419871794872,28.45372670807453,1954.0,73.1174846468782,26.908571428571427,3650.0,89.09837534246576,2.5806689342403626,6696.0,79.19668623576422,19.31432235696211,0.06384674159946102,0.09203169906190928,0.49997622355518534,0.5510535383380533,0.009919581403557354,0.010311643716391873,0.6331898835651825,0.010065861918615264,"[[0.6849242484756503, 0, 0], [0, 0.7505178227360308, 0.6757925200356188], [0, 0.6799778225806451, 0.7979709440960876]]",0.0,0.0,0.677885171308132,0.22596172376937732,0.6247229988630552,0.5808145258836439,0.0024483381764119306,0.25629239882158544,0.3220737888856465,58.783146337719025,43.45354513159503,0.3533547133365584,0.02048071835643479,0.036853584596956014,31.926100312769563,1557.942131994336,55.0,10.0,0.6968555508956957,0.02049248149666552
