pdb,query,seed,sample,data_file,chain_iptm,chain_pair_iptm,chain_pair_pae_min,chain_ptm,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,format,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,plddt_H3,plddt_L3,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS,LIS_AH,LIS_AL,LIS_HL,avg_LIS,piTM,pIS,piTM_A,piTM_H,piTM_L,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm,model_path,native_path,Fnat,Fnonnat,rRMS,iRMS,LRMS,DockQ
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-1_sample-0/model.cif,8ath_8ath,1,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-1_sample-0/confidences.json,"[0.1, 0.49, 0.49]","[[0.89, 0.1, 0.1], [0.1, 0.88, 0.87], [0.1, 0.87, 0.88]]","[[0.76, 23.53, 27.72], [16.65, 0.76, 1.01], [16.86, 1.06, 0.76]]","[0.89, 0.88, 0.88]",0.0,0.0,0.44,0.59,0.47,custom,0.1,0.49,0.49,0.89,0.88,0.88,0.1,0.1,0.87,20.09,22.29,1.0350000000000001,84.83601387818041,3.6668484459652126,87.40923841059603,3.232529335071708,88.97038823529414,2.857534828406388,27.39087469733656,27.7617245522062,4.749529622142746,87.0718801746902,3.2523042031477694,19.967376290561834,72.45857142857143,84.01125,2619.0,72.73747804505537,27.74280908326325,1041.0,74.11637367915468,29.180219780219776,3631.0,83.65006334343157,4.037360970677452,7291.0,76.83463835588054,20.32012994472016,0.16424127687939857,0.04220042909689978,0.44616876331991473,0.48242263523993006,0.010112931002723625,0.009722564610967486,0.2849657923653534,0.009987216773740386,"[[0.7237432996192001, 0, 0], [0, 0.7784569100829657, 0.6559188422560035], [0, 0.6748994031704879, 0.8024638434225341]]",0.0,0.0,0.6654091227132457,0.22180304090441524,0.5426282382198621,0.4919588512262669,0.0020215016632390915,0.23873800357650188,0.251199345986526,50.99196848839564,35.78171679118387,0.32993873521634454,0.027035311312660237,0.05341638415546966,55.65581032665307,1719.458399389414,68.0,23.0,0.7413255363192479,0.032368221497197404,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-1_sample-0/model.cif,/home/cseomoon/project/ABAG/DB/AbNb_structure/original_pdb/renum_fv_8ath_1.pdb,0.0,1.0,1.2376369963412548,13.545663195136065,53.06420626445527,0.01237694246431953
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-1_sample-1/model.cif,8ath_8ath,1,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-1_sample-1/confidences.json,"[0.09, 0.48, 0.48]","[[0.89, 0.09, 0.09], [0.09, 0.88, 0.87], [0.09, 0.87, 0.88]]","[[0.76, 26.16, 26.68], [16.56, 0.76, 1.01], [16.36, 1.06, 0.76]]","[0.89, 0.88, 0.88]",0.0,0.0,0.44,0.58,0.47,custom,0.09,0.48,0.48,0.89,0.88,0.88,0.09,0.09,0.87,21.36,21.52,1.0350000000000001,85.00601387818043,3.611623182207015,87.3589293598234,3.1850427350427353,88.86001176470587,2.8823819232076113,28.101649515738497,28.06279488859764,4.722379878712486,87.07498500090323,3.2263492801524536,20.295608094349543,72.25142857142858,83.94875,1645.0,67.05318541033434,29.121141975308642,1196.0,75.51334866220735,29.0162962962963,3595.0,83.88301251738525,4.004074074074074,6436.0,75.48318219664232,20.713837448559673,0.07582047057147667,0.04205183244442333,0.4350155398587548,0.4765812104302049,0.009730355993302702,0.009409029290529843,0.33674271049053767,0.009606670724611206,"[[0.7278148444412125, 0, 0], [0, 0.7786467257692022, 0.661481726111845], [0, 0.6718779494647144, 0.8001306142477773]]",0.0,0.0,0.6666798377882797,0.22222661259609322,0.5223254602941991,0.4789325404015189,0.0014444991668128055,0.2050549723455497,0.27243306888915636,62.688166757107815,35.78171679118387,0.24573847707191174,0.018053219510675796,0.05341638415546966,28.884120546876602,1346.9796009076128,48.0,6.0,0.6940063411702714,0.02144362136398658,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-1_sample-1/model.cif,/home/cseomoon/project/ABAG/DB/AbNb_structure/original_pdb/renum_fv_8ath_1.pdb,0.0,1.0,1.2700211723941273,17.28693768907143,70.19834704160132,0.007307575184258928
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-1_sample-2/model.cif,8ath_8ath,1,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-1_sample-2/confidences.json,"[0.13, 0.5, 0.5]","[[0.89, 0.13, 0.13], [0.13, 0.88, 0.87], [0.13, 0.87, 0.88]]","[[0.76, 23.84, 25.62], [14.39, 0.76, 1.04], [14.79, 1.08, 0.76]]","[0.89, 0.88, 0.88]",0.0,0.0,0.46,0.6,0.49,custom,0.13,0.5,0.5,0.89,0.88,0.88,0.13,0.13,0.87,19.115000000000002,20.205,1.06,85.3355898226677,3.647676076418591,87.3664017660044,3.2178183398522378,88.85894117647058,2.89164118246687,26.371433615819207,26.669408038444736,4.764608925517027,87.1869775883809,3.2523785329125663,19.268483526593656,72.74142857142857,83.98375,3276.0,67.58876678876679,27.182357357357358,1222.0,74.09125204582652,27.691944444444445,3854.0,82.85258173326413,4.10570707070707,8352.0,74.84420018928581,19.660002957502957,0.17414994891940808,0.0316073643539278,0.43051385030262085,0.4606459409291483,0.009927308175186769,0.010107271910661835,0.26816541932805454,0.009911202712827104,"[[0.7265641884918466, 0, 0], [0, 0.7773463506732251, 0.6588062393303596], [0, 0.6718986282134372, 0.8008196129404969]]",0.0,0.0,0.6653524337718983,0.22178414459063278,0.5793359618448684,0.5209714551444808,0.0029096678683549863,0.2810153762066371,0.23704641106948882,25.52255050902392,35.78171679118387,0.6627893320094376,0.09984100275597858,0.05341638415546966,73.58661413459481,2078.938396724364,76.0,23.0,0.7081910905821623,0.03539624562735482,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-1_sample-2/model.cif,/home/cseomoon/project/ABAG/DB/AbNb_structure/original_pdb/renum_fv_8ath_1.pdb,0.38571428571428573,0.47058823529411764,1.212876525157381,2.998581948822829,7.7573060609601745,0.3771513942229315
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-1_sample-3/model.cif,8ath_8ath,1,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-1_sample-3/confidences.json,"[0.11, 0.49, 0.49]","[[0.89, 0.11, 0.11], [0.11, 0.88, 0.87], [0.11, 0.87, 0.88]]","[[0.76, 22.72, 25.45], [15.25, 0.76, 1.04], [14.93, 1.07, 0.76]]","[0.89, 0.88, 0.88]",0.0,0.0,0.45,0.59,0.48,custom,0.11,0.49,0.49,0.89,0.88,0.88,0.11,0.11,0.87,18.985,20.189999999999998,1.0550000000000002,84.91802621434078,3.6518783860849724,87.27761589403973,3.2131174851513835,88.85937647058823,2.89175161399932,26.569100585149314,26.89803407601573,4.757413310527134,87.01833952632292,3.2522491617452256,19.40818265723073,72.89142857142856,84.02875,2099.0,67.75197951405431,26.755274725274727,1452.0,70.84537878787879,27.89455782312925,3619.0,83.7184760983697,4.00579945799458,7170.0,74.10527813343427,19.551877335466184,0.10547215590606546,0.04280607095496538,0.4469132408693785,0.4815806824563361,0.01044596065522977,0.009310686636472353,0.2899637705657681,0.01030817330227042,"[[0.7252347161572051, 0, 0], [0, 0.7767035436688271, 0.6558326451968071], [0, 0.6724615072933551, 0.8008826673600878]]",0.0,0.0,0.6641470762450811,0.22138235874836035,0.5273354179813563,0.4795105114300087,0.0025323875630090973,0.2295924204511496,0.24738570341585,43.58180125684427,35.78171679118387,0.40265728880788504,0.03664492923497011,0.05341638415546966,27.306823391403896,1782.5772078612945,65.0,10.0,0.6950019028278368,0.01531873249078852,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-1_sample-3/model.cif,/home/cseomoon/project/ABAG/DB/AbNb_structure/original_pdb/renum_fv_8ath_1.pdb,0.014285714285714285,0.9642857142857143,1.2138166367869263,8.789781475786612,41.23050810239544,0.02778412515832963
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-1_sample-4/model.cif,8ath_8ath,1,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-1_sample-4/confidences.json,"[0.11, 0.49, 0.49]","[[0.89, 0.1, 0.11], [0.1, 0.88, 0.87], [0.11, 0.87, 0.88]]","[[0.76, 25.3, 26.83], [15.14, 0.76, 1.01], [14.92, 1.06, 0.76]]","[0.89, 0.88, 0.88]",0.0,0.0,0.45,0.59,0.48,custom,0.11,0.49,0.49,0.89,0.88,0.88,0.1,0.11,0.87,20.22,20.875,1.0350000000000001,85.04956823438705,3.627131451382948,87.18298013245033,3.20399826162538,88.91159999999998,2.8881073734284746,27.354423930589185,27.44391382699869,4.7425128284870155,87.04804945561244,3.239745695478934,19.846950195358296,71.56714285714285,83.91125,2784.0,69.73003771551724,28.67933333333333,1622.0,74.46137792848336,28.867749999999997,3512.0,84.06502135535307,4.058861788617886,7918.0,76.08547899978454,20.535315040650403,0.13842100238389313,0.05337736810049187,0.41885055642038416,0.47627023812536023,0.0099473164887831,0.009893033304636967,0.316837649936967,0.009862581052200198,"[[0.7269070571116769, 0, 0], [0, 0.7789049859358275, 0.6613154845650915], [0, 0.6734144662238782, 0.801335932986713]]",0.0,0.0,0.6673649753944848,0.2224549917981616,0.5190678038322136,0.4725674404054082,0.002734420987631889,0.23380089321564457,0.2360321262021318,66.01188029831306,35.78171679118387,0.2270936604113945,0.016309923894427286,0.05341638415546966,51.14512362207222,1943.0463320043084,65.0,17.0,0.7474166475859173,0.026322132817756614,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-1_sample-4/model.cif,/home/cseomoon/project/ABAG/DB/AbNb_structure/original_pdb/renum_fv_8ath_1.pdb,0.0,1.0,1.2410367025348163,17.05755254602864,75.45773228227941,0.006734589779333764
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-2_sample-0/model.cif,8ath_8ath,2,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-2_sample-0/confidences.json,"[0.44, 0.68, 0.64]","[[0.89, 0.48, 0.4], [0.48, 0.88, 0.88], [0.4, 0.88, 0.88]]","[[0.76, 9.97, 11.14], [7.42, 0.76, 1.0], [8.01, 1.01, 0.76]]","[0.89, 0.88, 0.88]",0.0,0.0,0.64,0.73,0.65,custom,0.44,0.68,0.64,0.89,0.88,0.88,0.48,0.4,0.88,8.695,9.575,1.005,88.23622976098689,3.7559309951525517,90.13442604856512,3.17434448790381,90.87024705882352,2.841428814135236,16.026790758676352,16.74447629969419,4.633144145545017,89.74696762279184,3.2572347657305323,12.468137067971853,77.10285714285715,90.12,2268.0,71.95680555555555,16.014314516129033,1104.0,77.26564311594204,14.116975308641978,3809.0,86.28078498293516,3.9031813361611873,7181.0,78.50107788481093,11.344823720310734,0.11934048633445841,0.055145256305733664,0.47829309618023463,0.5230607493769913,0.021425895795408743,0.02778130203210773,0.35770046670315636,0.022626528119282712,"[[0.7225327042414931, 0.06412037037037037, 0.02916666666666666], [0.10972334792240773, 0.7807570212130266, 0.668977805348773], [0.09628934191702433, 0.6804, 0.8033623326408126]]",0.08692185914638906,0.0627280042918455,0.6746889026743865,0.27477958870420705,0.598803640179304,0.5500040308110836,0.010501112895803992,0.2978651915079062,0.2416377264073734,24.134006926348878,35.78171679118387,0.6873222781772863,0.11035583925672256,0.05341638415546966,-2.0190048747073206,1628.4612528499563,64.0,17.0,0.6794578782056534,-0.0012398237116012906,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-2_sample-0/model.cif,/home/cseomoon/project/ABAG/DB/AbNb_structure/original_pdb/renum_fv_8ath_1.pdb,0.38571428571428573,0.20588235294117646,1.1406698252931777,2.092739027477466,6.2518764117006995,0.4580134301986553
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-2_sample-1/model.cif,8ath_8ath,2,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-2_sample-1/confidences.json,"[0.47, 0.69, 0.65]","[[0.89, 0.51, 0.43], [0.51, 0.88, 0.87], [0.43, 0.87, 0.88]]","[[0.76, 8.84, 10.22], [6.81, 0.76, 0.99], [7.21, 1.02, 0.76]]","[0.89, 0.88, 0.88]",0.0,0.0,0.65,0.74,0.67,custom,0.47,0.69,0.65,0.89,0.88,0.88,0.51,0.43,0.87,7.824999999999999,8.715,1.005,88.0939167309175,3.9077630453378953,90.12161147902869,3.188888888888889,90.85195294117648,2.8589449541284404,15.30137207425343,15.985804390563567,4.651387809049915,89.68916038370755,3.318532296118408,11.979521424622305,78.02142857142857,90.41,2308.0,71.21214688041594,15.676658163265307,1122.0,76.64520944741533,13.624812030075185,3484.0,87.86113088404132,3.742461197339246,6914.0,78.5728290706242,11.014643796893246,0.09970251465666524,0.03475119052002722,0.47709086433406284,0.5033621045891082,0.022929235483199577,0.033385683060009136,0.46287643836302234,0.026259245978675343,"[[0.7242776076825654, 0.05798611111111109, 0.04618902439024389], [0.1398384569783198, 0.7820165608267963, 0.6658825147888293], [0.12136533084808947, 0.6792111290757209, 0.8021506074510143]]",0.09891228404471544,0.08377717761916667,0.6725468219322751,0.28507876119871906,0.5894472598539837,0.5395077632416021,0.011572888809086948,0.3041025976676081,0.223832276764907,24.652773147422714,35.78171679118387,0.6781090577104788,0.10624855879169202,0.05341638415546966,-17.624966513288655,1769.99855788602,69.0,8.0,0.7304763997210129,-0.009957616312602455,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-2_sample-1/model.cif,/home/cseomoon/project/ABAG/DB/AbNb_structure/original_pdb/renum_fv_8ath_1.pdb,0.37142857142857144,0.38095238095238093,1.326369908812097,2.6601494837618795,6.997734043122115,0.4029038480062807
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-2_sample-2/model.cif,8ath_8ath,2,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-2_sample-2/confidences.json,"[0.48, 0.7, 0.66]","[[0.89, 0.52, 0.44], [0.52, 0.88, 0.88], [0.44, 0.88, 0.88]]","[[0.76, 9.17, 9.69], [6.7, 0.76, 0.99], [7.25, 1.01, 0.76]]","[0.89, 0.88, 0.88]",0.0,0.0,0.66,0.74,0.67,custom,0.48,0.7,0.66,0.89,0.88,0.88,0.52,0.44,0.88,7.9350000000000005,8.469999999999999,1.0,88.56858905165768,3.7166203307670376,90.40704194260485,3.145972765464291,91.10935294117647,2.844996602106694,15.093069007263923,15.74590978593272,4.581818535220028,90.02832797847968,3.235863232779341,11.806932442805559,77.75428571428571,91.02250000000001,2111.0,73.40255329227853,14.954814814814814,1060.0,77.4469858490566,13.057142857142857,3916.0,85.86802221654752,3.8695134575569354,7087.0,78.90585378596087,10.627157043171534,0.09863814143399455,0.03931960292695576,0.46267630151607503,0.49977907462851906,0.027260433303892828,0.04753416715775565,0.31903236566412224,0.029865349259596666,"[[0.7255479368562201, 0.0590339233038348, 0.05212842712842712], [0.1440189456692579, 0.7827953177091108, 0.6733942048146312], [0.12894307104813585, 0.6852108116856842, 0.8040233867475098]]",0.10152643448654636,0.09053574908828149,0.6793025082501577,0.2904548972749952,0.6023461033632871,0.5556292583192769,0.01215355667876073,0.3082737659812713,0.23520193565924485,24.632334139152892,35.78171679118387,0.6784710372608329,0.10640618469681713,0.05341638415546966,-2.199769480966097,1533.5989466911442,60.0,15.0,0.7210978501790748,-0.0014343837974799514,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-2_sample-2/model.cif,/home/cseomoon/project/ABAG/DB/AbNb_structure/original_pdb/renum_fv_8ath_1.pdb,0.4,0.125,1.1432369088468395,2.3024167501005257,7.4416360050927395,0.4213558382813399
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-2_sample-3/model.cif,8ath_8ath,2,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-2_sample-3/confidences.json,"[0.44, 0.68, 0.64]","[[0.89, 0.48, 0.4], [0.48, 0.89, 0.88], [0.4, 0.88, 0.88]]","[[0.76, 9.59, 11.21], [7.4, 0.76, 0.98], [7.8, 1.01, 0.76]]","[0.89, 0.89, 0.88]",0.0,0.0,0.63,0.73,0.65,custom,0.44,0.68,0.64,0.89,0.89,0.88,0.48,0.4,0.88,8.495000000000001,9.505,0.995,87.97829606784889,3.92269746221842,90.18824503311257,3.127314211212516,90.19504705882353,3.018866802582399,15.960593220338982,16.748896898208827,4.7079342248483895,89.45386271992834,3.3562928253377784,12.472474781132064,78.1657142857143,90.34875000000001,2323.0,71.7753271631511,16.15977011494253,988.0,77.6957439271255,14.52770083102493,3665.0,87.00445020463846,3.811983032873807,6976.0,78.8251737649717,11.499817992947088,0.09823613574339429,0.03429718986461952,0.48554594900230136,0.5121982881026558,0.019405292673020755,0.02947586871493296,0.47087242440719634,0.021271479022795425,"[[0.7256551885514423, 0.06958333333333334, 0.027857142857142827], [0.1149786093500335, 0.7856872839414061, 0.6720900016498927], [0.09903505111621114, 0.6727656857150621, 0.7964148806412267]]",0.09228097134168342,0.06344609698667698,0.6724278436824774,0.27605163733694593,0.5742099659528893,0.5282215731006374,0.014233984067236636,0.2966884777077516,0.2172991113256492,24.325191449806187,35.78171679118387,0.6839207598283088,0.1088159867315116,0.05341638415546966,1.3478395763039543,1622.015418370529,69.0,13.0,0.6361348147284284,0.0008309659458465501,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-2_sample-3/model.cif,/home/cseomoon/project/ABAG/DB/AbNb_structure/original_pdb/renum_fv_8ath_1.pdb,0.34285714285714286,0.3684210526315789,1.3818095967075672,2.3984588162419205,4.861197835806398,0.45918397359218766
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-2_sample-4/model.cif,8ath_8ath,2,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-2_sample-4/confidences.json,"[0.42, 0.67, 0.62]","[[0.89, 0.46, 0.37], [0.46, 0.89, 0.87], [0.37, 0.87, 0.88]]","[[0.76, 10.52, 11.57], [8.42, 0.76, 1.0], [8.47, 1.02, 0.76]]","[0.89, 0.89, 0.88]",0.0,0.0,0.62,0.72,0.64,custom,0.42,0.67,0.62,0.89,0.89,0.88,0.46,0.37,0.87,9.469999999999999,10.02,1.01,88.12124132613724,3.750588109495295,90.28407284768211,3.0637766188613647,90.76140000000001,2.853865103635746,16.63317443502825,17.393687199650504,4.610499922251594,89.7222380579398,3.222743277330802,12.879120518976782,78.7042857142857,90.18375,2463.0,72.11571863581,16.57755681818182,1135.0,77.12697356828194,14.970637119113574,3695.0,87.62323139377537,3.8243902439024393,7293.0,78.95530786595577,11.790861393732612,0.12656746393874235,0.05445963830812792,0.4835510511764975,0.5262699200599762,0.020185141602735327,0.024553112821572874,0.3736441156476722,0.019665532838968377,"[[0.72410742611709, 0.059166666666666645, 0.033333333333333326], [0.08911007492427865, 0.7813275955878716, 0.6654769727835277], [0.08332139018273019, 0.6800863439209031, 0.8027433832655064]]",0.07413837079547264,0.05832736175803176,0.6727816583522154,0.26841579696857326,0.6136346767294455,0.5656894244998414,0.00950306417241363,0.3010769119201201,0.2551094484073076,23.920249173040727,35.78171679118387,0.6911334075695946,0.11211487406993954,0.05341638415546966,38.51018263093704,1683.8082110039518,71.0,10.0,0.6934565173316627,0.02287088421309917,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/native/8ath_8ath/seed-2_sample-4/model.cif,/home/cseomoon/project/ABAG/DB/AbNb_structure/original_pdb/renum_fv_8ath_1.pdb,0.38571428571428573,0.22857142857142856,1.1057712510767077,2.0261945086348807,5.5539115879656675,0.48018131278795706
