pdb,query,seed,sample,data_file,chain_iptm,chain_pair_iptm,chain_pair_pae_min,chain_ptm,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,format,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,plddt_H3,plddt_L3,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS,LIS_AH,LIS_AL,LIS_HL,avg_LIS,piTM,pIS,piTM_A,piTM_H,piTM_L,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g3p_7q0i/seed-1_sample-0/model.cif,8g3p_7q0i,1,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g3p_7q0i/seed-1_sample-0/confidences.json,"[0.11, 0.48, 0.48]","[[0.84, 0.11, 0.11], [0.11, 0.8, 0.84], [0.11, 0.84, 0.87]]","[[0.76, 23.67, 26.1], [16.58, 0.76, 1.37], [16.4, 1.28, 0.76]]","[0.84, 0.8, 0.87]",0.0,0.0,0.35,0.53,0.39,custom,0.11,0.48,0.48,0.84,0.8,0.87,0.11,0.11,0.84,20.125,21.25,1.3250000000000002,77.83373504652192,7.564444444444443,76.54529473684211,6.3421190663519535,86.27485276796232,3.32021684737281,27.731800115207374,27.900759740259737,7.189659090909092,80.21796085044213,5.7422601193897345,20.940739648792064,70.42571428571428,68.2875,3240.0,53.08333487654321,27.096521189120807,849.0,72.59467020023557,28.03142857142857,4865.0,74.55411510791367,7.316324786324785,8954.0,66.74404006156415,20.81475818229139,0.06861191607150863,0.04713509063977378,0.30330689746749684,0.3761310301085846,0.009823216673454593,0.0100831821632451,0.17474614180070763,0.009965047762627513,"[[0.5960134800825332, 0, 0], [0, 0.6515044708631814, 0.5550833726600598], [0, 0.5807342493559217, 0.772752688172043]]",0.0,0.0,0.5679088110079907,0.18930293700266357,0.4438866808878496,0.38951903809866995,0.0030720516642981843,0.19468415398216288,0.19176283245220885,46.858012991434315,35.06662606798888,0.3589914207478498,0.03185733724039703,0.05549503529473048,40.66302388415647,2106.02123698994,78.0,24.0,0.6664799392070118,0.019307983780009107
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g3p_7q0i/seed-1_sample-1/model.cif,8g3p_7q0i,1,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g3p_7q0i/seed-1_sample-1/confidences.json,"[0.1, 0.47, 0.47]","[[0.85, 0.11, 0.1], [0.11, 0.79, 0.84], [0.1, 0.84, 0.87]]","[[0.76, 25.56, 27.06], [16.88, 0.76, 1.36], [17.08, 1.28, 0.76]]","[0.85, 0.79, 0.87]",0.0,0.0,0.35,0.52,0.38,custom,0.1,0.47,0.47,0.85,0.79,0.87,0.11,0.1,0.84,21.22,22.07,1.32,77.55858661940628,7.497569124423963,75.76632631578947,6.580304222397062,85.96004711425206,3.3170308590492072,28.164108582949307,28.328417207792207,7.299142228739002,79.76165334981594,5.798301401956745,21.263889339826836,71.03285714285713,66.58,2494.0,47.13912389735364,27.76164835164835,1269.0,55.02601260835303,28.83484848484848,4603.0,76.0802498370628,7.1747954173486095,8366.0,59.41512878092315,21.25709741794848,0.032464552508297155,0.03033772906244149,0.32713123648371606,0.33343655051985,0.009057794483443085,0.008901543094882235,0.23442520607212522,0.008911246594435311,"[[0.5949454947380551, 0, 0], [0, 0.6540843214756259, 0.5556269893794712], [0, 0.5804946287644839, 0.7729288499025343]]",0.0,0.0,0.5680608090719775,0.1893536030239925,0.4727513745555895,0.40852452240560533,0.0027494120533295753,0.20687002472304608,0.19890508562922968,32.67951780949054,35.06662606798888,0.5351923815721132,0.0633660269846568,0.05549503529473048,206.1353353346713,1910.696879272142,68.0,22.0,0.6242609040372556,0.10788489664210693
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g3p_7q0i/seed-1_sample-2/model.cif,8g3p_7q0i,1,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g3p_7q0i/seed-1_sample-2/confidences.json,"[0.1, 0.47, 0.47]","[[0.84, 0.1, 0.1], [0.1, 0.79, 0.84], [0.1, 0.84, 0.87]]","[[0.76, 23.51, 27.23], [17.35, 0.76, 1.33], [17.22, 1.33, 0.76]]","[0.84, 0.79, 0.87]",0.0,0.0,0.35,0.52,0.38,custom,0.1,0.47,0.47,0.84,0.79,0.87,0.1,0.1,0.84,20.43,22.225,1.33,77.30439078422685,7.602672811059908,75.84463157894737,6.4256359821662725,85.98201413427563,3.3307422852376978,28.260139688940093,28.372099025974027,7.265956744868035,79.71034549914995,5.786350359487959,21.299398486594054,71.24428571428571,66.56375,3442.0,53.27786316095293,28.292160087719296,982.0,56.10817718940937,28.577210884353743,4298.0,77.51134481154025,6.288681818181819,8722.0,62.29912838730085,21.05268426341829,0.0692690050940793,0.022737987669535234,0.3366132644230697,0.3210214044141363,0.00951900309750328,0.009271981678585397,0.31624745909099666,0.009458560856829756,"[[0.5936628333096055, 0, 0], [0, 0.65111259882683, 0.5533993508539736], [0, 0.5773432784906453, 0.7718522342683417]]",0.0,0.0,0.5653713146723094,0.1884571048907698,0.46539147609743253,0.39941983841454964,0.002715576009031,0.21074420879859318,0.1859600536069255,33.405027279542736,35.06662606798888,0.5242526767218071,0.060809032955983396,0.05549503529473048,106.84008415077022,2036.079416751746,71.0,24.0,0.6621747463571295,0.05247343658196657
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g3p_7q0i/seed-1_sample-3/model.cif,8g3p_7q0i,1,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g3p_7q0i/seed-1_sample-3/confidences.json,"[0.1, 0.47, 0.47]","[[0.84, 0.1, 0.1], [0.1, 0.79, 0.83], [0.1, 0.83, 0.87]]","[[0.76, 24.84, 27.34], [17.41, 0.76, 1.39], [18.11, 1.36, 0.76]]","[0.84, 0.79, 0.87]",0.0,0.0,0.34,0.52,0.38,custom,0.1,0.47,0.47,0.84,0.79,0.87,0.1,0.1,0.83,21.125,22.725,1.375,77.29023482498893,7.634622375832054,75.84725263157895,6.4944728560188825,85.98812720848058,3.3302418682235193,28.31746111751152,28.74275324675325,7.2595857771261,79.70853822168283,5.819779033358152,21.439933380463625,70.89142857142858,66.80625,2733.0,47.058929747530186,27.704901960784316,723.0,58.66417012448133,28.767788461538466,4850.0,74.80174948453609,7.250123051681706,8306.0,60.17494978551587,21.240937824668162,0.03598048738386007,0.0226544285359926,0.29771004847823523,0.3034323484862095,0.009150009487384071,0.008909759686635443,0.1625921045352073,0.009018427999432725,"[[0.5907040329895168, 0, 0], [0, 0.6501723298482984, 0.551957415427101], [0, 0.5730924402663533, 0.7698369409608888]]",0.0,0.0,0.5625249278467271,0.18750830928224238,0.45968629872633887,0.3924550846249724,0.002975246455617222,0.196509705213738,0.19297013295561719,32.343032017574714,35.06662606798888,0.5403377681551101,0.06460573795722606,0.05549503529473048,82.4204162623713,1777.2309075395667,69.0,19.0,0.6721416466896957,0.04637575000114968
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g3p_7q0i/seed-1_sample-4/model.cif,8g3p_7q0i,1,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g3p_7q0i/seed-1_sample-4/confidences.json,"[0.12, 0.48, 0.48]","[[0.84, 0.12, 0.12], [0.12, 0.8, 0.84], [0.12, 0.84, 0.87]]","[[0.76, 24.08, 25.16], [17.28, 0.76, 1.38], [16.89, 1.31, 0.76]]","[0.84, 0.8, 0.87]",0.0,0.0,0.36,0.53,0.39,custom,0.12,0.48,0.48,0.84,0.8,0.87,0.12,0.12,0.84,20.68,21.025,1.345,77.81889233495791,7.577415514592933,76.45924210526316,6.365958562811434,86.19030624263839,3.3388240200166805,27.425645161290323,27.73217857142857,7.18282991202346,80.1561468942865,5.760732699140349,20.780217881580786,72.38714285714286,67.1575,4438.0,57.32709215863001,27.260662768031185,1252.0,68.46907348242812,27.591190476190473,4647.0,76.28571981923821,6.737568134171907,10337.0,67.36062848676545,20.52980712613119,0.1495334419778829,0.042457571337378666,0.3286657969132814,0.39613034423565185,0.009537421377507491,0.010278831826934526,0.20704822572586598,0.009664641409603894,"[[0.5983657777426077, 0, 0], [0, 0.651463089802131, 0.5579954531201003], [0, 0.5772638334507317, 0.7715982736866255]]",0.0,0.0,0.567629643285416,0.18920988109513867,0.4597093746834329,0.4102458999584996,0.004161739176154469,0.22119721462421263,0.18488694615813248,47.60105211498712,35.06662606798888,0.3517832252655415,0.030901024750766042,0.05549503529473048,104.42048073035485,2675.4536696818027,97.0,39.0,0.6733472637166996,0.0390290745504757
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g3p_7q0i/seed-2_sample-0/model.cif,8g3p_7q0i,2,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g3p_7q0i/seed-2_sample-0/confidences.json,"[0.1, 0.47, 0.47]","[[0.85, 0.1, 0.1], [0.1, 0.8, 0.85], [0.1, 0.85, 0.88]]","[[0.76, 25.91, 27.82], [18.33, 0.76, 1.42], [19.11, 1.37, 0.76]]","[0.85, 0.8, 0.88]",0.0,0.0,0.34,0.52,0.38,custom,0.1,0.47,0.47,0.85,0.8,0.88,0.1,0.1,0.85,22.119999999999997,23.465,1.395,77.60770934869295,7.284484126984127,76.54664210526316,6.245921846315237,86.70996466431095,3.1097748123436193,28.340440668202763,28.71697402597403,7.0144391495601175,80.28810537275568,5.546726928547661,21.35728461457897,72.57857142857144,70.9575,2669.0,47.55596478081679,28.636521136521136,106.0,47.101933962264155,29.049999999999997,5308.0,74.57468161266013,7.176916996047431,8083.0,56.41086011858036,21.62114604418952,0.04090844092089478,0.0,0.3456284872807985,0.3456284872807985,0.008868522214021648,0.0,0.16566693803338417,0.008918831315979786,"[[0.5918841512927534, 0, 0], [0, 0.6576872502908007, 0.559373836992929], [0, 0.5746784051966651, 0.7748725248576527]]",0.0,0.0,0.5670261210947971,0.18900870703159903,0.4849942530295904,0.42283578302222113,0.0025336186827736138,0.234343943423772,0.18595822091567552,43.236927397053215,35.06662606798888,0.3967823569672798,0.03721000867579659,0.05549503529473048,190.6395157882396,1604.5778493278906,64.0,13.0,0.49679538903230097,0.11880976411838963
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g3p_7q0i/seed-2_sample-1/model.cif,8g3p_7q0i,2,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g3p_7q0i/seed-2_sample-1/confidences.json,"[0.15, 0.5, 0.5]","[[0.85, 0.15, 0.14], [0.15, 0.8, 0.85], [0.14, 0.85, 0.88]]","[[0.76, 22.38, 24.3], [15.2, 0.76, 1.29], [16.02, 1.25, 0.76]]","[0.85, 0.8, 0.88]",0.0,0.0,0.38,0.54,0.41,custom,0.15,0.5,0.5,0.85,0.8,0.88,0.15,0.14,0.85,18.79,20.16,1.27,78.00369517058041,7.338462621607784,76.73444210526316,6.3473905061631255,86.76898704358068,3.2135946622185156,26.721065668202762,26.858624999999996,7.045179618768328,80.50237477314141,5.633149263329808,20.20829009565703,72.73857142857143,70.98375,2836.0,54.37252291960507,26.223045267489713,1088.0,70.3662775735294,26.72,4776.0,76.36433940536013,6.6604782608695645,8700.0,67.03437996616486,19.867841176119757,0.059136825075223484,0.03820721631552802,0.337067758000917,0.39617766259252474,0.009908441206669609,0.010402663402911171,0.2013234606236227,0.009990330486056027,"[[0.5929891008174388, 0, 0], [0, 0.6537683637284701, 0.5592880485527544], [0, 0.5835942520757821, 0.7718208585815481]]",0.0,0.0,0.5714411503142682,0.1904803834380894,0.4866507578233264,0.4318895048594972,0.003390148221994704,0.21474306286503414,0.21375629377246833,28.146524337011098,35.06662606798888,0.6081760948907861,0.08357656018568126,0.05549503529473048,-0.3206397066783637,1797.9814062692078,75.0,29.0,0.6514750694151247,-0.0001783331604878427
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g3p_7q0i/seed-2_sample-2/model.cif,8g3p_7q0i,2,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g3p_7q0i/seed-2_sample-2/confidences.json,"[0.1, 0.48, 0.47]","[[0.85, 0.11, 0.1], [0.11, 0.79, 0.85], [0.1, 0.85, 0.88]]","[[0.76, 24.65, 26.4], [17.36, 0.76, 1.38], [17.63, 1.3, 0.76]]","[0.85, 0.79, 0.88]",0.0,0.0,0.35,0.52,0.38,custom,0.1,0.48,0.47,0.85,0.79,0.88,0.11,0.1,0.85,21.005,22.015,1.3399999999999999,77.55047408063801,7.292149257552483,75.2973894736842,6.694826907946499,86.26283863368668,3.157881567973311,28.10602102534562,28.185334415584418,7.232752932551319,79.70356739600295,5.714952577824097,21.174702791160453,71.26571428571428,69.00875,3781.0,47.32717799523935,28.065625,1683.0,58.40042780748663,28.49523809523809,4767.0,76.05050765680723,6.867349498327759,10231.0,60.59270448651106,21.14273753118862,0.0482769151612357,0.043761516515922125,0.3270327852480946,0.3411744319077749,0.009212147710016952,0.008631510793696258,0.26941483447039144,0.00907149819750025,"[[0.5922743338560021, 0, 0], [0, 0.6563493922594414, 0.5555163103199271], [0, 0.5825125865324103, 0.77466328531242]]",0.0,0.0,0.5690144484261688,0.18967148280872292,0.48146578382923233,0.4170112389116132,0.004095936221621693,0.19113545982497968,0.22177984286501182,52.144688621053625,35.06662606798888,0.3114080075089731,0.025883824676373273,0.05549503529473048,202.84900304188602,2335.216229873828,85.0,34.0,0.6529864660192459,0.08686519066067212
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g3p_7q0i/seed-2_sample-3/model.cif,8g3p_7q0i,2,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g3p_7q0i/seed-2_sample-3/confidences.json,"[0.11, 0.47, 0.47]","[[0.85, 0.11, 0.11], [0.11, 0.79, 0.84], [0.11, 0.84, 0.88]]","[[0.76, 25.38, 26.62], [17.33, 0.76, 1.45], [17.6, 1.37, 0.76]]","[0.85, 0.79, 0.88]",0.0,0.0,0.35,0.53,0.38,custom,0.11,0.47,0.47,0.85,0.79,0.88,0.11,0.11,0.84,21.354999999999997,22.11,1.4100000000000001,77.58639787328312,7.255367383512544,75.52862105263158,6.582048255966431,86.07480565371024,3.2111009174311933,28.23225374423963,28.21590422077922,7.334791055718474,79.72994152654165,5.68283885230339,21.260983006912443,71.89,68.535,2572.0,46.15746111975116,28.360382059800667,1287.0,66.96198135198135,28.49409722222222,4535.0,76.90497243660417,7.182444444444444,8394.0,63.341471636112225,21.34564124215578,0.038767091100684326,0.041412866233596385,0.3271403576104711,0.3767400855755779,0.009034466695636048,0.009362360101604987,0.3275734625641585,0.009308478253318288,"[[0.5977086440081189, 0, 0], [0, 0.6477146513115803, 0.5497606861908824], [0, 0.5682496502409452, 0.7738815751980396]]",0.0,0.0,0.5590051682159138,0.1863350560719713,0.469859784067185,0.39447099745152225,0.002815071961014391,0.18784068913488175,0.20381523635562612,57.68732767432624,35.06662606798888,0.2698122507491033,0.021249513922337128,0.05549503529473048,72.75764139879035,1829.67246650839,73.0,35.0,0.7176273660588173,0.03976539120011768
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g3p_7q0i/seed-2_sample-4/model.cif,8g3p_7q0i,2,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g3p_7q0i/seed-2_sample-4/confidences.json,"[0.13, 0.49, 0.49]","[[0.84, 0.14, 0.13], [0.14, 0.8, 0.85], [0.13, 0.85, 0.87]]","[[0.76, 21.88, 24.95], [15.62, 0.76, 1.32], [16.07, 1.27, 0.76]]","[0.84, 0.8, 0.87]",0.0,0.0,0.37,0.53,0.4,custom,0.13,0.49,0.49,0.84,0.8,0.87,0.14,0.13,0.85,18.75,20.509999999999998,1.295,77.79620735489588,7.334326676907322,76.76400000000001,6.334716758457907,86.5488457008245,3.2267472894078404,26.94576756912442,27.148801948051947,7.075564516129032,80.3696843519068,5.631930241591022,20.39004467776847,72.73,70.7175,3117.0,52.95559672762271,25.840916666666665,1029.0,69.22518950437318,26.926644736842103,4825.0,76.40689222797927,6.489904046725073,8971.0,66.19589281999173,19.75248848341128,0.04756907749911646,0.04721240285478712,0.33681519810046673,0.4069082038577598,0.00984857761037473,0.010135710228062493,0.17813975070999763,0.009979130969645506,"[[0.5885928367118518, 0, 0], [0, 0.6541625584628998, 0.5563273332089784], [0, 0.5799512903557476, 0.7718259730645483]]",0.0,0.0,0.568139311782363,0.189379770594121,0.47260505263235175,0.41513759748472134,0.0033927771857561765,0.1985338130092473,0.21321100728971787,27.35733167164575,35.06662606798888,0.6216436600683132,0.08803743697276062,0.05549503529473048,182.137528289358,1828.083573056506,76.0,21.0,0.730004112166271,0.09963304247892178
