pdb,query,seed,sample,data_file,chain_iptm,chain_pair_iptm,chain_pair_pae_min,chain_ptm,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,format,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,plddt_H3,plddt_L3,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS,LIS_AH,LIS_AL,LIS_HL,avg_LIS,piTM,pIS,piTM_A,piTM_H,piTM_L,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g4p_8il3/seed-1_sample-0/model.cif,8g4p_8il3,1,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g4p_8il3/seed-1_sample-0/confidences.json,"[0.75, 0.84, 0.82]","[[0.9, 0.77, 0.73], [0.77, 0.88, 0.9], [0.73, 0.9, 0.89]]","[[0.76, 2.16, 3.03], [2.16, 0.76, 0.98], [2.97, 1.01, 0.76]]","[0.9, 0.88, 0.89]",0.0,0.0,0.81,0.84,0.82,custom,0.75,0.84,0.82,0.9,0.88,0.89,0.77,0.73,0.9,2.16,3.0,0.995,91.02479277364506,3.703052694432005,90.66412065439674,3.475517964857068,92.58163895486936,2.8802668890742287,8.794153225806452,8.786312695924764,4.618760997067448,91.4235174609704,3.352945849454434,7.399742306266222,94.99714285714285,95.19624999999999,2883.0,88.59460110995491,4.278787878787878,363.0,87.27691460055095,3.8041666666666663,4980.0,93.10977008032128,3.0308274231678487,8226.0,89.66042859694238,3.704593989540798,0.2595920186673964,0.0406156089931687,0.5638116457740933,0.5918289607955585,0.6721875238853984,0.6181533811064347,0.7806333337453792,0.6968485370343888,"[[0.7344805382027871, 0.37310318464620906, 0.347611352233201], [0.3726853984339014, 0.7324694108259077, 0.6342968810463586], [0.3771613436123349, 0.6985288167311535, 0.7974783210462392]]",0.37289429154005527,0.3623863479227679,0.6664128488887561,0.46723116278385973,0.6960422242223271,0.6857846227103236,0.07478752347298231,0.3148539277644599,0.2961431714728814,1.5373764053511383,1.4933450062553362,0.4854747100662053,0.9683230865537246,0.9700580433259962,21.42659550587655,1394.2679627831494,55.0,10.0,0.7303663204978978,0.015367630956036698
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g4p_8il3/seed-1_sample-1/model.cif,8g4p_8il3,1,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g4p_8il3/seed-1_sample-1/confidences.json,"[0.73, 0.82, 0.8]","[[0.9, 0.75, 0.71], [0.75, 0.88, 0.9], [0.71, 0.9, 0.88]]","[[0.76, 2.38, 3.32], [2.4, 0.76, 1.02], [3.51, 1.05, 0.76]]","[0.9, 0.88, 0.88]",0.0,0.0,0.79,0.82,0.79,custom,0.73,0.82,0.8,0.9,0.88,0.88,0.75,0.71,0.9,2.3899999999999997,3.415,1.0350000000000001,90.74065887353878,3.736619271533065,90.38904907975461,3.4936401783372673,92.27720902612828,2.9584737281067555,9.495625347608454,9.57532327586207,4.722162756598241,91.13563899314056,3.3962443926590296,7.9310371266895885,94.5257142857143,94.70625,3009.0,87.60228481222998,4.943681917211329,388.0,86.30255154639175,4.333333333333333,4989.0,92.6501583483664,3.0847754137115837,8386.0,88.85166490232939,4.120596888085415,0.24825510181813465,0.04465678657973601,0.5512229005528743,0.5837984463560791,0.5799349018247603,0.5281867241340641,0.789447407926106,0.6167856972332489,"[[0.7320388069460203, 0.3228890171186767, 0.29662646305482604], [0.3275484244637018, 0.728028796216491, 0.6260749156297498], [0.3231445599201456, 0.6876815444562522, 0.7918398213326548]]",0.32521872079118924,0.30988551148748583,0.6568782300430009,0.430660820773892,0.6799052872976025,0.665786106609535,0.06539355257388933,0.3240351162577419,0.2763574377779037,1.1573553392784364,1.4933450062553362,0.6247507044906211,0.9817980567571293,0.9700580433259962,-3.41500563231898,1477.5691148925232,57.0,10.0,0.728310120087112,-0.002311232414036608
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g4p_8il3/seed-1_sample-2/model.cif,8g4p_8il3,1,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g4p_8il3/seed-1_sample-2/confidences.json,"[0.72, 0.82, 0.8]","[[0.9, 0.74, 0.7], [0.74, 0.87, 0.89], [0.7, 0.89, 0.88]]","[[0.76, 2.58, 3.47], [2.48, 0.76, 1.04], [3.86, 1.07, 0.76]]","[0.9, 0.87, 0.88]",0.0,0.0,0.78,0.81,0.79,custom,0.72,0.82,0.8,0.9,0.87,0.88,0.74,0.7,0.89,2.5300000000000002,3.665,1.0550000000000002,90.41425611052072,3.8109923122854155,90.10173824130881,3.5322842905848413,92.06471496437054,2.98743953294412,9.86960685483871,9.919028213166143,4.787452346041056,90.86023643873335,3.443572045271459,8.192029138015302,94.26,94.41,3107.0,87.37573060830384,5.212380952380952,378.0,85.96978835978837,4.5476190476190474,5089.0,92.35473668697192,3.4419444444444447,8574.0,88.56675188502139,4.400648148148148,0.2547616656267294,0.0393673914012376,0.5395552008218791,0.5687179983446041,0.5476821981458199,0.4941182663432695,0.775951838141025,0.5829234739729758,"[[0.7292248405841819, 0.30298903443695513, 0.27578165602105653], [0.3077989357658685, 0.724916567210361, 0.6206972604859929], [0.30325842948861853, 0.6833061374215746, 0.7901513223023618]]",0.3053939851014118,0.28952004275483756,0.6520016989537838,0.41563857560334433,0.6750095210872274,0.6601388371316447,0.061922183568710175,0.32782259150914383,0.2703940620537907,1.2264666916308546,1.4933450062553362,0.5971880661068676,0.9796049563733333,0.9700580433259962,2.9386711164906956,1433.3193091885585,57.0,8.0,0.6769385392435744,0.002050255722958451
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g4p_8il3/seed-1_sample-3/model.cif,8g4p_8il3,1,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g4p_8il3/seed-1_sample-3/confidences.json,"[0.74, 0.83, 0.81]","[[0.9, 0.76, 0.72], [0.76, 0.88, 0.9], [0.72, 0.9, 0.89]]","[[0.76, 2.21, 3.19], [2.31, 0.76, 1.0], [3.12, 1.03, 0.76]]","[0.9, 0.88, 0.89]",0.0,0.0,0.8,0.83,0.8,custom,0.74,0.83,0.81,0.9,0.88,0.89,0.76,0.72,0.9,2.26,3.1550000000000002,1.0150000000000001,90.89770456960679,3.744441334527541,90.35666666666665,3.5572777340676627,92.35679334916864,2.9101501251042534,9.326661568409342,9.210950235109717,4.733174486803519,91.2037215284807,3.403956397899819,7.75692876344086,94.80428571428571,94.8825,2769.0,88.27105994944023,4.622375,431.0,87.123283062645,4.120987654320987,5148.0,92.78891122766122,3.121229314420804,8348.0,89.3944180799155,3.9548639895805966,0.22409826572435473,0.05671630468768042,0.56734550994939,0.6026308378517443,0.6295647178143405,0.5731509637021014,0.7620797649097588,0.6679781639966386,"[[0.7333160073154298, 0.34394533354887374, 0.3197868418565082], [0.3420151554629147, 0.7291697256891144, 0.6300433627627159], [0.3466877999856723, 0.6923990588949605, 0.795465592765296]]",0.34298024450589426,0.33323732092109026,0.6612212108288382,0.44581292541860756,0.6826973502763757,0.6720891961279092,0.07058433006353591,0.3204904619372949,0.28101440412707834,1.3041062313749978,1.4933450062553362,0.5673387053624072,0.9770023377432191,0.9700580433259962,-6.120523403564221,1345.7710418493052,55.0,10.0,0.7126827696358161,-0.004547967829025092
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g4p_8il3/seed-1_sample-4/model.cif,8g4p_8il3,1,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g4p_8il3/seed-1_sample-4/confidences.json,"[0.74, 0.83, 0.81]","[[0.9, 0.76, 0.71], [0.76, 0.88, 0.9], [0.71, 0.9, 0.89]]","[[0.76, 2.33, 3.23], [2.39, 0.76, 1.01], [3.44, 1.03, 0.76]]","[0.9, 0.88, 0.89]",0.0,0.0,0.8,0.83,0.8,custom,0.74,0.83,0.81,0.9,0.88,0.89,0.76,0.71,0.9,2.3600000000000003,3.335,1.02,90.8562592986185,3.733523660247798,90.42323108384458,3.5234526619459743,92.39229216152019,2.9218515429524605,9.342620272525025,9.330693573667713,4.703724340175953,91.2239275146611,3.392942621715411,7.792346062122896,94.61571428571428,94.95375,2925.0,87.81372991452992,4.716114285714286,416.0,85.5894591346154,4.20375,5078.0,92.69648877510832,3.080217292892712,8419.0,88.69989260808454,4.000027192868999,0.2625532182010709,0.04010247036095435,0.5575426950679309,0.5860710052024616,0.6056232594040745,0.577748670036473,0.7841415059891761,0.6455203627294053,"[[0.7325324025999, 0.33792135211572544, 0.3120085917189779], [0.3382788229828993, 0.7285685805422647, 0.6292940461411132], [0.3376642240818627, 0.6923870420967415, 0.7941781112241437]]",0.33810008754931237,0.3248364079004203,0.6608405441189273,0.44125901318955335,0.6795870285527933,0.6699648334793362,0.07276272460127918,0.3227181433057779,0.27448396557227905,1.1715364052700123,1.4933450062553362,0.6190233814537842,0.9813576339492983,0.9700580433259962,-5.929500750896636,1462.0748497381883,57.0,9.0,0.6557897969685648,-0.004055538437008491
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g4p_8il3/seed-2_sample-0/model.cif,8g4p_8il3,2,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g4p_8il3/seed-2_sample-0/confidences.json,"[0.74, 0.83, 0.81]","[[0.9, 0.76, 0.72], [0.76, 0.87, 0.9], [0.72, 0.9, 0.88]]","[[0.76, 2.24, 3.15], [2.29, 0.76, 1.03], [3.39, 1.04, 0.76]]","[0.9, 0.87, 0.88]",0.0,0.0,0.8,0.83,0.8,custom,0.74,0.83,0.81,0.9,0.87,0.88,0.76,0.72,0.9,2.265,3.27,1.0350000000000001,90.81725823591924,3.7849791013584113,90.3728118609407,3.524901652242329,92.42685273159145,2.9525771476230194,9.303908857063405,9.281888714733544,4.749695747800587,91.20564094281713,3.42081930040792,7.778497773199178,94.64,94.73125,2978.0,87.65946608462056,4.680982905982906,379.0,86.58275725593667,4.052380952380952,5136.0,92.57381035825544,3.0879278445883442,8493.0,88.93867789960423,3.9404305676507345,0.2515680416242189,0.039921461153211144,0.5598094743394243,0.5874815522276166,0.6053767845457866,0.5739311461023967,0.7848307501430015,0.6500728627446252,"[[0.7325560337617891, 0.34582639086438816, 0.32316885757518443], [0.33869868476385206, 0.7268816668879741, 0.6269823988386862], [0.3383605111747188, 0.688374063954665, 0.7918369798733605]]",0.3422625378141201,0.33076468437495166,0.6576782313966756,0.4435684845285824,0.675435876219879,0.6658711002246551,0.07535282283386618,0.3171752134013687,0.27334306398942015,1.208704424435184,1.4933450062553362,0.6041863181811583,0.980179796069888,0.9700580433259962,6.204424258648032,1444.9312717117762,57.0,10.0,0.6985398949703181,0.004293923441284371
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g4p_8il3/seed-2_sample-1/model.cif,8g4p_8il3,2,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g4p_8il3/seed-2_sample-1/confidences.json,"[0.75, 0.84, 0.82]","[[0.9, 0.77, 0.73], [0.77, 0.88, 0.9], [0.73, 0.9, 0.88]]","[[0.76, 2.06, 2.94], [2.03, 0.76, 1.0], [2.85, 1.01, 0.76]]","[0.9, 0.88, 0.88]",0.0,0.0,0.81,0.84,0.82,custom,0.75,0.84,0.82,0.9,0.88,0.88,0.77,0.73,0.9,2.045,2.895,1.005,91.01365568544102,3.780534408120615,90.58536809815952,3.5289142407553107,92.63599762470308,2.9281317764804005,8.83236060901001,8.756918103448276,4.702019794721408,91.41167380276788,3.4125268084521085,7.430432835726566,94.9457142857143,95.02625,2770.0,88.2583285198556,4.2896,425.0,87.39267058823528,3.7263888888888883,4989.0,92.92223391461215,3.0566319601629695,8184.0,89.52441100756766,3.690873616350619,0.23705505052754763,0.04557091088368724,0.5563147128409702,0.5887921354823294,0.6580046828797713,0.622277431857047,0.803525094501608,0.6968189866917198,"[[0.7305651317014298, 0.37503363572180265, 0.35648842882065057], [0.3758046436027856, 0.7288075907810386, 0.6322525575115543], [0.3818872715441634, 0.6926726863444369, 0.7936375067107457]]",0.3754191396622941,0.36918785018240696,0.6624626219279957,0.4690232039242322,0.6846734382227877,0.679892121285752,0.0855722867082094,0.31604029348605234,0.2782795410914904,1.3365122990159972,1.4933450062553362,0.555251011171493,0.9758731059380832,0.9700580433259962,-2.5528455249350372,1337.2487620092136,58.0,10.0,0.6969394560446508,-0.0019090281460417222
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g4p_8il3/seed-2_sample-2/model.cif,8g4p_8il3,2,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g4p_8il3/seed-2_sample-2/confidences.json,"[0.72, 0.81, 0.8]","[[0.9, 0.73, 0.7], [0.73, 0.87, 0.89], [0.7, 0.89, 0.88]]","[[0.76, 2.37, 3.29], [2.45, 0.76, 1.03], [3.66, 1.04, 0.76]]","[0.9, 0.87, 0.88]",0.0,0.0,0.79,0.82,0.79,custom,0.72,0.81,0.8,0.9,0.87,0.88,0.73,0.7,0.89,2.41,3.475,1.0350000000000001,90.864697130712,3.7473876698014634,90.15282208588958,3.584546289011277,92.43125890736341,2.9421934945788153,9.690317366518354,9.570670062695926,4.783449413489736,91.14959270798833,3.4247091511305183,8.014812280901339,94.25142857142858,94.40375,2870.0,87.00243902439024,5.011640211640212,395.0,85.95464556962025,4.309722222222222,5029.0,92.48855040763571,3.177520814061054,8294.0,88.48187833388208,4.1662944159744955,0.23299327641927245,0.04946319484467046,0.5571753169987325,0.5907924468442183,0.571340200150383,0.5266711688471215,0.7745329166239308,0.6109152627824672,"[[0.7317357280595542, 0.31998727317513753, 0.3036744467248978], [0.313883813699965, 0.7241234493930719, 0.6232268673790395], [0.313465066051273, 0.6889953454251094, 0.7927243182139324]]",0.31693554343755126,0.30856975638808537,0.6561111064020745,0.42720546874257037,0.6703053524095695,0.6577846722446243,0.06474660604070478,0.3140144981696237,0.27902356803429584,1.4702381369177295,1.4933450062553362,0.5077964624540386,0.9709507634019383,0.9700580433259962,-3.759910062117001,1360.56796651877,56.0,10.0,0.6683255736121213,-0.002763485657932496
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g4p_8il3/seed-2_sample-3/model.cif,8g4p_8il3,2,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g4p_8il3/seed-2_sample-3/confidences.json,"[0.75, 0.83, 0.82]","[[0.9, 0.77, 0.73], [0.77, 0.88, 0.9], [0.73, 0.9, 0.89]]","[[0.76, 2.2, 2.96], [2.05, 0.76, 0.98], [2.69, 1.0, 0.76]]","[0.9, 0.88, 0.89]",0.0,0.0,0.81,0.84,0.82,custom,0.75,0.83,0.82,0.9,0.88,0.89,0.77,0.73,0.9,2.125,2.825,0.99,90.91922422954305,3.8244084938050458,90.32825153374233,3.619341725675321,92.77415676959619,2.860433694745621,9.017020647942157,8.794892241379312,4.727697947214076,91.34054417762718,3.4347279714086625,7.513203612178515,94.87571428571428,95.24125000000001,3103.0,87.79661134386079,4.400510204081633,387.0,87.72979328165374,3.715873015873016,5182.0,92.44541972211502,3.4583924349881796,8672.0,89.32394144920984,3.85825855164761,0.2553772396313663,0.051844559364720336,0.5623833474404305,0.5966958590045786,0.6381693447638574,0.6167946505069237,0.7152829160947607,0.667931441805705,"[[0.7330496126120922, 0.3652532555724215, 0.3498124218424344], [0.3696383414565233, 0.7316116304615868, 0.636355122929197], [0.38131610534491284, 0.6990986549352751, 0.7988773089306898]]",0.3674457985144724,0.3655642635936736,0.6677268889322361,0.46691231701346075,0.7029104399953496,0.6916342016995576,0.08780775086567538,0.33775774407628745,0.2660687067575948,1.351094886405931,1.4933450062553362,0.549885125642858,0.9753567854139552,0.9700580433259962,-12.294374590472898,1445.0044281570008,57.0,5.0,0.696897670414779,-0.008508191636584455
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g4p_8il3/seed-2_sample-4/model.cif,8g4p_8il3,2,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8g4p_8il3/seed-2_sample-4/confidences.json,"[0.73, 0.82, 0.81]","[[0.9, 0.75, 0.72], [0.75, 0.87, 0.89], [0.72, 0.89, 0.88]]","[[0.76, 2.15, 3.03], [2.27, 0.76, 1.03], [3.23, 1.04, 0.76]]","[0.9, 0.87, 0.88]",0.0,0.0,0.8,0.83,0.8,custom,0.73,0.82,0.81,0.9,0.87,0.88,0.75,0.72,0.89,2.21,3.13,1.0350000000000001,90.82083953241234,3.7710535154500673,90.25221881390593,3.566194597429845,92.48585510688835,2.9520934111759805,9.337068965517242,9.2114263322884,4.796286656891495,91.18630448440221,3.4297805080186308,7.781593984899047,94.41142857142857,94.77625,2850.0,87.56088421052631,4.675757575757576,436.0,86.07715596330276,4.00875,5097.0,92.56824700804394,3.1013876040703052,8383.0,88.73542906062433,3.9286317266092934,0.24105260301674947,0.03990900390275132,0.55711733411365,0.5835431125350639,0.6172198764127504,0.5775656797883058,0.7891621100622819,0.6682859295957111,"[[0.7308899885117225, 0.3440116657182342, 0.3309624169924175], [0.33839742181205595, 0.7251241547500277, 0.6261910343570107], [0.3429106642874759, 0.6867227028941509, 0.7915875370919881]]",0.3412045437651451,0.3369365406399467,0.6564568686255808,0.44486598434355756,0.6803582243372647,0.6686485431164633,0.07304701003870014,0.3161759836280751,0.2794255494496881,1.1524114661025437,1.4933450062553362,0.6267557314552469,0.9819504302203372,0.9700580433259962,-3.096148179422471,1430.863910183683,54.0,8.0,0.6461601505107046,-0.002163831345096273
