pdb,query,seed,sample,data_file,chain_iptm,chain_pair_iptm,chain_pair_pae_min,chain_ptm,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,format,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,plddt_H3,plddt_L3,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS,LIS_AH,LIS_AL,LIS_HL,avg_LIS,piTM,pIS,piTM_A,piTM_H,piTM_L,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zf9_7su0/seed-1_sample-0/model.cif,7zf9_7su0,1,0,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zf9_7su0/seed-1_sample-0/confidences.json,"[0.53, 0.7, 0.72]","[[0.83, 0.52, 0.54], [0.52, 0.89, 0.89], [0.54, 0.89, 0.89]]","[[0.76, 5.22, 5.73], [4.56, 0.76, 1.13], [4.49, 1.13, 0.76]]","[0.83, 0.89, 0.89]",0.0,0.0,0.75,0.81,0.76,custom,0.53,0.7,0.72,0.83,0.89,0.89,0.52,0.54,0.89,4.89,5.11,1.13,83.24713958810068,4.614544650751547,90.6588400900901,2.721483413008837,91.071907654921,2.8319826707441385,11.850086918730986,11.467948717948717,4.227795055201369,88.32596244437059,3.3893369115015077,9.181943563960358,86.03285714285714,83.9375,2650.0,70.9842962264151,11.081024667931688,1651.0,80.80409145972138,8.559319526627219,3934.0,88.43712887646163,2.5886965927528394,8235.0,80.0751721875327,7.409680262437249,0.13274596013233533,0.11703572822218304,0.44047196029330915,0.5317365117470195,0.029719134762691706,0.18886517091724675,0.6582181861221897,0.05485745798438028,"[[0.6871494838625376, 0.14238993710691822, 0.17759813528119248], [0.2619758168253152, 0.7960026507137473, 0.6875355897927146], [0.2706962415280345, 0.665180083624431, 0.7815638440285967]]",0.2021828769661167,0.2241471884046135,0.6763578367085727,0.36756263402643435,0.6309850528065806,0.5967006169678075,0.04346540105121334,0.2960157103601546,0.2572195055564396,7.609530011151389,11.25798691350465,0.6864022748900895,0.5551075980631794,0.3630794313665904,32.05614634799281,1910.45311495328,77.0,24.0,0.7608345277742449,0.01677934208229797
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zf9_7su0/seed-1_sample-1/model.cif,7zf9_7su0,1,1,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zf9_7su0/seed-1_sample-1/confidences.json,"[0.52, 0.7, 0.7]","[[0.83, 0.52, 0.53], [0.52, 0.89, 0.88], [0.53, 0.88, 0.88]]","[[0.76, 5.57, 5.93], [4.99, 0.76, 1.19], [4.74, 1.18, 0.76]]","[0.83, 0.89, 0.88]",0.0,0.0,0.74,0.81,0.75,custom,0.52,0.7,0.7,0.83,0.89,0.88,0.52,0.53,0.88,5.28,5.335,1.185,83.39409610983982,4.571175950486295,90.36728603603603,2.778885991597856,90.82810449574727,2.823870200475705,12.057822685788787,11.65780600642986,4.3206072150520916,88.1964955472077,3.3913107141866186,9.345411969090247,85.92857142857143,84.2475,2337.0,71.76782841249465,11.094252873563219,1613.0,80.771664600124,9.400397877984084,4160.0,87.80962740384614,2.726111111111111,8110.0,80.11637347215493,7.7402539542194715,0.12374232580519381,0.11338718598536372,0.43200187538329016,0.5271985889398969,0.02992366022420605,0.16623191956886674,0.6408802011203536,0.06618530782921778,"[[0.6868018686237769, 0.14249151214416295, 0.160346570161711], [0.253535595882045, 0.79118262307842, 0.6758843320301072], [0.26338947796440526, 0.656673522122027, 0.7783523517556559]]",0.19801355401310397,0.21186802406305813,0.6662789270760672,0.3587201683840764,0.6063112398411367,0.5694649466889045,0.045506809508598596,0.27320927280680163,0.25074886437350424,7.261668700875414,11.25798691350465,0.706186954932183,0.5780840195579534,0.3630794313665904,11.781219459222939,1772.796103480438,69.0,11.0,0.7349385824307898,0.0066455580741031
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zf9_7su0/seed-1_sample-2/model.cif,7zf9_7su0,1,2,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zf9_7su0/seed-1_sample-2/confidences.json,"[0.52, 0.7, 0.71]","[[0.82, 0.52, 0.53], [0.52, 0.89, 0.88], [0.53, 0.88, 0.89]]","[[0.76, 5.95, 5.97], [5.18, 0.76, 1.11], [5.23, 1.13, 0.76]]","[0.82, 0.89, 0.89]",0.0,0.0,0.75,0.81,0.76,custom,0.52,0.7,0.71,0.82,0.89,0.89,0.52,0.53,0.88,5.5649999999999995,5.6,1.12,82.77925629290617,4.914537282640731,90.4774436936937,2.819006229175721,90.8772539489672,2.7688073394495416,12.453835289004783,12.093374108053006,4.2734333696159235,88.0446513118557,3.500783617088665,9.60688092222457,87.22285714285714,84.2975,2327.0,70.63060593038247,11.768129571577848,1538.0,79.62762353706113,10.845571428571429,4048.0,88.47684165019763,2.642070707070707,7913.0,79.57835703921374,8.418590569073329,0.1230832641660519,0.11071201702139077,0.43583106456087994,0.5277515098560112,0.020288592649420224,0.12812789147306794,0.6393640877440497,0.0432542815091933,"[[0.6896531180549977, 0.13436885245901642, 0.1391355329128255], [0.24330236585652223, 0.7927796092796093, 0.68774060372098], [0.2480818856998993, 0.6726496066120957, 0.7860497355400103]]",0.1888356091577693,0.1936087093063624,0.6801951051665378,0.3542131412102232,0.6327900736063093,0.5950858389515012,0.028991365745874863,0.29444835678765546,0.271646116417971,7.646611713527482,11.25798691350465,0.6843056933054154,0.5527052425183606,0.3630794313665904,46.53320718265297,1638.0397981963356,70.0,24.0,0.7152442801792229,0.028407861172781775
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zf9_7su0/seed-1_sample-3/model.cif,7zf9_7su0,1,3,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zf9_7su0/seed-1_sample-3/confidences.json,"[0.54, 0.71, 0.72]","[[0.83, 0.53, 0.55], [0.53, 0.89, 0.88], [0.55, 0.88, 0.89]]","[[0.76, 4.92, 5.53], [4.44, 0.76, 1.14], [4.67, 1.16, 0.76]]","[0.83, 0.89, 0.89]",0.0,0.0,0.75,0.81,0.76,custom,0.54,0.71,0.72,0.83,0.89,0.89,0.53,0.55,0.88,4.68,5.1,1.15,82.88883295194508,4.715642499263189,90.62322072072072,2.74266261045922,91.13368165249088,2.7816004077471965,11.817546718817905,11.38727358268643,4.229765977297466,88.21524510838556,3.413301839156535,9.144862092933932,87.07142857142857,83.69624999999999,2084.0,70.03530230326295,10.815343915343917,1570.0,80.50086942675159,9.445767195767196,4059.0,88.1780155210643,2.631663223140496,7713.0,79.57139575035961,7.63092477808387,0.08977500898575293,0.10767170325529454,0.43267769950717405,0.5198740389742258,0.023513292843580544,0.18684730544752337,0.6752706033357351,0.0752048869661285,"[[0.6965133274867786, 0.14857799168672062, 0.1758016730568142], [0.2667702082100696, 0.7941398555482602, 0.6832462369022925], [0.276014793433159, 0.6643202604043119, 0.7827749836615236]]",0.20767409994839509,0.2259082332449866,0.6737832486533022,0.3691218606155613,0.6309780543690771,0.5890540728857776,0.0388963487901976,0.280145909801616,0.270011814293964,7.333173449707271,11.25798691350465,0.7021043798383415,0.5732969795844761,0.3630794313665904,0.6866297252234972,1633.8294589930513,70.0,20.0,0.6867321073085707,0.0004202578925505942
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zf9_7su0/seed-1_sample-4/model.cif,7zf9_7su0,1,4,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zf9_7su0/seed-1_sample-4/confidences.json,"[0.46, 0.67, 0.68]","[[0.82, 0.45, 0.47], [0.45, 0.9, 0.89], [0.47, 0.89, 0.89]]","[[0.76, 6.49, 6.26], [5.24, 0.76, 1.14], [5.25, 1.14, 0.76]]","[0.82, 0.9, 0.89]",0.0,0.0,0.71,0.79,0.73,custom,0.46,0.67,0.68,0.82,0.9,0.89,0.45,0.47,0.89,5.865,5.755,1.14,82.53398169336386,4.745380194518126,90.46979729729729,2.6905765609155443,90.70737545565008,2.8575942915392463,13.320751847023033,12.970269740453224,4.244289379567719,87.90371814877041,3.431183682324306,10.178436989014658,84.84,83.59375,2140.0,69.23735046728972,12.243098958333334,1479.0,79.4891446923597,9.864083175803401,3966.0,87.64449319213313,2.554809725158562,7585.0,78.79032945059417,8.220663953098432,0.09807936855557871,0.08635670676317544,0.4122943162458495,0.4975587962339034,0.019010681592952605,0.11856740484110825,0.6604889424431116,0.03730996110638537,"[[0.6880396347899513, 0.12677571028411364, 0.1317888662593347], [0.21697651499966594, 0.7988385386261918, 0.6903635444923142], [0.21738576779026214, 0.661342390296867, 0.7794969251793645]]",0.1718761126418898,0.1745873170247984,0.6758529673945906,0.3407721323537596,0.6122345881972987,0.5837047943873017,0.029529187546269056,0.2995461577837164,0.25462944905731627,8.799374382285867,11.25798691350465,0.6207644996149917,0.4826996777027626,0.3630794313665904,-2.365141832736981,1642.170783096296,70.0,23.0,0.6299539820023293,-0.00144025326542318
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zf9_7su0/seed-2_sample-0/model.cif,7zf9_7su0,2,0,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zf9_7su0/seed-2_sample-0/confidences.json,"[0.41, 0.64, 0.65]","[[0.82, 0.41, 0.42], [0.41, 0.89, 0.88], [0.42, 0.88, 0.88]]","[[0.76, 8.37, 8.45], [6.95, 0.76, 1.2], [7.01, 1.21, 0.76]]","[0.82, 0.89, 0.88]",0.0,0.0,0.68,0.77,0.7,custom,0.41,0.64,0.65,0.82,0.89,0.88,0.41,0.42,0.88,7.66,7.7299999999999995,1.205,81.71427917620137,4.761494252873563,89.96683558558559,2.816688396349413,90.30929526123938,2.8536102616377845,15.440522236708677,14.858154943934759,4.390269786969368,87.33013667434211,3.4772643036202537,11.562982322537602,84.84142857142858,81.90875,2046.0,69.06025171065494,14.727586206896552,1589.0,77.5401069855255,12.958482758620692,4025.0,87.33662111801242,2.765960743801653,7660.0,77.97899327139761,10.150676569772966,0.09091327917248132,0.11043324753348963,0.4157714541340076,0.5085579202435272,0.017708784356621494,0.047886923172562594,0.6326334547852084,0.027566005443313755,"[[0.677944466377155, 0.1103111111111111, 0.0795309653916211], [0.1454606599681546, 0.7886180048661801, 0.6698660120283144], [0.14440725483464925, 0.6531095904859847, 0.7761612894072246]]",0.12788588553963284,0.11196911011313518,0.6614878012571496,0.30044759896997253,0.6032919320718634,0.5596161498877514,0.018944397156343214,0.2864196075583277,0.25425214517308053,7.60898629193031,11.25798691350465,0.6864330360290667,0.5551428912685481,0.3630794313665904,6.514314710941335,1705.816890441789,73.0,13.0,0.6359741735241838,0.003818882757840553
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zf9_7su0/seed-2_sample-1/model.cif,7zf9_7su0,2,1,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zf9_7su0/seed-2_sample-1/confidences.json,"[0.55, 0.72, 0.72]","[[0.83, 0.54, 0.55], [0.54, 0.89, 0.89], [0.55, 0.89, 0.89]]","[[0.76, 5.35, 5.12], [4.66, 0.76, 1.12], [4.37, 1.12, 0.76]]","[0.83, 0.89, 0.89]",0.0,0.0,0.75,0.82,0.76,custom,0.55,0.72,0.72,0.83,0.89,0.89,0.54,0.55,0.89,5.005,4.745,1.12,83.96229977116704,4.595343353964044,91.26039414414414,2.725966970882225,91.74428918590523,2.7213642541624194,11.384206142256987,11.303767740923705,4.159364795521692,88.98899436707215,3.347558193002896,8.949112892900795,87.18857142857142,85.66875000000002,2291.0,71.23082278481013,10.524691358024691,1498.0,80.90945927903871,9.177454545454545,3828.0,89.3514067398119,2.5724175229853974,7617.0,80.49722960122024,7.42485447548821,0.09963751001634438,0.1094577246506575,0.4423128972265163,0.5330729273339831,0.02880537256157893,0.18465622049786454,0.6761482760235847,0.08823672750178323,"[[0.6981731376262627, 0.1540943669055702, 0.17541430938910793], [0.28299943680102985, 0.7963117745820862, 0.6883593978563258], [0.2771384716261326, 0.6741479519215563, 0.7858678400362782]]",0.21854690185330003,0.22627639050762027,0.6812536748889411,0.37535898908328713,0.6250659235652589,0.5993723178380413,0.031409232195532835,0.29853069686584,0.26943238877666853,7.650925984674809,11.25798691350465,0.6840619385653445,0.5524263357358337,0.3630794313665904,-0.3243393924093425,1688.5465782406254,69.0,14.0,0.6588237712932395,-0.00019208199322951855
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zf9_7su0/seed-2_sample-2/model.cif,7zf9_7su0,2,2,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zf9_7su0/seed-2_sample-2/confidences.json,"[0.43, 0.65, 0.66]","[[0.82, 0.42, 0.44], [0.42, 0.89, 0.87], [0.44, 0.87, 0.88]]","[[0.76, 7.56, 7.49], [6.45, 0.76, 1.2], [6.52, 1.2, 0.76]]","[0.82, 0.89, 0.88]",0.0,0.0,0.69,0.77,0.71,custom,0.43,0.65,0.66,0.82,0.89,0.88,0.42,0.44,0.87,7.005,7.005,1.2,82.25450800915333,4.730621868552903,89.93203828828828,2.824916702882805,90.31523693803159,2.8578916072035336,14.949992756772419,14.284748686583548,4.406340382522159,87.50059441182441,3.4711433928797475,11.213693941959376,85.03,81.9425,1966.0,68.65898016276704,14.346639231824417,1557.0,77.5396981374438,12.486620689655174,4095.0,87.32860317460317,2.772373737373737,7618.0,77.84242715827133,9.868544552951109,0.08045274474466546,0.10458613428304864,0.43032396941965845,0.5179352822073396,0.019084077953037657,0.06284118010607867,0.6280307496306353,0.03199682059262739,"[[0.6835680751173709, 0.11160877513711151, 0.102728285077951], [0.16156544324691718, 0.7876137303556658, 0.6681306036661612], [0.15825889588519548, 0.6510277404213801, 0.7751723697650664]]",0.13658710919201433,0.13049359048157325,0.6595791720437707,0.3088866239057861,0.6084195566859434,0.5623399990679607,0.01971173515505007,0.28778007176633325,0.2548481921465774,7.259971141471003,11.25798691350465,0.7062839653110655,0.5781980630185607,0.3630794313665904,-12.626082583630364,1650.4841121183383,69.0,17.0,0.7056129043854475,-0.007649926764472292
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zf9_7su0/seed-2_sample-3/model.cif,7zf9_7su0,2,3,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zf9_7su0/seed-2_sample-3/confidences.json,"[0.42, 0.65, 0.65]","[[0.83, 0.42, 0.42], [0.42, 0.89, 0.88], [0.42, 0.88, 0.89]]","[[0.76, 8.48, 8.18], [6.64, 0.76, 1.15], [6.64, 1.19, 0.76]]","[0.83, 0.89, 0.89]",0.0,0.0,0.69,0.77,0.7,custom,0.42,0.65,0.65,0.83,0.89,0.89,0.42,0.42,0.88,7.5600000000000005,7.41,1.17,82.07024027459954,4.719643383436487,90.32011261261262,2.777183833116036,90.74818955042528,2.8109751953788646,15.255979284369115,14.578263937896965,4.2959376457782605,87.71284747921247,3.4359341373104626,11.37672695601478,84.9242857142857,81.9175,1758.0,69.25756825938566,14.64985119047619,1452.0,77.84449380165289,12.80014880952381,3819.0,87.64144278606965,2.664845862628448,7029.0,78.24783494903608,10.038281954209483,0.06874443948869369,0.10469418008187119,0.41943319794987693,0.5106689617699744,0.018116806387683447,0.052915393620382,0.6392542531338434,0.02953825942050501,"[[0.6846830800084441, 0.10458440445586974, 0.08831747919143876], [0.15763888888888888, 0.7924928816529168, 0.6779893039591316], [0.1565498761312503, 0.6611407671016212, 0.7804156725744148]]",0.13111164667237932,0.12243367766134453,0.6695650355303764,0.30770345328803345,0.5999148302319213,0.5670231845073322,0.01608637638600057,0.2953925319203379,0.2555442762009938,9.102618178788763,11.25798691350465,0.6046866099925543,0.46580549965905144,0.3630794313665904,-17.98883329860132,1539.6256151403938,69.0,10.0,0.6299266619426953,-0.011683901022237132
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zf9_7su0/seed-2_sample-4/model.cif,7zf9_7su0,2,4,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7zf9_7su0/seed-2_sample-4/confidences.json,"[0.52, 0.69, 0.71]","[[0.83, 0.51, 0.54], [0.51, 0.89, 0.88], [0.54, 0.88, 0.89]]","[[0.76, 5.72, 6.09], [4.93, 0.76, 1.17], [4.68, 1.15, 0.76]]","[0.83, 0.89, 0.89]",0.0,0.0,0.74,0.81,0.75,custom,0.52,0.69,0.71,0.83,0.89,0.89,0.51,0.54,0.88,5.324999999999999,5.385,1.16,83.20898169336384,4.784504862953139,90.56379504504504,2.753498478922208,91.40292831105711,2.6882347944274545,12.587878458641171,12.010566141300087,4.203735810915877,88.39190168315533,3.4087460454342673,9.600726803619045,86.30857142857143,85.35,2282.0,69.87397239263804,12.101153846153847,1637.0,80.79215943799633,10.499587912087911,4059.0,88.8078159645233,2.640810276679842,7978.0,79.82464926505254,8.4138506783072,0.10634223978358609,0.11456558909993975,0.45035043496290283,0.5398919672746338,0.02234134661525145,0.15696053443830082,0.6564601391595032,0.051254806140885026,"[[0.6891235746486343, 0.12852424242424243, 0.15320436977441235], [0.237120737958989, 0.7941768901221945, 0.6806213922804778], [0.25701471869554393, 0.6724260635774157, 0.7887474137686705]]",0.18282249019161573,0.20510954423497813,0.6765237279289468,0.35481858745184686,0.6153853935411048,0.5765163150890092,0.04257019060498511,0.26694885621686654,0.2669972682671576,7.167054487540585,11.25798691350465,0.7115997085352036,0.5844680979029755,0.3630794313665904,3.312750478908015,1682.1961395796015,71.0,22.0,0.7342772722273526,0.0019693009637603296
