pdb,query,seed,sample,data_file,chain_iptm,chain_pair_iptm,chain_pair_pae_min,chain_ptm,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,format,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,plddt_H3,plddt_L3,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS,LIS_AH,LIS_AL,LIS_HL,avg_LIS,piTM,pIS,piTM_A,piTM_H,piTM_L,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8ath_7q6c/seed-1_sample-0/model.cif,8ath_7q6c,1,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8ath_7q6c/seed-1_sample-0/confidences.json,"[0.13, 0.5, 0.5]","[[0.8, 0.14, 0.13], [0.14, 0.88, 0.86], [0.13, 0.86, 0.88]]","[[0.76, 20.29, 19.51], [11.52, 0.76, 1.14], [11.88, 1.2, 0.76]]","[0.8, 0.88, 0.88]",0.0,0.0,0.47,0.6,0.49,custom,0.13,0.5,0.5,0.8,0.88,0.88,0.14,0.13,0.86,15.905,15.695,1.17,79.98562898089172,5.4704991289858365,86.38960264900663,3.2456106040851807,87.76855294117648,2.882704723071696,25.21258968493293,25.42851072212529,5.018220338983051,84.71459485702495,3.866271485380904,18.55310691534709,71.80999999999999,82.55000000000001,2732.0,66.46615300146412,25.950833333333332,1221.0,69.57472153972154,25.473691460055097,3817.0,80.53048336389834,4.341111111111111,7770.0,72.190452635028,18.588545301499845,0.09910581139555742,0.03877713294721721,0.41284728214394223,0.43719366987066643,0.010328822139777018,0.011147498154077527,0.23447452598049165,0.010432644590441978,"[[0.6373110441103584, 0, 0], [0.023333333333333317, 0.7736315070195056, 0.6358849301479705], [0.008333333333333304, 0.65011949125081, 0.7980660037469376]]",0.011666666666666659,0.004166666666666652,0.6430022106993902,0.21961184801090786,0.5183590021734207,0.4489228567532645,0.0052711032822417596,0.23753375082405565,0.2061180026469671,33.51688621389266,39.16263433082056,0.577214116191024,0.06042830942672307,0.04498861321211003,51.537415354270706,2028.748087537065,82.0,25.0,0.6562124668407575,0.025403555853421907
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8ath_7q6c/seed-1_sample-1/model.cif,8ath_7q6c,1,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8ath_7q6c/seed-1_sample-1/confidences.json,"[0.14, 0.5, 0.5]","[[0.8, 0.14, 0.14], [0.14, 0.88, 0.86], [0.14, 0.86, 0.88]]","[[0.76, 19.13, 18.42], [10.69, 0.76, 1.13], [10.42, 1.19, 0.76]]","[0.8, 0.88, 0.88]",0.0,0.0,0.47,0.61,0.5,custom,0.14,0.5,0.5,0.8,0.88,0.88,0.14,0.14,0.86,14.91,14.420000000000002,1.16,80.21292197452229,5.444463379534954,86.39247240618101,3.2222946544980444,87.98218823529412,2.9349473326537545,24.7408339398981,24.758999831147634,5.014535064531177,84.8625275386658,3.8672351222289176,18.171456278525635,73.5942857142857,83.40625,2193.0,62.691953944368436,24.00956989247312,1183.0,69.47330938292477,22.254509803921568,3698.0,82.67909004867496,4.228002070393374,7074.0,71.61478445865605,16.830693922262686,0.07973996625167146,0.035243060516049335,0.40915685622784187,0.43198074461909436,0.011069863483811705,0.011931864722441435,0.2722614009926884,0.011436190605854681,"[[0.6365810062011028, 0, 0], [0.04914529914529913, 0.7719413047789015, 0.6304143009956389], [0.04748858447488583, 0.6474054119743984, 0.7946444540602914]]",0.024572649572649565,0.023744292237442916,0.6389098564850186,0.22907559943170372,0.5366431619732123,0.4644829387801588,0.00332219389668854,0.21270239819472203,0.2484583466887482,40.343695122642664,39.16263433082056,0.48514834939466844,0.04250340686935977,0.04498861321211003,96.5062304968647,1668.2881770328381,62.0,16.0,0.676512901609505,0.057847458146294294
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8ath_7q6c/seed-1_sample-2/model.cif,8ath_7q6c,1,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8ath_7q6c/seed-1_sample-2/confidences.json,"[0.13, 0.49, 0.49]","[[0.79, 0.14, 0.13], [0.14, 0.88, 0.85], [0.13, 0.85, 0.88]]","[[0.76, 19.77, 18.54], [10.95, 0.76, 1.17], [10.56, 1.21, 0.76]]","[0.79, 0.88, 0.88]",0.0,0.0,0.46,0.6,0.49,custom,0.13,0.49,0.49,0.79,0.88,0.88,0.14,0.13,0.85,15.36,14.55,1.19,80.10171974522292,5.506127395288949,86.02193156732892,3.3150079675503403,87.66490588235294,2.9598453958545705,24.9411952791931,24.93478921596218,5.141191105582336,84.59618573163492,3.9269935862312866,18.339058533579205,72.21428571428571,82.625,1992.0,62.23852409638553,24.052,955.0,67.54358115183246,23.330592105263158,3967.0,80.62594781951096,4.442894056847545,6914.0,70.13601768924298,17.2751620540369,0.06257568572416156,0.029231933248568695,0.3943787593077853,0.40599163422914764,0.01103269266937449,0.011746331393561807,0.2639780151665421,0.011340789196298568,"[[0.6343931630994684, 0, 0], [0.03452380952380952, 0.7693425988026927, 0.6239676308539944], [0.04777777777777776, 0.641816622085326, 0.7927939818821765]]",0.01726190476190476,0.02388888888888888,0.6328921264696602,0.2246809733734846,0.49002723237788975,0.42320643974246464,0.0032728140907866817,0.19229001483337493,0.22764361081830306,40.76761909027975,39.16263433082056,0.4799282771746757,0.041660689864323926,0.04498861321211003,0.28994568723919656,1725.4612150055536,63.0,16.0,0.6834005245696477,0.0001680395274710729
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8ath_7q6c/seed-1_sample-3/model.cif,8ath_7q6c,1,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8ath_7q6c/seed-1_sample-3/confidences.json,"[0.14, 0.5, 0.49]","[[0.79, 0.15, 0.14], [0.15, 0.87, 0.85], [0.14, 0.85, 0.88]]","[[0.76, 18.81, 17.7], [10.41, 0.76, 1.15], [10.4, 1.21, 0.76]]","[0.79, 0.87, 0.88]",0.0,0.0,0.47,0.6,0.5,custom,0.14,0.5,0.49,0.79,0.87,0.88,0.15,0.14,0.85,14.61,14.05,1.18,80.10575636942674,5.579137317276377,86.04768211920529,3.344668984499493,87.59743529411766,2.997417601087326,24.458352396797338,24.589598694208362,5.150011662260924,84.5836245942499,3.9737413009543983,18.065987584422206,72.7,82.78,1951.0,63.403018964633524,23.562098765432104,1245.0,68.75660240963856,23.33722222222222,3502.0,81.15065105653912,4.382818428184281,6698.0,71.10342414360373,17.0940464719462,0.05987895610304349,0.033913997409188115,0.37026881098916736,0.38565632268489153,0.011178178955187822,0.011227283266824158,0.2452772506550792,0.011399444429575465,"[[0.6332068193130911, 0, 0], [0.05326086956521738, 0.7695490034672853, 0.6237951308380258], [0.04516460905349792, 0.6385138055870752, 0.7899748939485759]]",0.02663043478260869,0.02258230452674896,0.6311544682125505,0.22678906917396938,0.4994947365496489,0.4353201906037715,0.0039008894330118072,0.19672156665622237,0.23469773451453727,39.84432406616192,39.16263433082056,0.49137241828181744,0.04352881217408868,0.04498861321211003,10.556576487044595,1778.8030148025555,76.0,15.0,0.5819840330891131,0.005934651785046788
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8ath_7q6c/seed-1_sample-4/model.cif,8ath_7q6c,1,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8ath_7q6c/seed-1_sample-4/confidences.json,"[0.15, 0.5, 0.5]","[[0.8, 0.15, 0.15], [0.15, 0.88, 0.85], [0.15, 0.85, 0.88]]","[[0.76, 18.67, 17.72], [10.37, 0.76, 1.11], [10.12, 1.18, 0.76]]","[0.8, 0.88, 0.88]",0.0,0.0,0.47,0.61,0.5,custom,0.15,0.5,0.5,0.8,0.88,0.88,0.15,0.15,0.85,14.52,13.919999999999998,1.145,80.57172770700636,5.449886389456941,86.17713024282561,3.3236563812835,87.78137647058826,2.98642541624193,24.20069668295727,24.366266111329992,5.077530710620433,84.84341147347341,3.9199893956607905,17.881497834969235,73.00285714285714,82.77375,2277.0,63.65061264822135,23.32622767857143,1005.0,68.25269651741293,23.254,3578.0,81.82847959754052,4.326137566137566,6860.0,71.24392958772494,16.968788414903,0.07805964764809313,0.03079891963342728,0.3942976538936273,0.4066270849284401,0.011284947441696766,0.011042634144848865,0.2291156252711558,0.011382064312105363,"[[0.6378250395760204, 0, 0], [0.05642201834862385, 0.768845991088542, 0.6281175059952038], [0.048305084745762714, 0.6448282148934447, 0.7901504008767375]]",0.028211009174311925,0.024152542372881357,0.6364728604443242,0.22961213733050587,0.5119630794379323,0.4475360734381568,0.003912828719262838,0.20787944428590882,0.23574380043298518,40.06910805139712,39.16263433082056,0.48856070737571905,0.04306276909001325,0.04498861321211003,15.965364517936223,1774.298079535572,70.0,15.0,0.7133420155434151,0.008998129853195359
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8ath_7q6c/seed-2_sample-0/model.cif,8ath_7q6c,2,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8ath_7q6c/seed-2_sample-0/confidences.json,"[0.14, 0.5, 0.5]","[[0.8, 0.14, 0.14], [0.14, 0.88, 0.86], [0.14, 0.86, 0.88]]","[[0.76, 20.28, 19.54], [11.31, 0.76, 1.13], [11.92, 1.19, 0.76]]","[0.8, 0.88, 0.88]",0.0,0.0,0.47,0.61,0.5,custom,0.14,0.5,0.5,0.8,0.88,0.88,0.14,0.14,0.86,15.795000000000002,15.73,1.16,79.79187898089172,5.528735893357569,86.3357284768212,3.27326524699406,87.61868235294118,2.9018348623853214,24.965727357803893,25.249130410311253,5.010332763178355,84.58209660355136,3.9012786675789837,18.4083968437645,71.61,82.93125,2707.0,65.12685629848541,25.725432525951557,1029.0,69.89974246841594,25.46896551724138,3703.0,81.34022144207398,4.352403100775194,7439.0,72.12227340299178,18.51560038132271,0.10626382472827266,0.029666315557414606,0.3854068837983814,0.39744842964801597,0.010310504166327169,0.010931564407652196,0.2502882804740599,0.010477134663041777,"[[0.6348942837465565, 0, 0], [0.03809523809523806, 0.772366917554711, 0.6360546186067019], [0.008333333333333304, 0.6513802188893393, 0.7971179083383809]]",0.01904761904761903,0.004166666666666652,0.6437174187480206,0.22231056815410208,0.5258192439662039,0.45678204139075984,0.004637714040904417,0.23480591986522645,0.21733840748462896,33.980494321134515,39.16263433082056,0.5704954467871821,0.058887103304806836,0.04498861321211003,36.64915557152932,2001.8314569154113,84.0,11.0,0.6785303999894653,0.018307812800584817
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8ath_7q6c/seed-2_sample-1/model.cif,8ath_7q6c,2,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8ath_7q6c/seed-2_sample-1/confidences.json,"[0.14, 0.5, 0.5]","[[0.8, 0.15, 0.14], [0.15, 0.88, 0.85], [0.14, 0.85, 0.88]]","[[0.76, 19.4, 18.76], [10.49, 0.76, 1.11], [10.59, 1.2, 0.76]]","[0.8, 0.88, 0.88]",0.0,0.0,0.47,0.61,0.5,custom,0.14,0.5,0.5,0.8,0.88,0.88,0.15,0.14,0.85,14.945,14.675,1.155,79.8661066878981,5.422703173521169,86.33823399558499,3.2199261190786617,87.50545882352942,2.989738362215426,24.452344806072578,24.878254629369057,5.0010845902659,84.56993316900417,3.8774558849384193,18.11056134190251,72.67857142857143,83.58500000000001,2355.0,63.71692144373672,23.572144522144523,1081.0,68.16297872340425,22.956888888888887,3469.0,81.95154943787834,4.104065040650407,6905.0,71.27714986833978,16.877699483894606,0.07922457691649036,0.031318179577550766,0.37998366501265846,0.40029888168583766,0.010555882992739914,0.01108957624086205,0.3006241713381571,0.010806672347307133,"[[0.6378789437585733, 0, 0], [0.0624269005847953, 0.7705179159547334, 0.6313602428419067], [0.051041666666666666, 0.6452544044530912, 0.7913908623577659]]",0.03121345029239765,0.025520833333333333,0.638307323647499,0.2316805357577433,0.5268261728654127,0.4533592234127516,0.0038013750279969056,0.2234117017085019,0.22614614667625277,35.67443994804561,39.16263433082056,0.5465094687797367,0.053720840531221635,0.04498861321211003,101.51072306750967,1540.1627343999317,58.0,18.0,0.7529833118583672,0.06590908921521181
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8ath_7q6c/seed-2_sample-2/model.cif,8ath_7q6c,2,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8ath_7q6c/seed-2_sample-2/confidences.json,"[0.15, 0.5, 0.5]","[[0.8, 0.15, 0.15], [0.15, 0.88, 0.86], [0.15, 0.86, 0.88]]","[[0.76, 19.81, 19.45], [11.11, 0.76, 1.13], [11.44, 1.19, 0.76]]","[0.8, 0.88, 0.88]",0.0,0.0,0.47,0.61,0.5,custom,0.15,0.5,0.5,0.8,0.88,0.88,0.15,0.15,0.86,15.459999999999999,15.445,1.16,79.76208598726114,5.5381542073771115,86.30012141280353,3.270324496595683,87.25722352941176,2.923980632008155,24.73831756264947,25.047332132605394,5.073235111180221,84.43981030982548,3.9108197786603163,18.286294935478363,70.78999999999999,81.85874999999999,3436.0,64.0741967403958,25.40263157894737,1992.0,71.1064859437751,26.069999999999997,3239.0,83.45185551096017,4.1923295454545455,8667.0,72.87751273171035,18.554987041467307,0.12547904813194996,0.06780577155370417,0.3871644386814742,0.4378363062122157,0.010282021833460615,0.010161708359104717,0.438618417939211,0.010271177621113063,"[[0.6357327984339026, 0, 0], [0.03916666666666664, 0.77330061456545, 0.6328490701594408], [0.020370370370370348, 0.6469904592016001, 0.7961136606343983]]",0.01958333333333332,0.010185185185185174,0.6399197646805205,0.223229427733013,0.5033464103822102,0.438002197567012,0.006073406932035177,0.2401440445462287,0.19178474608874807,34.20071563856344,39.16263433082056,0.567326858645515,0.05817516230484103,0.04498861321211003,111.22354885898483,2613.3497895625046,104.0,30.0,0.6216854250847267,0.0425597634511852
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8ath_7q6c/seed-2_sample-3/model.cif,8ath_7q6c,2,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8ath_7q6c/seed-2_sample-3/confidences.json,"[0.15, 0.5, 0.51]","[[0.8, 0.15, 0.15], [0.15, 0.88, 0.86], [0.15, 0.86, 0.88]]","[[0.76, 20.61, 20.34], [10.87, 0.76, 1.14], [11.19, 1.18, 0.76]]","[0.8, 0.88, 0.88]",0.0,0.0,0.48,0.61,0.5,custom,0.15,0.5,0.51,0.8,0.88,0.88,0.15,0.15,0.86,15.739999999999998,15.765,1.16,79.96382165605095,5.419760660455958,86.46871964679912,3.2557945820657683,87.26585882352943,2.9106693849813117,24.819215971716755,25.09776552034671,4.986638936401803,84.56613337545984,3.8620748758343457,18.301206809488423,72.31714285714285,81.81,3154.0,64.77375554850984,25.349432404540764,2537.0,73.6907430035475,26.37778532608696,3448.0,81.81184889791183,4.266277777777778,9139.0,73.42544914998972,18.664498502801838,0.09608506874710505,0.15801814827819813,0.3701525654174363,0.4932609170505551,0.010449852299109193,0.010078308626913623,0.28022841844996793,0.010352139725499018,"[[0.6398397079610798, 0, 0], [0.036342592592592565, 0.7723622086377417, 0.6345494565965057], [0.03333333333333329, 0.6531813884386817, 0.79622719017556]]",0.018171296296296283,0.016666666666666646,0.6438654225175937,0.22623446182685222,0.49245671456621287,0.44191390533754893,0.006066535621096263,0.21078799224681907,0.22505937746963356,36.92777524899615,39.16263433082056,0.529345785215992,0.05031650352241945,0.04498861321211003,32.96171965373105,2818.7995236738775,105.0,22.0,0.6585247895447311,0.011693531014497424
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8ath_7q6c/seed-2_sample-4/model.cif,8ath_7q6c,2,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8ath_7q6c/seed-2_sample-4/confidences.json,"[0.11, 0.48, 0.48]","[[0.8, 0.11, 0.11], [0.11, 0.88, 0.85], [0.11, 0.85, 0.88]]","[[0.76, 19.88, 21.24], [12.56, 0.76, 1.12], [12.87, 1.21, 0.76]]","[0.8, 0.88, 0.88]",0.0,0.0,0.45,0.59,0.48,custom,0.11,0.48,0.48,0.8,0.88,0.88,0.11,0.11,0.85,16.22,17.055,1.165,79.37350318471337,5.450840718018632,86.06047461368654,3.3241199478487617,87.00210588235294,2.942753992524635,25.94528699178538,26.148871503348904,5.10573005753382,84.14536122691761,3.905904886130676,19.066629517556034,72.64,82.135,2344.0,64.1056164675768,25.626137303556657,2279.0,69.23715006581834,26.36427203065134,3480.0,80.88960344827586,4.395833333333333,8103.0,71.41078999389033,18.795414222513777,0.06527378413932404,0.08852276062100903,0.3522708812751266,0.4298229926716035,0.012412645037383816,0.009859910027299926,0.2648116894582636,0.010234347839554256,"[[0.6377562305937955, 0, 0], [0, 0.7662246063676551, 0.6201510279243624], [0, 0.644624898621249, 0.7947085137085137]]",0.0,0.0,0.6323879632728058,0.21079598775760192,0.4708927697550446,0.4196208547598489,0.00465929929608906,0.18484501584164612,0.23011653962211373,40.82511844394418,39.16263433082056,0.4792247413078103,0.041548292467411936,0.04498861321211003,107.16643809781164,2206.093281152783,84.0,15.0,0.6793620155433544,0.048577473587976455
