pdb,query,seed,sample,data_file,chain_iptm,chain_pair_iptm,chain_pair_pae_min,chain_ptm,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,format,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,plddt_H3,plddt_L3,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS,LIS_AH,LIS_AL,LIS_HL,avg_LIS,piTM,pIS,piTM_A,piTM_H,piTM_L,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7unb_7zwi/seed-1_sample-0/model.cif,7unb_7zwi,1,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7unb_7zwi/seed-1_sample-0/confidences.json,"[0.79, 0.84, 0.83]","[[0.82, 0.81, 0.78], [0.81, 0.88, 0.88], [0.78, 0.88, 0.89]]","[[0.76, 1.11, 1.64], [1.1, 0.76, 1.07], [1.36, 1.0, 0.76]]","[0.82, 0.88, 0.89]",0.0,0.0,0.86,0.89,0.86,custom,0.79,0.84,0.83,0.82,0.88,0.89,0.81,0.78,0.88,1.105,1.5,1.0350000000000001,85.60783143939393,5.27797385620915,92.22241014799154,3.2355428796223444,93.41494145199063,2.8349457881567974,7.445644568311195,7.439027406417113,4.48950146627566,90.41506101312537,3.7828208413294306,6.458057813667989,97.91,97.29249999999999,2371.0,91.6629902994517,3.1046218487394954,1032.0,81.38079941860465,6.6190625,4625.0,95.4843427027027,2.51453488372093,8028.0,89.50937747358635,4.079406410820142,0.36888703446929827,0.064680175846603,0.5479192503575855,0.5774161493440904,0.8000147948666949,0.07904819204665034,0.8561057527676388,0.7145171679708312,"[[0.6566098597115194, 0.49810152780913675, 0.4726062290147042], [0.5538469126060366, 0.7398340112846084, 0.644567810960591], [0.5766993762896268, 0.7048955713087888, 0.8040965374589142]]",0.5259742202075867,0.5246528026521655,0.6747316911346899,0.5751195713314806,0.7673669882689819,0.7560721735036409,0.15565330737248947,0.34461575685794293,0.25580310927320843,1.5125633385494006,1.7850892581051174,0.582081798883242,0.9693062260446277,0.9577586206257064,-35.66669731643765,1660.2166730749332,71.0,9.0,0.6486633561641939,-0.021483158129220793
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7unb_7zwi/seed-1_sample-1/model.cif,7unb_7zwi,1,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7unb_7zwi/seed-1_sample-1/confidences.json,"[0.78, 0.84, 0.82]","[[0.82, 0.8, 0.77], [0.8, 0.88, 0.88], [0.77, 0.88, 0.88]]","[[0.76, 1.14, 1.67], [1.1, 0.76, 1.08], [1.38, 1.0, 0.76]]","[0.82, 0.88, 0.88]",0.0,0.0,0.85,0.88,0.86,custom,0.78,0.84,0.82,0.82,0.88,0.88,0.8,0.77,0.88,1.12,1.525,1.04,85.27642992424242,5.390234204793028,92.19634249471457,3.2827104642014158,93.34007025761125,2.8635529608006673,7.6186491935483875,7.626951871657754,4.5478702346041056,90.2709475588561,3.845499209931704,6.597823766603415,97.89285714285714,97.2325,2335.0,91.63662098501071,3.3051198257080614,941.0,83.48912858661,6.832291666666666,4658.0,95.33235401459854,2.5795787545787547,7934.0,90.15270119540641,4.238996748984494,0.3976868323347652,0.0634067543043482,0.5498559557254753,0.5805905925968032,0.7820150320923147,0.13021716582871115,0.8481260296317434,0.7277937314185476,"[[0.6486136664886144, 0.4887950750933902, 0.46083927889838217], [0.546940586419753, 0.7365119485294117, 0.6405760475345319], [0.5672121724032754, 0.7010904377001677, 0.8018640537323586]]",0.5178678307565716,0.5140257256508287,0.6708332426173498,0.5675755996749167,0.7623929084627276,0.7517204508939352,0.15571932772092914,0.3383210946311661,0.25768002854183997,1.8439440585982716,1.7850892581051174,0.4837865018904601,0.9550545424691639,0.9577586206257064,-29.51249843448477,1619.940252917983,69.0,7.0,0.6734567855606819,-0.018218263532450773
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7unb_7zwi/seed-1_sample-2/model.cif,7unb_7zwi,1,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7unb_7zwi/seed-1_sample-2/confidences.json,"[0.8, 0.85, 0.83]","[[0.83, 0.81, 0.78], [0.81, 0.88, 0.88], [0.78, 0.88, 0.89]]","[[0.76, 1.09, 1.62], [1.08, 0.76, 1.06], [1.34, 0.99, 0.76]]","[0.83, 0.88, 0.89]",0.0,0.0,0.86,0.89,0.87,custom,0.8,0.85,0.83,0.83,0.88,0.89,0.81,0.78,0.88,1.085,1.48,1.025,86.10323863636363,5.117385620915033,92.35778012684989,3.1961119853134017,93.47688524590163,2.8212093411175982,7.29938330170778,7.31802473262032,4.4443621700879765,90.64596800303839,3.7115689824486773,6.353923401472026,97.99428571428572,97.33625,2314.0,92.55624027657736,2.985294117647059,772.0,84.13461139896373,6.2924999999999995,4634.0,95.55385412170912,2.5762864493996567,7720.0,90.74823526575005,3.951360189015572,0.40687452192900253,0.04649997679341733,0.5590867775593796,0.582303346156268,0.8123579357860887,0.19862534959687436,0.8596985659570788,0.8050712247552193,"[[0.6658455346951628, 0.5065846142422218, 0.48179405974492856], [0.5605751158318034, 0.7427262295081968, 0.6467370748038539], [0.5819757903864632, 0.7073629528019103, 0.8047037414676977]]",0.5335798650370126,0.5318849250656958,0.6770500138028821,0.5808382679685301,0.7714998439310405,0.764434357278988,0.15880085633044863,0.36583903055538003,0.23979447039315938,1.3486624544763386,1.7850892581051174,0.6366168470760484,0.9754432609170228,0.9577586206257064,-31.38951265236119,1571.714300168275,67.0,6.0,0.6871011485135593,-0.01997151304725069
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7unb_7zwi/seed-1_sample-3/model.cif,7unb_7zwi,1,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7unb_7zwi/seed-1_sample-3/confidences.json,"[0.79, 0.84, 0.83]","[[0.82, 0.81, 0.78], [0.81, 0.88, 0.88], [0.78, 0.88, 0.89]]","[[0.76, 1.11, 1.65], [1.09, 0.76, 1.07], [1.37, 0.99, 0.76]]","[0.82, 0.88, 0.89]",0.0,0.0,0.86,0.89,0.87,custom,0.79,0.84,0.83,0.82,0.88,0.89,0.81,0.78,0.88,1.1,1.51,1.03,85.71994318181818,5.288877995642701,92.41790697674418,3.203835562549174,93.500925058548,2.833311092577147,7.442931688804554,7.451948529411764,4.449754398826979,90.54625840570345,3.7753415502563406,6.448211539014433,98.01428571428572,97.31,2325.0,92.18753763440861,3.0331932773109247,762.0,84.55864173228346,6.833823529411764,4627.0,95.41232872271449,2.5841419586702603,7714.0,90.71950269646885,4.150386255130983,0.4048195282996703,0.04697695769949723,0.5511347346735265,0.5763723426657305,0.8031706924797213,0.19108004689163716,0.8565238914008172,0.7955459733288803,"[[0.6552464927879865, 0.49680660140562255, 0.47320292759431914], [0.557054488023164, 0.7422050239391357, 0.6459677831429957], [0.5782608695652174, 0.7057515045326426, 0.8033929380450788]]",0.5269305447143933,0.5257318985797683,0.6758596438378192,0.5761740290439935,0.7712394332759966,0.7640325716082994,0.15589433956378407,0.35919383789798076,0.24894439414653455,1.320156468498254,1.7850892581051174,0.646442084450954,0.9764461840512623,0.9577586206257064,-28.99657743659327,1568.329261233598,66.0,6.0,0.6472628941928058,-0.018488832768308795
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7unb_7zwi/seed-1_sample-4/model.cif,7unb_7zwi,1,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7unb_7zwi/seed-1_sample-4/confidences.json,"[0.78, 0.84, 0.82]","[[0.82, 0.8, 0.76], [0.8, 0.88, 0.88], [0.76, 0.88, 0.88]]","[[0.76, 1.15, 1.7], [1.11, 0.76, 1.07], [1.41, 1.01, 0.76]]","[0.82, 0.88, 0.88]",0.0,0.0,0.85,0.88,0.86,custom,0.78,0.84,0.82,0.82,0.88,0.88,0.8,0.76,0.88,1.13,1.555,1.04,85.48945075757577,5.336584967320261,92.10748414376322,3.2874377130868084,93.2455737704918,2.8762135112593823,7.577389705882353,7.5977139037433155,4.571909824046921,90.2808362239436,3.8334120638888174,6.582337811224197,97.87857142857145,97.18875,2395.0,91.39326722338204,3.29265306122449,954.0,83.14075995807129,6.779629629629629,4644.0,95.3365363910422,2.6330408073716542,7993.0,89.95685452416518,4.2351078327419245,0.4044891479459345,0.06292554001701696,0.5505532521738316,0.5814067570809607,0.780561014804872,0.05146465263047951,0.8509653189356268,0.6699910119970571,"[[0.6557108483840304, 0.4891159278492762, 0.4593408262454435], [0.5445564427433901, 0.7359183896729024, 0.6403147060339053], [0.5644976525821597, 0.6993357487922707, 0.801211232068946]]",0.5168361852963331,0.5119192394138016,0.669825227413088,0.5661935507077409,0.763111065211842,0.7519344518216026,0.15389750034376035,0.34822911387704636,0.2498078376007958,1.969359826331383,1.7850892581051174,0.45103735842925485,0.9490547648451031,0.9577586206257064,-31.216168917715436,1637.3927231939226,70.0,8.0,0.6724421577941455,-0.019064558230614773
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7unb_7zwi/seed-2_sample-0/model.cif,7unb_7zwi,2,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7unb_7zwi/seed-2_sample-0/confidences.json,"[0.79, 0.84, 0.83]","[[0.82, 0.8, 0.78], [0.8, 0.88, 0.88], [0.78, 0.88, 0.88]]","[[0.76, 1.11, 1.66], [1.08, 0.76, 1.08], [1.38, 1.01, 0.76]]","[0.82, 0.88, 0.88]",0.0,0.0,0.86,0.89,0.86,custom,0.79,0.84,0.83,0.82,0.88,0.88,0.8,0.78,0.88,1.0950000000000002,1.52,1.045,85.75578598484849,5.253632897603486,92.37321353065539,3.2478756884343034,93.40830210772835,2.8482902418682237,7.483452917457306,7.485203877005347,4.522184750733138,90.51243387441075,3.7832662759686713,6.49694718173193,97.94142857142857,97.24125000000001,2309.0,92.36231268947597,3.038871473354232,860.0,84.50669767441862,6.479411764705882,4699.0,95.29037667588848,2.6096585804132975,7868.0,90.71979567992769,4.04264727282447,0.3882405023283081,0.057643739024232615,0.5524731529273246,0.581539016774437,0.8041158300148501,0.051836234735055754,0.854895770650829,0.6880693927154664,"[[0.6598154511523194, 0.4935370578677666, 0.46714509770065327], [0.553390517505806, 0.7386380034107308, 0.6424930705266401], [0.5753422409751524, 0.7019635869289018, 0.8030928492475129]]",0.5234637876867863,0.5212436693379028,0.6722283287277709,0.5723119285841533,0.7673315274239629,0.7548085535396711,0.15341599652991278,0.3533964039045878,0.2479961531051706,1.6958708592172798,1.7850892581051174,0.5256135736238209,0.9617179296854266,0.9577586206257064,-29.08436657475295,1572.5104418028454,70.0,6.0,0.6540275689287484,-0.018495499808197407
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7unb_7zwi/seed-2_sample-1/model.cif,7unb_7zwi,2,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7unb_7zwi/seed-2_sample-1/confidences.json,"[0.8, 0.85, 0.84]","[[0.83, 0.81, 0.79], [0.81, 0.88, 0.89], [0.79, 0.89, 0.89]]","[[0.76, 1.06, 1.59], [1.07, 0.76, 1.06], [1.33, 0.98, 0.76]]","[0.83, 0.88, 0.89]",0.0,0.0,0.87,0.89,0.87,custom,0.8,0.85,0.84,0.83,0.88,0.89,0.81,0.79,0.89,1.065,1.46,1.02,86.31573863636363,5.073044662309369,92.83622621564483,3.1334710201940728,93.64326697892272,2.8098331943286072,7.200732329222012,7.261143048128343,4.384816715542522,90.93174394364372,3.67211629227735,6.2822306976309585,98.16428571428573,97.44749999999999,2262.0,92.79511494252873,2.9599326599326603,664.0,86.23002259036144,6.496410256410257,4628.0,95.66403630077788,2.4611013986013988,7554.0,91.56305794455602,3.9724814383147717,0.36687386127736826,0.04165727237833354,0.5522303430024466,0.5742233827020877,0.823937729431302,0.19379369919130035,0.8720682216979256,0.8111611440226809,"[[0.6745048723714837, 0.5087859190122731, 0.48337142373455216], [0.5663993741443379, 0.7470533647757543, 0.6505633122250197], [0.5858967149350954, 0.7089933490721702, 0.8056327357181295]]",0.5375926465783055,0.5346340693348238,0.6797783306485949,0.5840016821872415,0.7765124208621066,0.7700625593891159,0.1567931255693656,0.37309793262829033,0.24017150119146,1.9205146006924034,1.7850892581051174,0.4635026536500424,0.9514293495640088,0.9577586206257064,-22.62870150320441,1494.1699963628114,65.0,3.0,0.6614394417593373,-0.015144663296872784
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7unb_7zwi/seed-2_sample-2/model.cif,7unb_7zwi,2,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7unb_7zwi/seed-2_sample-2/confidences.json,"[0.79, 0.84, 0.83]","[[0.82, 0.8, 0.78], [0.8, 0.88, 0.88], [0.78, 0.88, 0.88]]","[[0.76, 1.11, 1.65], [1.1, 0.76, 1.08], [1.38, 0.99, 0.76]]","[0.82, 0.88, 0.88]",0.0,0.0,0.86,0.89,0.86,custom,0.79,0.84,0.83,0.82,0.88,0.88,0.8,0.78,0.88,1.105,1.515,1.0350000000000001,85.57007575757575,5.310724400871459,92.33900634249473,3.245830055074744,93.45197892271662,2.845688073394496,7.518076968690702,7.489552139037434,4.508097507331379,90.4536870075957,3.8007475097802335,6.5052422050198375,97.96142857142857,97.285,2330.0,91.94628111587984,3.0588103254769923,1021.0,81.19062193927522,6.6226666666666665,4605.0,95.47859283387623,2.617112768758227,7956.0,89.53849862967711,4.099529920300628,0.37714341959837466,0.052905491889829556,0.544992928637467,0.5704940297028652,0.8073392401892243,0.07154749765391424,0.8558543019013299,0.6624117003602243,"[[0.6544491902473749, 0.4919228633449443, 0.46592934482858717], [0.5511611348449995, 0.7391901793525809, 0.6432889948229021], [0.574886920246549, 0.7029478285176997, 0.802972800679983]]",0.5215419990949719,0.520408132537568,0.6731184116703008,0.5716895144342803,0.7682056899958352,0.7559809383093767,0.15316320348658446,0.35480514694253285,0.24801258788025948,1.3582506778036045,1.7850892581051174,0.6333328502466792,0.9751015754719464,0.9577586206257064,-42.11880705159774,1661.5706452094983,71.0,2.0,0.6726901478101008,-0.0253487910207316
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7unb_7zwi/seed-2_sample-3/model.cif,7unb_7zwi,2,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7unb_7zwi/seed-2_sample-3/confidences.json,"[0.79, 0.84, 0.83]","[[0.82, 0.81, 0.78], [0.81, 0.88, 0.88], [0.78, 0.88, 0.88]]","[[0.76, 1.09, 1.63], [1.08, 0.76, 1.08], [1.35, 1.0, 0.76]]","[0.82, 0.88, 0.88]",0.0,0.0,0.86,0.89,0.86,custom,0.79,0.84,0.83,0.82,0.88,0.88,0.81,0.78,0.88,1.085,1.49,1.04,85.76642992424243,5.271427015250545,92.59552854122622,3.191004458431681,93.46543325526932,2.858974145120934,7.433814634724858,7.48865307486631,4.472774926686217,90.60913057357932,3.7738018729343867,6.465080878759128,98.02857142857144,97.2525,2313.0,92.52022265456117,2.9955627705627705,745.0,85.6114832214765,6.494583333333333,4633.0,95.43140513706022,2.5693725318121987,7691.0,91.18770367103264,4.019839545236101,0.4139582193033677,0.04690761329483602,0.5425631161724823,0.5667098378001098,0.8071877633129378,0.18719219936730358,0.8617216275575253,0.7967857501889224,"[[0.6596032546367699, 0.4971960917118202, 0.4708105765062852], [0.5576703987428795, 0.7427792707172663, 0.6463346873083997], [0.5761794113505141, 0.702865218495935, 0.801833829154271]]",0.5274332452273498,0.5234949939283997,0.6745999529021673,0.5751760640193057,0.7705526502712741,0.7607917907015191,0.15297603798581821,0.35887135856916635,0.24894439414653455,1.3484515928391327,1.7850892581051174,0.6366891877605934,0.9754507506510189,0.9577586206257064,-31.687764490881364,1511.9317389822052,68.0,2.0,0.6536213976407518,-0.020958462392100308
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7unb_7zwi/seed-2_sample-4/model.cif,7unb_7zwi,2,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7unb_7zwi/seed-2_sample-4/confidences.json,"[0.79, 0.84, 0.83]","[[0.83, 0.81, 0.78], [0.81, 0.88, 0.88], [0.78, 0.88, 0.89]]","[[0.76, 1.07, 1.61], [1.07, 0.76, 1.07], [1.36, 0.98, 0.76]]","[0.83, 0.88, 0.89]",0.0,0.0,0.86,0.89,0.87,custom,0.79,0.84,0.83,0.83,0.88,0.89,0.81,0.78,0.88,1.07,1.485,1.025,86.28777462121214,5.097832244008714,92.23281183932346,3.34775111460792,93.44654566744731,2.83907422852377,7.423977111005693,7.3286296791443855,4.565186950146628,90.65571070932764,3.7615525290468015,6.439264580098903,98.02428571428572,97.24125,2382.0,92.58442905121747,2.9305672268907563,821.0,85.30415956151036,6.762975778546712,4729.0,95.35218756608162,2.624573225516621,7932.0,91.08025872626983,4.1060387436513635,0.41580077245575936,0.06628711109141346,0.5586154816190061,0.5910401591722452,0.8166487718466364,0.1952342081232648,0.8576593064042968,0.8071338200530483,"[[0.6699502414030939, 0.5018874880188748, 0.47724160371219193], [0.5580126719208777, 0.738477944580385, 0.6492582726109326], [0.5800227267402357, 0.703208253968254, 0.8032768193535593]]",0.5299500799698762,0.5286321652262138,0.6762332632895933,0.5782718361618945,0.783187271473862,0.771328978107441,0.14989336505740844,0.36964355410935495,0.25179205894067774,1.4049624066658597,1.7850892581051174,0.6174918112701213,0.9734058861206152,0.9577586206257064,-20.29592666384832,1512.999321979065,70.0,9.0,0.744242189033602,-0.01341436600070674
