pdb,query,seed,sample,data_file,chain_iptm,chain_pair_iptm,chain_pair_pae_min,chain_ptm,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,format,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,plddt_H3,plddt_L3,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS,LIS_AH,LIS_AL,LIS_HL,avg_LIS,piTM,pIS,piTM_A,piTM_H,piTM_L,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7t01_8f6l/seed-1_sample-0/model.cif,7t01_8f6l,1,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7t01_8f6l/seed-1_sample-0/confidences.json,"[0.36, 0.63, 0.63]","[[0.83, 0.35, 0.36], [0.35, 0.9, 0.91], [0.36, 0.91, 0.9]]","[[0.76, 6.86, 9.53], [6.79, 0.76, 0.97], [6.69, 1.03, 0.76]]","[0.83, 0.9, 0.9]",0.0,0.0,0.68,0.77,0.7,custom,0.36,0.63,0.63,0.83,0.9,0.9,0.35,0.36,0.91,6.825,8.11,1.0,82.50591232227488,4.137668035847647,92.12016216216216,2.6168837535014005,91.32633939393939,2.450405572209487,16.16709935897436,16.480962437095616,3.739158878504673,88.65080462612548,3.0683191205195115,12.129073558191552,95.44142857142857,90.75,1691.0,71.80035777646363,14.041991341991341,1148.0,69.6034712543554,15.339610389610389,4135.0,91.74351511487305,2.453013833992095,6974.0,77.71578138189736,10.611538521864608,0.07067017158720058,0.03030134294320288,0.5264916198523732,0.10666201914940751,0.046036644713817666,0.016875310193886963,0.7388870213950977,0.03605083096528257,"[[0.7097327815737978, 0.08600917431192659, 0.06045364891518737], [0.16965889104878273, 0.7879652879495943, 0.698151346259518], [0.16928311290013418, 0.7139152070063696, 0.8111447647683055]]",0.12783403268035465,0.11486838090766077,0.7060332766329438,0.31624523007365307,0.6269262081788836,0.6077479114504273,0.01573916587658205,0.3063602282043201,0.2856485173695252,31.06926372173286,29.841763397503563,0.4798558311091791,0.06963525547161437,0.07504303866229954,-1.8382613096030127,1447.515987978696,54.0,17.0,0.6251709843001244,-0.0012699419729173087
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7t01_8f6l/seed-1_sample-1/model.cif,7t01_8f6l,1,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7t01_8f6l/seed-1_sample-1/confidences.json,"[0.34, 0.62, 0.62]","[[0.82, 0.34, 0.34], [0.34, 0.9, 0.9], [0.34, 0.9, 0.9]]","[[0.76, 7.81, 10.85], [7.45, 0.76, 0.98], [7.21, 1.03, 0.76]]","[0.82, 0.9, 0.9]",0.0,0.0,0.67,0.76,0.69,custom,0.34,0.62,0.62,0.82,0.9,0.9,0.34,0.34,0.9,7.63,9.03,1.005,81.6743009478673,4.273739731142644,91.52500540540541,2.672836134453781,91.25870303030304,2.3743431493563745,17.123814102564104,17.536484543493888,3.738049065420561,88.15266979452525,3.1069730049842668,12.79944923715952,94.91142857142856,89.59125,1760.0,71.90036647727273,14.749565217391302,1293.0,67.2211252900232,16.774586776859504,4288.0,91.09610657649253,2.5669836956521737,7341.0,76.7391994479295,11.363711896634328,0.06934033600879713,0.0295953881432478,0.5269953159025244,0.10810664704531324,0.03766461935605221,0.02351807133076741,0.7277856165317182,0.03187152674496869,"[[0.6997197327422825, 0.09204260651629073, 0.042333333333333306], [0.14802759424795958, 0.7807427258805513, 0.6866803867764275], [0.1481609841388785, 0.7163313796926978, 0.814636082928981]]",0.12003510038212516,0.0952471587361059,0.7015058832345626,0.3055960474509312,0.6173439443100471,0.5976898307884465,0.014008818589710568,0.3119678864409449,0.271713125757791,30.212920930650615,29.841763397503563,0.49381990995460884,0.07334499745321982,0.07504303866229954,79.38864569773614,1490.8119518538988,55.0,14.0,0.7071014068929814,0.05325195146108965
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7t01_8f6l/seed-1_sample-2/model.cif,7t01_8f6l,1,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7t01_8f6l/seed-1_sample-2/confidences.json,"[0.43, 0.67, 0.66]","[[0.83, 0.43, 0.42], [0.43, 0.9, 0.9], [0.42, 0.9, 0.9]]","[[0.76, 5.93, 8.6], [5.87, 0.76, 0.96], [5.84, 1.01, 0.76]]","[0.83, 0.9, 0.9]",0.0,0.0,0.71,0.79,0.73,custom,0.43,0.67,0.66,0.83,0.9,0.9,0.43,0.42,0.9,5.9,7.22,0.985,83.5527606635071,4.06853995519044,92.17558918918918,2.62203081232493,91.82332121212124,2.3215834949744316,14.75153846153846,15.029762760603884,3.6533021806853583,89.18389035493918,3.0040514208299336,11.144867800942569,95.6842857142857,91.31125,1872.0,75.6723076923077,11.765631469979297,1133.0,71.76242718446602,14.141897233201579,4245.0,91.90743462897527,2.4690670289855072,7250.0,79.780723168583,9.458865244055461,0.08858122595532694,0.031359885312960224,0.5274876151600476,0.13675742157896867,0.09412935339664505,0.019485648916172302,0.7623576344853239,0.08043165721503641,"[[0.7133453410182516, 0.11105143229166665, 0.08226591760299624], [0.19192262153503273, 0.7888784154913187, 0.6970218000052342], [0.1953615716403828, 0.7241893567621761, 0.8189863831539321]]",0.1514870269133497,0.13881374462168952,0.7106055783837051,0.3336354499729148,0.6262111266745357,0.6072849378698069,0.023487018380827195,0.31381858750176905,0.2699793319872106,30.79169242067263,29.841763397503563,0.48433709722842216,0.07080707070415797,0.07504303866229954,59.344450413720324,1377.2029866292269,56.0,14.0,0.7778758167759341,0.04309056180524908
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7t01_8f6l/seed-1_sample-3/model.cif,7t01_8f6l,1,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7t01_8f6l/seed-1_sample-3/confidences.json,"[0.39, 0.65, 0.66]","[[0.83, 0.39, 0.4], [0.39, 0.9, 0.91], [0.4, 0.91, 0.9]]","[[0.76, 6.39, 8.75], [6.34, 0.76, 0.94], [6.23, 0.99, 0.76]]","[0.83, 0.9, 0.9]",0.0,0.0,0.7,0.79,0.72,custom,0.39,0.65,0.66,0.83,0.9,0.9,0.39,0.4,0.91,6.365,7.49,0.965,82.58908767772512,4.17862210604929,92.35498378378378,2.5314285714285716,91.60402424242425,2.333327455475225,15.274306891025638,15.556443206326385,3.5834073208722743,88.84936523464438,3.0144593776510287,11.471385806074766,95.38428571428572,90.57249999999999,1844.0,72.9307809110629,13.211180124223603,1341.0,69.3565100671141,14.991071428571429,4181.0,91.5865355178187,2.460047281323877,7366.0,77.9579421653319,10.220766278039637,0.07294932534307216,0.04799182995015637,0.5342136201542954,0.14429771581881404,0.06357864553586198,0.027992094604809788,0.7334137808713894,0.05205894474743723,"[[0.7076024800822411, 0.10011773940345367, 0.08028052805280529], [0.1772469714732317, 0.7929392989786443, 0.7062838527356936], [0.18287928604978865, 0.7299811631115356, 0.8202174681753891]]",0.13868235543834267,0.13157990705129696,0.7181325079236146,0.32946492347108475,0.6344987198552385,0.6165728193473811,0.017895347519864064,0.32194162549793975,0.27673584632957726,30.55782556818112,29.841763397503563,0.4881462514243808,0.07181689361154193,0.07504303866229954,30.485460208720156,1531.3344556783616,57.0,19.0,0.7001280361679033,0.01990777396516915
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7t01_8f6l/seed-1_sample-4/model.cif,7t01_8f6l,1,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7t01_8f6l/seed-1_sample-4/confidences.json,"[0.42, 0.67, 0.66]","[[0.83, 0.43, 0.41], [0.43, 0.9, 0.91], [0.41, 0.91, 0.9]]","[[0.76, 6.07, 8.6], [5.94, 0.76, 0.94], [5.94, 0.99, 0.76]]","[0.83, 0.9, 0.9]",0.0,0.0,0.71,0.79,0.72,custom,0.42,0.67,0.66,0.83,0.9,0.9,0.43,0.41,0.91,6.005000000000001,7.27,0.965,83.5024644549763,4.05335138162808,92.44096216216217,2.5049929971988796,91.94950303030305,2.273990477869864,14.721310096153847,15.153208123652051,3.5305490654205607,89.29764321581384,2.944111618898942,11.135022428408819,95.6857142857143,91.33250000000001,1837.0,75.74925694066413,11.817608695652174,1142.0,69.33286339754817,14.391493383742912,4186.0,92.26380076445294,2.401295097132285,7165.0,79.11530703422174,9.536799058842456,0.08794772147919921,0.029227168784542047,0.5268275237145256,0.12609672693960744,0.09073661869065415,0.027527068523865862,0.7618189594675912,0.08507579505530408,"[[0.7148523186453722, 0.11088551859099803, 0.08511904761904761], [0.1933188785800726, 0.7938181017294941, 0.7069287729196051], [0.2006346127671158, 0.7300750441824273, 0.8230872749735263]]",0.1521021985855353,0.1428768301930817,0.7185019085510163,0.33782697910987775,0.6332476258434617,0.6137226511032983,0.02238290381920014,0.324242811856161,0.26709693542793717,30.774842583426697,29.841763397503563,0.4846105183293217,0.0708791312561796,0.07504303866229954,33.53534133256801,1388.638383888294,58.0,16.0,0.6540884668374506,0.024149801504597966
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7t01_8f6l/seed-2_sample-0/model.cif,7t01_8f6l,2,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7t01_8f6l/seed-2_sample-0/confidences.json,"[0.13, 0.51, 0.51]","[[0.83, 0.14, 0.13], [0.14, 0.88, 0.89], [0.13, 0.89, 0.89]]","[[0.76, 11.9, 20.74], [9.96, 0.76, 1.03], [10.65, 1.07, 0.76]]","[0.83, 0.88, 0.89]",0.0,0.0,0.56,0.69,0.59,custom,0.13,0.51,0.51,0.83,0.88,0.89,0.14,0.13,0.89,10.93,15.695,1.05,78.62655213270142,4.107897684839432,87.87868108108108,3.3809873949579834,90.07432727272729,2.4359195909010753,24.02106570512821,24.974191229331414,4.194836448598131,85.52652016216992,3.3082682235661633,17.730031127685915,88.99857142857141,82.88374999999999,1546.0,61.44992238033635,20.069551282051286,955.0,72.3417277486911,25.49642857142857,4221.0,84.6877339493011,3.7312942366026287,6722.0,72.82646135944286,16.432424696694163,0.03368973039182836,0.03982521242268558,0.4299186316824675,0.07120083731388989,0.012463139838384645,0.011085841168354458,0.29746141522907993,0.011830811976327998,"[[0.7103426192763369, 0.008333333333333304, 0], [0.06139784946236559, 0.7703631952491309, 0.6696814005328116], [0.04218749999999999, 0.6983166983523448, 0.8101503648775896]]",0.03486559139784945,0.021093749999999994,0.6839990494425782,0.2466527969468092,0.6380850496335765,0.5983870556555033,0.002357679837509852,0.3122358355634892,0.2837935402545043,38.00762174352774,29.841763397503563,0.38136566766449204,0.04763225466118157,0.07504303866229954,215.24118751263887,1163.8657838332974,45.0,23.0,0.6527027844761715,0.18493643382463099
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7t01_8f6l/seed-2_sample-1/model.cif,7t01_8f6l,2,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7t01_8f6l/seed-2_sample-1/confidences.json,"[0.55, 0.74, 0.7]","[[0.84, 0.59, 0.51], [0.59, 0.89, 0.89], [0.51, 0.89, 0.89]]","[[0.76, 4.17, 6.1], [3.16, 0.76, 1.02], [3.59, 1.03, 0.76]]","[0.84, 0.89, 0.89]",0.0,0.0,0.76,0.83,0.77,custom,0.55,0.74,0.7,0.84,0.89,0.89,0.59,0.51,0.89,3.665,4.845,1.025,84.71221563981044,3.918287901418969,91.31820540540541,2.9242577030812322,91.38301818181817,2.5551313701287253,10.332203525641026,11.868655643422,4.024357476635514,89.13781307567801,3.1325589915429752,8.741738881899513,93.4442857142857,88.58000000000001,2165.0,76.58970669745958,7.951529790660225,606.0,71.06527227722772,9.222000000000001,4138.0,88.74952271628807,3.1089361702127656,6909.0,78.80150056365846,6.760821986957663,0.11455171512316084,0.026290652771185842,0.5057765510268368,0.153708872283204,0.30277135667580785,0.1216643811349298,0.5655898454378376,0.271957315592424,"[[0.7236631528509823, 0.21956336178594876, 0.12391601135867189], [0.3076705917874396, 0.7710136754546735, 0.6710385976028301], [0.2841973006570769, 0.6975153878807174, 0.8032196467014658]]",0.26361697678669416,0.20405665600787437,0.6842769927417738,0.3839835418454474,0.6344893953052995,0.6094881937057628,0.04352339832246561,0.3078981023763756,0.25806669300692164,22.900846534758372,29.841763397503563,0.6293594857712931,0.12108287026768706,0.07504303866229954,-6.737792296616362,1374.7011696232673,45.0,15.0,0.6398418473283882,-0.004901277779855846
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7t01_8f6l/seed-2_sample-2/model.cif,7t01_8f6l,2,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7t01_8f6l/seed-2_sample-2/confidences.json,"[0.48, 0.7, 0.67]","[[0.83, 0.52, 0.45], [0.52, 0.88, 0.89], [0.45, 0.89, 0.89]]","[[0.76, 5.3, 8.83], [4.23, 0.76, 1.05], [4.97, 1.07, 0.76]]","[0.83, 0.88, 0.89]",0.0,0.0,0.72,0.8,0.74,custom,0.48,0.7,0.67,0.83,0.88,0.89,0.52,0.45,0.89,4.765000000000001,6.9,1.06,83.0736018957346,3.994436146377894,90.22484324324324,3.090196078431373,90.64230303030304,2.581749250573091,12.373677884615384,14.163591840402589,4.195642523364486,87.98024938976029,3.2221271584607862,10.244304082794153,92.25857142857141,86.03,2451.0,74.09889228886169,9.788074712643677,756.0,69.0529828042328,12.744761904761903,4401.0,86.9551522381277,3.340038684719536,7608.0,76.70234244374073,8.62429176737504,0.10332138915142752,0.02699325372064506,0.4929647543629724,0.14052895854383501,0.16758365014267707,0.051908230217034855,0.4782899694624723,0.14756459455176232,"[[0.717686879330715, 0.15974022856045325, 0.06908181026979981], [0.2343234803522247, 0.7687531189848149, 0.6605254029245383], [0.22473009932344898, 0.6896680999017969, 0.8015859667758402]]",0.19703185445633897,0.14690595479662438,0.6750967514131676,0.33967818688871027,0.6215899301770668,0.591895578071975,0.02868439170271793,0.30381031753864834,0.2594008688306087,22.535472655804707,29.841763397503563,0.6368311048450777,0.12454802259104554,0.07504303866229954,8.949601963374676,1426.7759689815864,54.0,20.0,0.7247798106783999,0.006272604920422638
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7t01_8f6l/seed-2_sample-3/model.cif,7t01_8f6l,2,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7t01_8f6l/seed-2_sample-3/confidences.json,"[0.47, 0.69, 0.66]","[[0.84, 0.51, 0.44], [0.51, 0.88, 0.88], [0.44, 0.88, 0.89]]","[[0.76, 5.53, 9.28], [4.17, 0.76, 1.06], [4.64, 1.1, 0.76]]","[0.84, 0.88, 0.89]",0.0,0.0,0.72,0.8,0.73,custom,0.47,0.69,0.66,0.84,0.88,0.89,0.51,0.44,0.88,4.85,6.959999999999999,1.08,83.1701421800948,3.9494398805078417,89.90994594594595,3.2013165266106443,90.5358303030303,2.5458208428848526,12.484903846153845,14.053904565061108,4.2351713395638635,87.87197280969035,3.2321924166677793,10.257993250259604,91.37714285714286,83.35375,2458.0,72.78888934092758,10.038620689655172,759.0,67.11152832674571,12.635714285714284,4159.0,85.75765207982687,3.5784343434343437,7376.0,75.21935658250005,8.750923106267933,0.10727758613728913,0.024319242800709524,0.4783628286733293,0.1383541610247074,0.15435272953751034,0.04334401649000301,0.3976820012752311,0.13554958926977848,"[[0.7203406046689629, 0.15482765674542293, 0.05546488625123639], [0.23143377260675135, 0.7671441719257985, 0.6578447974625703], [0.22398925941559966, 0.688231098430813, 0.8033389301284318]]",0.19313071467608714,0.13972707283341804,0.6730379479466917,0.33529857848539896,0.6117447053996196,0.5772749995369564,0.027736520174649237,0.29986916248460566,0.24966931687770144,23.282044437763396,29.841763397503563,0.6216253788412316,0.11761285592259826,0.07504303866229954,1.2772253603475292,1399.4308018509257,51.0,16.0,0.7299634845512389,0.0009126748951489676
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7t01_8f6l/seed-2_sample-4/model.cif,7t01_8f6l,2,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7t01_8f6l/seed-2_sample-4/confidences.json,"[0.53, 0.73, 0.69]","[[0.84, 0.57, 0.49], [0.57, 0.89, 0.89], [0.49, 0.89, 0.89]]","[[0.76, 4.73, 7.18], [3.59, 0.76, 1.02], [4.23, 1.02, 0.76]]","[0.84, 0.89, 0.89]",0.0,0.0,0.75,0.82,0.76,custom,0.53,0.73,0.69,0.84,0.89,0.89,0.57,0.49,0.89,4.16,5.705,1.02,84.26200236966825,3.8946135175504106,91.0629081081081,2.9413165266106445,91.35352727272728,2.494568859107741,11.06080528846154,12.6724433860532,3.9914758566978197,88.89281258350121,3.1101663010895986,9.241574843737519,92.81571428571428,88.09375,2197.0,75.57249658625398,8.022866344605475,623.0,70.05353932584269,10.285333333333334,4274.0,88.22875994384653,3.154184397163121,7094.0,77.95159861864772,7.154128025033977,0.10863760419607973,0.02404831135913889,0.5031964511772988,0.14008977387954122,0.23008808637800196,0.09837251588987726,0.5074227028014651,0.24208941087782376,"[[0.724948929107217, 0.183103305785124, 0.10066409597257926], [0.2807165706973768, 0.7743966229779194, 0.6743395076450168], [0.26298761376080965, 0.7013103183431325, 0.8071897014177498]]",0.2319099382412504,0.18182585486669445,0.6878249129940747,0.36718690203400656,0.6386502805559112,0.6150916102129379,0.03976845918110941,0.31180715269640474,0.2635159983354237,22.641949193185805,29.841763397503563,0.634647954977945,0.12352372832957279,0.07504303866229954,3.049523331495948,1318.9787174554879,49.0,9.0,0.7201645518864503,0.0023120337660784596
