pdb,query,seed,sample,data_file,chain_iptm,chain_pair_iptm,chain_pair_pae_min,chain_ptm,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,format,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,plddt_H3,plddt_L3,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS,LIS_AH,LIS_AL,LIS_HL,avg_LIS,piTM,pIS,piTM_A,piTM_H,piTM_L,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_8dxu/seed-1_sample-0/model.cif,7wrl_8dxu,1,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_8dxu/seed-1_sample-0/confidences.json,"[0.11, 0.48, 0.48]","[[0.87, 0.11, 0.11], [0.11, 0.75, 0.85], [0.11, 0.85, 0.86]]","[[0.76, 21.24, 23.33], [15.89, 0.76, 1.26], [16.35, 1.34, 0.76]]","[0.87, 0.75, 0.86]",0.0,0.0,0.41,0.54,0.43,custom,0.11,0.48,0.48,0.87,0.75,0.86,0.11,0.11,0.85,18.564999999999998,19.84,1.3,81.06550620509472,5.218261550086356,72.88057833859096,7.456464725937582,86.40835263835265,3.1440842490842487,26.757063763997998,26.386706143597333,7.4012711213517655,80.11814572734612,5.272936841702729,20.181680342982364,74.04428571428572,82.47625,3261.0,56.67797914750077,25.935437589670013,702.0,70.39323361823362,25.60457142857143,4388.0,80.0434400638104,5.874107142857143,8351.0,69.03821760984827,19.138038720366193,0.06545832012292152,0.030645383818921595,0.42549884677174693,0.441921614661637,0.01060847806137068,0.009921841955892949,0.3211050879345081,0.00997774190121238,"[[0.6598058515887112, 0, 0], [0, 0.6032368808239333, 0.5388279625779626], [0, 0.5547952717523763, 0.7561443403160603]]",0.0,0.0,0.5468116171651695,0.1822705390550565,0.4602797995801123,0.42413817948529137,0.004179283573579845,0.20626016872268446,0.21369872718902705,25.104417703550055,26.5926809864335,0.5287643007701958,0.10284964138586401,0.09269705264982356,400.57290204298454,1814.0374967882685,75.0,24.0,0.6879243499307325,0.22081842451007436
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_8dxu/seed-1_sample-1/model.cif,7wrl_8dxu,1,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_8dxu/seed-1_sample-1/confidences.json,"[0.1, 0.48, 0.48]","[[0.86, 0.11, 0.1], [0.11, 0.75, 0.86], [0.1, 0.86, 0.86]]","[[0.76, 21.46, 21.64], [17.85, 0.76, 1.23], [18.49, 1.28, 0.76]]","[0.86, 0.75, 0.86]",0.0,0.0,0.4,0.54,0.43,custom,0.1,0.48,0.48,0.86,0.75,0.86,0.11,0.1,0.86,19.655,20.064999999999998,1.255,81.27617243631614,5.229439227115716,73.33884332281808,7.283326776816154,86.17039897039896,3.1033699633699636,27.26306200902557,26.45255859856896,7.239788786482335,80.2618049098444,5.205378655767277,20.31846979802562,73.4542857142857,82.0,1460.0,58.61766095890411,24.37948717948718,2187.0,72.92316186556928,26.0757528957529,4330.0,80.2158845265589,5.612809379070777,7977.0,70.58556911701076,18.68934981810362,0.04419486869503418,0.1325324782083992,0.42400814727350256,0.5081246985285851,0.011277011471854871,0.010106584415752958,0.2999559282722695,0.010494265215330437,"[[0.660770071160717, 0, 0], [0, 0.6041299900401087, 0.5416020003448871], [0, 0.5658238948242161, 0.7595597917623642]]",0.0,0.0,0.5537129475845517,0.1845709825281839,0.516203293918288,0.47948407646136737,0.0036139324761639197,0.1937831708203623,0.28208697316484116,44.18380377542623,26.5926809864335,0.26591570038164525,0.035688555446629404,0.09269705264982356,20.523659965325237,1869.2568442243778,77.0,12.0,0.6682939023090091,0.010979582623297145
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_8dxu/seed-1_sample-2/model.cif,7wrl_8dxu,1,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_8dxu/seed-1_sample-2/confidences.json,"[0.1, 0.48, 0.48]","[[0.86, 0.11, 0.1], [0.11, 0.75, 0.85], [0.1, 0.85, 0.86]]","[[0.76, 20.97, 22.27], [17.18, 0.76, 1.31], [17.06, 1.36, 0.76]]","[0.86, 0.75, 0.86]",0.0,0.0,0.4,0.54,0.43,custom,0.1,0.48,0.48,0.86,0.75,0.86,0.11,0.1,0.85,19.075,19.665,1.335,81.17644023514043,5.308236183074266,72.84809674027339,7.559415158667715,86.0789317889318,3.162161172161172,27.084219872973428,26.207522822600545,7.451282642089095,80.0344895881152,5.343270837967718,20.247675112554358,73.97142857142858,81.815,2056.0,54.5301142996109,25.66271604938272,1397.0,70.65884753042234,25.880028735632184,4387.0,80.16857989514475,5.875212585034014,7840.0,68.45251390839266,19.13931912334964,0.029322433138229177,0.07874823181839154,0.43760493169226766,0.4849707446528916,0.010468656136848697,0.009715244551600536,0.35263252766150194,0.009830875882249263,"[[0.6602147985521866, 0, 0], [0, 0.6035189133049087, 0.5366163450231721], [0, 0.5535715255157437, 0.7549208318020335]]",0.0,0.0,0.5450939352694579,0.18169797842315263,0.5301648495473993,0.47602604368913937,0.0020166250952347283,0.1985124012030982,0.27549701739080645,25.114233602224054,26.5926809864335,0.5285694800817647,0.10277752097701053,0.09269705264982356,309.98769391933695,1655.189760249301,72.0,14.0,0.6290100863646402,0.18728226899654532
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_8dxu/seed-1_sample-3/model.cif,7wrl_8dxu,1,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_8dxu/seed-1_sample-3/confidences.json,"[0.11, 0.48, 0.48]","[[0.87, 0.11, 0.11], [0.11, 0.75, 0.86], [0.11, 0.86, 0.86]]","[[0.76, 20.23, 23.44], [16.26, 0.76, 1.23], [16.43, 1.27, 0.76]]","[0.87, 0.75, 0.86]",0.0,0.0,0.41,0.54,0.43,custom,0.11,0.48,0.48,0.87,0.75,0.86,0.11,0.11,0.86,18.245,19.935000000000002,1.25,81.1984062704115,5.232418501727116,73.27143007360674,7.3286782061369005,86.11132561132561,3.1366758241758244,26.652239679090755,26.630777202072537,7.241785714285713,80.19372065178128,5.232590844013281,20.174934198483,74.82142857142857,82.24375,2788.0,55.87375538020086,25.122259136212627,646.0,69.69910216718266,25.863333333333337,4354.0,79.34647680293983,5.091813135985199,7788.0,68.30644478344112,18.692468535177053,0.06603891425720487,0.024869005349772384,0.4109730192587204,0.4202812115733975,0.010667191153434919,0.009993715485569987,0.2930047290981135,0.010440974527209605,"[[0.6617577537779887, 0, 0], [0, 0.6109216658537908, 0.5475434116445351], [0, 0.5620061653281414, 0.7560498928680747]]",0.0,0.0,0.5547747884863383,0.18492492949544612,0.4786935629601036,0.44091498973912857,0.004149678776583125,0.21220222165244926,0.22456308931009616,29.66952737354917,26.5926809864335,0.4454754464843118,0.07585056132657474,0.09269705264982356,-8.964073595637501,1633.4608842401242,73.0,8.0,0.6402767316969238,-0.005487779770011164
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_8dxu/seed-1_sample-4/model.cif,7wrl_8dxu,1,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_8dxu/seed-1_sample-4/confidences.json,"[0.12, 0.49, 0.48]","[[0.86, 0.13, 0.11], [0.13, 0.76, 0.86], [0.11, 0.86, 0.86]]","[[0.76, 20.24, 24.74], [15.98, 0.76, 1.25], [15.81, 1.29, 0.76]]","[0.86, 0.76, 0.86]",0.0,0.0,0.41,0.54,0.44,custom,0.12,0.49,0.48,0.86,0.76,0.86,0.13,0.11,0.86,18.11,20.275,1.27,81.57031352057479,5.269648639896373,73.58149316508938,7.231209021767636,86.44517374517373,3.1071794871794873,26.230289988300186,26.903700962250184,7.212546082949309,80.5323268102793,5.202679049614499,20.115512344499894,74.57142857142857,82.02875,4084.0,61.61073947110676,25.054748338081673,236.0,71.43995762711864,26.465714285714288,4595.0,79.36482916213275,5.910008169934641,8915.0,70.80517542011938,19.14349026457687,0.12934091679581197,0.029645428975278356,0.44032731650152995,0.45871414806944166,0.011312723163962788,0.009898810889191426,0.3508456752510991,0.010747832479539894,"[[0.6612794538105097, 0, 0], [0, 0.609956508859805, 0.5468855477140228], [0, 0.5652453207832955, 0.7586004469752633]]",0.0,0.0,0.5560654342486591,0.18535514474955303,0.48504106102222727,0.4458986517741391,0.004355241353361824,0.23986230443902742,0.20168110598174988,41.59769814154938,26.5926809864335,0.29011664303085494,0.04008058298177511,0.09269705264982356,433.3349302036247,1929.5004438286358,76.0,35.0,0.6743462567141997,0.2245840013095692
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_8dxu/seed-2_sample-0/model.cif,7wrl_8dxu,2,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_8dxu/seed-2_sample-0/confidences.json,"[0.11, 0.48, 0.48]","[[0.86, 0.12, 0.11], [0.12, 0.74, 0.85], [0.11, 0.85, 0.86]]","[[0.76, 19.7, 22.39], [16.75, 0.76, 1.31], [17.6, 1.31, 0.76]]","[0.86, 0.74, 0.86]",0.0,0.0,0.4,0.54,0.43,custom,0.11,0.48,0.48,0.86,0.74,0.86,0.12,0.11,0.85,18.225,19.995,1.31,81.38806009144349,5.191048683074266,71.46726603575183,7.865204563335955,85.26436293436294,3.135613553113554,25.658954537857266,26.163084135208482,7.596113671274961,79.37322968718608,5.397288933174592,19.806050781446903,70.02142857142857,82.60375,3046.0,55.28269205515431,23.38866930171278,691.0,70.31431259044862,25.37807486631016,4322.0,79.29760180472003,5.720397779833488,8059.0,68.29820215010766,18.162380649285478,0.05384546461165965,0.03431221157105604,0.413429715758831,0.43602198991980484,0.010836115123098157,0.00998966305057815,0.25202940793252765,0.010549529954418952,"[[0.6654128923116266, 0, 0], [0, 0.5923848306047259, 0.5306670560334147], [0, 0.5495570186133463, 0.7557624032075414]]",0.0,0.0,0.5401120373233805,0.18003734577446018,0.4903178800328263,0.44677293778909605,0.004281336841591585,0.20315234587941552,0.23933925506808895,25.173449092289303,26.5926809864335,0.5273956335617415,0.10234399054880121,0.09269705264982356,10.558198657556034,1904.538644025367,77.0,15.0,0.6090078092834521,0.005543704083231722
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_8dxu/seed-2_sample-1/model.cif,7wrl_8dxu,2,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_8dxu/seed-2_sample-1/confidences.json,"[0.11, 0.48, 0.48]","[[0.86, 0.12, 0.1], [0.12, 0.75, 0.85], [0.1, 0.85, 0.86]]","[[0.76, 18.88, 20.79], [17.27, 0.76, 1.26], [17.48, 1.3, 0.76]]","[0.86, 0.75, 0.86]",0.0,0.0,0.4,0.54,0.43,custom,0.11,0.48,0.48,0.86,0.75,0.86,0.12,0.1,0.85,18.075,19.134999999999998,1.28,81.37033311561072,5.210694624352332,72.24929547844374,7.461952530815631,85.80440154440154,3.1051007326007323,25.899283386261075,26.536474216629657,7.389500768049156,79.808010046152,5.259249295922898,19.941752790313295,72.86428571428571,83.11,4440.0,57.17714752252252,23.592133333333333,610.0,64.59582786885247,24.66287878787879,4306.0,80.18441709242917,5.297327898550725,9356.0,67.31913082793471,17.850780006587616,0.09540846958327126,0.035679362250611066,0.4311940438926654,0.44825559383561436,0.01129820725516913,0.009567658184334513,0.29764008591629415,0.010812605356236259,"[[0.6658673570019723, 0, 0], [0, 0.5999877640916877, 0.5390124230086648], [0, 0.5508624398375952, 0.7580166452481489]]",0.0,0.0,0.54493743142313,0.18164581047437667,0.49164886708113914,0.4451219300405349,0.00507727717034351,0.21674243998667958,0.22330221288351185,26.865075204536844,26.5926809864335,0.494904628154871,0.09099699466482289,0.09269705264982356,522.672149535032,2132.439417091261,80.0,32.0,0.7308554208808412,0.2451052749006015
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_8dxu/seed-2_sample-2/model.cif,7wrl_8dxu,2,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_8dxu/seed-2_sample-2/confidences.json,"[0.13, 0.49, 0.49]","[[0.87, 0.13, 0.12], [0.13, 0.74, 0.85], [0.12, 0.85, 0.86]]","[[0.76, 18.62, 19.84], [16.35, 0.76, 1.27], [17.28, 1.28, 0.76]]","[0.87, 0.74, 0.86]",0.0,0.0,0.41,0.55,0.44,custom,0.13,0.49,0.49,0.87,0.74,0.86,0.13,0.12,0.85,17.485,18.560000000000002,1.275,81.41134552580013,5.280537564766839,71.6443112513144,7.883713611329661,85.72687258687259,3.123910256410256,25.65092344977436,25.04095731556872,7.657738095238095,79.59417645466237,5.429387144168918,19.44987295352706,70.33142857142857,82.1275,2677.0,55.32010459469556,23.25346774193548,2032.0,72.93388287401577,24.266451612903225,4404.0,79.09710944595821,5.5907936507936515,9113.0,69.11703230488985,17.703571001877453,0.05053325021637756,0.12651473111816322,0.4282825386099219,0.5086269946088527,0.01116731440917832,0.010464951841374373,0.24949627302101385,0.01067244049071854,"[[0.6667991536651441, 0, 0], [0, 0.5953240161312753, 0.5356045155288394], [0, 0.5504361370716511, 0.7564171409338474]]",0.0,0.0,0.5430203263002452,0.18100677543341506,0.47194024340167,0.4400724808534893,0.00591834132807266,0.17511620607588452,0.25903793344953213,29.688441520859897,26.5926809864335,0.4451606121745616,0.07576126492385109,0.09269705264982356,32.38053915573124,2279.200492578544,86.0,27.0,0.6706121114913424,0.014206972691155369
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_8dxu/seed-2_sample-3/model.cif,7wrl_8dxu,2,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_8dxu/seed-2_sample-3/confidences.json,"[0.14, 0.49, 0.5]","[[0.87, 0.13, 0.15], [0.13, 0.74, 0.85], [0.15, 0.85, 0.86]]","[[0.76, 18.34, 19.2], [16.74, 0.76, 1.28], [17.35, 1.28, 0.76]]","[0.87, 0.74, 0.86]",0.0,0.0,0.42,0.55,0.45,custom,0.14,0.49,0.5,0.87,0.74,0.86,0.13,0.15,0.85,17.54,18.275,1.28,81.4566753755715,5.10439335060449,72.10539432176655,7.599055861526358,85.82927927927926,3.124203296703297,25.513997994317233,24.591248457932394,7.5028302611367135,79.79711632553911,5.275884169611381,19.20269223779545,71.38000000000001,82.38,3037.0,55.26218636812644,23.074354838709677,1848.0,73.00536255411255,23.353862433862435,4378.0,78.66203403380541,5.375951086956521,9263.0,68.97652765201481,17.26805611984288,0.06409507465855421,0.1132840499503659,0.41917708360106787,0.5022813165675121,0.01126098769640654,0.010689794167151958,0.3026923772089252,0.010871540921697991,"[[0.6652188110741188, 0, 0], [0, 0.593912335440786, 0.5357338493073226], [0, 0.5484533721337537, 0.756300477239354]]",0.0,0.0,0.5420936107205381,0.18069787024017936,0.4550424101448253,0.42245250709097415,0.006291047692622893,0.18130207261877823,0.23485938677957302,27.080101381469728,26.5926809864335,0.4909194161548046,0.08968672312817157,0.09269705264982356,277.7103597168106,2169.9845443521995,95.0,27.0,0.6943505615398494,0.12797803580657063
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_8dxu/seed-2_sample-4/model.cif,7wrl_8dxu,2,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7wrl_8dxu/seed-2_sample-4/confidences.json,"[0.14, 0.51, 0.49]","[[0.85, 0.16, 0.13], [0.16, 0.74, 0.86], [0.13, 0.86, 0.86]]","[[0.76, 18.25, 20.17], [15.97, 0.76, 1.22], [15.99, 1.25, 0.76]]","[0.85, 0.74, 0.86]",0.0,0.0,0.42,0.55,0.45,custom,0.14,0.51,0.49,0.85,0.74,0.86,0.16,0.13,0.86,17.11,18.080000000000002,1.2349999999999999,80.82238406270412,5.616340133851468,72.08397476340694,8.041129032258064,85.5020205920206,3.1499908424908427,24.464593431388938,25.682538860103627,7.712327188940092,79.46945980604387,5.602486669533459,19.286486493477554,71.26571428571428,82.25125,4371.0,58.78489476092428,22.045468873128446,1093.0,63.773330283623054,23.98519736842105,4017.0,80.37120487926313,5.6417572463768115,9481.0,67.64314330793682,17.224141162642102,0.11137756501049179,0.02863748333624484,0.41856136475357975,0.4228610598794934,0.011425617619078387,0.009623787149327965,0.37831502149331614,0.011382713210249973,"[[0.6649084249084248, 0, 0], [0, 0.6075036592917862, 0.5509788387732827], [0, 0.5580299386299552, 0.7542477361722956]]",0.0,0.0,0.554504388701619,0.184834796233873,0.4570632909410888,0.4174875998975469,0.0073762262464807824,0.22609468686945933,0.18401668678160682,19.026976356200326,26.5926809864335,0.6614038435111188,0.1663689183973508,0.09269705264982356,459.3687500728863,2339.002640237331,100.0,28.0,0.6436473185305728,0.1963951396079979
