pdb,query,seed,sample,data_file,chain_iptm,chain_pair_iptm,chain_pair_pae_min,chain_ptm,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,format,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,plddt_H3,plddt_L3,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS,LIS_AH,LIS_AL,LIS_HL,avg_LIS,piTM,pIS,piTM_A,piTM_H,piTM_L,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm,model_path,native_path,Fnat,Fnonnat,rRMS,iRMS,LRMS,DockQ
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-1_sample-0/model.cif,7s0e,1,0,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-1_sample-0/confidences.json,"[0.11, 0.48, 0.48]","[[0.65, 0.11, 0.11], [0.11, 0.87, 0.85], [0.11, 0.85, 0.88]]","[[0.76, 27.55, 28.15], [22.95, 0.76, 1.4], [23.37, 1.46, 0.76]]","[0.65, 0.87, 0.88]",0.0,0.0,0.24,0.53,0.3,custom,0.11,0.48,0.48,0.65,0.87,0.88,0.11,0.11,0.85,25.25,25.759999999999998,1.43,78.2839422008151,15.55857291821838,85.2121633085896,3.653244817775369,87.07154402895054,2.6778522306471526,30.601448764517514,30.517797198986404,5.431752719472959,83.52254984611841,7.296556655546968,22.183666227658957,80.37142857142855,81.70875000000001,3480.0,62.43880172413793,29.40454246214615,1177.0,70.48069668649107,29.518181818181823,4277.0,82.19878653261632,4.6900103519668725,8934.0,71.70609498108178,21.204244877431616,0.08558184084880353,0.04166151474304438,0.4316339780648918,0.4645821840661256,0.009516750950406506,0.009606348222616547,0.546166422815266,0.009558617489059491,"[[0.47144093363117623, 0, 0], [0, 0.7623021751910642, 0.596347889494249], [0, 0.5926158948944298, 0.7852891156462585]]",0.0,0.0,0.5944818921943393,0.19816063073144644,0.48752589502871124,0.38726396688147546,0.0018587367416433838,0.20186031921048975,0.1835449109293423,71.93707277470874,55.7130047949151,0.3749225015799598,0.013769268200948192,0.02274738757679959,83.98813895932619,2142.878425272911,72.0,18.0,0.7130728000672887,0.03919407558019989,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-1_sample-0/model.cif,/home/cseomoon/project/ABAG/DB/ABAG_structure/original_pdb/7s0e_ABAG.pdb,0.0,1.0,9.285949965801198,27.168989618073,84.65164546172603,0.004340237458049185
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-1_sample-1/model.cif,7s0e,1,1,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-1_sample-1/confidences.json,"[0.11, 0.48, 0.48]","[[0.65, 0.11, 0.11], [0.11, 0.88, 0.85], [0.11, 0.85, 0.88]]","[[0.76, 27.81, 28.13], [23.75, 0.76, 1.36], [23.73, 1.43, 0.76]]","[0.65, 0.88, 0.88]",0.0,0.0,0.24,0.53,0.3,custom,0.11,0.48,0.48,0.65,0.88,0.88,0.11,0.11,0.85,25.78,25.93,1.395,78.17483512412005,15.557819795279949,85.05522799575822,3.5643476493700037,87.04776839565743,2.6492064891553517,30.533307843043538,30.473694858450724,5.294365711659262,83.4259438385119,7.257124644601768,22.100456137717842,80.28142857142858,81.10499999999999,1428.0,63.40015406162465,29.492798353909464,1898.0,73.72881981032666,29.603296703296703,4311.0,82.51642774298308,4.429216398546964,7637.0,73.2151338716448,21.17510381858438,0.030122899349622482,0.10733648228532,0.4234750630920356,0.5136846471292068,0.009803319234509493,0.00955098196676337,0.5787370639939425,0.009606117350961427,"[[0.47038745656541336, 0, 0], [0, 0.7652812023012797, 0.6048686984857198], [0, 0.5999871001031992, 0.7871475880663501]]",0.0,0.0,0.6024278992944595,0.20080929976481984,0.4973826027371788,0.41408139929857196,0.0015056977001678697,0.19212458246661884,0.22045111913178525,53.29835612934269,55.7130047949151,0.5221395687476572,0.024802908995350936,0.02274738757679959,30.01323340343947,1678.1867924929775,59.0,20.0,0.7015123906525863,0.01788432225643622,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-1_sample-1/model.cif,/home/cseomoon/project/ABAG/DB/ABAG_structure/original_pdb/7s0e_ABAG.pdb,0.0,1.0,9.559040878510455,15.925443344454692,47.22158389967683,0.013392514447673339
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-1_sample-2/model.cif,7s0e,1,2,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-1_sample-2/confidences.json,"[0.1, 0.48, 0.48]","[[0.65, 0.11, 0.1], [0.11, 0.88, 0.86], [0.1, 0.86, 0.88]]","[[0.76, 29.48, 29.67], [25.99, 0.76, 1.32], [26.03, 1.36, 0.76]]","[0.65, 0.88, 0.88]",0.0,0.0,0.23,0.54,0.29,custom,0.1,0.48,0.48,0.65,0.88,0.88,0.11,0.1,0.86,27.735,27.85,1.34,78.27728417932568,15.409879764210165,85.04974549310711,3.5211556699634197,87.04042219541616,2.6561629342267676,30.8440334799025,30.86550502711098,5.211123027424544,83.45581728928299,7.195732789466784,22.30688717814601,80.86714285714287,81.34625,2960.0,64.54291385135136,30.58568872987478,2108.0,66.74929791271347,30.575213675213675,4359.0,81.62812227575131,4.317248677248678,9427.0,70.97344467993871,21.82605036077904,0.1381261178176489,0.10191613573879314,0.42691384317342435,0.47826546835191436,0.009622668415247861,0.008817220595168084,0.5476304534490287,0.009089701064404633,"[[0.4709727069278378, 0, 0], [0, 0.7654277773868993, 0.6097927276709928], [0, 0.6094060812730889, 0.7889652135623074]]",0.0,0.0,0.6095994044720409,0.2031998014906803,0.5227577185625553,0.4490053106086483,0.0032184653338823343,0.2270843474073604,0.21870249786740556,87.79590247955188,55.7130047949151,0.28708119237456636,0.009286190172105777,0.02274738757679959,127.08486163511884,2278.854413180421,91.0,28.0,0.7232812475207999,0.055766994547824716,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-1_sample-2/model.cif,/home/cseomoon/project/ABAG/DB/ABAG_structure/original_pdb/7s0e_ABAG.pdb,0.0,1.0,9.883901362428496,32.164426099361364,99.5458854342645,0.003136144200289058
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-1_sample-3/model.cif,7s0e,1,3,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-1_sample-3/confidences.json,"[0.1, 0.48, 0.48]","[[0.65, 0.1, 0.1], [0.1, 0.88, 0.86], [0.1, 0.86, 0.88]]","[[0.76, 28.86, 28.88], [23.55, 0.76, 1.31], [23.65, 1.49, 0.76]]","[0.65, 0.88, 0.88]",0.0,0.0,0.24,0.53,0.29,custom,0.1,0.48,0.48,0.65,0.88,0.88,0.1,0.1,0.86,26.205,26.265,1.4,78.13713782882549,15.4036415483816,84.47181336161188,3.542128437881046,86.8852472858866,2.6574766355140187,30.663771328203413,30.667084003160674,5.269748736019611,83.16473282544133,7.201082207258889,22.200201355794565,79.46142857142857,80.39375000000001,3931.0,75.4747392520987,30.824392041267505,1379.0,73.2707179115301,30.063947368421054,4429.0,81.10743960261911,4.247776679841897,9739.0,76.61763225541597,21.71203869651015,0.37903253546505444,0.10113486561408712,0.41965890849602516,0.5088379269677273,0.009335994598589355,0.00935895169600984,0.510126461479249,0.009356791150217179,"[[0.47083740472933366, 0, 0], [0, 0.7661651533281715, 0.6231020263258507], [0, 0.5854305577092056, 0.7868041509102102]]",0.0,0.0,0.6042662920175281,0.20142209733917604,0.554385960098174,0.4596950808928438,0.0038993408140163078,0.2540177714237653,0.20177796865506215,61.02701593194431,55.7130047949151,0.4545740796946109,0.019030452200998162,0.02274738757679959,71.77907463552367,2474.3018592740873,121.0,20.0,0.637166789498305,0.029009829324778615,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-1_sample-3/model.cif,/home/cseomoon/project/ABAG/DB/ABAG_structure/original_pdb/7s0e_ABAG.pdb,0.0,1.0,8.858780145250462,17.99528264680007,68.40089909429753,0.0073692274226257355
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-1_sample-4/model.cif,7s0e,1,4,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-1_sample-4/confidences.json,"[0.11, 0.48, 0.48]","[[0.63, 0.11, 0.11], [0.11, 0.87, 0.85], [0.11, 0.85, 0.88]]","[[0.76, 29.52, 29.25], [23.91, 0.76, 1.3], [23.75, 1.39, 0.76]]","[0.63, 0.87, 0.88]",0.0,0.0,0.24,0.52,0.29,custom,0.11,0.48,0.48,0.63,0.87,0.88,0.11,0.11,0.85,26.715,26.5,1.345,77.79888477213782,15.959342640080013,84.76591728525982,3.600569028586912,86.51860072376356,2.629783107035796,30.596088037088368,30.547420370017164,5.225095756090087,83.02780092705372,7.39656492523424,22.122868054398538,79.52142857142857,80.30375000000001,2197.0,65.11834547109696,30.373796296296295,764.0,70.50089659685864,30.523214285714282,4382.0,80.83002053856686,4.42075569358178,7343.0,72.14975420217415,21.772588758530787,0.07562497409668137,0.035033214283648986,0.4108542761757253,0.4336509585901483,0.009362234836428923,0.009385211227849001,0.44913585064870626,0.009373289325768136,"[[0.4725920535855887, 0, 0], [0, 0.7604515894257406, 0.6116501650165017], [0, 0.6123487370023479, 0.7887929013159822]]",0.0,0.0,0.6119994510094249,0.20399981700314163,0.5270323346293784,0.4381546790066012,0.0016270205384938197,0.23344832969454973,0.20307932877355767,55.91082458712771,55.7130047949151,0.4982278051916133,0.022590335739969863,0.02274738757679959,21.374672130178965,1621.5363138553284,72.0,10.0,0.6482034173751503,0.013181741258300298,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-1_sample-4/model.cif,/home/cseomoon/project/ABAG/DB/ABAG_structure/original_pdb/7s0e_ABAG.pdb,0.0,1.0,10.43523838252679,12.845834785462134,49.39127181806146,0.014072167283903576
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-2_sample-0/model.cif,7s0e,2,0,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-2_sample-0/confidences.json,"[0.13, 0.49, 0.49]","[[0.66, 0.13, 0.13], [0.13, 0.86, 0.85], [0.13, 0.85, 0.87]]","[[0.76, 26.59, 26.39], [20.52, 0.76, 1.34], [20.95, 1.41, 0.76]]","[0.66, 0.86, 0.87]",0.0,0.0,0.24,0.54,0.3,custom,0.13,0.49,0.49,0.66,0.86,0.87,0.13,0.13,0.85,23.555,23.67,1.375,78.08149870322342,15.374135047136683,83.96184517497349,3.937826852729982,86.59342581423401,2.7216804796332217,30.23134767958706,30.16880125882128,5.403887697257545,82.8789232308103,7.344547459833296,21.934678878555292,78.88571428571427,80.5,3610.0,63.49780055401662,28.46684523809524,1506.0,68.37520916334661,28.261111111111113,4685.0,79.03242796157951,4.898268184067293,9801.0,70.30181255964759,20.542074844424548,0.1230205853035157,0.03906737440364479,0.3828193641788479,0.424198629519161,0.009592800345689045,0.00925208101408175,0.30668339286795887,0.009472933106846819,"[[0.4745251478597681, 0, 0], [0, 0.7579172032241142, 0.6131610827972261], [0, 0.6001414728682171, 0.7839867265732828]]",0.0,0.0,0.6066512778327215,0.20221709261090717,0.5074956151148993,0.43544859357185395,0.0018895862257259021,0.2122268777679173,0.22133212957821072,71.47013438028482,55.7130047949151,0.3779797266495565,0.013947256876434135,0.02274738757679959,219.4522882753632,2258.623301165117,74.0,32.0,0.7596799554486846,0.09716196948918314,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-2_sample-0/model.cif,/home/cseomoon/project/ABAG/DB/ABAG_structure/original_pdb/7s0e_ABAG.pdb,0.0,1.0,10.260714237504482,26.494009322453348,83.78244134226077,0.004461030766663854
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-2_sample-1/model.cif,7s0e,2,1,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-2_sample-1/confidences.json,"[0.11, 0.48, 0.48]","[[0.66, 0.11, 0.11], [0.11, 0.87, 0.85], [0.11, 0.85, 0.88]]","[[0.76, 28.23, 29.36], [26.34, 0.76, 1.29], [26.19, 1.4, 0.76]]","[0.66, 0.87, 0.88]",0.0,0.0,0.24,0.54,0.3,custom,0.11,0.48,0.48,0.66,0.87,0.88,0.11,0.11,0.85,27.285,27.775,1.345,77.8369192293442,15.143842012300228,83.65020148462355,3.765113128302398,86.46031363088059,2.6237965085522834,30.696183625675094,30.6610916596278,5.310931515244369,82.64914478161612,7.1775838830516365,22.222735600182418,79.59714285714287,80.14,3070.0,56.228022801302934,30.26654740608229,1671.0,56.52698384201077,30.192976588628763,4517.0,79.84566637148549,4.628926038500507,9258.0,64.20022433826641,21.696150011070518,0.0693183550766889,0.052706538760147914,0.4200184013353073,0.4206532443943113,0.008907340500973714,0.008313393473019291,0.2659934485313957,0.008643765523410625,"[[0.4739783044515118, 0, 0], [0, 0.7645695167462978, 0.6142844270703375], [0, 0.6001033031171715, 0.7909741174399154]]",0.0,0.0,0.6071938650937545,0.2023979550312515,0.541341675944835,0.47285644739290833,0.0023242050095113745,0.2133259322543049,0.25720631012909206,86.175287877753,55.7130047949151,0.2947676907359371,0.009635350023895223,0.02274738757679959,222.69506555010636,2089.576643936403,79.0,34.0,0.7200948456560646,0.10657425091170007,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-2_sample-1/model.cif,/home/cseomoon/project/ABAG/DB/ABAG_structure/original_pdb/7s0e_ABAG.pdb,0.0,1.0,10.849316167489386,27.19699244793904,80.11057697327217,0.004721745121262126
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-2_sample-2/model.cif,7s0e,2,2,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-2_sample-2/confidences.json,"[0.1, 0.48, 0.48]","[[0.65, 0.1, 0.1], [0.1, 0.87, 0.86], [0.1, 0.86, 0.88]]","[[0.76, 29.24, 29.72], [23.08, 0.76, 1.26], [23.1, 1.42, 0.76]]","[0.65, 0.87, 0.88]",0.0,0.0,0.24,0.53,0.29,custom,0.1,0.48,0.48,0.65,0.87,0.88,0.1,0.1,0.86,26.159999999999997,26.41,1.3399999999999999,77.54648017784365,15.506268008767638,83.12728525980911,3.82304565776995,86.31032569360677,2.66026274025745,30.65857608851503,30.662492847606337,5.271353608089474,82.32803037708652,7.329858802265012,22.19747418140361,77.46571428571428,79.47375,2523.0,63.29233848592945,30.680654338549076,820.0,68.97921951219513,30.54,4508.0,78.31282719609584,4.514437689969605,7851.0,70.19479506474015,21.91169734283956,0.08593736175073352,0.02579638906848023,0.3914456848499804,0.41354376888686967,0.009380850126096085,0.009300177754909655,0.2896084838442021,0.009346827173791959,"[[0.4741856443560235, 0, 0], [0, 0.7638376801238537, 0.6319900518192147], [0, 0.5928875968992248, 0.7869581793653586]]",0.0,0.0,0.6124388243592198,0.2041462747864066,0.5166883026160867,0.4330435660978682,0.0014233210160346842,0.20414587587763977,0.22747436920419375,55.315611529754484,55.7130047949151,0.5035791509208576,0.023067834370486883,0.02274738757679959,98.37953456522166,1640.6610810503391,72.0,17.0,0.6808134338441667,0.05996334995783517,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-2_sample-2/model.cif,/home/cseomoon/project/ABAG/DB/ABAG_structure/original_pdb/7s0e_ABAG.pdb,0.0,1.0,9.809280239503426,12.029687494815779,53.23098040240523,0.013391370042568072
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-2_sample-3/model.cif,7s0e,2,3,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-2_sample-3/confidences.json,"[0.1, 0.48, 0.48]","[[0.66, 0.1, 0.1], [0.1, 0.86, 0.85], [0.1, 0.85, 0.87]]","[[0.76, 29.6, 29.86], [24.76, 0.76, 1.3], [24.83, 1.4, 0.76]]","[0.66, 0.86, 0.87]",0.0,0.0,0.23,0.54,0.29,custom,0.1,0.48,0.48,0.66,0.86,0.87,0.1,0.1,0.85,27.18,27.345,1.35,77.86250648388292,15.276471026366753,83.90760339342523,3.907566725375965,86.5793365500603,2.6841209663198726,30.866319958896913,30.859200021797772,5.316374291404933,82.78314880912282,7.289386239354197,22.34729809069987,77.63857142857144,79.94375,2320.0,63.889189655172416,30.4058748403576,672.0,70.80050595238096,30.337179487179494,4417.0,79.59280733529545,4.769953295277634,7409.0,71.4275009809496,21.837669207604907,0.06284530706004815,0.026064289199586144,0.38945588512793705,0.4099571239017201,0.009311731569881531,0.009272398812053604,0.41068260041113697,0.009274288728497938,"[[0.47171357575692163, 0, 0], [0, 0.7576157241708422, 0.6210624009343455], [0, 0.6026808735561056, 0.7840373626373627]]",0.0,0.0,0.6118716372452255,0.20395721241507517,0.5470526104841904,0.45475061727172056,0.000907532417166901,0.23320431273031023,0.22063877212424343,47.01193501206301,55.7130047949151,0.5840992303551283,0.03165566302822342,0.02274738757679959,87.00907076512328,1392.6633768820354,50.0,21.0,0.691758660078999,0.06247674219733095,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-2_sample-3/model.cif,/home/cseomoon/project/ABAG/DB/ABAG_structure/original_pdb/7s0e_ABAG.pdb,0.47058823529411764,0.7777777777777778,9.721007223498393,2.697089595260967,14.367085399361237,0.32203329130104175
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-2_sample-4/model.cif,7s0e,2,4,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-2_sample-4/confidences.json,"[0.11, 0.48, 0.48]","[[0.65, 0.11, 0.11], [0.11, 0.87, 0.85], [0.11, 0.85, 0.88]]","[[0.76, 28.8, 29.31], [26.11, 0.76, 1.35], [26.21, 1.37, 0.76]]","[0.65, 0.87, 0.88]",0.0,0.0,0.24,0.53,0.3,custom,0.11,0.48,0.48,0.65,0.87,0.88,0.11,0.11,0.85,27.455,27.759999999999998,1.36,77.81693960726196,15.578578451192788,83.4766065747614,3.885117192792305,86.34431845597105,2.6754276141773934,30.68592876260575,30.668496090024796,5.45430902405393,82.54595487933148,7.3797077527208295,22.269577958894825,78.13142857142857,80.36999999999999,3907.0,54.520563091886366,30.254301075268813,1350.0,58.78259259259259,30.220133333333333,4506.0,78.82885596981801,4.9442956349206355,9763.0,64.04400388476564,21.80624334784093,0.0815767184623859,0.03629128746695176,0.3950977249860728,0.39309004553276344,0.008799112308107322,0.008423117907611855,0.28922279635645814,0.008818022221203902,"[[0.47676139953377933, 0, 0], [0, 0.7602622849096681, 0.6073613433667783], [0, 0.5953720215020417, 0.7858329667106614]]",0.0,0.0,0.6013666824344099,0.20045556081146998,0.499163508829494,0.4231146775032824,0.0028142360353455385,0.22085637981493228,0.1994440616530046,84.71798836842997,55.7130047949151,0.3019079681412528,0.009966359153770595,0.02274738757679959,397.5739401662429,2205.3220550629126,89.0,43.0,0.7309662097395878,0.18027931079431436,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7s0e/seed-2_sample-4/model.cif,/home/cseomoon/project/ABAG/DB/ABAG_structure/original_pdb/7s0e_ABAG.pdb,0.0,1.0,10.045914265951545,28.257873259787385,80.32413572465,0.004627988661210771
