pdb,query,seed,sample,data_file,chain_iptm,chain_pair_iptm,chain_pair_pae_min,chain_ptm,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,format,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,plddt_H3,plddt_L3,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS,LIS_AH,LIS_AL,LIS_HL,avg_LIS,piTM,pIS,piTM_A,piTM_H,piTM_L,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7r58_7t17/seed-1_sample-0/model.cif,7r58_7t17,1,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7r58_7t17/seed-1_sample-0/confidences.json,"[0.18, 0.54, 0.51]","[[0.75, 0.2, 0.15], [0.2, 0.88, 0.87], [0.15, 0.87, 0.88]]","[[0.76, 13.86, 16.79], [7.96, 0.76, 1.1], [8.36, 1.1, 0.76]]","[0.75, 0.88, 0.88]",0.0,0.0,0.32,0.55,0.37,custom,0.18,0.54,0.51,0.75,0.88,0.88,0.2,0.15,0.87,10.91,12.575,1.1,81.09553913335573,9.839463829009865,87.73902912621358,3.006057422969188,88.2365100671141,3.02812356979405,27.74034863945578,28.184813664596277,4.524329710144928,85.6903594422278,5.291214940591035,20.149830671398995,79.82142857142857,93.11,1860.0,62.08336559139785,20.632543103448278,604.0,62.00379139072848,21.90934065934066,4425.0,84.17090056497175,3.364105156723964,6889.0,69.41935251569936,15.301996306504302,0.04026338646414866,0.03064086978597291,0.42485556422751514,0.420154676253421,0.011101607716898266,0.011116480467704679,0.4967841501860852,0.011305567154087887,"[[0.4913411452163666, 0, 0], [0.08814317673378075, 0.7778908291755762, 0.6675865147628388], [0.09016439909297053, 0.6715326689644837, 0.7849538652399782]]",0.044071588366890374,0.04508219954648526,0.6695595918636612,0.25290445992567895,0.6079344194867328,0.565836987521878,0.008091162377625687,0.31841098852024596,0.23933483662400645,18.61260418798939,14.560053028154023,0.3796310264044997,0.17256655819627217,0.2541820026785465,202.72072082453298,977.1484436300309,50.0,11.0,0.6227353493042894,0.20746153989811536
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7r58_7t17/seed-1_sample-1/model.cif,7r58_7t17,1,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7r58_7t17/seed-1_sample-1/confidences.json,"[0.18, 0.54, 0.51]","[[0.76, 0.2, 0.15], [0.2, 0.89, 0.88], [0.15, 0.88, 0.88]]","[[0.76, 14.78, 16.2], [8.53, 0.76, 1.1], [8.47, 1.08, 0.76]]","[0.76, 0.89, 0.88]",0.0,0.0,0.32,0.55,0.37,custom,0.18,0.54,0.51,0.76,0.89,0.88,0.2,0.15,0.88,11.655,12.335,1.09,81.16994625461874,9.80948509838718,87.74632146709816,2.9937605042016813,88.28256152125279,3.0077879481311975,27.904026360544222,28.248836512866013,4.511713768115943,85.7329430809899,5.270344516906686,20.221525547175393,79.80428571428571,93.2525,1672.0,60.67749401913875,20.67010582010582,798.0,63.75928571428572,21.826785714285716,4331.0,84.56626529669822,3.3462642256308754,6801.0,69.66768167670756,15.28105192000747,0.03498346841905105,0.04029456414779489,0.4210692566833022,0.4278803630034688,0.01106917356226716,0.010753042668917839,0.48963304982837363,0.011174094393993571,"[[0.49114302004561283, 0, 0], [0.08481826241134752, 0.7787972729000381, 0.6682842582106455], [0.0933734939759036, 0.6748994780350142, 0.787023394080393]]",0.04240913120567376,0.0466867469879518,0.6715918681228299,0.25356258210548516,0.5859380578130655,0.5533013302528609,0.008123325560111494,0.27962984796728035,0.265548156725469,18.213306404308913,14.560053028154023,0.3898978723406172,0.1788479089716398,0.2541820026785465,59.17191179918632,1014.2828677684083,46.0,9.0,0.7351928703629389,0.05833866831387422
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7r58_7t17/seed-1_sample-2/model.cif,7r58_7t17,1,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7r58_7t17/seed-1_sample-2/confidences.json,"[0.19, 0.55, 0.52]","[[0.76, 0.23, 0.16], [0.23, 0.88, 0.87], [0.16, 0.87, 0.88]]","[[0.76, 13.64, 16.74], [7.91, 0.76, 1.12], [8.19, 1.09, 0.76]]","[0.76, 0.88, 0.88]",0.0,0.0,0.34,0.56,0.38,custom,0.19,0.55,0.52,0.76,0.88,0.88,0.23,0.16,0.87,10.775,12.465,1.105,81.21964729593552,9.768284487708126,87.56946062567421,3.1425350140056016,88.18218120805369,3.0056521739130435,26.760691964285712,27.588755545696536,4.615804347826087,85.65709637655448,5.305490558542258,19.655083952602777,79.47571428571429,93.21875,3324.0,66.83862815884477,20.037294117647054,600.0,66.07678333333334,20.948901098901096,4393.0,84.26709424083771,3.361558854718982,8317.0,72.39416857767195,14.782584690422377,0.13919178445063493,0.021291814745600303,0.4239624316630734,0.4111775445488111,0.012530455945509899,0.011938352545204926,0.43296828683172056,0.013031844869953683,"[[0.49324683886885323, 0, 0], [0.10353345841150718, 0.7758134749736817, 0.6666482230532449], [0.09741813602015113, 0.6722016137090328, 0.7868284363128925]]",0.05176672920575359,0.04870906801007557,0.6694249183811388,0.256633571865656,0.6051257026066033,0.5507801570055902,0.011408546626585886,0.3405273547923102,0.19884425558669416,15.849391886809688,14.560053028154023,0.4576767949095849,0.22337078384722264,0.2541820026785465,1126.0367918948311,1528.4467657673333,64.0,20.0,0.7380392733166635,0.7367196667327315
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7r58_7t17/seed-1_sample-3/model.cif,7r58_7t17,1,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7r58_7t17/seed-1_sample-3/confidences.json,"[0.18, 0.54, 0.52]","[[0.75, 0.2, 0.16], [0.2, 0.88, 0.88], [0.16, 0.88, 0.88]]","[[0.76, 14.2, 16.89], [7.88, 0.76, 1.11], [8.04, 1.09, 0.76]]","[0.75, 0.88, 0.88]",0.0,0.0,0.33,0.55,0.38,custom,0.18,0.54,0.52,0.75,0.88,0.88,0.2,0.16,0.88,11.04,12.465,1.1,81.16010413167619,9.889477530142491,87.85599784250269,3.046890756302521,88.33800894854585,3.0099618611746757,26.97555272108843,27.93274844720497,4.536456521739131,85.78470364090823,5.315443382539896,19.814919230010844,80.74857142857142,93.49249999999999,2674.0,64.82559835452506,20.26807065217391,605.0,63.960082644628095,21.023076923076925,4417.0,84.73290355444871,3.3791203235591505,7696.0,71.17286151786729,14.890089299603327,0.08245184883597997,0.02367142971106448,0.4378144935028005,0.4169771199174709,0.01209831950271273,0.011200613197172984,0.4850540005722838,0.012559872888698998,"[[0.49243355442095715, 0, 0], [0.10467901234567902, 0.7772546008618433, 0.6678848241561262], [0.09678416821273962, 0.6741938908037364, 0.7873723467514673]]",0.05233950617283951,0.04839208410636981,0.6710393574799313,0.2572569825863802,0.6075289157439171,0.5606089358571291,0.011075238520031788,0.3121697358140216,0.2373639615230757,11.246955883510433,14.560053028154023,0.6262981764730736,0.3635329567119759,0.2541820026785465,92.95978922788856,1354.3856612423558,60.0,14.0,0.6984699907263588,0.06863612919721704
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7r58_7t17/seed-1_sample-4/model.cif,7r58_7t17,1,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7r58_7t17/seed-1_sample-4/confidences.json,"[0.16, 0.53, 0.51]","[[0.75, 0.19, 0.14], [0.19, 0.88, 0.88], [0.14, 0.88, 0.89]]","[[0.76, 14.96, 18.43], [8.72, 0.76, 1.09], [8.53, 1.08, 0.76]]","[0.75, 0.88, 0.89]",0.0,0.0,0.32,0.55,0.37,custom,0.16,0.53,0.51,0.75,0.88,0.89,0.19,0.14,0.88,11.84,13.48,1.085,81.02656365468593,9.87285936113576,87.67495145631067,3.076575630252101,88.25919463087249,2.998954996186117,27.67080994897959,28.49765638864241,4.558340579710145,85.65356991395636,5.316129995857993,20.242268972444048,80.19428571428571,93.25375,2138.0,61.19565715622077,20.714942528735634,393.0,60.423269720101786,21.994545454545456,4415.0,84.27030237825595,3.215978835978836,6946.0,68.6297430848595,15.30848893975331,0.05134286502914791,0.01990128843280185,0.43917079993711006,0.41808969055760126,0.010793093887297014,0.010652035822051598,0.47372537949110616,0.011374683711866312,"[[0.49073481515341977, 0, 0], [0.07915828303152246, 0.7770757304710793, 0.668148274727222], [0.07708821233411399, 0.673990182853717, 0.7873753036646508]]",0.03957914151576123,0.038544106167056995,0.6710692287904696,0.24973082549109593,0.608890046532933,0.564027676713255,0.008991696387349073,0.31847902458392024,0.23655695574198574,11.328653844261428,14.560053028154023,0.622904057210973,0.3601903238077554,0.2541820026785465,63.20678752975459,1091.6908186956878,51.0,11.0,0.6434331636908219,0.05789806641890764
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7r58_7t17/seed-2_sample-0/model.cif,7r58_7t17,2,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7r58_7t17/seed-2_sample-0/confidences.json,"[0.21, 0.56, 0.53]","[[0.75, 0.24, 0.18], [0.24, 0.88, 0.88], [0.18, 0.88, 0.88]]","[[0.76, 12.06, 16.11], [7.52, 0.76, 1.08], [7.5, 1.06, 0.76]]","[0.75, 0.88, 0.88]",0.0,0.0,0.34,0.56,0.39,custom,0.21,0.56,0.53,0.75,0.88,0.88,0.24,0.18,0.88,9.79,11.805,1.07,81.42539805172991,9.930735555091603,88.08569579288026,3.063137254901961,88.26344519015659,3.038100686498856,26.05568133503401,27.162976929902396,4.5376666666666665,85.92484634492224,5.343991165497473,19.252108310534357,81.59285714285714,93.13499999999999,2156.0,64.30449675324675,18.48078431372549,764.0,62.55968586387434,19.717159763313607,4266.0,85.40535044538208,3.4922222222222223,7186.0,70.7565110208344,13.896722099753774,0.06042763728969135,0.022564087243046656,0.4164093677047844,0.3949238699249346,0.014009495738603422,0.011929287173553198,0.4939506167589726,0.013832332861268285,"[[0.49064175037877333, 0, 0], [0.1229491173416407, 0.775720238095238, 0.6676791748625611], [0.11468342644320297, 0.6735551226334981, 0.7843484272828306]]",0.06147455867082035,0.05734171322160148,0.6706171487480297,0.26314447354681714,0.5999024883484809,0.5674255831103809,0.011755075165153363,0.2994831734814276,0.25618733446379993,12.437560360404945,14.560053028154023,0.5781348562719916,0.31836200886942906,0.2541820026785465,226.2163295946973,1231.1051207436635,55.0,13.0,0.704288504361016,0.18375062030287767
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7r58_7t17/seed-2_sample-1/model.cif,7r58_7t17,2,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7r58_7t17/seed-2_sample-1/confidences.json,"[0.2, 0.55, 0.52]","[[0.74, 0.22, 0.17], [0.22, 0.88, 0.88], [0.17, 0.88, 0.88]]","[[0.76, 10.45, 15.83], [8.21, 0.76, 1.09], [7.92, 1.07, 0.76]]","[0.74, 0.88, 0.88]",0.0,0.0,0.34,0.56,0.39,custom,0.2,0.55,0.52,0.74,0.88,0.88,0.22,0.17,0.88,9.33,11.875,1.08,80.7305643265032,10.218733362910383,87.72448759439051,3.122282913165266,88.16447427293066,3.054035087719298,26.397959183673468,26.96995563442768,4.594971014492754,85.53984206460812,5.4650171212649825,19.32096194419797,79.82142857142857,93.07499999999999,3454.0,65.9123566878981,19.950289575289574,1262.0,66.79690174326466,20.465546218487397,4373.0,84.52708095129204,3.244528875379939,9089.0,72.41211312748493,14.55345488971897,0.16431325322811902,0.04047160575548725,0.430689484951124,0.43971182158339533,0.012771528704119822,0.012220098138328497,0.49976489517985156,0.01309434342926773,"[[0.4879267038873489, 0.1333333333333333, 0], [0.1006872852233677, 0.7766342682256175, 0.6687216262142079], [0.09999999999999999, 0.6709994504396484, 0.7836235650015513]]",0.1170103092783505,0.049999999999999996,0.6698605383269282,0.27895694920175956,0.5942469191780413,0.5557637605170331,0.013899662561027537,0.33143761682569145,0.2104264811303141,18.283883343983092,14.560053028154023,0.3880594492629531,0.17771474767436046,0.2541820026785465,2017.4430166810573,1610.439968135263,68.0,31.0,0.7199270408180318,1.2527278610807613
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7r58_7t17/seed-2_sample-2/model.cif,7r58_7t17,2,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7r58_7t17/seed-2_sample-2/confidences.json,"[0.21, 0.55, 0.53]","[[0.74, 0.23, 0.19], [0.23, 0.88, 0.88], [0.19, 0.88, 0.88]]","[[0.76, 13.74, 15.76], [8.21, 0.76, 1.09], [7.67, 1.06, 0.76]]","[0.74, 0.88, 0.88]",0.0,0.0,0.34,0.55,0.38,custom,0.21,0.55,0.53,0.74,0.88,0.88,0.23,0.19,0.88,10.975000000000001,11.715,1.0750000000000002,80.72208599261,10.099677697165825,87.79737864077671,3.0614635854341734,88.08400447427293,3.0758810068649884,27.109398384353742,27.387222715173024,4.565626811594203,85.53448970255322,5.4123407631549965,19.687415970373653,80.91,93.16,1888.0,61.54468485169492,19.575816993464056,1163.0,66.97396818572658,20.372402597402598,4377.0,84.93488005483206,3.1494708994708995,7428.0,71.15117769741785,14.365896830112519,0.03761413600109234,0.03739202594803548,0.42794490839559635,0.428119960276103,0.011945005286696423,0.012707032419830077,0.4964170743226861,0.012688850665731551,"[[0.4883185863553344, 0, 0], [0.08514072847682119, 0.7792018510567243, 0.6726261089987325], [0.08839421613394215, 0.6711187727976814, 0.782325936271467]]",0.042570364238410596,0.04419710806697107,0.671872440898207,0.25287997106786286,0.5764807168130525,0.5472795795184255,0.011565120121097828,0.2848257534620277,0.2508887059353,13.654231764859212,14.560053028154023,0.5320720007549049,0.2792939270745395,0.2541820026785465,150.0894270836949,1319.4157013580743,55.0,19.0,0.6357048893056629,0.11375446489624753
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7r58_7t17/seed-2_sample-3/model.cif,7r58_7t17,2,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7r58_7t17/seed-2_sample-3/confidences.json,"[0.2, 0.55, 0.52]","[[0.75, 0.23, 0.17], [0.23, 0.88, 0.88], [0.17, 0.88, 0.88]]","[[0.76, 12.78, 15.7], [7.89, 0.76, 1.09], [7.89, 1.07, 0.76]]","[0.75, 0.88, 0.88]",0.0,0.0,0.34,0.56,0.38,custom,0.2,0.55,0.52,0.75,0.88,0.88,0.23,0.17,0.88,10.334999999999999,11.795,1.08,81.12980853207928,10.033217417401744,87.93255663430422,3.0612885154061624,88.03282997762864,3.053241800152555,26.71226190476191,27.51587843833185,4.555173913043478,85.69839838133737,5.382582577653487,19.59443808537908,80.91714285714285,93.0,2008.0,61.60084412350597,19.110626185958253,796.0,63.53600502512563,19.600757575757576,4393.0,84.56225927612111,3.1889972899728996,7197.0,69.8997028082509,13.966793683896242,0.04356444313970161,0.03231713624925986,0.4406867010318641,0.4382438060128631,0.01154711850270195,0.011852130256190474,0.4859563295924136,0.012275703953452906,"[[0.49019475226331105, 0, 0], [0.1021846579675761, 0.7783021004696851, 0.6708127548565205], [0.09474537037037035, 0.672428978337456, 0.7839780398851556]]",0.05109232898378805,0.04737268518518518,0.6716208665969883,0.2566952935886538,0.6159821933310812,0.5794927186540961,0.009672324954438125,0.30593491056341476,0.26388548313624316,15.939221081655571,14.560053028154023,0.4548725765995884,0.22141605415655435,0.2541820026785465,257.9891526868005,1086.3506929610028,50.0,10.0,0.6385995721786104,0.23748238424151458
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7r58_7t17/seed-2_sample-4/model.cif,7r58_7t17,2,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7r58_7t17/seed-2_sample-4/confidences.json,"[0.19, 0.55, 0.52]","[[0.75, 0.22, 0.16], [0.22, 0.88, 0.88], [0.16, 0.88, 0.88]]","[[0.76, 12.98, 15.53], [8.16, 0.76, 1.1], [8.34, 1.05, 0.76]]","[0.75, 0.88, 0.88]",0.0,0.0,0.32,0.55,0.37,custom,0.19,0.55,0.52,0.75,0.88,0.88,0.22,0.16,0.88,10.57,11.934999999999999,1.0750000000000002,81.09437688948606,9.94589422725612,87.8568284789644,3.02733893557423,88.07409395973156,3.039183829138062,27.107285289115644,28.217138420585627,4.534815217391304,85.67509977606068,5.337472330656137,19.95307964236419,81.01,92.93625,1674.0,61.40945639187574,19.524523809523807,268.0,60.914085820895515,19.904545454545456,4390.0,84.70781435079726,3.303772609819121,6332.0,69.01045218785617,14.24428062462946,0.040456042102840414,0.01920998723391202,0.4326467059416448,0.4192370330292047,0.01268064415622299,0.011743503647984816,0.5000396541452639,0.012741171368745979,"[[0.48969500703167607, 0, 0], [0.08731608320649416, 0.776614858120633, 0.667294968553459], [0.08312682215743439, 0.6724713978816947, 0.7845431983868466]]",0.04365804160324708,0.041563411078717194,0.6698831832175769,0.25170154529984706,0.6166547400868077,0.5635165959694476,0.004555341701673792,0.3149644423863198,0.243996811881454,15.627736905101868,14.560053028154023,0.4646761163472941,0.22829523659239379,0.2541820026785465,8.491778011964811,830.1512677585564,42.0,10.0,0.6002006134421838,0.0102291935720257
