pdb,query,seed,sample,data_file,chain_iptm,chain_pair_iptm,chain_pair_pae_min,chain_ptm,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,format,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,plddt_H3,plddt_L3,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS,LIS_AH,LIS_AL,LIS_HL,avg_LIS,piTM,pIS,piTM_A,piTM_H,piTM_L,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm,model_path,native_path,Fnat,Fnonnat,rRMS,iRMS,LRMS,DockQ
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-1_sample-0/model.cif,7soc,1,0,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-1_sample-0/confidences.json,"[0.14, 0.52, 0.51]","[[0.87, 0.14, 0.14], [0.14, 0.89, 0.89], [0.14, 0.89, 0.89]]","[[0.76, 18.81, 19.55], [16.12, 0.76, 1.06], [16.78, 1.07, 0.76]]","[0.87, 0.89, 0.89]",0.01,0.0,0.46,0.58,0.49,custom,0.14,0.52,0.51,0.87,0.89,0.89,0.14,0.14,0.89,17.465,18.165,1.065,83.18416981132077,5.134562814070352,87.27415741675075,3.1230376476377955,90.94392811296532,2.43132001493652,25.053251953125,24.82723798076923,4.0703425480769235,87.13408511367895,3.5629734922148892,17.983610827323716,90.21,88.36125,3215.0,67.3347169517885,23.28719696969697,549.0,70.56102914389801,22.542499999999997,3768.0,90.0173779193206,2.8682851239669422,7532.0,75.9710413383357,16.23266069788797,0.08670892742374273,0.0315503214300901,0.5144029175360898,0.5213477370851115,0.011814477792003281,0.010368887592077273,0.5888896995886105,0.010623871385533274,"[[0.6700603277262969, 0, 0], [0, 0.7645863163792567, 0.6797609829126013], [0, 0.6785568341355797, 0.7998295068814417]]",0.0,0.0,0.6791589085240906,0.22638630284136352,0.6238613174336625,0.5889735182265633,0.002165698990226123,0.30836568893223715,0.27844213030410003,18.345599277060693,26.32040672320545,0.6730274007351928,0.1767320295484578,0.09444273952769648,127.3486922518407,1675.2253953883821,67.0,33.0,0.6796241192172309,0.07601884057059459,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-1_sample-0/model.cif,/home/cseomoon/project/ABAG/DB/ABAG_structure/original_pdb/7soc_ABAG.pdb,0.0,1.0,1.4194142786113104,15.817684795642654,73.37478691927072,0.007384907513376313
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-1_sample-1/model.cif,7soc,1,1,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-1_sample-1/confidences.json,"[0.13, 0.51, 0.51]","[[0.87, 0.14, 0.13], [0.14, 0.89, 0.89], [0.13, 0.89, 0.89]]","[[0.76, 19.23, 19.12], [17.25, 0.76, 1.1], [17.83, 1.09, 0.76]]","[0.87, 0.89, 0.89]",0.0,0.0,0.45,0.58,0.48,custom,0.13,0.51,0.51,0.87,0.89,0.89,0.14,0.13,0.89,18.240000000000002,18.475,1.0950000000000002,83.27501257861637,5.132859296482413,87.0362663975782,3.153900098425197,90.83596919127086,2.4119958924570573,25.298751953125,25.343237980769235,4.118370643028846,87.04908272248848,3.5662517624548884,18.253453525641028,89.89714285714285,88.95249999999999,2984.0,67.82420743967829,23.281330128205127,648.0,71.43349537037037,22.542424242424246,3832.0,90.00248173277662,2.93176652892562,7464.0,76.4200615142751,16.251840299851665,0.0812706721845329,0.04167158844842603,0.5269141141452963,0.5418650189193637,0.011855821172311456,0.010419924672067071,0.5782381279209888,0.010643075406144408,"[[0.666009141098742, 0, 0], [0, 0.7616319336443753, 0.6733223811364515], [0, 0.6759311441739305, 0.8003667745415318]]",0.0,0.0,0.674626762655191,0.22487558755173032,0.5993258314244123,0.5626437901098076,0.0028666583349243875,0.2806862303768319,0.27909090139805126,18.413792220246616,26.32040672320545,0.6713923482818311,0.17565495548430068,0.09444273952769648,280.0289884470289,1705.0187707673995,64.0,20.0,0.7148963445472247,0.16423806778443423,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-1_sample-1/model.cif,/home/cseomoon/project/ABAG/DB/ABAG_structure/original_pdb/7soc_ABAG.pdb,0.0,1.0,2.012404297211841,16.106291840634913,74.16769178637493,0.007187642057373745
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-1_sample-2/model.cif,7soc,1,2,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-1_sample-2/confidences.json,"[0.13, 0.51, 0.51]","[[0.87, 0.13, 0.13], [0.13, 0.89, 0.89], [0.13, 0.89, 0.89]]","[[0.76, 18.66, 19.61], [16.46, 0.76, 1.08], [17.17, 1.08, 0.76]]","[0.87, 0.89, 0.89]",0.0,0.0,0.46,0.58,0.48,custom,0.13,0.51,0.51,0.87,0.89,0.89,0.13,0.13,0.89,17.560000000000002,18.39,1.08,82.54506289308176,5.260592964824122,86.9835519677094,3.1574434055118106,90.7017586649551,2.4338218820014936,25.31206640625,24.95332451923077,4.147198016826923,86.74345784191541,3.6172860841124757,18.137529647435898,90.00857142857144,88.73375,3327.0,66.69627742711151,23.575895316804406,800.0,71.46770000000001,23.69470588235294,3857.0,89.92523593466424,2.9741414141414144,7984.0,76.02973778725858,16.748247537766254,0.10005080878507888,0.050684661270950906,0.5348114986724617,0.5447801767780763,0.012043062623369832,0.01041297040202103,0.5778159793339829,0.011001987011033259,"[[0.6607493695317692, 0, 0], [0, 0.7613367753172431, 0.6720336037079954], [0, 0.6720806714267819, 0.7985660348281708]]",0.0,0.0,0.6720571375673886,0.2240190458557962,0.5843266151555202,0.5437051169428675,0.0034084889481540794,0.24918984092797308,0.2911067870667403,18.78450538492958,26.32040672320545,0.6625378700212698,0.1699569538799957,0.09444273952769648,67.08202906932138,2015.1932632756218,79.0,21.0,0.7215686496362487,0.03328813682132007,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-1_sample-2/model.cif,/home/cseomoon/project/ABAG/DB/ABAG_structure/original_pdb/7soc_ABAG.pdb,0.0,1.0,1.5594009489111293,16.006958313644382,70.0563565677715,0.007737532000532795
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-1_sample-3/model.cif,7soc,1,3,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-1_sample-3/confidences.json,"[0.14, 0.52, 0.52]","[[0.87, 0.15, 0.14], [0.15, 0.89, 0.89], [0.14, 0.89, 0.89]]","[[0.76, 17.38, 17.99], [17.17, 0.76, 1.06], [17.84, 1.07, 0.76]]","[0.87, 0.89, 0.89]",0.01,0.0,0.46,0.58,0.49,custom,0.14,0.52,0.52,0.87,0.89,0.89,0.15,0.14,0.89,17.275,17.915,1.065,82.92742767295597,5.210625628140704,87.24253279515641,3.1304133858267718,90.74903722721437,2.4085698282300223,24.993140625000002,24.73325961538462,4.0890812800480765,86.97299923177559,3.5832029473991667,17.938493840144233,89.98857142857143,88.51875,2484.0,67.40336956521739,22.18009852216749,1181.0,73.34149872988992,22.982086956521737,3731.0,90.18060305548109,2.9003099173553717,7396.0,76.9751571168628,16.02083179868153,0.09641478097646429,0.06504102197911839,0.5287375097034248,0.5510596942021867,0.012401127797239543,0.01099637759125013,0.5802504082385772,0.011603389555332001,"[[0.6661773525242614, 0, 0], [0, 0.7624658172778124, 0.6764649468345304], [0, 0.6770202210027815, 0.8011155826934345]]",0.0,0.0,0.6767425839186559,0.22558086130621866,0.5868304387847597,0.5503094719780832,0.0037044873327399365,0.2522785233746267,0.29432646127071654,30.48439377507927,26.32040672320545,0.42708834712191296,0.07213831086223953,0.09444273952769648,83.95844835273056,1644.6623298092354,72.0,21.0,0.7468269219203291,0.05104904929783909,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-1_sample-3/model.cif,/home/cseomoon/project/ABAG/DB/ABAG_structure/original_pdb/7soc_ABAG.pdb,0.0,1.0,1.7516962449329623,17.990163577518356,63.86484178676845,0.008103207298463541
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-1_sample-4/model.cif,7soc,1,4,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-1_sample-4/confidences.json,"[0.1, 0.49, 0.49]","[[0.87, 0.1, 0.09], [0.1, 0.89, 0.89], [0.09, 0.89, 0.89]]","[[0.76, 22.56, 24.65], [17.08, 0.76, 1.12], [18.05, 1.1, 0.76]]","[0.87, 0.89, 0.89]",0.0,0.0,0.43,0.56,0.46,custom,0.1,0.49,0.49,0.87,0.89,0.89,0.1,0.09,0.89,19.82,21.35,1.11,82.53761006289308,5.0891306532663325,86.86660948536831,3.1521345964566923,90.39985879332477,2.4061893203883495,27.2924921875,27.966802884615383,4.142228816105769,86.60135944719538,3.5491515233704582,19.800507962740383,89.02,88.61375000000001,2924.0,70.68075581395348,26.234999999999996,1225.0,78.8904244897959,28.973504273504275,3666.0,89.54102154937262,2.9690404040404044,7815.0,79.70406728437399,19.392514892514892,0.1437033738804078,0.09183800775441878,0.4970228536098546,0.5618501520186041,0.011780690345682528,0.009835205219009754,0.5560631732289422,0.010368135188057629,"[[0.6653304290571926, 0, 0], [0, 0.7631455179717187, 0.6722080103359174], [0, 0.676471840332557, 0.8009262684174836]]",0.0,0.0,0.6743399253342373,0.22477997511141243,0.5959745062744123,0.5481166701842409,0.0017582134592737796,0.25181192996614055,0.2945465267588266,58.93205451232914,26.32040672320545,0.16629986609939837,0.020379455308772665,0.09444273952769648,134.92077713133142,2170.0308847830943,85.0,14.0,0.6812497763220777,0.062174588425186146,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-1_sample-4/model.cif,/home/cseomoon/project/ABAG/DB/ABAG_structure/original_pdb/7soc_ABAG.pdb,0.06666666666666667,0.926829268292683,0.8283897405691381,11.542391716685348,36.84711548603046,0.0446001890590926
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-2_sample-0/model.cif,7soc,2,0,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-2_sample-0/confidences.json,"[0.1, 0.49, 0.49]","[[0.87, 0.1, 0.09], [0.1, 0.88, 0.89], [0.09, 0.89, 0.89]]","[[0.76, 20.97, 23.06], [18.64, 0.76, 1.1], [18.99, 1.11, 0.76]]","[0.87, 0.88, 0.89]",0.01,0.0,0.43,0.56,0.46,custom,0.1,0.49,0.49,0.87,0.88,0.89,0.1,0.09,0.89,19.805,21.025,1.105,82.54679874213836,5.155087939698492,86.78374369323916,3.301919291338583,89.69924261874196,2.3900858849887974,27.123951171875,27.320810096153846,4.195083383413461,86.34326168470649,3.6156977053419577,19.5466148838141,88.07285714285715,88.48625000000001,1620.0,58.0438024691358,24.646546052631578,1060.0,77.49746226415094,26.44912280701755,3699.0,89.36281697756152,3.132334710743802,6379.0,74.96802723694942,18.076001190130977,0.02846907201085437,0.06698460958620839,0.5046942323979354,0.5493782749892707,0.00961585481147708,0.010114481463522704,0.5152942793957349,0.009964384315803279,"[[0.6662937549721559, 0, 0], [0, 0.7514978995091922, 0.6656064609725136], [0, 0.6741079477163462, 0.802100283530572]]",0.0,0.0,0.66985720434443,0.22328573478147665,0.5973387217232332,0.5499954469883762,0.0015308136538484509,0.2469735411683094,0.30149109216621833,29.60846410660303,26.32040672320545,0.44141251039844476,0.07613990018696945,0.09444273952769648,27.197339174305057,1377.0652840297541,56.0,11.0,0.6823428744806825,0.01975021772004631,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-2_sample-0/model.cif,/home/cseomoon/project/ABAG/DB/ABAG_structure/original_pdb/7soc_ABAG.pdb,0.0,1.0,1.8542509677182586,17.301655584859244,67.71915257625712,0.007656927761577175
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-2_sample-1/model.cif,7soc,2,1,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-2_sample-1/confidences.json,"[0.12, 0.51, 0.5]","[[0.87, 0.12, 0.12], [0.12, 0.88, 0.89], [0.12, 0.89, 0.89]]","[[0.76, 21.12, 22.23], [16.82, 0.76, 1.06], [17.75, 1.08, 0.76]]","[0.87, 0.88, 0.89]",0.01,0.0,0.45,0.57,0.48,custom,0.12,0.51,0.5,0.87,0.88,0.89,0.12,0.12,0.89,18.97,19.990000000000002,1.07,82.95228930817609,5.115922110552764,86.83393541876892,3.277977362204725,90.20430038510912,2.3919436146377895,25.969216796875003,25.916610576923077,4.170766977163462,86.66350837068471,3.5952810291317596,18.685531450320514,88.70142857142856,88.35874999999999,3126.0,65.6903358925144,24.718250688705236,989.0,73.097350859454,25.518452380952382,3683.0,89.7289112136845,3.0851515151515154,7798.0,76.1721993218843,17.773951528269713,0.09319259633383377,0.06763929407049508,0.5086366112485379,0.5384089157452477,0.011167913005979933,0.00999018650481822,0.5396937145604592,0.01041014087710437,"[[0.6684990612362796, 0, 0], [0, 0.7534724388164599, 0.6663184484585368], [0, 0.6758270102421556, 0.8019469612919132]]",0.0,0.0,0.6710727293503462,0.22369090978344874,0.5856988092216412,0.5425634117926191,0.0026382582292408894,0.23533916347509393,0.30458599008828435,21.050940776563888,26.32040672320545,0.6098778070512416,0.14018452928872122,0.09444273952769648,86.74101033923318,1907.3800322905947,76.0,28.0,0.6839078836597586,0.045476522177420986,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-2_sample-1/model.cif,/home/cseomoon/project/ABAG/DB/ABAG_structure/original_pdb/7soc_ABAG.pdb,0.0,1.0,1.6693458281969475,16.403771712525373,68.47384776177057,0.00782267217577661
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-2_sample-2/model.cif,7soc,2,2,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-2_sample-2/confidences.json,"[0.11, 0.5, 0.5]","[[0.87, 0.12, 0.11], [0.12, 0.89, 0.89], [0.11, 0.89, 0.89]]","[[0.76, 20.81, 20.11], [18.41, 0.76, 1.06], [18.96, 1.07, 0.76]]","[0.87, 0.89, 0.89]",0.0,0.0,0.44,0.57,0.47,custom,0.11,0.5,0.5,0.87,0.89,0.89,0.12,0.11,0.89,19.61,19.535,1.065,83.04325157232705,5.158256281407034,87.00426841574168,3.206176181102362,90.38541720154042,2.374010455563854,26.23502734375,26.34664903846154,4.1084397536057695,86.81097906320305,3.5794809726910835,18.89670537860577,88.96428571428571,89.00625000000001,3238.0,68.0940920321186,24.697428571428574,771.0,71.12422178988328,24.071794871794875,3666.0,90.09328150572833,2.9641649048625793,7675.0,76.43719844257673,17.244462782695344,0.11377535301451079,0.04280091423992426,0.5023097120091584,0.5180956862255643,0.011242978165031309,0.00977084570671485,0.554518841351837,0.010288969640952831,"[[0.6627309231505822, 0, 0], [0, 0.7577489568412531, 0.6712317551188819], [0, 0.6793185062739499, 0.8034270216962525]]",0.0,0.0,0.6752751306964159,0.22509171023213861,0.5969617699855863,0.5659424583240396,0.002922066640174463,0.2827728321916679,0.28024755949219715,19.956394321638196,26.32040672320545,0.6349680734827029,0.1535575378325329,0.09444273952769648,306.6113786298401,1694.88018417064,70.0,26.0,0.7231892167262123,0.18090445654710102,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-2_sample-2/model.cif,/home/cseomoon/project/ABAG/DB/ABAG_structure/original_pdb/7soc_ABAG.pdb,0.0,1.0,0.7152175722972466,15.900855372596403,73.86265717091673,0.007296825420918086
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-2_sample-3/model.cif,7soc,2,3,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-2_sample-3/confidences.json,"[0.08, 0.49, 0.49]","[[0.88, 0.09, 0.08], [0.09, 0.89, 0.89], [0.08, 0.89, 0.9]]","[[0.76, 24.93, 28.64], [17.65, 0.76, 1.07], [18.65, 1.06, 0.76]]","[0.88, 0.89, 0.9]",0.0,0.0,0.42,0.55,0.45,custom,0.08,0.49,0.49,0.88,0.89,0.9,0.09,0.08,0.89,21.29,23.645,1.065,83.13350943396226,4.949002512562814,86.67933400605449,3.2041338582677166,90.23879332477534,2.3091859596713964,28.88966796875,29.04113942307692,4.062939453125001,86.68387892159735,3.4874407768339757,20.664582281650638,87.07571428571428,88.24375,2571.0,68.2193971217425,29.88303464755078,22.0,79.45227272727273,29.650000000000002,3708.0,88.75037891046387,2.935729386892177,6301.0,78.80734958649303,20.82292134481432,0.12840777884950713,0.01898290087775718,0.5005058124262096,0.5096257335963915,0.009509362699206172,0.0,0.5001479585039125,0.00946093948200047,"[[0.6716291303411904, 0, 0], [0, 0.7611452932725341, 0.6789776999870348], [0, 0.6852332481971154, 0.8087771203155819]]",0.0,0.0,0.6821054740920751,0.22736849136402504,0.5950342137597042,0.5607329948395057,0.0013932188697072757,0.30684887667647603,0.2524908992933223,60.50116076858555,26.32040672320545,0.15914065250041634,0.019356270951806538,0.09444273952769648,57.8611047795481,1132.8338685179326,45.0,17.0,0.6994114291154286,0.05107642557972494,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-2_sample-3/model.cif,/home/cseomoon/project/ABAG/DB/ABAG_structure/original_pdb/7soc_ABAG.pdb,0.0,1.0,0.7505506434440748,12.277400912459033,64.3502041602139,0.010618618659109248
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-2_sample-4/model.cif,7soc,2,4,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-2_sample-4/confidences.json,"[0.1, 0.5, 0.5]","[[0.88, 0.1, 0.09], [0.1, 0.89, 0.9], [0.09, 0.9, 0.9]]","[[0.76, 23.78, 28.9], [16.59, 0.76, 1.05], [17.53, 1.05, 0.76]]","[0.88, 0.89, 0.9]",0.0,0.0,0.43,0.56,0.46,custom,0.1,0.5,0.5,0.88,0.89,0.9,0.1,0.09,0.9,20.185000000000002,23.215,1.05,83.14235220125788,5.044570351758795,86.72758829465188,3.169906496062992,90.4554428754814,2.2957337565347276,28.554378906249998,28.780492788461537,4.007095102163461,86.77512779046371,3.5034035347855053,20.447322265625,87.69571428571429,88.47,4037.0,63.69835521426802,29.879401022644263,61.0,70.985,29.95,3552.0,89.93568693693693,2.711201298701299,7650.0,74.87301405040165,20.84686744044852,0.1761317298804512,0.01968108358087758,0.4994839742685669,0.5017068236707647,0.009464207702193396,0.009005525688128943,0.5268949687822563,0.008727949541886947,"[[0.6734590726443631, 0, 0], [0, 0.7627105427323768, 0.682142672257597], [0, 0.6881829677483975, 0.809887358234714]]",0.0,0.0,0.6851628200029972,0.22838760666766575,0.6012183256164761,0.564285068575017,0.002607232263027561,0.33783515889935634,0.22384267741263317,69.37543472714283,26.32040672320545,0.1258263170308745,0.014789565635974136,0.09444273952769648,1.1578595396815672,1765.9790568616586,68.0,23.0,0.6986039362409842,0.0006556473788195498,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/native/7soc/seed-2_sample-4/model.cif,/home/cseomoon/project/ABAG/DB/ABAG_structure/original_pdb/7soc_ABAG.pdb,0.08888888888888889,0.9420289855072463,1.7778652921419336,6.276117859087663,28.812995028684288,0.0743282531211109
