pdb,query,seed,sample,data_file,chain_iptm,chain_pair_iptm,chain_pair_pae_min,chain_ptm,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,format,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,plddt_H3,plddt_L3,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS,LIS_AH,LIS_AL,LIS_HL,avg_LIS,piTM,pIS,piTM_A,piTM_H,piTM_L,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7x6a_7yds/seed-1_sample-0/model.cif,7x6a_7yds,1,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7x6a_7yds/seed-1_sample-0/confidences.json,"[0.44, 0.69, 0.65]","[[0.87, 0.47, 0.4], [0.47, 0.89, 0.9], [0.4, 0.9, 0.9]]","[[0.76, 6.19, 9.33], [5.31, 0.76, 0.97], [5.59, 0.98, 0.76]]","[0.87, 0.89, 0.9]",0.0,0.0,0.69,0.78,0.71,custom,0.44,0.69,0.65,0.87,0.89,0.9,0.47,0.4,0.9,5.75,7.46,0.975,86.08734607218683,3.282928087238432,90.69334051724138,3.013523714570574,91.19397310513448,2.5596075433231396,13.520419449831214,14.33467419430722,4.134661938169763,89.32488656485424,2.952019781710715,10.6632518607694,79.71428571428574,85.94375,2373.0,72.05731352718078,11.129220779220777,1053.0,72.23498100664767,12.883000000000001,3834.0,90.25168231611894,2.9146895787139693,7260.0,78.18132561664913,8.975636785978248,0.1001740986500531,0.03334495669117425,0.4763142844965644,0.48709297491262465,0.051463656478017435,0.030464154298510026,0.7231644737625027,0.059224415777716234,"[[0.7635190899056793, 0.11214778810932656, 0.055450070323488025], [0.17584253077167644, 0.7815675250876556, 0.6861071056637026], [0.17613446181800793, 0.6805867640896712, 0.7933227535618564]]",0.1439951594405015,0.11579226607074798,0.683346934876687,0.31437812012931216,0.5951690966568668,0.5693241788670568,0.020566380793810658,0.28171553893537943,0.26704225913786667,15.387657435222781,21.043209905178433,0.6515874683336679,0.23379607056218674,0.14027309932623436,-11.36789057449073,1581.7372761553825,69.0,10.0,0.7049045803833104,-0.00718696508317858
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7x6a_7yds/seed-1_sample-1/model.cif,7x6a_7yds,1,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7x6a_7yds/seed-1_sample-1/confidences.json,"[0.4, 0.66, 0.64]","[[0.87, 0.41, 0.39], [0.41, 0.89, 0.9], [0.39, 0.9, 0.9]]","[[0.76, 7.6, 10.46], [6.36, 0.76, 0.97], [6.41, 0.98, 0.76]]","[0.87, 0.89, 0.9]",0.0,0.0,0.68,0.77,0.7,custom,0.4,0.66,0.64,0.87,0.89,0.9,0.41,0.39,0.9,6.98,8.435,0.975,85.82593418259023,3.2958443854995583,90.7323599137931,2.9567867825096137,91.30547677261615,2.5648742779476725,14.569072757308053,15.156002509213518,4.145308765708118,89.28792362299983,2.9391684819856145,11.29012801074323,80.93285714285715,86.28125,2775.0,70.6712900900901,12.407516339869282,1121.0,71.61270740410347,14.352130325814537,3970.0,90.25232493702771,3.0666112956810627,7866.0,77.51210747707376,9.942085987121628,0.14777888164597114,0.05864753760283811,0.49323229996437573,0.5234588193693088,0.04288416468771296,0.023811292717307628,0.6830713274443009,0.03783039474123961,"[[0.7628947368421053, 0.07477182539682539, 0.04475308641975308], [0.13727052736982642, 0.7812067760668933, 0.6834345371258123], [0.14516869810987457, 0.6775464236138393, 0.792537439715712]]",0.10602117638332591,0.09496089226481383,0.6804904803698257,0.2938241830059885,0.6162086007824316,0.5873858683609976,0.0144389157029485,0.2881265612057651,0.284820391452284,13.457983675078134,21.043209905178433,0.709717177842547,0.2851591068992145,0.14027309932623436,56.64912443421156,1835.9452031111146,65.0,22.0,0.686666288007921,0.030855563847012626
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7x6a_7yds/seed-1_sample-2/model.cif,7x6a_7yds,1,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7x6a_7yds/seed-1_sample-2/confidences.json,"[0.38, 0.64, 0.63]","[[0.87, 0.39, 0.37], [0.39, 0.89, 0.9], [0.37, 0.9, 0.9]]","[[0.76, 8.18, 11.17], [6.97, 0.76, 0.99], [6.83, 1.0, 0.76]]","[0.87, 0.89, 0.9]",0.0,0.0,0.67,0.76,0.69,custom,0.38,0.64,0.63,0.87,0.89,0.9,0.39,0.37,0.9,7.574999999999999,9.0,0.995,85.5485881104034,3.264765694076039,90.40137931034482,3.004856857997436,91.12812958435208,2.5970438328236494,15.334841628959277,15.834333098094564,4.216028062601187,89.02603233503343,2.955555461632375,11.795067596551677,80.3257142857143,85.72875,2412.0,70.73468490878939,13.300667408231368,1352.0,71.4850776627219,15.252941176470591,3986.0,89.73333667837433,3.1611471861471863,7750.0,77.31769974996187,10.571585256949716,0.1120662167073315,0.06936244150795519,0.487904856892737,0.520254901735328,0.032130104908762835,0.021361847524544026,0.6815887888131885,0.027286110066432986,"[[0.7646487603305785, 0.06392891450528337, 0.03666666666666667], [0.12270523708421796, 0.7774528233677971, 0.6776259635645888], [0.12531747779490565, 0.675099089167126, 0.7912854399638541]]",0.09331707579475067,0.08099207223078617,0.6763625263658575,0.2835572247971314,0.6226730431131018,0.5887146047123895,0.01486719455262923,0.27431719553723394,0.29953021462252627,13.70055359807609,21.043209905178433,0.7023018816933476,0.2779325385506328,0.14027309932623436,-2.948410066890574,1805.675027051509,68.0,26.0,0.7486814046979592,-0.0016328575312386303
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7x6a_7yds/seed-1_sample-3/model.cif,7x6a_7yds,1,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7x6a_7yds/seed-1_sample-3/confidences.json,"[0.36, 0.63, 0.63]","[[0.86, 0.37, 0.35], [0.37, 0.89, 0.9], [0.35, 0.9, 0.9]]","[[0.76, 8.26, 11.25], [6.91, 0.76, 0.97], [7.01, 0.98, 0.76]]","[0.86, 0.89, 0.9]",0.0,0.0,0.66,0.76,0.68,custom,0.36,0.63,0.63,0.86,0.89,0.9,0.37,0.35,0.9,7.585,9.129999999999999,0.975,85.27820594479829,3.344503389330976,90.29322198275862,3.0188505910838908,91.09569682151589,2.602157662249405,15.73515765280471,16.20251313416451,4.214906329504278,88.88904158302427,2.9885038808880906,12.0508590388245,80.36428571428573,85.745,2498.0,71.09455964771817,13.516052318668253,1290.0,71.18470930232557,15.546616541353382,4005.0,89.79508489388265,3.149458874458874,7793.0,77.35811794797546,10.737375911493503,0.12560647818846551,0.06072813067673345,0.49354625576013167,0.5210671819136692,0.03129941720798826,0.019773531979945122,0.681335163489192,0.027862206063138047,"[[0.7602821265492499, 0.06676666666666665, 0.03611111111111113], [0.1181858054226475, 0.7772141823444284, 0.6781293361084426], [0.12240731863215085, 0.6744608421881149, 0.7908045246568379]]",0.09247623604465707,0.07925921487163098,0.6762950891482787,0.28267684668818893,0.6158248473507433,0.5873560317528671,0.014247175052670924,0.2995828604422357,0.2735259962579605,14.332490252285426,21.043209905178433,0.6831092802095017,0.2602006985564068,0.14027309932623436,36.91832493881202,1880.206047052971,68.0,28.0,0.6458135994013551,0.019635254868304294
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7x6a_7yds/seed-1_sample-4/model.cif,7x6a_7yds,1,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7x6a_7yds/seed-1_sample-4/confidences.json,"[0.36, 0.64, 0.62]","[[0.86, 0.37, 0.35], [0.37, 0.89, 0.9], [0.35, 0.9, 0.9]]","[[0.76, 8.82, 11.65], [7.11, 0.76, 0.98], [7.21, 1.0, 0.76]]","[0.86, 0.89, 0.9]",0.0,0.0,0.66,0.76,0.68,custom,0.36,0.64,0.62,0.86,0.89,0.9,0.37,0.35,0.9,7.965,9.43,0.99,85.36504246284501,3.3353300913645745,90.4408297413793,2.9983549351944174,91.1026283618582,2.595166496772001,15.771967248437836,16.349396220497137,4.207185259424871,88.96950018869417,2.9762838411103316,12.109516242786613,80.2942857142857,85.7325,2391.0,69.56379757423673,13.689903846153847,995.0,70.41281407035176,16.03233082706767,3924.0,89.89674184505606,3.1037436188315373,7310.0,76.62445116321486,10.941992764017686,0.12208536682461515,0.05027145828743526,0.46892247213847016,0.4929881914463514,0.02888911585875605,0.02034376569258677,0.6687049274406451,0.02748706395702591,"[[0.7605380547828485, 0.06380368098159508, 0.016666666666666663], [0.11984781360242841, 0.7796655820679683, 0.683121627397553], [0.1216007938518706, 0.6771525263654966, 0.7924100455072218]]",0.09182574729201175,0.06913373025926864,0.6801370768815248,0.28036551814426836,0.6041390381771415,0.5744796813246733,0.012378543005708535,0.286852772959829,0.27524836535913577,13.551247926641233,21.043209905178433,0.7068633730728531,0.2823519440028209,0.14027309932623436,-1.666638950045808,1757.9563212815638,60.0,30.0,0.6738574676299243,-0.0009480548122099048
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7x6a_7yds/seed-2_sample-0/model.cif,7x6a_7yds,2,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7x6a_7yds/seed-2_sample-0/confidences.json,"[0.37, 0.64, 0.63]","[[0.86, 0.38, 0.36], [0.38, 0.89, 0.9], [0.36, 0.9, 0.9]]","[[0.76, 8.17, 11.1], [6.85, 0.76, 1.02], [6.9, 1.02, 0.76]]","[0.86, 0.89, 0.9]",0.0,0.0,0.67,0.76,0.69,custom,0.37,0.64,0.63,0.86,0.89,0.9,0.38,0.36,0.9,7.51,9.0,1.02,85.04222929936307,3.3758841732979663,90.16423491379311,3.018708161230594,91.06399755501224,2.6132262996941895,15.364547870430222,15.792092056770958,4.236731940482616,88.75682058938946,3.0026062114075835,11.797790622561266,80.32571428571428,85.79875,2368.0,70.16612331081082,13.294805194805194,1411.0,71.02991141034727,15.128502415458938,3910.0,89.81608312020461,3.130856494611458,7689.0,77.00403928045422,10.518054701625196,0.09885687217093649,0.07777668337127744,0.4797080692195681,0.5198046365334443,0.03287814723321327,0.0210871433450781,0.6699297508948945,0.027809123908369354,"[[0.7577557445314068, 0.0654434250764526, 0.03333333333333332], [0.12228433926762192, 0.7742778740612364, 0.6711599808597176], [0.13288982259570492, 0.673996719160105, 0.7912412369968341]]",0.09386388217203726,0.08311157796451912,0.6725783500099113,0.2831846033821559,0.6046118735109333,0.5792489042399376,0.01567279458082166,0.27555477904816716,0.2880213306109488,13.376742604145017,21.043209905178433,0.7122056889883532,0.28763403437249946,0.14027309932623436,-3.4301986997123777,1825.124759039205,69.0,26.0,0.7414380300597091,-0.0018794324512468544
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7x6a_7yds/seed-2_sample-1/model.cif,7x6a_7yds,2,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7x6a_7yds/seed-2_sample-1/confidences.json,"[0.36, 0.63, 0.62]","[[0.86, 0.37, 0.35], [0.37, 0.89, 0.9], [0.35, 0.9, 0.9]]","[[0.76, 8.33, 11.0], [6.94, 0.76, 1.01], [7.02, 1.02, 0.76]]","[0.86, 0.89, 0.9]",0.0,0.0,0.67,0.76,0.68,custom,0.36,0.63,0.62,0.86,0.89,0.9,0.37,0.35,0.9,7.635,9.01,1.0150000000000001,84.98524416135882,3.39612437371058,90.18405172413792,2.9893533684660305,91.13051344743278,2.598572884811417,15.42867198161316,15.856790559084137,4.216116721918125,88.7666031109765,2.9946835423293425,11.833859754205141,80.33571428571429,85.68625,2247.0,69.92836003560302,13.062619047619046,1148.0,70.13424651567944,15.190909090909091,3899.0,89.95124390869454,3.0642857142857145,7294.0,76.671283486659,10.439271284271284,0.08891345131842462,0.05623409339132533,0.4871037059937878,0.5149877108919112,0.03462607609180246,0.021770330937992247,0.682106350450411,0.03048950292940022,"[[0.7572861012867786, 0.06943298969072165, 0.03499999999999999], [0.11774254011096116, 0.7748671715350403, 0.6712016922628047], [0.13290232955759776, 0.6754805798471598, 0.7921916511220395]]",0.0935877649008414,0.08395116477879888,0.6733411360549822,0.2836266885782075,0.6086797332082129,0.5799605739571707,0.012552253867834675,0.2783452698632497,0.28906305022608636,13.710963942913189,21.043209905178433,0.7019841757241237,0.27762777526252574,0.14027309932623436,-1.5737057913308945,1766.143016970101,64.0,17.0,0.7247761188367914,-0.0008910409724523095
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7x6a_7yds/seed-2_sample-2/model.cif,7x6a_7yds,2,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7x6a_7yds/seed-2_sample-2/confidences.json,"[0.34, 0.64, 0.6]","[[0.86, 0.37, 0.31], [0.37, 0.89, 0.9], [0.31, 0.9, 0.9]]","[[0.76, 7.63, 10.91], [6.61, 0.76, 0.97], [6.69, 0.98, 0.76]]","[0.86, 0.89, 0.9]",0.0,0.0,0.64,0.74,0.66,custom,0.34,0.64,0.6,0.86,0.89,0.9,0.37,0.31,0.9,7.12,8.8,0.975,85.31269639065818,3.257567049808429,90.12617456896551,3.0654607605754163,90.88481662591687,2.5894580360176693,15.569837678661209,16.642111660001568,4.212689846580834,88.77456252851351,2.9708286154671715,12.141546395081205,78.61999999999999,85.065,2205.0,68.86277551020407,12.923333333333334,882.0,70.5832596371882,15.549673202614379,3944.0,89.80836840770792,2.747151162790698,7031.0,76.41813451836673,10.406719232912803,0.06818243092451914,0.029524416644651018,0.4851224711172337,0.48418467887058925,0.03402169183429237,0.021683442509167112,0.7154055437338118,0.03976713860513418,"[[0.7613564175670269, 0.07920682730923694, 0.04807692307692306], [0.14406526416447527, 0.7800347600707314, 0.6821080004278304], [0.13782502935749036, 0.6753226568033368, 0.7918332768553034]]",0.1116360457368561,0.09295097621720672,0.6787153286155836,0.2944341168565488,0.5960805701587775,0.5693251202608847,0.014704577998505762,0.2951409652012444,0.25947957706113456,16.439326482165914,21.043209905178433,0.621001920193356,0.21094800885006978,0.14027309932623436,-8.033507530765405,1536.24794537367,59.0,18.0,0.6884215495082746,-0.005229304003274921
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7x6a_7yds/seed-2_sample-3/model.cif,7x6a_7yds,2,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7x6a_7yds/seed-2_sample-3/confidences.json,"[0.42, 0.66, 0.65]","[[0.86, 0.43, 0.4], [0.43, 0.89, 0.9], [0.4, 0.9, 0.9]]","[[0.76, 7.36, 9.94], [6.15, 0.76, 0.96], [6.25, 0.98, 0.76]]","[0.86, 0.89, 0.9]",0.0,0.0,0.69,0.78,0.71,custom,0.42,0.66,0.65,0.86,0.89,0.9,0.43,0.4,0.9,6.755000000000001,8.094999999999999,0.97,85.83704883227176,3.2264146772767464,90.69589439655174,2.9366472012533826,91.34066014669926,2.5635660890248047,14.21833656539539,14.423833607778564,4.141107085035849,89.29120112517425,2.908875989184978,10.927759086069933,80.96285714285715,86.51,2515.0,71.46129224652087,12.175381263616558,1280.0,71.16994140625,13.567676767676769,3917.0,90.60745213173347,2.996029495178673,7712.0,77.74622859483479,9.579695842157333,0.14654486698026103,0.07999911515622107,0.4934721847329852,0.5325554483244564,0.042944616666411986,0.027088897663563927,0.6667200591685972,0.037098353799348345,"[[0.7640235058764692, 0.07901041666666667, 0.048995983935742955], [0.14821383930803458, 0.7783559142884597, 0.6754473029484939], [0.15516314825525349, 0.6800974689514228, 0.7951475451539048]]",0.11361212798735063,0.10207956609549822,0.6777723859499583,0.29782136001093573,0.6232520223448882,0.6018527168613796,0.018353164377339942,0.27701278463766915,0.3064867678463705,13.512519591270406,21.043209905178433,0.7080480264734861,0.2835132411584018,0.14027309932623436,-7.486888714498832,1870.230373367102,69.0,19.0,0.675898305944586,-0.004003190634221003
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7x6a_7yds/seed-2_sample-4/model.cif,7x6a_7yds,2,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/7x6a_7yds/seed-2_sample-4/confidences.json,"[0.37, 0.64, 0.63]","[[0.86, 0.38, 0.36], [0.38, 0.89, 0.9], [0.36, 0.9, 0.9]]","[[0.76, 7.96, 11.09], [6.43, 0.76, 0.98], [6.67, 0.99, 0.76]]","[0.86, 0.89, 0.9]",0.0,0.0,0.67,0.76,0.69,custom,0.37,0.64,0.63,0.86,0.89,0.9,0.38,0.36,0.9,7.195,8.879999999999999,0.985,84.91331210191082,3.4186339522546416,90.33336206896551,2.9720552627830794,91.03820293398533,2.598046211348964,15.426172520290168,15.8596095036462,4.190972168683988,88.76162570162056,2.9962451421288954,11.825584730873452,80.84285714285714,85.7225,2833.0,70.14403812213202,13.46135902636917,1546.0,71.1525194049159,15.184583333333334,4048.0,89.95271492094861,3.008298097251586,8427.0,77.08309081599884,10.551413485651363,0.12411450212996601,0.07587606439202098,0.4941403396430179,0.5278090253324965,0.03416877974567942,0.020322728344253183,0.6964169810051786,0.027429466558539485,"[[0.7505572270277047, 0.06940035273368605, 0.03712121212121212], [0.1236465661641541, 0.7769544875033074, 0.6752221780076932], [0.13514891664902254, 0.6758402312442517, 0.7916687858495097]]",0.09652345944892007,0.08613506438511732,0.6755312046259725,0.28606324282000334,0.6306547223961719,0.5980827385865894,0.015965267413363595,0.28460563290840285,0.29751183826482297,13.539323345878413,21.043209905178433,0.7072280701448199,0.28270884981225214,0.14027309932623436,47.19828362384192,1960.1054438519434,73.0,32.0,0.7260648139678795,0.024079461526870308
