pdb,query,seed,sample,data_file,chain_iptm,chain_pair_iptm,chain_pair_pae_min,chain_ptm,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,format,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,plddt_H3,plddt_L3,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS,LIS_AH,LIS_AL,LIS_HL,avg_LIS,piTM,pIS,piTM_A,piTM_H,piTM_L,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7nx3_7su1/seed-1_sample-0/model.cif,7nx3_7su1,1,0,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7nx3_7su1/seed-1_sample-0/confidences.json,"[0.45, 0.61, 0.65]","[[0.82, 0.41, 0.49], [0.41, 0.86, 0.8], [0.49, 0.8, 0.88]]","[[0.76, 9.9, 5.77], [7.25, 0.76, 1.54], [5.75, 1.54, 0.76]]","[0.82, 0.86, 0.88]",0.0,0.0,0.67,0.76,0.69,custom,0.45,0.61,0.65,0.82,0.86,0.88,0.41,0.49,0.8,8.575,5.76,1.54,82.30391608391609,4.42720823798627,86.95487012987013,3.9453512396694217,89.51299287410927,2.7447665847665847,15.846395975565938,12.768985507246375,5.661853175489539,86.25725969596516,3.7057753541407585,11.425744886100617,72.19142857142857,90.25999999999999,2260.0,66.17842477876106,14.040137931034481,1662.0,77.87661251504211,10.89649368863955,4034.0,76.99199058006941,5.5955420466058765,7956.0,73.6823426246242,10.177391222093304,0.0896139101869394,0.11018641388340047,0.31816858709442797,0.4398510143608994,0.03416601116448211,0.03885592833716846,0.0973526770687022,0.03853352542100242,"[[0.6755660926381505, 0.05434131736526945, 0.1326777220722458], [0.1162364219343018, 0.7457044986055535, 0.5751425197491653], [0.18592813814149084, 0.5747886246173918, 0.7792211328976035]]",0.08528886964978562,0.1593029301068683,0.5749655721832785,0.27318579064664417,0.47706877809447995,0.3928655491317151,0.029047565564567057,0.14837993904332605,0.21543804452382204,4.502060575511968,5.841625342630582,0.6273693541078955,0.7809244789134644,0.6792035793476197,-18.49580505628728,1793.6493594394174,80.0,15.0,0.6710639854826191,-0.0103118287634925
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7nx3_7su1/seed-1_sample-1/model.cif,7nx3_7su1,1,1,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7nx3_7su1/seed-1_sample-1/confidences.json,"[0.52, 0.65, 0.7]","[[0.82, 0.47, 0.57], [0.47, 0.87, 0.82], [0.57, 0.82, 0.88]]","[[0.76, 7.99, 5.04], [6.54, 0.76, 1.46], [4.89, 1.49, 0.76]]","[0.82, 0.87, 0.88]",0.0,0.0,0.72,0.79,0.73,custom,0.52,0.65,0.7,0.82,0.87,0.88,0.47,0.57,0.82,7.265000000000001,4.965,1.475,81.59100233100233,4.7277269260106785,87.477012987013,3.8515702479338847,90.43065320665083,2.618787878787879,14.073557312252964,11.291222091656875,5.3768818405182035,86.49955617488872,3.732695017577481,10.247220414809348,73.51,91.55125,2576.0,68.65028144409938,11.818242491657395,1956.0,79.82604038854805,9.174708624708625,4014.0,78.90407698056801,5.097314049586776,8546.0,75.79346627107181,8.6967550553176,0.10792132146883492,0.14332715297795348,0.3423715586839735,0.47612255613248194,0.06451770027186612,0.04995614455012885,0.1134735132056184,0.06070650557419843,"[[0.6893236237965935, 0.09887945270110873, 0.16138552216503405], [0.16189868426513923, 0.7500502263210127, 0.5951524480812337], [0.25505653174811316, 0.5960678237783956, 0.7890079753933258]]",0.13038906848312398,0.2082210269565736,0.5956101359298147,0.3114067437898374,0.5204514377653419,0.4515651209989783,0.038364050216803565,0.16649865885544302,0.24670241192673173,3.701708050995929,5.841625342630582,0.7134970446409208,0.8405791596734704,0.6792035793476197,-1.384400491908309,1973.1233350223035,85.0,31.0,0.7382904198022889,-0.0007016289693277893
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7nx3_7su1/seed-1_sample-2/model.cif,7nx3_7su1,1,2,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7nx3_7su1/seed-1_sample-2/confidences.json,"[0.48, 0.62, 0.67]","[[0.82, 0.42, 0.53], [0.42, 0.86, 0.81], [0.53, 0.81, 0.88]]","[[0.76, 9.9, 5.68], [6.96, 0.76, 1.55], [5.42, 1.54, 0.76]]","[0.82, 0.86, 0.88]",0.0,0.0,0.69,0.77,0.71,custom,0.48,0.62,0.67,0.82,0.86,0.88,0.42,0.53,0.81,8.43,5.55,1.545,82.31397435897436,4.447757437070938,86.77488095238095,3.9723415977961434,89.57839667458431,2.765028665028665,15.476216313330937,12.274927536231885,5.679651552378824,86.22241732864654,3.728375899965249,11.14359846731388,71.69285714285714,90.48625000000001,2244.0,66.68785427807487,13.920223325062036,2070.0,78.0211231884058,10.565277777777778,3851.0,77.91541417813555,5.59794483504597,8165.0,74.2081305482054,10.027815312628595,0.09043385276841676,0.1384312970973613,0.3199203744257328,0.45682626550005956,0.03270938864067536,0.0417092420294167,0.09842961076547405,0.040079561761638155,"[[0.6770629231381919, 0.05274074074074073, 0.13817148247443153], [0.12085022026431719, 0.7433605224188575, 0.5750122699386503], [0.20621851702599234, 0.5735981542782627, 0.7766055732440743]]",0.08679548050252896,0.17219499975021194,0.5743052121084564,0.2777652307870658,0.5057034003093518,0.42396211334839917,0.03576334724781156,0.14780233320564068,0.24039643289494697,3.621145695315316,5.841625342630582,0.7224079080735063,0.8463884490695358,0.6792035793476197,-20.66630651412106,2016.2684481510014,82.0,29.0,0.65079625297508,-0.010249779255868873
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7nx3_7su1/seed-1_sample-3/model.cif,7nx3_7su1,1,3,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7nx3_7su1/seed-1_sample-3/confidences.json,"[0.55, 0.64, 0.72]","[[0.82, 0.47, 0.62], [0.47, 0.87, 0.81], [0.62, 0.81, 0.88]]","[[0.76, 7.76, 4.41], [6.34, 0.76, 1.52], [4.37, 1.53, 0.76]]","[0.82, 0.87, 0.88]",0.0,0.0,0.73,0.8,0.74,custom,0.55,0.64,0.72,0.82,0.87,0.88,0.47,0.62,0.81,7.05,4.390000000000001,1.525,83.14568764568764,4.384103737604883,87.26193722943722,3.9108746556473823,90.156567695962,2.731818181818182,13.795386273805246,10.542083822953389,5.585150026059116,86.85473085702897,3.6755988583568158,9.974206707605918,73.7,91.22,2315.0,68.03180129589633,11.483198924731182,2047.0,80.52364924279433,8.595315904139433,3941.0,78.69727480334939,5.320010816657653,8303.0,75.75090844734667,8.46617521517609,0.09949687907461308,0.1674691198929745,0.33822700738392997,0.4886439302483591,0.06625065168261617,0.07394238532858743,0.11180723235486535,0.08437528840403137,"[[0.6801823289341178, 0.09161537026674128, 0.1932810888380645], [0.16000042636650463, 0.7432767418800938, 0.5761456473516204], [0.287008938578794, 0.5803938162942902, 0.7794486624758484]]",0.12580789831662295,0.24014501370842925,0.5782697318229553,0.31474088128266914,0.5218085179176933,0.4536977968918178,0.05540367861469025,0.15771563673614322,0.2405784815409843,3.608415304237731,5.841625342630582,0.7238181650014724,0.8473019810804877,0.6792035793476197,-16.440862450467534,1963.3864534061827,82.0,35.0,0.7260112257084647,-0.00837372714981561
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7nx3_7su1/seed-1_sample-4/model.cif,7nx3_7su1,1,4,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7nx3_7su1/seed-1_sample-4/confidences.json,"[0.48, 0.64, 0.67]","[[0.82, 0.45, 0.52], [0.45, 0.87, 0.83], [0.52, 0.83, 0.88]]","[[0.76, 8.68, 5.32], [6.27, 0.76, 1.46], [5.24, 1.4, 0.76]]","[0.82, 0.87, 0.88]",0.0,0.0,0.69,0.78,0.71,custom,0.48,0.64,0.67,0.82,0.87,0.88,0.45,0.52,0.83,7.475,5.28,1.43,82.74252913752913,4.412967200610221,87.09287878787879,3.9606680440771345,90.08821852731592,2.609246519246519,14.89885016169601,12.140058754406578,5.35654828382101,86.64120881757462,3.6609605879779576,10.798485733307865,72.77,91.1725,2140.0,67.8016214953271,12.99259259259259,1957.0,76.79779764946345,10.13858064516129,3943.0,78.35432158255135,5.469922480620155,8040.0,74.31791357578062,9.533698572791346,0.08916203801715779,0.10932400958471009,0.33817303489033584,0.4489584163511422,0.04220551107959723,0.047676117897096,0.1062831025015548,0.04965076922216919,"[[0.6779020340060385, 0.07334176503653737, 0.140937771975631], [0.1462869259312804, 0.7495832420724734, 0.597895938672321], [0.2101061869828828, 0.6045587683064213, 0.7886566332218506]]",0.10981434548390889,0.1755219794792569,0.6012273534893712,0.29552122615084564,0.5436144270073777,0.4620877662692785,0.04100815795141737,0.16536545399177874,0.2557141543260824,3.7389740007176333,5.841625342630582,0.7093843042624485,0.8378761628030625,0.6792035793476197,-1.0299418353382066,1930.5643034564246,78.0,27.0,0.6790485525480962,-0.0005334926339900875
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7nx3_7su1/seed-2_sample-0/model.cif,7nx3_7su1,2,0,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7nx3_7su1/seed-2_sample-0/confidences.json,"[0.66, 0.72, 0.77]","[[0.83, 0.61, 0.71], [0.61, 0.88, 0.83], [0.71, 0.83, 0.88]]","[[0.76, 3.72, 2.73], [3.99, 0.76, 1.35], [2.76, 1.45, 0.76]]","[0.83, 0.88, 0.88]",0.0,0.0,0.8,0.85,0.81,custom,0.66,0.72,0.77,0.83,0.88,0.88,0.61,0.71,0.83,3.8550000000000004,2.745,1.4,84.91930069930069,4.289427917620137,88.98897186147185,3.5984848484848486,91.06399049881236,2.649041769041769,9.906227093065038,7.802119075597336,4.972369890551708,88.3240876865283,3.5123181783822517,7.560238686404694,80.51428571428573,92.185,2609.0,73.87214833269452,6.777448979591837,1922.0,83.19825442247658,5.7117866004962785,4044.0,81.60280044510385,4.395779220779221,8575.0,79.55773440009165,5.628338266955779,0.15786741187577824,0.1904837945483814,0.3792589886768942,0.5266167343431452,0.3173877232669528,0.15952152949657236,0.1930349590931552,0.27523342792185396,"[[0.685773163192518, 0.2766613076098607, 0.3945955369595537], [0.3446054850570899, 0.7445341968543164, 0.6063100488265869], [0.46310253349250563, 0.6240440955528845, 0.7856770833333335]]",0.3106333963334753,0.4288490352260297,0.6151770721897357,0.4515531679164136,0.6086276660455963,0.547714786895902,0.10366938212301946,0.16980347957456965,0.2742419251983129,3.9408869695727895,5.841625342630582,0.6872311987741129,0.8230748951672948,0.6792035793476197,2.5804615771014596,1967.3789755188188,81.0,28.0,0.6870504599590818,0.00131162404865131
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7nx3_7su1/seed-2_sample-1/model.cif,7nx3_7su1,2,1,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7nx3_7su1/seed-2_sample-1/confidences.json,"[0.6, 0.7, 0.74]","[[0.82, 0.57, 0.64], [0.57, 0.87, 0.84], [0.64, 0.84, 0.88]]","[[0.76, 4.67, 2.93], [4.4, 0.76, 1.33], [3.06, 1.41, 0.76]]","[0.82, 0.87, 0.88]",0.0,0.0,0.77,0.83,0.78,custom,0.6,0.7,0.74,0.82,0.87,0.88,0.57,0.64,0.84,4.535,2.995,1.37,84.24576923076923,4.409244851258581,88.75652597402598,3.6726859504132237,90.79560570071258,2.712113022113022,10.850179662234998,8.71400313356835,5.056205792569428,87.93263363516927,3.5980146079282753,8.206796196124259,79.1542857142857,92.17250000000001,2392.0,72.34325668896321,7.760372960372961,1768.0,81.34689479638008,6.3355,3798.0,81.53746050552922,4.485769656699889,7958.0,78.4092039969575,6.193880872357617,0.11427287471063774,0.14650768241912332,0.3559312916260873,0.4877114537354867,0.21979325448270853,0.11910483970626105,0.19528252291546846,0.192985967521093,"[[0.6778446563369089, 0.20928936367858803, 0.3284693490553027], [0.29925399028452465, 0.7449675750423194, 0.6065796059217111], [0.3951009453613203, 0.6154532932632106, 0.7805691554467564]]",0.25427167698155634,0.36178514720831145,0.6110164495924608,0.40902442459410954,0.5755273711634113,0.5220437330508221,0.0830186545859653,0.17306006368155305,0.26596501478330364,4.342228649328137,5.841625342630582,0.6441088207905686,0.7930414349942486,0.6792035793476197,-26.11897520252637,1953.816766575384,81.0,33.0,0.6458717116701563,-0.013368180501545831
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7nx3_7su1/seed-2_sample-2/model.cif,7nx3_7su1,2,2,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7nx3_7su1/seed-2_sample-2/confidences.json,"[0.58, 0.68, 0.73]","[[0.82, 0.53, 0.62], [0.53, 0.87, 0.83], [0.62, 0.83, 0.88]]","[[0.76, 5.62, 3.5], [4.85, 0.76, 1.39], [3.53, 1.45, 0.76]]","[0.82, 0.87, 0.88]",0.0,0.0,0.76,0.82,0.77,custom,0.58,0.68,0.73,0.82,0.87,0.88,0.53,0.62,0.83,5.234999999999999,3.5149999999999997,1.42,83.58740093240093,4.499687261632342,88.34186147186148,3.7209641873278234,90.32250593824229,2.7586486486486486,11.709453826805605,9.286647081864475,5.192729506365869,87.41725611416824,3.659766699202938,8.729610138345317,77.91,91.55624999999999,2279.0,71.04271171566478,8.836600496277915,2087.0,80.02724005749879,6.996270396270396,3856.0,81.04098158713694,4.709830866807611,8222.0,77.37031112010017,6.8475672531186405,0.11160123521564101,0.16906379857814022,0.37102071191244923,0.507102727158452,0.15414981367644787,0.0894343088295943,0.17102170947366402,0.13946646049085112,"[[0.6761582033853125, 0.16003152765835485, 0.28912867765923056], [0.25595833333333334, 0.7430082263194394, 0.5990701600467911], [0.3570350437034639, 0.6062858682304589, 0.7776965588587608]]",0.2079949304958441,0.32308186068134725,0.602678014138625,0.3779182684386055,0.5549875547879682,0.49480363829577845,0.07552877957415673,0.15873289180656355,0.26054196691505815,4.606777735496153,5.841625342630582,0.6165572514818936,0.7729554301211253,0.6792035793476197,-15.832357987553678,1926.7685769132254,82.0,40.0,0.6908329798174762,-0.008217052207130067
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7nx3_7su1/seed-2_sample-3/model.cif,7nx3_7su1,2,3,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7nx3_7su1/seed-2_sample-3/confidences.json,"[0.65, 0.73, 0.76]","[[0.84, 0.62, 0.68], [0.62, 0.88, 0.84], [0.68, 0.84, 0.88]]","[[0.76, 3.94, 2.62], [3.76, 0.76, 1.33], [2.8, 1.41, 0.76]]","[0.84, 0.88, 0.88]",0.0,0.0,0.79,0.84,0.8,custom,0.65,0.73,0.76,0.84,0.88,0.88,0.62,0.68,0.84,3.8499999999999996,2.71,1.37,84.99470862470862,4.235156369183828,89.10796536796538,3.5369008264462813,91.02393111638955,2.6712940212940213,9.762058929213078,7.8015432824128474,4.934092770456406,88.37553503635452,3.481117072308044,7.499231660694111,80.18714285714285,92.62875,2635.0,74.32599051233396,6.826161616161616,1959.0,82.26343797856049,5.426081730769231,3918.0,81.70105666156202,4.3866341991342,8512.0,79.43016171748549,5.546292515355016,0.15329291657064564,0.1870494986972568,0.37979239366823897,0.5228253735234358,0.3093137819478123,0.16710031308052323,0.21018304250879208,0.258589653426362,"[[0.6897260273972602, 0.29020067891373796, 0.40377749700327203], [0.3516611842105263, 0.7470205568566224, 0.6104145409831777], [0.45187397143918884, 0.6239368226076945, 0.7846057537900439]]",0.32093093156213215,0.42782573422123044,0.6171756817954361,0.45531078252626617,0.5983996069149897,0.5394626682975898,0.10556838939139247,0.16969742676484453,0.26419685214135286,4.198320067330654,5.841625342630582,0.6594062111454997,0.8038863246239424,0.6792035793476197,29.197434796271295,2047.7698027360204,81.0,28.0,0.6722838074346272,0.014258162590961479
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7nx3_7su1/seed-2_sample-4/model.cif,7nx3_7su1,2,4,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7nx3_7su1/seed-2_sample-4/confidences.json,"[0.65, 0.71, 0.77]","[[0.82, 0.59, 0.7], [0.59, 0.87, 0.83], [0.7, 0.83, 0.88]]","[[0.76, 4.51, 3.06], [4.25, 0.76, 1.36], [2.93, 1.44, 0.76]]","[0.82, 0.87, 0.88]",0.0,0.0,0.79,0.85,0.81,custom,0.65,0.71,0.77,0.82,0.87,0.88,0.59,0.7,0.83,4.38,2.995,1.4,84.43141025641025,4.450770404271548,88.76784632034631,3.6739669421487604,90.91659144893111,2.7336363636363634,10.58599353215954,8.172330591461025,5.061209143027325,88.03861600856256,3.619457903352224,7.9398444222159625,79.21428571428571,92.1075,2311.0,72.64317827780182,7.397249999999999,1950.0,82.92263846153847,5.977060931899642,3913.0,81.7763902376693,4.585825027685493,8174.0,79.11406899233653,5.986711986528377,0.12733691404575515,0.17870373720361107,0.391025763255844,0.5286504343223255,0.25442103616744655,0.161092183469755,0.18385602659770642,0.22434062571955632,"[[0.6779706328305801, 0.2337955899447835, 0.37188716274160566], [0.31162700465597515, 0.743769810061724, 0.6052942031283026], [0.4350244824099207, 0.6169189832206362, 0.779334367431355]]",0.27271129730037935,0.4034558225757632,0.6111065931744695,0.42909123768353735,0.5946834269447054,0.5360568433194323,0.09541421382543595,0.16891039908896727,0.27173223040502903,4.1485584005465475,5.841625342630582,0.6647414937900733,0.8076186727931954,0.6792035793476197,-30.04818813558245,1952.2576523190492,79.0,29.0,0.6793386939719703,-0.015391507417009629
