pdb,query,seed,sample,data_file,chain_iptm,chain_pair_iptm,chain_pair_pae_min,chain_ptm,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,format,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,plddt_H3,plddt_L3,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS,LIS_AH,LIS_AL,LIS_HL,avg_LIS,piTM,pIS,piTM_A,piTM_H,piTM_L,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8tbq_7unb/seed-1_sample-0/model.cif,8tbq_7unb,1,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8tbq_7unb/seed-1_sample-0/confidences.json,"[0.13, 0.5, 0.5]","[[0.83, 0.13, 0.13], [0.13, 0.88, 0.87], [0.13, 0.87, 0.88]]","[[0.76, 18.08, 18.95], [14.24, 0.76, 1.09], [14.94, 1.12, 0.76]]","[0.83, 0.88, 0.88]",0.0,0.0,0.51,0.64,0.53,custom,0.13,0.5,0.5,0.83,0.88,0.88,0.13,0.13,0.87,16.16,16.945,1.105,81.24330540037244,4.826838040833597,88.9807807486631,3.504904484487197,89.03727272727274,3.1423669123669127,24.771783677833213,24.74692845018932,4.851624575395068,86.42045295876943,3.824703145895903,18.123445567805863,78.94571428571429,78.88,975.0,55.764687179487176,22.312982456140354,1529.0,67.1011085676913,23.053896103896108,4517.0,83.14247952180651,4.460813492063492,7021.0,68.66942508966166,16.609230684033317,0.03460474322393921,0.05168126985362059,0.38285758550292315,0.4469023260088198,0.009866082436002833,0.010714443852756172,0.3316386948614164,0.011106949141868622,"[[0.697901750768467, 0, 0], [0, 0.7777819157740418, 0.6768865169135999], [0, 0.6572734733656483, 0.7801150146382266]]",0.0,0.0,0.6670799951396241,0.22235999837987472,0.5692427084625696,0.5190537374266526,0.002221579389244409,0.2345373333191307,0.2822948247182775,20.422871721108105,26.777712722535547,0.6322377829373136,0.1476467390392095,0.0915372804084204,34.412503636872145,1216.20889071827,49.0,16.0,0.6905165359105339,0.02829489563799256
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8tbq_7unb/seed-1_sample-1/model.cif,8tbq_7unb,1,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8tbq_7unb/seed-1_sample-1/confidences.json,"[0.12, 0.49, 0.49]","[[0.83, 0.12, 0.12], [0.12, 0.88, 0.87], [0.12, 0.87, 0.88]]","[[0.76, 20.19, 19.32], [15.44, 0.76, 1.11], [15.51, 1.14, 0.76]]","[0.83, 0.88, 0.88]",0.0,0.0,0.5,0.63,0.53,custom,0.12,0.49,0.49,0.83,0.88,0.88,0.12,0.12,0.87,17.815,17.415,1.125,80.88480446927375,4.837363799851898,88.59152941176471,3.605669963419591,88.97700118063753,3.115790335790336,25.57918448562604,25.386215563389477,4.906697681287845,86.15111168722531,3.8529413663539422,18.624032576767785,78.29571428571428,78.65625,1409.0,59.43447480482611,24.534189723320157,1663.0,66.0327570655442,23.52005347593583,4185.0,84.48738231780167,4.170019342359768,7257.0,69.98487139605733,17.408087513871916,0.04862309496403238,0.046931210613072954,0.42525607106831403,0.45020518898990547,0.010912384059265545,0.010040596087364042,0.43378532194454755,0.010805941975657162,"[[0.6997934121427751, 0, 0], [0, 0.777923195631529, 0.677095520474397], [0, 0.6583140788662969, 0.7821929457688555]]",0.0,0.0,0.6677047996703469,0.2225682665567823,0.49963934023837714,0.4652756846018854,0.0028137187389156875,0.2250112160008645,0.23745074986210524,25.888001694085055,26.777712722535547,0.5168887329114458,0.0973144404316693,0.0915372804084204,11.14241471012906,1564.336017718206,59.0,19.0,0.7172773403814009,0.007122775787251749
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8tbq_7unb/seed-1_sample-2/model.cif,8tbq_7unb,1,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8tbq_7unb/seed-1_sample-2/confidences.json,"[0.14, 0.5, 0.5]","[[0.83, 0.14, 0.14], [0.14, 0.88, 0.87], [0.14, 0.87, 0.88]]","[[0.76, 18.28, 19.09], [14.06, 0.76, 1.12], [13.85, 1.14, 0.76]]","[0.83, 0.88, 0.88]",0.0,0.0,0.51,0.64,0.53,custom,0.14,0.5,0.5,0.83,0.88,0.88,0.14,0.14,0.87,16.17,16.47,1.13,81.44052141527001,4.756505871152014,88.74159358288772,3.5718805039967485,89.14608028335303,3.141711711711712,24.663869090045143,24.52313291552422,4.895177964850096,86.44273176050358,3.823366028953492,18.027393323473152,78.54285714285713,79.29375,2621.0,65.76872186188479,23.458251231527093,1115.0,64.05819730941703,22.65842105263158,4427.0,83.49507567201265,4.622480620155039,8163.0,71.10733161443817,16.91305096810457,0.13312341468630734,0.030057057641855227,0.3847829258776924,0.4030858434438501,0.010792217166142275,0.010769889910786132,0.360513812237359,0.011148904605519705,"[[0.7029246451367057, 0, 0], [0, 0.7776233470780605, 0.677454780361757], [0, 0.6556058040181663, 0.7803844866538365]]",0.0,0.0,0.6665302921899616,0.22217676406332054,0.5442005452126419,0.5060879179938051,0.004077998847149894,0.27716714248660296,0.2248427766600523,21.53569680559476,26.777712722535547,0.607237791944704,0.13478566377806472,0.0915372804084204,91.58383188423028,1637.6277841375818,66.0,24.0,0.7038526977288809,0.05592469349343676
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8tbq_7unb/seed-1_sample-3/model.cif,8tbq_7unb,1,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8tbq_7unb/seed-1_sample-3/confidences.json,"[0.14, 0.51, 0.51]","[[0.83, 0.14, 0.14], [0.14, 0.88, 0.87], [0.14, 0.87, 0.88]]","[[0.76, 18.36, 18.64], [14.54, 0.76, 1.05], [14.95, 1.09, 0.76]]","[0.83, 0.88, 0.88]",0.0,0.0,0.51,0.64,0.54,custom,0.14,0.51,0.51,0.83,0.88,0.88,0.14,0.14,0.87,16.45,16.795,1.07,81.55254189944135,4.811467259071194,89.3172513368984,3.406889310391546,89.35697756788666,3.0794758394758395,24.478296507483964,24.364855072463765,4.7393627233791165,86.74225693474214,3.7659441363128594,17.86083810110895,79.87571428571428,78.96875,1061.0,59.0005136663525,22.32608695652174,1277.0,65.37716914643697,22.613235294117647,4399.0,84.21861332120936,4.300992063492063,6737.0,69.53209871133294,16.413438104710483,0.03753664253456309,0.03589657259635207,0.39916932492765067,0.43008085592086714,0.009934045558169968,0.010577891410869868,0.34894028503902275,0.011209145600468614,"[[0.7026313777217028, 0, 0], [0, 0.7818090582790215, 0.6817958594763456], [0, 0.6650221658466585, 0.7835887691750884]]",0.0,0.0,0.673409012661502,0.22446967088716732,0.5445507566233775,0.508083207371619,0.0020716738769347453,0.2402141289070749,0.2657974045876095,22.310908736864604,26.777712722535547,0.5902474400357927,0.12674846021540756,0.0915372804084204,48.38117665336421,1180.190220664107,47.0,8.0,0.7343579868094486,0.040994388706372724
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8tbq_7unb/seed-1_sample-4/model.cif,8tbq_7unb,1,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8tbq_7unb/seed-1_sample-4/confidences.json,"[0.12, 0.5, 0.5]","[[0.83, 0.12, 0.12], [0.12, 0.88, 0.87], [0.12, 0.87, 0.88]]","[[0.76, 19.25, 19.58], [15.18, 0.76, 1.12], [15.3, 1.17, 0.76]]","[0.83, 0.88, 0.88]",0.0,0.0,0.5,0.64,0.53,custom,0.12,0.5,0.5,0.83,0.88,0.88,0.12,0.12,0.87,17.215,17.439999999999998,1.145,81.054208566108,4.844673648577171,88.68482352941176,3.575206611570248,88.89976387249115,3.1626289926289926,25.06531836540746,25.08736780258519,4.940344853049771,86.21293198933695,3.8608364175921372,18.36434367368081,78.60857142857141,78.6075,1568.0,59.596071428571435,23.408545454545457,1310.0,65.17375190839695,23.530423280423282,4130.0,85.32962469733657,4.141506572295247,7008.0,70.03314934476832,17.02682510242133,0.05285300205068502,0.04218077490032437,0.4124891649991344,0.4295680830041973,0.010386252179760391,0.011819973583927841,0.45104443316335374,0.011179493196922618,"[[0.6979468876020106, 0, 0], [0, 0.7767643923240939, 0.6734928369814134], [0, 0.6518158360933528, 0.7788671297458645]]",0.0,0.0,0.6626543365373831,0.22088477884579438,0.5060640996365563,0.46972296946802355,0.0031622203653902947,0.2290300034532696,0.23753074564936366,19.648534802097558,26.777712722535547,0.6500216357344328,0.157642696905031,0.0915372804084204,92.24471593311637,1497.6336526840164,57.0,17.0,0.7083106038216492,0.06159364526017295
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8tbq_7unb/seed-2_sample-0/model.cif,8tbq_7unb,2,0,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8tbq_7unb/seed-2_sample-0/confidences.json,"[0.14, 0.5, 0.5]","[[0.83, 0.14, 0.14], [0.14, 0.88, 0.87], [0.14, 0.87, 0.88]]","[[0.76, 17.96, 18.79], [13.12, 0.76, 1.08], [13.02, 1.13, 0.76]]","[0.83, 0.88, 0.88]",0.0,0.0,0.51,0.64,0.54,custom,0.14,0.5,0.5,0.83,0.88,0.88,0.14,0.14,0.87,15.54,15.905,1.105,81.33197392923651,4.799053210620967,88.80849197860962,3.5445806801246444,89.24590318772137,3.0967239967239966,24.627482775005937,24.525192583888238,4.856723526805494,86.46212303185582,3.813452629156536,18.00313296189989,78.50428571428571,79.23375,2641.0,64.55124006058311,23.310952380952383,1285.0,64.50455642023347,22.833333333333332,4413.0,83.89890210740992,4.402659574468085,8339.0,70.98489952940884,16.848981762917933,0.12267934086631302,0.037607779225729256,0.38123051954506076,0.41234217117361666,0.010790253600634195,0.01056484128498671,0.33023072495355843,0.011172951048574822,"[[0.700821845682558, 0, 0], [0, 0.7785382610755744, 0.677712543600394], [0, 0.6609333333333335, 0.7833228809543719]]",0.0,0.0,0.6693229384668637,0.22310764615562126,0.5441190099407378,0.507986065311822,0.004879748333524022,0.2718499263785826,0.2312563905997154,21.68760729916137,26.777712722535547,0.6038798889940239,0.13315461180346458,0.0915372804084204,121.96144462506152,1727.5254818465476,69.0,34.0,0.7307303991726535,0.07059892656095425
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8tbq_7unb/seed-2_sample-1/model.cif,8tbq_7unb,2,1,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8tbq_7unb/seed-2_sample-1/confidences.json,"[0.1, 0.49, 0.48]","[[0.83, 0.1, 0.1], [0.1, 0.88, 0.87], [0.1, 0.87, 0.88]]","[[0.76, 19.9, 20.38], [17.92, 0.76, 1.1], [17.48, 1.15, 0.76]]","[0.83, 0.88, 0.88]",0.0,0.0,0.49,0.63,0.52,custom,0.1,0.49,0.48,0.83,0.88,0.88,0.1,0.1,0.87,18.91,18.93,1.125,81.03946927374301,4.8226594731831165,88.65167914438503,3.624021135347514,88.94984651711925,3.137993447993448,26.5313910667617,26.170766418592503,4.990252547629597,86.21366497841575,3.8615580188413596,19.230803344327935,78.54142857142857,79.0825,1952.0,63.73151127049181,25.370949074074073,345.0,63.37524637681159,23.8796875,4269.0,83.77592761770906,4.5609375000000005,6566.0,70.29422842167082,17.93719135802469,0.09073135803015081,0.018258893561979524,0.4092172334016546,0.40597175683949094,0.010122163767595905,0.0,0.25787339885589583,0.010653371320121247,"[[0.6983555593876338, 0, 0], [0, 0.7771457263738353, 0.672396877589756], [0, 0.6530447730540153, 0.7801990132954262]]",0.0,0.0,0.6627208253218857,0.2209069417739619,0.5357477719378452,0.4910417970922826,0.0021903200354999133,0.242572831945064,0.2462786451117187,25.31883101363907,26.777712722535547,0.5279814831776667,0.10129074496328934,0.0915372804084204,73.79922409868635,1333.3063114535635,51.0,8.0,0.6633994156489076,0.05535053983073914
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8tbq_7unb/seed-2_sample-2/model.cif,8tbq_7unb,2,2,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8tbq_7unb/seed-2_sample-2/confidences.json,"[0.12, 0.49, 0.49]","[[0.83, 0.12, 0.11], [0.12, 0.87, 0.86], [0.11, 0.86, 0.88]]","[[0.76, 18.71, 18.89], [15.76, 0.76, 1.13], [15.5, 1.16, 0.76]]","[0.83, 0.87, 0.88]",0.0,0.0,0.5,0.63,0.52,custom,0.12,0.49,0.49,0.83,0.87,0.88,0.12,0.11,0.86,17.235,17.195,1.145,81.19914338919926,4.846450862160161,88.4970053475936,3.6715621189540713,88.87533648170012,3.1814905814905816,25.37035816108339,25.153215171693432,5.034662531383843,86.19049507283098,3.8998345208682714,18.519411954720223,76.53999999999999,78.7,1595.0,61.65913479623825,24.318818681318685,654.0,60.18340214067278,22.71818181818182,4427.0,83.54847413598374,4.945523049645391,6676.0,68.46367035763159,17.3275078497153,0.05753193424163579,0.025530043067565785,0.39400924310457364,0.3993615310443379,0.010278058807502403,0.008925966700224528,0.2774757705933369,0.01076476064164216,"[[0.6972045110766462, 0, 0], [0, 0.7759916803737872, 0.6728489214423696], [0, 0.648832255415255, 0.7770807184893872]]",0.0,0.0,0.6608405884288123,0.22028019614293745,0.5489908754160148,0.5019323002047598,0.0021069047825492335,0.24148196573796807,0.2583434296842425,24.576718938606167,26.777712722535547,0.5427803045427902,0.10683679895209008,0.0915372804084204,88.08192072454483,1261.8676890918416,46.0,9.0,0.6752845835820507,0.06980281806560626
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8tbq_7unb/seed-2_sample-3/model.cif,8tbq_7unb,2,3,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8tbq_7unb/seed-2_sample-3/confidences.json,"[0.12, 0.49, 0.49]","[[0.83, 0.12, 0.12], [0.12, 0.87, 0.87], [0.12, 0.87, 0.88]]","[[0.76, 20.09, 19.2], [15.05, 0.76, 1.12], [15.59, 1.16, 0.76]]","[0.83, 0.87, 0.88]",0.0,0.0,0.5,0.63,0.52,custom,0.12,0.49,0.49,0.83,0.87,0.88,0.12,0.12,0.87,17.57,17.395,1.1400000000000001,80.73741154562384,4.826631757114143,88.4868449197861,3.658325430158515,88.91788665879572,3.1397706797706797,25.45343311950582,25.223746572659614,4.974619701668881,86.04738104140189,3.8749092890144454,18.550599797944773,77.62285714285714,78.79875,1913.0,63.26931521170936,24.735703703703702,1230.0,63.9925731707317,23.197142857142858,4216.0,83.78744307400379,4.2928985507246376,7359.0,70.34977715214829,17.408581703857063,0.08811353245930102,0.029811386453225397,0.3792552217825526,0.39598921691325184,0.010744860356480621,0.009787111087981738,0.3142298757363374,0.010730324307444115,"[[0.6969729548929663, 0, 0], [0, 0.7772892727142958, 0.6753281103522165], [0, 0.6520847766402381, 0.7803496737493726]]",0.0,0.0,0.6637064434962273,0.22123548116540911,0.5028105281013112,0.4641981098282397,0.004019382207819604,0.23300189865991647,0.22717682896050365,25.28570129306849,26.777712722535547,0.5286340636414961,0.10152937814310041,0.0915372804084204,141.38156466381218,1445.7483650543898,59.0,19.0,0.736254515065051,0.09779126719503041
/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8tbq_7unb/seed-2_sample-4/model.cif,8tbq_7unb,2,4,/home/cseomoon/project/ABAG/DB/AbNb_structure/AF3/decoy/8tbq_7unb/seed-2_sample-4/confidences.json,"[0.13, 0.5, 0.5]","[[0.83, 0.13, 0.13], [0.13, 0.88, 0.87], [0.13, 0.87, 0.88]]","[[0.76, 18.53, 18.84], [14.33, 0.76, 1.1], [14.23, 1.14, 0.76]]","[0.83, 0.88, 0.88]",0.0,0.0,0.5,0.64,0.53,custom,0.13,0.5,0.5,0.83,0.88,0.88,0.13,0.13,0.87,16.43,16.535,1.12,81.27094972067039,4.783338622659473,88.75351871657755,3.619455358352527,89.13454545454545,3.1064373464373465,24.811825849370397,24.835608434521475,4.9404666962044015,86.38633796393113,3.8364104424831154,18.195966993365424,78.41142857142857,78.9925,1825.0,60.55835616438356,23.02698412698413,1543.0,66.13899222294232,23.451185770750985,4403.0,83.87351805587099,4.393655303030303,7771.0,70.19028881439895,16.957275066921806,0.07281715965714915,0.04617840548529957,0.39057509820582065,0.4313503411861979,0.0102924129315147,0.010125111047193474,0.44362377869673053,0.010860888887521524,"[[0.6999746968394921, 0, 0], [0, 0.7781787922016167, 0.6770299487508008], [0, 0.659229742563076, 0.7835167671018859]]",0.0,0.0,0.6681298456569384,0.22270994855231283,0.5655758077421282,0.5161708961236735,0.002923735381897245,0.24393367659407614,0.26931348414770007,20.062296079700957,26.777712722535547,0.6404816794212844,0.1521867314419142,0.0915372804084204,188.50768884972246,1530.9828222547076,63.0,31.0,0.7293929788969378,0.12312854599642313
