pdb,query,seed,sample,data_file,chain_iptm,chain_pair_iptm,chain_pair_pae_min,chain_ptm,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,format,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,plddt_H3,plddt_L3,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS,LIS_AH,LIS_AL,LIS_HL,avg_LIS,piTM,pIS,piTM_A,piTM_H,piTM_L,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7shy_6x97/seed-1_sample-0/model.cif,7shy_6x97,1,0,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7shy_6x97/seed-1_sample-0/confidences.json,"[0.14, 0.51, 0.51]","[[0.84, 0.14, 0.14], [0.14, 0.87, 0.88], [0.14, 0.88, 0.89]]","[[0.76, 25.36, 26.22], [20.0, 0.76, 1.09], [20.65, 1.11, 0.76]]","[0.84, 0.87, 0.89]",0.0,0.0,0.31,0.63,0.37,custom,0.14,0.51,0.51,0.84,0.87,0.89,0.14,0.14,0.88,22.68,23.435,1.1,79.62763294245978,9.01414054063947,84.71371002132196,3.817348484848485,87.62557242990655,2.5546683046683047,28.329850074168256,28.286498036498035,4.741046831955923,83.9889717978961,5.128719110052086,20.452464980874073,76.7057142857143,90.66625,4842.0,64.46206113176373,28.460636363636365,2226.0,69.86632749326147,28.342727272727274,4876.0,79.7152573831009,4.745874001774623,11944.0,71.34788200270869,20.516412546046087,0.1739326958219375,0.09032420799084323,0.4041077830391267,0.49339331220944344,0.0093180178964009,0.009856555821271745,0.14616606541172256,0.009469692970490275,"[[0.5680365538033021, 0, 0], [0, 0.7542313804811096, 0.6460915700794162], [0, 0.6644685335742248, 0.7970442644411717]]",0.0,0.0,0.6552800518268205,0.2184266839422735,0.5090817335627412,0.4865816500430048,0.005023168991046811,0.24858287212550662,0.2329756089264514,32.80453699573046,45.48037129013579,0.6577825400361024,0.06291429567099442,0.03375041886570889,543.741523396064,2966.1384350128924,117.0,49.0,0.599950360588677,0.1833163000680043
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7shy_6x97/seed-1_sample-1/model.cif,7shy_6x97,1,1,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7shy_6x97/seed-1_sample-1/confidences.json,"[0.1, 0.49, 0.49]","[[0.85, 0.1, 0.1], [0.1, 0.87, 0.88], [0.1, 0.88, 0.89]]","[[0.76, 28.56, 28.4], [20.12, 0.76, 1.08], [20.02, 1.14, 0.76]]","[0.85, 0.87, 0.89]",0.0,0.0,0.28,0.61,0.35,custom,0.1,0.49,0.49,0.85,0.87,0.89,0.1,0.1,0.88,24.34,24.21,1.1099999999999999,79.44138260158167,9.06215798239353,84.0434434968017,3.7805922865013772,87.4116355140187,2.520892710892711,29.717024263615173,29.663407638407637,4.753696671878489,83.63215387080068,5.121214326595872,21.3780428579671,74.70857142857143,90.47625,3443.0,65.04842143479524,29.770851063829788,1281.0,67.58674863387978,29.77912087912088,4642.0,80.00505924170616,4.693025362318841,9366.0,70.88007643679373,21.414332435089836,0.13923784436985415,0.050073216162922804,0.363896753714703,0.40917991470260034,0.009511732436551165,0.008703062629590832,0.1438499823271406,0.009314629290158149,"[[0.5692061880720863, 0, 0], [0, 0.7552658818998099, 0.6418781793842034], [0, 0.6607942297087281, 0.7993095315993238]]",0.0,0.0,0.6513362045464658,0.21711206818215525,0.5352650078514778,0.5035119267222359,0.002903682871944326,0.2553081957577843,0.24530004809250722,64.90069607352584,45.48037129013579,0.3293436704524737,0.016863700230779204,0.03375041886570889,325.226172694626,2087.9739895329944,82.0,39.0,0.6526675805556273,0.15576160159321117
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7shy_6x97/seed-1_sample-2/model.cif,7shy_6x97,1,2,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7shy_6x97/seed-1_sample-2/confidences.json,"[0.14, 0.51, 0.51]","[[0.84, 0.14, 0.14], [0.14, 0.87, 0.88], [0.14, 0.88, 0.89]]","[[0.76, 25.03, 26.09], [19.77, 0.76, 1.06], [20.12, 1.08, 0.76]]","[0.84, 0.87, 0.89]",0.0,0.0,0.31,0.63,0.37,custom,0.14,0.51,0.51,0.84,0.87,0.89,0.14,0.14,0.88,22.4,23.105,1.07,79.32843741478048,9.24083392814656,84.99585287846483,3.750323691460055,87.91901869158878,2.4848075348075347,28.21915748393021,28.21936744436744,4.640562876926513,84.0811029949447,5.158655051471384,20.359695935074722,77.27142857142859,90.97625000000001,4488.0,64.25586675579325,28.39438596491228,1745.0,69.22018338108883,28.41097393689986,4817.0,78.99026261158397,4.61268115942029,11050.0,70.82210424948867,20.472680353744142,0.18803872076556444,0.06791051152331397,0.394154262531689,0.4763095575723904,0.009213539990041729,0.009970281412185528,0.1462665538063022,0.009387420281454596,"[[0.569556999337535, 0, 0], [0, 0.7576488545948414, 0.6527167939954429], [0, 0.6713451280895499, 0.8018401188140397]]",0.0,0.0,0.6620309610424964,0.22067698701416547,0.5087555750389533,0.4879989008173708,0.004808252448657206,0.2587021427132426,0.22448850565547102,32.90484360351497,45.48037129013579,0.6564067116410596,0.06255526440657623,0.03375041886570889,315.8436908360974,2739.5834969687394,109.0,26.0,0.5591046093379184,0.11528894490186856
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7shy_6x97/seed-1_sample-3/model.cif,7shy_6x97,1,3,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7shy_6x97/seed-1_sample-3/confidences.json,"[0.11, 0.49, 0.49]","[[0.84, 0.11, 0.1], [0.11, 0.87, 0.88], [0.1, 0.88, 0.89]]","[[0.76, 27.66, 28.03], [20.96, 0.76, 1.08], [21.33, 1.12, 0.76]]","[0.84, 0.87, 0.89]",0.03,0.0,0.28,0.61,0.36,custom,0.11,0.49,0.49,0.84,0.87,0.89,0.11,0.1,0.88,24.310000000000002,24.68,1.1,78.78447232069813,9.320249272497666,84.24126865671641,3.7211363636363637,87.46045560747663,2.500556920556921,29.386504026276754,29.59617887117887,4.697959943414489,83.49539886163039,5.180647518896984,21.226880946956705,73.35428571428572,90.30125,2502.0,64.70133493205437,29.285224089635857,965.0,69.99066321243522,29.45549450549451,4707.0,79.24264287231783,4.527391304347827,8174.0,71.31154700560246,21.08936996649273,0.11634190752569094,0.042740735896840354,0.3452134236717342,0.40519604135329984,0.00900727750040435,0.009756664187315817,0.31240700497830715,0.009259627801055749,"[[0.5720915797687451, 0, 0], [0, 0.7551747166269583, 0.6468526408875311], [0, 0.6638337966093205, 0.80008173273396]]",0.0,0.0,0.6553432187484258,0.2184477395828086,0.5363090658978839,0.4981054880587106,0.0023787195954632478,0.2696996570337454,0.2260271114295019,43.36384092292838,45.48037129013579,0.5238094277174254,0.03700056851063971,0.03375041886570889,18.094076862678207,1813.9767903583747,72.0,17.0,0.6755951136907856,0.009974811672812797
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7shy_6x97/seed-1_sample-4/model.cif,7shy_6x97,1,4,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7shy_6x97/seed-1_sample-4/confidences.json,"[0.1, 0.49, 0.49]","[[0.85, 0.1, 0.1], [0.1, 0.87, 0.88], [0.1, 0.88, 0.89]]","[[0.76, 28.81, 28.41], [21.2, 0.76, 1.08], [20.92, 1.12, 0.76]]","[0.85, 0.87, 0.89]",0.0,0.0,0.28,0.62,0.35,custom,0.1,0.49,0.49,0.85,0.87,0.89,0.1,0.1,0.88,25.005,24.665,1.1,79.53010635396782,9.049940061128499,84.52203624733475,3.637493112947658,87.60456775700933,2.514914004914005,29.841300240163875,29.840678178178173,4.686531159258432,83.8855701194373,5.067449059663387,21.45616985920016,74.16714285714285,90.72999999999999,1635.0,61.38230581039756,29.764726631393295,893.0,66.35890817469203,29.83219696969697,4753.0,79.54171996633704,4.550022675736961,7281.0,69.09431131714221,21.382315425609075,0.037335654467117424,0.03288303258969371,0.37488436479514725,0.40055524930922437,0.009434318997331987,0.009477668380503958,0.3105829798413692,0.009396493933067247,"[[0.5693012125848599, 0, 0], [0, 0.7571665226159608, 0.6451967081493376], [0, 0.6647259844494607, 0.7995591081309457]]",0.0,0.0,0.6549613462993992,0.2183204487664664,0.5531945376816146,0.5117982217502803,0.001457788383603254,0.25898542434531807,0.25135500902135893,66.32214640953119,45.48037129013579,0.31984459227089546,0.01616014001579779,0.03375041886570889,33.94892731327582,1241.4262299950876,51.0,5.0,0.6357879539834751,0.027346713395454962
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7shy_6x97/seed-2_sample-0/model.cif,7shy_6x97,2,0,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7shy_6x97/seed-2_sample-0/confidences.json,"[0.14, 0.51, 0.51]","[[0.84, 0.14, 0.14], [0.14, 0.87, 0.88], [0.14, 0.88, 0.89]]","[[0.76, 25.62, 25.75], [19.3, 0.76, 1.07], [19.46, 1.09, 0.76]]","[0.84, 0.87, 0.89]",0.03,0.0,0.31,0.62,0.39,custom,0.14,0.51,0.51,0.84,0.87,0.89,0.14,0.14,0.88,22.46,22.605,1.08,79.02654485955821,9.306549351196033,84.53943496801705,3.740867768595041,87.69096962616823,2.5127682227682224,28.126784452920816,28.016194078694078,4.6675154493336315,83.75231648458116,5.186728447519766,20.270164660316173,76.91428571428571,90.6175,2979.0,62.83353474320241,28.14104575163399,1512.0,67.25613756613757,27.82391304347826,4694.0,80.4359693225394,4.503969754253308,9185.0,70.17521387729312,20.156309516455185,0.10683521159440343,0.03883766339784207,0.3486903877116886,0.38415360279561495,0.009666558952059487,0.009716484264422415,0.2256353504209803,0.009846510612760827,"[[0.5724120419644215, 0, 0], [0, 0.7576996151996153, 0.6469849481338895], [0, 0.6674379585806225, 0.7991331644604239]]",0.0,0.0,0.657211453357256,0.21907048445241864,0.5549516321953233,0.5282429413470857,0.0024488887208671786,0.27113000834784406,0.2546640442783744,35.2519833428262,45.48037129013579,0.6246934943492333,0.05494495760300213,0.03375041886570889,89.88504900422777,1997.1160271836193,93.0,13.0,0.6491452877326962,0.04500742459664991
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7shy_6x97/seed-2_sample-1/model.cif,7shy_6x97,2,1,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7shy_6x97/seed-2_sample-1/confidences.json,"[0.14, 0.51, 0.51]","[[0.84, 0.14, 0.14], [0.14, 0.87, 0.88], [0.14, 0.88, 0.89]]","[[0.76, 25.59, 25.96], [19.21, 0.76, 1.09], [19.51, 1.1, 0.76]]","[0.84, 0.87, 0.89]",0.0,0.0,0.31,0.62,0.37,custom,0.14,0.51,0.51,0.84,0.87,0.89,0.14,0.14,0.88,22.4,22.735,1.0950000000000002,79.2791573493319,9.196352422262487,84.61318763326226,3.7665771349862256,87.59213785046728,2.546068796068796,28.2637617433072,28.127700777700777,4.704839550294096,83.82816094435381,5.169666117772503,20.36543402376736,76.20571428571428,90.3175,4471.0,64.35967456944756,28.471506352087115,1492.0,66.932577077748,27.981452991452993,4734.0,79.38081854668357,4.498250591016548,10697.0,70.22435673129304,20.317069978185554,0.20187541571795456,0.0464016256907476,0.3576258247352771,0.409880225214227,0.009481932725783133,0.01010633081448039,0.20151104276950652,0.009574258916977208,"[[0.5668409922963902, 0, 0], [0, 0.7559155115988063, 0.6470093708165997], [0, 0.663967603728202, 0.7969709979011639]]",0.0,0.0,0.6554884872724008,0.2184961624241336,0.5172040206007429,0.49311280569527344,0.004532943111712053,0.2645073649451958,0.22407249763836562,32.76212976351793,45.48037129013579,0.6583646752800009,0.0630669948348393,0.03375041886570889,152.0677097973218,2504.660837686033,101.0,27.0,0.6596723090613724,0.060713892878930364
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7shy_6x97/seed-2_sample-2/model.cif,7shy_6x97,2,2,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7shy_6x97/seed-2_sample-2/confidences.json,"[0.13, 0.51, 0.5]","[[0.84, 0.13, 0.13], [0.13, 0.87, 0.88], [0.13, 0.88, 0.89]]","[[0.76, 26.05, 26.68], [19.91, 0.76, 1.06], [20.12, 1.08, 0.76]]","[0.84, 0.87, 0.89]",0.0,0.0,0.3,0.62,0.37,custom,0.13,0.51,0.5,0.84,0.87,0.89,0.13,0.13,0.88,22.98,23.4,1.07,79.52983365148623,9.096610937242628,84.52977611940298,3.7521349862258955,87.76002336448596,2.4977559377559375,28.63845270890726,28.50934684684685,4.7157881021517385,83.93987771179172,5.115500620408153,20.621195885968614,76.71714285714286,90.77374999999999,3898.0,64.67864674191894,28.855013550135503,1662.0,67.68121841155235,28.471180555555556,4865.0,78.14787975334019,4.4148148148148145,10425.0,70.16924830227049,20.580336306835292,0.15142040445347657,0.048750747718424095,0.3478956874245332,0.4278074092430146,0.009393732974448992,0.009963285266898877,0.324946260076003,0.009526713283814096,"[[0.5683796718552122, 0, 0], [0, 0.7581737511485083, 0.6504574898785426], [0, 0.6702428338966078, 0.8003425403829915]]",0.0,0.0,0.6603501618875751,0.22011672062919171,0.5103097411358292,0.48706884968322606,0.00408290887806841,0.26351626366985603,0.21946967713530163,33.22354077452581,45.48037129013579,0.652045880342477,0.06143427154668719,0.03375041886570889,387.8374590737487,2531.2133538406274,110.0,37.0,0.6428874365153983,0.15322195518812362
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7shy_6x97/seed-2_sample-3/model.cif,7shy_6x97,2,3,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7shy_6x97/seed-2_sample-3/confidences.json,"[0.14, 0.51, 0.51]","[[0.84, 0.14, 0.14], [0.14, 0.87, 0.88], [0.14, 0.88, 0.89]]","[[0.76, 26.21, 26.23], [19.13, 0.76, 1.07], [19.33, 1.08, 0.76]]","[0.84, 0.87, 0.89]",0.02,0.0,0.31,0.62,0.39,custom,0.14,0.51,0.51,0.84,0.87,0.89,0.14,0.14,0.88,22.67,22.78,1.0750000000000002,79.0670684483229,9.332544519482422,84.5833368869936,3.781198347107438,87.62822429906541,2.5216216216216214,28.292189376280287,28.153939516439515,4.656019656019656,83.75954321146064,5.21178816273716,20.36738284957982,76.16285714285713,90.41874999999999,4436.0,64.96735459873761,28.65112230874943,2437.0,63.93123512515387,28.43848848848849,5132.0,77.60746590023383,4.407456790123456,12005.0,68.83535187470845,20.499022529120456,0.1907915568553306,0.08636975547981848,0.36509866820987164,0.431915297253466,0.00943973271294072,0.008522990805714652,0.1978801417270957,0.00928028205393061,"[[0.5721645570646829, 0, 0], [0, 0.7566701604741941, 0.649091322734329], [0, 0.6685817494302958, 0.798855367508789]]",0.0,0.0,0.6588365360823124,0.21961217869410413,0.5355449189831204,0.5144215346418163,0.004689316249143483,0.2594757756501485,0.2502564427425243,32.824551808180125,45.48037129013579,0.6575078877583159,0.06284241497836489,0.03375041886570889,292.75486422522636,3045.782874114734,120.0,38.0,0.5668465723270942,0.09611810044414819
/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7shy_6x97/seed-2_sample-4/model.cif,7shy_6x97,2,4,/home/cseomoon/project/ABAG/DB/ABAG_structure/AF3/decoy/7shy_6x97/seed-2_sample-4/confidences.json,"[0.14, 0.5, 0.5]","[[0.84, 0.14, 0.13], [0.14, 0.86, 0.87], [0.13, 0.87, 0.89]]","[[0.76, 25.73, 25.8], [20.33, 0.76, 1.11], [20.17, 1.11, 0.76]]","[0.84, 0.86, 0.89]",0.0,0.0,0.31,0.62,0.37,custom,0.14,0.5,0.5,0.84,0.86,0.89,0.14,0.13,0.87,23.03,22.985,1.11,79.46210253613309,9.098811288639984,84.21662046908315,3.852073002754821,87.40205607476636,2.5933251433251434,28.326780921099108,28.15683856933857,4.830079666443303,83.69359302666086,5.18140314490665,20.437899718960328,76.24428571428572,90.45375,3908.0,63.684078812691915,28.490884104443428,1977.0,68.03773899848254,28.101784488675364,4899.0,79.27501224739743,4.618628841607565,10784.0,70.33227668619062,20.40376581157545,0.17419914374416495,0.0570569368446492,0.3480810878210042,0.43193571290695326,0.009596054543243577,0.00989658998010012,0.22815673449480683,0.009744044143171794,"[[0.5639217097047746, 0, 0], [0, 0.7514755500927867, 0.6374433539806398], [0, 0.6575388457966213, 0.7933487364030424]]",0.0,0.0,0.6474910998886305,0.2158303666295435,0.5063261487391892,0.4830549433553195,0.004062811553540738,0.25596786456195464,0.2230242672398242,35.047926774117705,45.48037129013579,0.6274116662541043,0.05555097772938103,0.03375041886570889,60.15906661249545,2670.2791873286606,106.0,32.0,0.5946666843305831,0.022529129874497657
